[00:00:00 - 00:06:44]:  Esta semana Ricardo Arouspreira declara-se arrendado.
[19:41:40 - 20:01:40]:  -Não, acho que é a maior parte daqueles portados, de facto, não tem um legitimidade política e eu passo a explicar porque os portados do Pan, do Bloco de Esquerda, do Libra, este portado de Libra...
[20:01:40 - 20:05:00]:  -Ese sim... -Por que vai liberar também?
[20:05:00 - 20:21:40]:  -Por uma razão simples de iniciativa liberal, porque colocaram este caso nos problemas eleitorais, e isso faz toda a diferença.
[20:21:40 - 20:38:20]:  -Este ponto é mesmo realmente importante, é mesmo realmente importante, pode se discutir ou não, mas referendo menos referente, se um tema como este deve ou não tem-los legitimidade para ser referentado,
[20:38:20 - 20:51:40]:  -E, evidentemente, acho que o tema é importante e, portanto, ele certamente tem o peso, acho que, em Bolopark, foi para isso que se inventava os referentes, foi para temas como este.
[20:51:40 - 21:11:40]:  -Mas, independentemente disso, o que eu pôr-lo é o seguinte, convém só que ter um bocadinho memória, este tema foi de patitina assemblada da República, com grande entusiismo, no final de maio de 2018.
[21:11:40 - 21:16:40]:  -Final de maio de 2018, e hoje... -Tá a senão, é um pouco tempo.
[21:16:40 - 21:23:20]:  -Não, não é só que ter cedado muito pouco tempo, mas, interdente mudou a posição parlamentar.
[21:23:20 - 21:38:20]:  -Não, mudou a composição parlamentar, mas, mas, em mais de 2018, a eutanázia chumbou por apenas cinco fotos.
[21:38:20 - 22:00:00]:  -E uma das razões houve até, de portatos que se mostravam, de portatos do PSD que se mostravam, favorevam, é o tanázia, mas se cidiam, é besteio, com um ótimo argumento que era o nosso programa eleitoral, não dizia nada sobre isto.
[22:00:00 - 22:25:00]:  -E era verdade, o programa eleitoral 2015, do PSD, e do PSD, não dizia nada sobre eleutanázia, e, portanto, muita gente houve que saber se estivesse, que emfutasse contra, e o argumento da legitimidade democrática teve sempre em cima da mesa, a meu ver, fazendo todo sentido.
[22:25:00 - 22:30:00]:  -Pasemos para 2019, e o que que aconteceu?
[22:30:00 - 22:41:40]:  -Em mais de 2018, acontece isto, com ver que se a chobologitimidade ou falta dela democrática, quando é que começou a ser feito os programas eleitorais de 2019.
[22:41:40 - 23:11:40]:  -E ainda em 2018, ou então no início de 2019, ou seja, menos de um ano depois, os partidos PS e PSD estavam a desenhar os seus programas eleitorais para 2019, de repente saiam os programas, e nem o PS, nem o PSD, mas, uma vez, tem uma palavra sobre o tanázia nos seus programas eleitorais.
[23:11:40 - 23:20:00]:  -Mas não se pode dizer que não, tem havido debate na sociedade, por vezes, a gente está nos programas eleitorais.
[23:20:00 - 23:51:40]:  -Porque é favor, é que é o contrário e a partir da itscupa, deixa-me só o final, diz que a partir desse momento, que não está nos programas eleitorais, quem estava de um refrente de toda a razão, se eles criam seus programas de legitimidade, são isso, tinham colocado lá e não quiserem, porque não quiserem de bater isto do ganho de ter campanho eleitoral.
[23:51:40 - 24:30:00]:  -Fogora contra o refrendo sobre este tema, Ricardo Aospreira. -Sucontra, sucontra. -Sucontra, especialmente quando o critério e tem sido em algumas pessoas quando o critério é ólico, que é o lambeira falange de todo o dedo, dizer, para que o parlamento não vai aprovar isto, não há refrente nenhum, não é uma questão para ir a retener.
[24:30:00 - 25:03:20]:  -Fiquei na assembleia, não é? -Porque é que a gente está nos programas eleitorais, culpa, pessoas fizeram assim. -Acho a se escandaloso que uma pessoa, a partir da um grupo, alguém da cidade civil, porque sente que isso é favorável entendemos do que está a sentir na sociedade ou ouvir, propõe-me refrente, meu Deus.
[25:03:20 - 25:26:40]:  -Foi de um aborto, foi proposto, nesse sentido acho que a gente mudou, as pessoas também esticaram o Deus. -A senhora acho que a gente é escandaloso, que a pessoa, como é, por exemplo, da igreja, ter sido antes isto não é um tema refrendável.
[25:26:40 - 25:43:20]:  -E agora tem cheira, porque no parlamento não havia nenhum hipótesis aqui o passar, e agora que cheira, que no parlamento, a gente pode passar, afinal já é uma mança que a gente não é eleito.
[25:43:20 - 25:55:00]:  -Precomo que as pessoas que acham que este tema não é tema refrente e acharam que o refrendo aborto era um tema refrente porque... -Mas a mim não me pence, porque eu não acho que nenhum maninho atrás.
[25:55:00 - 26:10:00]:  -Deus até que eu não sou ígras de os pessoas. -O que é que não está nos programas eleitorais? -Mas a gente está no programa eleitoral do PSD, quando a gente tinha acabado de se discutir.
[26:10:00 - 26:33:20]:  -O PSD não tem posição e isso não tem posição. -E não tem posição. -E não tem posição. -E o fato de não estar nos programas eleitorais não nos justifica que as pessoas que tenho um dito que esta não eram uma questão refrendável, agora achem que é uma questão refrendável.
[26:33:20 - 26:53:20]:  -A gente tem que ter que ter de ver. -E o problema é que o que vai passar afinal não vai passar. -E isso fica com quem disse isso, e ajudou do opinião, mas não responda que estão substancial. Esta ou a não, é ou a não tema clássico de refrente.
[26:53:20 - 27:06:40]:  -E para mim, na isto, na Inúdo Aborto seria? -Entro os defensores de um refrendo está o oeste que a gente não precisa.
[27:06:40 - 27:16:40]:  -A gente não precisa ter que vaca-se opa, que reappearceu esta semana numa declaração carregada de dramatismo.
[27:16:40 - 27:31:40]:  -Considera a legalização de Utanazi a decisão mais grave para o futuro da nossa sociedade que a Assembleia da República Pôta Tomar.
[27:31:40 - 28:03:20]:  -Ebre uma porta abulha na questão da vida ou da morte de consequências assustadoras. -Cava com considerar que esta é a decisão mais grave para o futuro da nossa sociedade que a Assembleia da República pode tomar concorda com o presidente e o Condo Curou, pés-me-sir.
[28:03:20 - 28:31:40]:  -Não tenho de se degraciado pelas minhas opiniões políticas, eu vou apresentar a República, então, que estão em irrelevante, também não concordo, também não concordo que eu partido como lista, e isto não me neste momento é concordar que o Partido Comunista, por tanto, isso é que até sentas vezes na vida.
[28:31:40 - 29:03:20]:  -Não há problema em um potencial de asalma, há uma cruzamento interessante entre as pessoas, entre os cruzamentos carreira direta, e são os conservadores e progressistas, mas eu acho que não é só isso, entre pessoas que acham que o indivíduo é o alfei húmega e outros que acham que não.
[29:03:20 - 29:20:00]:  -E os conservadores e os agujos acham que não e os marquesistas achavam, acho que ainda acham alguns deles que não, mas isso é outra, a gente podemos voltar, só vendo se cruzamento podemos voltar a acolher.
[29:20:00 - 29:41:40]:  -O que eu queria dizer, além de só proveerem que, enfim, que tem uma posição aberta, que não só sou contra o refriando, mas também sou contra a isumação do cavaco.
[29:41:40 - 29:58:20]:  -Não acho, não acho, não pode intervindo a vida política. -Não, não é só porque, uma vez, estamos a falar de evitar o sufrimiento. Eu acho que não vou lhe apenda, terem ido e sumar o cavaco para...
[29:58:20 - 30:20:00]:  -Quando o senhor Marri Suáxandava já depois da fase, por que se ele não era mais soludo, o Dr. Marri Suáxandava, por que ele não era mais soludo?
[30:20:00 - 30:46:40]:  -É só, por que ele não era só, e ele ia visitar na cadeia da ideia. -Não era conhecido como amulminha, mas até são também, eu sempre critiqui o sócara de escua, por causa das suas espéries, por um zé ava.
[30:46:40 - 30:50:00]:  -Suáxandava, desculpa, assim.
[30:50:00 - 31:15:00]:  -É o que ele pedra me cia a ideia de que um estado de sufrimiento profundo, alguém nesse estado, como a doença incurável, que essa pessoa possa, se for essa sua vontade, ser ajudada a morrer.
[31:15:00 - 31:36:40]:  -O problema, o problema de facto é o ultima frase, é o ultima parte dessa frase, porque é compreensível, é o veramento compreensível, número um que é psiqui uma pessoa, nesta situação, que é a situação,
[31:36:40 - 32:21:40]:  que é a loja de dilação, que as várias propostas prevenem, que sinta que não quer continuar a viver, e que tenha essa vontade, que os primers se sou avontável, e que nos casem que o pode fazer, que põe enfim a sua vida, na loja de dilação, português, a tentativa de suicídio, não se quer ser um crime, portanto, nesse sentido, a lei quase reconhece implicitamente, não pode fazer explicitamente, que o suicídio não direi um direito, mas é uma coisa que isso for as podem fazer.
[32:21:40 - 32:45:00]:  -O problema de todo, da edéia da eutanasia, e das dozes dilação que está agora em discussão, e que é um tipo de problema que tem sido levantado, não é adhamento por médicos, não é adhamento por a ordem dos médicos,
[32:45:00 - 33:21:40]:  é que estão doido a ajudar a morrer, porque o ajudar a morrer, o parceiro do conselho de ética e diantologia de orândes médicos, utiliza uma expressão interessante, que fala de que as pessoas defendem eutanasia, como de fez a doutorno-meido e indivíduo,
[33:21:40 - 34:10:00]:  mas ao ver o médico intervence a proceder a uma transferência da autonomia, e portanto, quem tem que tomar a decisão é ticamente seria, não é o próprio, que seria logítimo e muito mala, mas um terceiro, que neste caso é um médico, e argumento, além disso, que toda a tradição, toda a tradição, que é um médico e que é um ato médico, negam que seja um ato médico, porque um ato médico consiste em deslarpla saúde e vida, e que portanto aqui seria...
[34:10:00 - 34:25:00]:  seria a intervenção de um médico, e o negação dos uramente e qualquer discípio, e o médico não é pacífico entre os médicos, e é multimédicos que acham o contrário, como é evidente, mas...
[34:25:00 - 34:45:00]:  - É isso, é o parceiro... - É curioso que tantos médicos, laicos, muitos de eles, não por razões religiosos, lasas religiores são respeitáveis, mas são num certo sentido e inúteis na conversa, visto que estamos a falar ali civil,
[34:45:00 - 35:08:20]:  e portanto, as pessoas têm de ter as convicções que se quiserem, mas isso não é isso que está em casa na Praça Pública, essa questão dos médicos, entre a versão dos médicos, é uma das questões que eu acho mais problemáticas, e não é isso que eu sou muito sético em relação à legislação apresentável.
[35:08:20 - 35:33:20]:  - Justamente, por onde é que passa a linha de fronteira, a respeito da questão da eutanasia e a Ricardo Aospreira? Parece que ele acima de tudo religiosa, étnica, ou ideológica, o divisor das águas, como é que eu entende?
[35:33:20 - 36:16:40]:  - Eu acho que é pessoal, eu acho que é pessoal, o meu ponto é o seguinte, eu tenho alguma dificuldade em quando uma pessoa, e aliás os projetos são todos bastante cautelosos, se calhar até escessivamente cautelosos, porque tem enquanto outras experiências, e os projetos falam todos,
[36:16:40 - 36:58:20]:  todos, ao quase todos, em as pessoas como lesão de infinitivo, ou de encurável e fatal, em sofrimento durador e insoportável, sem cura irreversível, fatal, causadora de sofrimento intolerável e atroz, amplamente incapacitante e definitiva, consciente de que a unia tortuosa é a única expressão de vida que conhecerá até o dia da sua morte, e isto é tudo referido nos projetos em quase todos, em todos mesmos.
[36:58:20 - 37:28:20]:  E, portanto, quando uma pessoa nesta circunstâncias pede, ainda por cima isto também está nos projetos, reitadamente e conscientemente, para ele acabar em cura o sofrimento, eu tenho muita dificuldade em dizer, tenho paciência, mas não vamos fazer isso.
[37:28:20 - 37:45:00]:  A gente pode dizer, parece uma posição bastante fria, a tensa possuíci de uma sua disposição, nesta que era a crime, força, não é bem assim.
[37:45:00 - 37:48:20]:  Como é evidente, não fiz que não? Eu sei que não é.
[37:48:20 - 37:53:20]:  Eu falei da diferença, é que é alguma coisa hoje.
[37:53:20 - 38:16:40]:  Mas não é bem, essa questão não se põe para uma pessoa nesta condições, há uma discussão, acho eu, à volta dos cuidados paliativos, como faz lembrar, tem uma ressonância em relação à aquilo do aborto sobre a educação sexo,
[38:16:40 - 38:23:20]:  é claro que todos queremos melhores cuidados paliativos.
[38:23:20 - 38:48:20]:  Há dois problemas que os cuidados paliativos, o primeiro é que nem todas as situações deste tipo que olhem de sofrimento, de trôs, de etc., de dorência incurável, de fatal, etc., nem todos, nem todas essas situações, os melhores cuidados paliativos nem todas resolvem.
[38:48:20 - 39:13:20]:  Segundo, parece que às vezes algo meio pouca risia no appeal, mas pode ser um "el" para o "el" para o "el" para o "el" para o "el".
[39:13:20 - 39:23:20]:  E esse é o meu segundo ponto, é que os cuidados paliativos nesta terra são uma absoluta desgracia, assim como a educação sexual nesta terra é uma aspeta de base.
[39:23:20 - 39:43:20]:  E depois, quando, no caso do aborto era, quando cia votar a educação sexual, algumas das pessoas que tinham votado contra o aborto, porque o que fazia falta a educação sexual, chumbava uns leis de educação sexual, porque aquilo era uma pergunta de uma pessoa.
[39:43:20 - 40:03:20]:  E essa é a relação dos cuidados paliativos, a evestas a rebotar uma ideia, e a gente estava a causar as pessoas de proclisia algumas pessoas, mas ainda em todas as ideias dos pessoas, não, esquecer, mas é perfeitamente possível.
[40:03:20 - 40:15:00]:  O que eu estou a dizer é que nesta discussão há pessoas que têm indito, que os cuidados paliativos são importantes, não é?
[40:15:00 - 40:43:20]:  - Não é isso que eu estou a dizer, o que eu estou a dizer é que às vezes o argumento dos cuidados paliativos é esgrimido, porque pessoas que depois fazem notas cedas, propostas de desinvestimento nos semanais de saúde, que prejudicam os cuidados paliativos.
[40:43:20 - 41:01:40]:  - Não, não é isso, está no mesmo esturado, mas com o mesmo glâncio, o argumento estão a matar uns velhinhos, quer dizer, as pessoas que utilizam argumentos são hipócritas ou dos vanes, mas sempre estão tão...
[41:01:40 - 41:16:40]:  - Mas é claro que o argumento dos cuidados paliativos, as compreensões com a questão de educação sexual estão muito, muito longe, não parece.
[41:16:40 - 41:48:20]:  - Quantes tu estás a colocar o ponto no sufrimento insuportável, qualquer pessoa, qualquer pessoa que tratam, olha, do doente são cológicos e como tu sabes, eu lá em casa, dorme com uma, e eu sei o que é o drama, e ela escasa o sufrimento insuportável, que é estar casada comigo.
[41:48:20 - 42:08:20]:  - Ela vive o drama permanente dos doentes que estão insuporemente e as quais os hospitais não conseguem dar resposta, e ver real, é evidente que há muitas dessas pessoas dá vontade de morrer.
[42:08:20 - 42:20:00]:  - Não, não, mas repasas. - Mas isso é real, se você está aqui, o que eu estou a dizer, não é o mandanê, é o gelo.
[42:20:00 - 42:35:00]:  - Eu sei que não, e o que eu estou a dizer, e por exemplo, eu hoje descopei no expresso da manhã noite, outro oncologista, que também deve saber que o exemplo não dá contigo, não dá contigo.
[42:35:00 - 42:40:00]:  - Sim, não dá contigo. - Sim, ainda bem, posso senhora.
[42:40:00 - 42:51:40]:  - Mas o que eu se teve a dizer foi, como é óbvio, é óbvio que os cuidados paliativos têm de ser melhorados, mas é o que eu estou a dizer outra vez.
[42:51:40 - 43:00:00]:  - Ah, casos em que nem os melhores cuidados paliativos resolviam a situação. - O bloco de esquerda.
[43:00:00 - 43:08:20]:  - Se você já acabar com seu sufrimento. - Eu não sou ninguém para lhe virando a página.
[43:08:20 - 43:30:00]:  - O bloco de esquerda partiu uma imagem nas redes sociais, fazendo um trocadilho com uma legada ou posição da direita aos direitos das pessoas.
[43:30:00 - 43:46:40]:  - Diz assim, a eotanasia não te obriga a morrer, o aborto não te obriga a brutar, o divorcio não te obriga a divorciar,
[43:46:40 - 43:58:20]:  tu casamento e igualitário não te obriga a casar-se como a pessoa LGBT, os direitos não te obrigam a nada, as direitas sim.
[43:58:20 - 44:11:40]:  Em que eu me disse que pode ser entendido como uma canelada no PCP, que é contra a desparalização da eotanasia, Ricardo.
[44:11:40 - 44:26:40]:  - O que diz ali é as direitas sim, e nesse caso o PCP estaria englobado nas direitas, é isso.
[44:26:40 - 44:31:40]:  - Os direitos não te obrigam a nada, as direitas sim. - Certo.
[44:31:40 - 44:48:20]:  - Como o ação da eotanasia. - É pena porque tu fostaste no PCP, o logo naquele momento em que o PCP tem tanta razão, tu diz, isto é o não a possível.
[44:48:20 - 45:01:40]:  - Ah, mas tu achas que tem razão? Ou seja, tu a posição... - Não, a minha posição já lava, mas a minha posição é mais a milha de si.
[45:01:40 - 45:08:20]:  - É mais a um pico assim. - Não, não vou, porque ainda tem que responder ali a uma.
[45:08:20 - 45:16:40]:  - É mais a um pico, mas o PCP tem a razão quando está contra isso. - Não, é assim, então não pico nesse caso.
[45:16:40 - 45:25:00]:  - Porque nós tivemos previamente a conversar. - Não, a minha posição é que não é que a minha posição é que não é que é igual.
[45:25:00 - 45:40:00]:  - Eu sei, mas nós tivemos previamente a conversar e tudo certo que a tua... como tu as outras pessoas extremamente complexas, a tua posição não pode ser definida, conciona-o.
[45:40:00 - 46:01:40]:  - Mas agora, afinal do PCP, a minha posição é a eotanasia, ou me há da minha relação a suicídia assistido, não pode ser bem mais complexa, porque eu sou muito mais compreensível em relação ao suicídio assistido do que é a eotanasia.
[46:01:40 - 46:16:40]:  - O problema da eotanasia, que é uma questão que o Pedrumbixia falou aqui, mas tu devolugiza-se completamente, é dificuldade de legislar.
[46:16:40 - 46:31:40]:  - Muito bem, se fosse deputado, como é que votaria na próxima quinta-feira? - Com este tipo de legislação, eu fotaria não, mas de que a que tem? - É todos os projetos.
