[00:00:00 - 00:14:48]:  Esta semana, Ricardo Raul's Pereira sentes pesado João Miguel Tavares de Clara S. Em Pussado
[17:32:12 - 17:48:52]:  No outro dia calhou, eu estava sozinha, pus-me a ver televisão e dá a pequena sereia, e eu vejo que a pequena sereia apaixonasse pelo príncipe por causa disso perda a sua voz.
[17:48:52 - 17:57:12]:  Para a tonível a edes que são areas, tés a ver a obra, eu e a Ariel, a mesma luta.
[17:57:12 - 18:13:52]:  De que modo é que este episódio, a João Miguel Tavarges veio acordar os fantasmas das convulsões vividas em torno de morte trágica da princesa Diana.
[18:13:52 - 18:32:12]:  Bom, eu também tenho uma certa dificuldade em comparar um carro que se estampou alta velocidade contra o turno, ele dá uma entrevista à obra.
[18:32:12 - 18:50:32]:  E portanto, acho que o impacto não vai ser o mesmo, embora se calhar para a gente estreia e da pandemia, nós fiquemos entre tidos a ver aquela psicóloga, uma barato, na verdade.
[18:50:32 - 19:12:12]:  Eu te acordo numa coisa do Ricardo e o Espagágio, eu precisava que isto pode dar algum conforto, aquelas pessoas que sofrem tanto pela pandemia e que diante daquilo, o olho indizem, tás a ver querida.
[19:12:12 - 19:17:12]:  Estes têm tudo e mesmo assim são profundamente infelizes.
[19:17:12 - 19:37:12]:  Que é uma coisa que não é propriemente uma novidade, sobretudo as pessoas de classe média, que lutam por uma vida melhor e minda com mais razões de pessoas de classe baixa, que lutam para isso aí.
[19:37:12 - 19:58:52]:  Muitas vezes as situações mais difíceis, acho que a felicidade está muito unida a uma certa conceção de bem-estar e de uma conta no banque churuda.
[19:58:52 - 20:10:32]:  Ora, como nós podemos ver, seja, por famílias reaises, seja por muitos outros exemplos, de facto, as coisas não são coincidentes.
[20:10:32 - 20:22:12]:  É possível ter uma conta muito churuda e ter uma vida muito previlejo e ainda assim ser profundamente infeliz.
[20:22:12 - 20:32:12]:  E por tanto, a infelicidade é mesmo muito democrática e atravessa todos os tratos sociais.
[20:32:12 - 20:37:12]:  Agora, como o João Miqueleu disse, não tem dúvidas.
[20:37:12 - 20:42:12]:  Agora é pornográfico numa situação destas.
[20:42:12 - 20:47:12]:  Viva vida.
[20:47:12 - 20:50:32]:  Não foi sensível ao meu argumento.
[20:50:32 - 21:00:32]:  Não, eu sou imprúria porque o lado que o Sol diz "não, nós não temos pôr, mas este tem muita coisa e também sou imprúria".
[21:00:32 - 21:15:32]:  É certo. Agora é clara da parte que vai para a livre fazer aquela lavagem e na que acreditarva falar-o no da Crown e eu acho que é isso.
[21:15:32 - 21:38:52]:  Pela as minhas contas, eu acabei de ver a quarta série do da Crown, que está até ali finais de 1980, pelas minhas contas entre visto a ópera vai calhar no 8ª série do da Crown, que acompanhamos anos 2020.
[21:38:52 - 21:48:52]:  Mas, de facto, a Megan Merkel não precisava de se quer saber a história da Diana, mas estava a tarda ver a netflix.
[21:48:52 - 22:25:32]:  Porque tudo aquilo porque ela está a passar está na série, é transversal a toda a gente, mas é toda a gente não há uma personagem que a gente olha e diz "Ah, olha, este rapaz estava na família real e é uma pessoa realmente super feliz e está ali tão bem, incluindo a Reinha, porque nenhuma daquelas pessoas estava a espere daquilo que aconteceu
[22:25:32 - 22:40:32]:  quando o senhor, o esperto se quer, foi o senhor Eduardo, que resolveu casar com a americana, mas mesmo esse também não sei o particularmente bem, em termos de felicidade.
[22:40:32 - 22:52:12]:  Entregamos ao Ricardo a esperar a parte da ministro da Pazadeira, perdão. Vamos lá. Vamos para a série, né?
[22:52:12 - 23:17:12]:  Não deve ser assim assim. A ministro do Previlejo, assim é que fica com a Paz da Ministro do Previlejo, e agora é vez do Permixia se tornar ministro da Zaragatu a Liberal.
[23:17:12 - 23:22:12]:  E será que este teste é fiável, Pedro Mixia?
[23:22:12 - 23:40:32]:  Espero que seja, eu tenho propósito, se bem se lembram na semana, passar do teste da Zaragatu a Liberal, porque, como é necessitiva a Liberal, tem que encontrar candidatos e ser liberal, é um espeste de mantra e tá tudo que os ouvidos.
[23:40:32 - 24:17:12]:  É preciso de uma Zaragatu, porque desculheram um candidato, numa decisão que em termos políticos é realmente estúpida, não escolher desse candidato, mas a ideia de que a iniciativa liberal diz, o nosso objetivo é contribuir para afastar o PS da Câmara, uma bozina.
[24:17:12 - 24:33:52]:  Eu não sou capaz de evitar documentar o passo para a minha volta, mas o nosso creme de contribuir para afastar o PS da Câmara onde está a 14 anos, é o que é.
[24:33:52 - 24:50:32]:  E, portanto, vamos dividir o espaço não socialista. E, depois ainda, por cima, esmelharam candidato que teremos dias depois, teve que voltar atrás, uns dizem por causa de umas declarações,
[24:50:32 - 25:12:12]:  e que ele parcia, ele diz que dá bem assim, enfim, não interessa a pouco a se defender a nacionalização da tape, aparentemente também havia uma dimensão pessoal que é respeitável naturalmente, mas em que ele devia ter pensado.
[25:12:12 - 25:38:52]:  E, portanto, é necessitiva a Liberal, que está muito entusiasmada com o resultado das presidenciais, e que tem potencial de crescimento em Lisboa, teve uma semana para esquecer e nem sequer tem espaço para dar o braço a torcer e dizer,
[25:38:52 - 26:23:52]:  bom, então, se é uma alternativa viável ao Partido Socialista em Lisboa, vamos unir essa alternativa viável, não vai escolher outro candidato, provavelmente se esteira a escolha "ah, vamos, vamos se para o que escolhe a B", é uma segunda escolha, pela natureza das coisas, e não percebo, não percebo como é que um partido que, dependentinho, tinha feito, tinha surpreendido pela positiva em vários momentos.
[26:23:52 - 26:35:32]:  Será que hoje a gente vive justamente encontrar um outro teago, que possa criar novos quadros com a desilidado pública?
[26:35:32 - 27:00:32]:  Há uma coisa que eu aprecio na estratégia de incertiva liberal, que é fazer, não só ir buscar pessoas novas, mas incentivar os eleitores a oportunidades independentemente da celebridade ou da noturiidade dos seus candidatos.
[27:00:32 - 27:17:12]:  E no caso, as presenciais corram bem porque a campanha foi, talvez porque eu vésseba a cheirar as expectativas, mas não foi só por isso, ele próprio cresceu nos debates e na campanha.
[27:17:12 - 27:33:52]:  Agora, em Lisboa a desistência não é o primeiro desastre, o segundo desastre, o primeiro desastre foi a apresentação, o segundo desastre foi a desistência.
[27:33:52 - 27:40:32]:  E, garvão de vez, não há um terceiro desastre que é o candidato bem que eu vou apresentar.
[27:40:32 - 27:57:12]:  Então, vamos gravar a opção de incertiva liberal de não aceitar o convite Carlos Muegas para a mega coligação de centredirei, tem Lisboa?
[27:57:12 - 28:15:32]:  Eu já dê algumas razões, a razão essencial de chamas e feito maia, correu-desmuito bem nas presidenciais, porque dizer, e eu consegui é compreensível,
[28:15:32 - 28:30:32]:  a paia de incertiva liberal tinha uma pessoa vagamente conhecida, que era o Carlos que me agrespinto, que não conseguiu ser eleite, e, entretanto, até parece ter se afastado relativamente do partido.
[28:30:32 - 28:38:52]:  Neste momento, eu contigo, figa-gente, que é o único portado, que era mais conhecido, ninguém.
[28:38:52 - 28:52:12]:  La saga não tinha algo meia no porto, correu-desmuito bem, no sentido de que era um total desconhecido, agora, até já, eu vou já comentar na televisão, portanto, deixou-te ser um total desconhecido.
[28:52:12 - 29:12:12]:  E um partido em crescimento precisa disso, e, portanto, aí, vem um efeito meia, vão também tentar o mesmo Lisboa outra vez. Agora, acho que eles vai correr mal, acho que não faz sentido nenhum.
[29:12:12 - 29:23:52]:  Aparentemente, a iniciativa liberal liga apoiar o ruí morar no porto, então, porque reia que não apoiam com as moedas em Lisboa.
[29:23:52 - 29:40:32]:  Não parece que é que a Esmerda Shedra não seja mensalibar algo do que ruí morar, é verdade que a menina é independenta, mas ligado a um partido.
[29:40:32 - 30:12:12]:  Talvez seja isso, mas, em termos de... Se a lógica é dar mais visibilidade aos quadros, então, também não desverguiam, perciindir-te ter uma candidatura no porto, mas o resultado, e se calhar, este programa, até tenha algumas pessoas que estariam disponíveis a votar na iniciativa liberal, por exemplo, numa geologia legislativa.
[30:12:12 - 30:23:52]:  Mas eu já mais votaria num candidato de iniciativa liberal em Lisboa, não faz qualquer espécie de sentido.
[30:23:52 - 30:52:12]:  Se o dessino é festar, por grande dina, e a esquerda do poder, não se vai te expressar os votos, porque uma pequena candidatura ainda por cima, quando a lógica das autáquicas não é igual à lógica das legislativas, porque nas autáquicas, quem ganha a governa, basta ter mais um voto.
[30:52:12 - 31:02:12]:  Não seja essa panada, mas eu guias absolutas, nem na em conjugação de votos, ágeringonça, como se fez nas legislativas.
[31:02:12 - 31:20:32]:  Portanto, de facto, a decisão não tem lógica, e a iniciativa liberal, mais do que isso, começa, também precisa de fazer um esforço para mudar o perfil do seu escanidade.
[31:20:32 - 31:43:52]:  Porque aquilo a defensa não pode ser, deixa de ter pessoas de digueita, betinhos que usam corrente do oro, para ter betinhos que utilizam, que utilizam, que têm umas pulsagas de cor.
[31:43:52 - 31:52:12]:  E, de vez de andar, antes de ser patas à vela, andam de sapatilhas. Mas, de resto, parece que todos os outros.
[31:52:12 - 32:05:32]:  Entregando massa de canalizadores que votam na iniciativa liberal, deixa eu escrever uma...
[32:05:32 - 32:08:52]:  É um pequeno classe, é um particular.
[32:08:52 - 32:15:32]:  Não tem que ser um pequeno classe, mas é um pequeno classe.
[32:15:32 - 32:18:52]:  Não tem que ser, não tem que ser.
[32:18:52 - 32:20:32]:  Não tem que ser, não tem que ser.
[32:20:32 - 32:30:32]:  Os canalizadores podem, e devem, em parte de liberais, agora.
[32:30:32 - 32:50:32]:  Tem alguma candidata para por a iniciativa liberal, Ricardo Arosperer, o peço de patas de vela.
[32:50:32 - 32:57:12]:  Pois é, bom, isso seria uma avaliação feita previamente.
[32:57:12 - 33:05:32]:  Mas ainda antes disso, Carlos, eu acho que não é possível.
[33:05:32 - 33:12:12]:  A minha insustão é manter o nome deste senhor no boletinho.
[33:12:12 - 33:22:12]:  Eu não sei o que é, mas eu viado no partido.
[33:22:12 - 33:28:52]:  A pessoa que se chama do no candidatura, como se as fãs do leito, depois de ser assim.
[33:28:52 - 33:37:12]:  Assim como a pessoa que são julgadas à arvelhia, este senhor devia ser eleita à arvelhia.
[33:37:12 - 33:47:12]:  Porque ele tem uma característica que as vezes as pessoas dizem, "Eu não estou agarrado ao poder, não estou agarrado ao cargo".
[33:47:12 - 33:52:12]:  Este nem se quer estar agarrado, a candidatura ao cargo.
[33:52:12 - 34:05:32]:  Quanto foi uma semana? Foi três dias. Qual é o problema quando se tenta sugerir um candidato à iniciativa liberal?
[34:05:32 - 34:12:12]:  Seja qual for o nome, vai ser alguém de quem isso vai dizer.
[34:12:12 - 34:18:52]:  Temos um honra, o prazer e a confiança de apresentar como candidato.
[34:18:52 - 34:30:32]:  Aqui é esta segunda escolha que não é tão bom como se pijou ou só algo entre três dias e pijou.
[34:30:32 - 34:43:52]:  E para a más olha, é o que temos agora. Eu não sei alguém chamada bacalhau.
[34:43:52 - 34:50:32]:  Sabe qual é o teu povo? Não se fala, a sugerir é o vocoloista dos dildores.
[34:50:32 - 34:55:32]:  Acho que ela não é a história política, mas...
[34:55:32 - 35:00:32]:  Mas qual é que é o tipo de problema?
[35:00:32 - 35:15:32]:  O problema é disso. E de tus colhex, um perfil que às vezes é do pequeno empresário,
[35:15:32 - 35:28:52]:  o contengue de uma certa história na sua vida, é que acaba da alguma altura na sua vida,
[35:28:52 - 35:38:52]:  fazendo um gosto de escustado, com aquilo, com clado. E se eles for nasia de escupulosos,
[35:38:52 - 35:50:32]:  para ocorrar alguém que seja absolutamente independentemente do estado e que nunca tenha metido a mão em nada,
[35:50:32 - 35:55:32]:  está bem tremato, não há. Não há isto é Portugal.
[35:55:32 - 36:08:52]:  Se vão atingar um grande puguismo, nunca se nacionalizaria nem tápe nem coisa nenhuma, é bom, sorte.
[36:08:52 - 36:15:32]:  O Pedro Mexíaf é então o ministro da Zaraga-Tua Liberal.
[36:15:32 - 36:25:32]:  Agora é a vez de o João Miguel Tavares se tornar ministro do quadrado às corres.
[36:25:32 - 36:32:12]:  Parece lútil do quadrado às corres, João Miguel Tavares.
[36:32:12 - 36:38:52]:  Olha, só te digo, desde o famoso problema de manual alegre, o quadrado,
[36:38:52 - 36:45:32]:  que eu não me entendi mais, mas vá tanto com o quadrado. Embogam-me o rigor, seja um retângulo.
[36:45:32 - 36:48:52]:  Eu só quero se não lá, que eu estou dizendo.
[36:48:52 - 36:58:52]:  O quadrado, de final é retângulo às corres, com a cruzinha móvel, vai ser a partir da agora,
[36:58:52 - 37:05:32]:  a vez ao primeiro ministro, tão útil como o último tiro lógico.
[37:05:32 - 37:23:52]:  Podemos turos diz, ir verificando como é que aquela cruzinha vai evoluindo, mantendo-se na boa direção,
[37:23:52 - 37:30:32]:  ou começando a andar em uma direção indejada.
[37:30:32 - 37:38:52]:  E acho que nós vemos isso seguindo, como seguimos o último tiro lógico,
[37:38:52 - 37:47:12]:  para saber se vai esverde, vemos lá guarda chuva, se vimos andá-me sentir de errado,
[37:47:12 - 37:53:52]:  significa que todos temos que adotar comportamentos de maior rigor,
[37:53:52 - 37:58:52]:  para evitar que o tempo volte para trás.
[37:58:52 - 38:08:52]:  Dao agora, endavant, é a cruzinha no retângulo às corres, que vai determinar boa parte da nossa vida.
[38:08:52 - 38:15:32]:  Vamos ver se chove ou se faz bom tempo.
[38:15:32 - 38:25:32]:  O que parece, João Miguel Tavarde, este conta é gotas para o desconfinamento anunciado por Antonio Costa?
[38:25:32 - 38:28:52]:  Eu parece muito lá em casa, as pessoas estão a pensar.
[38:28:52 - 38:37:12]:  Olha, este caso vai se preparar para usar com o que ele retângulos às corres apresentado pelo primeiro ministro.
[38:37:12 - 38:43:52]:  Mas eu quero avisar as pessoas lá em casa, e que elas estão profundamente enganadas.
[38:43:52 - 38:50:32]:  Eu venho genuinamente e sem eugonia e eu legiar aquilo.
[38:50:32 - 39:02:12]:  Porque aquilo retângulos às corres é ela que já devia existir, não diga um ano, mas para menos há nove meses.
[39:02:12 - 39:10:32]:  Até a verdade posso criticar o primeiro ministro que diz, "é para... por que que não nos apresentaram aquilo há nove meses?"
[39:10:32 - 39:15:32]:  Porque a importância de isto é realmente carante.
[39:15:32 - 39:23:52]:  Nós até agora não tínhamos nada irrerelatível, sem a mente inteligível,
[39:23:52 - 39:35:32]:  para poder justificar aquilo que é o confinamento, porque muitas vezes nós estávamos fechados em casa,
[39:35:32 - 39:38:52]:  e os casos já não justificavam.
[39:38:52 - 39:48:52]:  E outras vezes andávamos todos na rua, e os números também não justificavam, porque só números de infectados e números de...
[39:48:52 - 39:53:52]:  internados e até números de mortes.
[39:53:52 - 40:02:12]:  Tentaem conta muitas vezes a diferença que existe no tempo, entre a continuinação e o impacto.
[40:02:12 - 40:10:32]:  É, são números que são muito pouco razoáveis para trabalhar no dia a dia.
[40:10:32 - 40:18:52]:  E isso faz que independentemente as decisões do Governo, o português, por si só,
[40:18:52 - 40:25:32]:  o que é que ele é para ter se fazer? Que é, "ah, isto baixo é tudo, vamos todo para a rua,
[40:25:32 - 40:32:12]:  ou isto realmente está muito agradável, vamos para casa ainda antes do Governo dos Mandar,
[40:32:12 - 40:37:12]:  que já aconteceu também duas vezes nesta pandemia."
[40:37:12 - 40:45:32]:  E este quadrado, pela primeira vez, eu vi uma coisa que posso dizer, "Olha, isto faz sentido.
[40:45:32 - 40:50:32]:  Este faz sentido, eu consigo perceber isto."
[40:50:32 - 40:58:52]:  Eu já ouvi que tinha te aspiatas a ir a relação ao quadrado, outras pessoas a dizer que aquilo não se percebe,
[40:58:52 - 41:05:32]:  não que você, porque ela quer dificuldade a ir a que aquilo se perceba, mas tudo isso, tudo bem.
[41:05:32 - 41:12:12]:  E é evidente que o retângulo pode ser discutido nomeadamente.
[41:12:12 - 41:20:32]:  Eu tenho dúvidas daqueles 120, que é os 129 casos por 100.000 habitantes.
[41:20:32 - 41:30:32]:  Eu tenho dúvidas porque eu acho que o número que é muito baixo e corremos o risco muito rapidamente entre a número 13 do Vermelho.
[41:30:32 - 41:38:52]:  Já vieram ali às especialistas a dizer que este retângulo é uma simplificação da proposta inicial,
[41:38:52 - 41:42:12]:  que além daqueles vermelhos também, também, terá alguns laganjas.
[41:42:12 - 41:50:32]:  E portanto, que aquilo número de 120 é um número muito facilmente o país pode pagar o Vermelho.
