[00:00:00 - 00:10:00]:  Esta semana a Pedermescia, desta vez a distância, quer ter acente no Polite Buro.
[23:43:20 - 24:05:00]:  é bom lembrar que isto foi a continuação de uma reunião que pensada em julho. Foi uma reunião tensa, quem é que poderia ter entrece, sem promover uma fuga de informação como esta, neste momento como está-se.
[24:05:00 - 24:18:20]:  -É, mas eu não conheço ele do Estado, a esquerda, quem faz as contas, a esquerda parece que está em minuí, há muita gente que pode promover essa fuga de informação.
[24:18:20 - 24:30:00]:  Aliás, o Conselho de Estado está cheito comenta doque, muita gente já vida dessas pessoas que as aulas tenham outros empareiros.
[24:30:00 - 24:53:20]:  -Esquitamente, a relevância nacional dessas pessoas é de seguintemente doque, o Conselho de Estado está cheio deles, o próprio presidente república, como se diz, e com razão, é uma espécie documentadora de morga da república, não sei, então daí que veio a fuga.
[24:53:20 - 25:08:20]:  -Porque, digamos assim, é como aquele dos jogos, como os filmes e os romances da Agatha, que está aqui, sim, há demasiados espéitos, afratantes, não faz si, daí aquele foi.
[25:08:20 - 25:40:00]:  -A gente fez a de Costa, é de que o Primeiro Ministro já tinha feito uma intervenção inicial, na primeira parte da reunião que aconteceu em julho, e o próprio António Costa, ainda antes do encontro do Conselho de Estado, fez questão da visão que o verbo que mais gosta de conjugar não é o verbo falar, é o verbo fazer.
[25:40:00 - 26:03:20]:  -Pra que o Estado funcionam bem, cada um deve estar no seu próprio galho, a função de um Primeiro Ministro não é ser comentador, a função de um Primeiro Ministro é ser fazedor, é fazer.
[26:03:20 - 26:15:00]:  -O Primeiro Ministro assim é distinguir competências, apreciou a metáfora do galho, Ricardo Raúche Pereira.
[26:15:00 - 26:43:20]:  -Apesar tudo a apreciar, porque depois o hypothético silêncio no Conselho de Estado é o António Costa que também cala, o que ele vos aderimente quer dizer, que é, este Marcelo é uma caco velha, em princípio era isso que ele queria dizer.
[26:43:20 - 27:06:40]:  -Optopo por dizer-lo desta forma é mais ilgante, vamos ficar cada um do seu galho. -E isso? Como ele disse cada um, ela pode dizer que é o próprio também é o macaco velho.
[27:06:40 - 27:18:20]:  -Bom, talvez. -E não sou eu, eu vou adementer. -Fact são dois macacos velhos. -Estamos todos numa árvore aparentemente inacelva.
[27:18:20 - 27:25:00]:  -Estamos em macacado. -Em principal é a conclusão disto.
[27:25:00 - 27:48:20]:  -Mas foi uma semana realmente excelente em que os jornalistas passaram de, enfim, querer saber o que é que se passa nos bastidores e dizer o que é que ele disse, o que é que ele não disse, o que é que ele não disse.
[27:48:20 - 28:06:40]:  -Deve ter sido uma... -Ateção. A pessoas que dizem chamam a Isto Amul, a Amul, para já nós temos várias hipóteses, temos aqui este problema que é
[28:06:40 - 28:23:20]:  o oferecimento da parte do António Costa durante o Conselho de Estado. Segundo só o BEM, isso pode ser verdadeiro a falsa, não é a pessoa que está a dar essa informação, pode estar a mentir.
[28:23:20 - 28:45:00]:  Sabemos que o oferecimento, o que sabemos que pode ter a vida, o que temos a certeza é que não o oferecimento sobre esse hipotético silencio, alguém, de facto, veio cá dizer isso.
[28:45:00 - 29:23:20]:  -E falou-se com a intenção... -Deus valorizar isso, o tema pode ser o contrário da tensão, ou seja, o clima no Conselho de Estado, pode estar por contrário, em vez de estar tão tenso como as pessoas dizem, estar tão distendido, que é possível António Costa chegar lá e trautiar uma canção, no caso, é 433 de John Cage.
[29:23:20 - 29:50:00]:  -Jogo ao Conselho de Estado, encantou uma cantigunha. -Idente da Tugui a sobre-interpretação, na verdade, técnicamente, se alguém conta que... António Costa, este ficou em silencio, não se pode dizer, que contou aquilo que foi dito.
[29:50:00 - 29:58:20]:  -Não pode. -Tardamente. -Aquanto tu aquilo que não foi dito, o que não foi dito, isso queria, esse celos dito.
[29:58:20 - 30:21:40]:  -Entretanto, numa ideia de terbulência, de Deus se arranque ter a socialista, vê alguma relação, o regresso oficial dos socialistas e a marcação da reunião do Conselho de Estado para a vez, para se salvar vosotros.
[30:21:40 - 30:31:40]:  -E acho que também contribui para explicar, portanto, é, primeiro, Conselho de Estado, no dia seguinte, arranque ter a socialista.
[30:31:40 - 30:51:40]:  Portanto, o ministro, Poupa, Vos, no Conselho de Estado, porque sabe, no dia seguinte, vai ter o grande comissio da Rantre e tem que estar com as cordas focais, os pagueis já que estamos entusiasmados na sua interpretação.
[30:51:40 - 31:03:20]:  -Tenha-se a certeza que quem marca o Pagimero, a data, foi quem. António Costa ou Marcelo Belde Sosa?
[31:03:20 - 31:11:40]:  -Colidinho Jornaisa, que foi primeiro... -Fafo a camisso-serista. -Aquadinho, se ele é de fazer...
[31:11:40 - 31:23:20]:  -Mas se ele é de... -E isso, nós sabemos que... -Vamos comprar a gente. -Tudo que vai é de pública corresponde.
[31:23:20 - 31:33:20]:  Nem na auguração da chamada a Academia Socialista, houve uma frase de Costa que ficou no ouvido, pelo menos no meu.
[31:33:20 - 31:45:00]:  Aceita a ideia, Pedro Machido, que é com otimistas irritantes que o país anda para a frente.
[31:45:00 - 31:58:20]:  -Todos os otimistas são irritantes. Os otimistas são pessoas que acreditam numa casabizar,
[31:58:20 - 32:10:00]:  que é que as coisas em geral correm bem. É uma coisa que não tem base em pírica nenhuma na vida de ninguém praticamente.
[32:10:00 - 32:21:40]:  -Cheta a Toja de Hollywood durante 17 anos, país. -É o som de mim, está o pedem-me-sia.
[32:21:40 - 32:25:00]:  -Vai fazer algo. -Vai fazer algo.
[32:25:00 - 32:40:00]:  Portanto, o otimista irritante é redundante. Por isso não creio que seja, claro que é preciso.
[32:40:00 - 32:58:20]:  O pece mesmo não faz falta em política, porque o pece mesmo é paralisante. Mas o otimismo é assim mesmo, não é nada. É um equívoco.
[32:58:20 - 33:15:00]:  -E dentro dos bons anunciados pro Primeiro Ministro, sobretudo para os jovens, qual ele parece ser Pedro Machido mais significativo?
[33:15:00 - 33:31:40]:  -Eu acho que são todos significativos, por duas razões. São significativos porque são bem-vindos. Isso é.
[33:31:40 - 33:50:00]:  São significativos porque, em várias matérias fiscais e outras, de transportes e outras vão beneficiar os jovens.
[33:50:00 - 34:15:00]:  -Era bem-vindos para o Partido Socialista, porque todas as chondagens dizem que os jovens são, digamos assim, o seu ponto fraco neste momento. Não há grande entusiasmo entre os jovens pro Partido Socialista.
[34:15:00 - 34:23:20]:  -Eu atributo também, o facto da eslatar é muito tempo e os jovens, em geral, não gostam muito que está no poder.
[34:23:20 - 34:30:00]:  -Pedem-me se ainda está com a disprensa de receber as propinas do curso de direito.
[34:30:00 - 34:43:20]:  -Espera-me que já passasse. -Eu não quero se ver nada que envolve direito.
[34:43:20 - 34:55:00]:  -Gracias. -Já veio como a Comissão Europeia. Já veio para isso.
[34:55:00 - 35:20:00]:  -A gente já disse que as pessoas estão no curso de direito, mas não só as pessoas que estão no curso de direito.
[35:20:00 - 35:28:20]:  -Ele já tem as pessoas que estão no curso de direito. -Sai bem-vindos.
[35:28:20 - 35:53:20]:  -Ele tem uma que me intrigue, que eu acho que é interessante, mas que me intrigue pelos conhecidos franceses, é o cheque livre.
[35:53:20 - 36:16:40]:  -Ele tem uma que me intrigue, acho que é interessante, mas que me intrigue pelos conhecidos franceses, é que é o cheque livre.
[36:16:40 - 36:21:40]:  -Como? -Faz crescer aí com as minhas japonesas.
[36:21:40 - 36:38:20]:  -Não, faz crescer aí com a minhas e a preza, mas não sei se é intenções, digamos assim, educativas e culturais procuráveis com essa medida,
[36:38:20 - 36:45:00]:  tem nesse que eu estou em infeliz, certamente, não ficaram muito contente com o que aconteceu.
[36:45:00 - 36:50:00]:  -Os jovens, ela está a varsos, fica então ministro do Amul.
[36:50:00 - 37:08:20]:  -Agora é a vez do pedramenciar, voltamos a ele se tornar ministro do Caymodrome e o que é que se caima nesse Caymodrome, pedramenciar?
[37:08:20 - 37:21:40]:  -Pou, o que é meu se tempo sobretudo, porque não é interessante nada falar do presidenciais durante tempo, mas que é o que é o chamado de presidenciáveis.
[37:21:40 - 37:53:20]:  -Como a salviais é uma brita malucinante, porque eu escolhi este tema quando o público trazia uma notícia de jantares e almoços de ruírio e de possibilidade de ruírio,
[37:53:20 - 38:00:00]:  não porte parte de uma candidatura presidenciais, isso foi logo de mentira por ruírio.
[38:00:00 - 38:13:20]:  -A certa altura regressou a algo, o nome de Dromba Roso, Dromba Roso na Universidade de Vrão do PST, disse que não.
[38:13:20 - 38:36:40]:  -Ega das todas presidenciáveis, de que já tenhamos falado aqui na semana passada, continua a bom ritmo, nomeadamente com as especulações essas entorno de ruírio e de Dromba Roso, como é que entenda este franze?
[38:36:40 - 38:53:20]:  -Entendo por duas, há várias razões, alguma chão de libradas e outras chão, não sei se são incidentais, uma chão infelizes.
[38:53:20 - 39:16:40]:  As libradas é que, bom, há um facto que não há um candidato evidente, não há uma pessoa, nenhum destino, nos tirando o caso, inventamente do terror, que a caminhar é uma hipótesse, algo remota, que eu sequer e candidatar.
[39:16:40 - 39:33:20]:  -Ninho destino, não é evidente, nem a passagem à segunda volta quanto mais, ganhar na primeira.
[39:33:20 - 39:58:20]:  -Protrulado há muitas pessoas a querer marcar o lugar, evidentemente que o nome mais forte do PS, ou que seria mais forte, também já foi testado que foi o nome da Naguamos, não é um nome oficial do PS, não sei lá, candidato.
[39:58:20 - 40:15:00]:  -Protrulado o PS, e portanto, já há um candidato oficialista e também já há candidatos da sensibilidade, ou pré-candidatos, ou supostes candidatos e d'estendências.
[40:15:00 - 40:43:20]:  -Depois como uma ser presidenta, um prêmio de carreira era aparentemente todas as pessoas que já foram líderes dos partidos, primeiros ministros, presentes das câmeras de cidades grandes, acham que têm como horizonte ser primeiro ministro.
[40:43:20 - 41:11:40]:  -E sempre a trepura, porque isso dá muita gente. A infelicidade é que, percebendo que não, até lá há dois anos de outros assuntos, como a habitação, como o custo-viva, como os impostos, etc.,
[41:11:40 - 41:50:00]:  a sessuntos têm muitoíssimo mais interesse para o país, pelo menos em 2023, do que os presidenciáveis, sendo que há alguns chão e potes de atirar o barra apareto, outras chão e potes verdadeiras mais ridículas, e portanto, isso depois vai ser reduzido aos quatro ou cinco da pras, representando das áreas políticas e depois os isoticos do costume.
[41:50:00 - 42:03:20]:  -Portanto, parece muito bizarro que se continuo e estou aqui a contribuir para a bizarrinha. -Estamos continuando a falar.
[42:03:20 - 42:16:40]:  -Semara seguindo em que falamos do assunto, também estamos a contribuir para o protégio. -Porto de um mês não falam do outro.
[42:16:40 - 42:30:00]:  -Pois nós falamos aquilo que se fala há um pouco da semana. A quem é que aproveita neste contexto esta insistencia no tema das presidenciais, Michael Tavares?
[42:30:00 - 42:46:40]:  -Quase é, entre que tem, né? Como estamos a ver por aqui, mas o problema disso é que dá a ideia que parece que os problemas de Portugal são uma de duas coisas.
[42:46:40 - 42:55:00]:  Os verdadeiros, os nuinos, um, são irresolúveis, e portanto, não vale a pena discutir-los.
[42:55:00 - 43:15:00]:  -O dois são tão difíceis de resolver e têm tantas custos que nem é a oposição. Aquela oposição segue que despega um dia para descar o governo, têm interesse em aborodá-los.
[43:15:00 - 43:23:20]:  -Pois nós falamos nos torceiros na terceira categoria que é a daqueles que dá a conversa de café.
[43:23:20 - 43:35:00]:  -Exa, é, exato. Falamos nada, entre que temos uma espécie de política cor de rosa, que é escolher qual é a próxima cara de papelel.
[43:35:00 - 43:46:40]:  Porque a cara de papelel ainda tem uma diferença em relação a um futuro primeiro neste ponto que o futuro primeiro isto ainda pode apresentar um programa de governo.
[43:46:40 - 43:55:00]:  A cara de papelel é simplesmente vai para papelel e vai ser preserente para a República.
[43:55:00 - 44:11:40]:  -No fundo, significa que os aspectos emocionais de políticas estão muito mais presentes, do que os aspectos racionais, sérios e estruturantes?
[44:11:40 - 44:33:20]:  -O pezinho, agora isso pode ser uma consequência de uma espécie de desencanto com a política da acreditar que a política é capaz de mudar, verdademente, as coisas, e não ser uma espécie de gestão do diárea.
[44:33:20 - 44:58:20]:  -O seja, isso não é porque há tantas eleições antes e ele são insignificativas, que o facto desta insistencia da existencia é uma insistencia em caras simplesmente, não quer dizer, não diz muito sobre o país.
[44:58:20 - 45:03:20]:  -É um cara explícido. -É um cara explícido. -É um cara explícido.
[45:03:20 - 45:08:20]:  -É um cara explícido. Já sabe quem vai votar em 2016, recardar hoje, por era.
[45:08:20 - 45:16:40]:  -Tenho pensado nisso todos os dias. -E aliás, não concorda com o Pedro, acho que...
[45:16:40 - 45:18:20]:  -O teu nome ainda não foi lançado?
[45:18:20 - 45:40:00]:  -Não, flizmente. Acho que ainda não entramos nesse nível de loucura, mas eu acho ao contrário do Pedro, acho ótimo que estigamos a falar em 2023, do que vai acontecer em 2016.
