[00:00:00 - 00:06:40]:  Os livros da semana são patrocinados por novo com pra León.
[06:55:00 - 07:08:20]:  na tradição de estes conceitos, em conceitos teológicos e leis-cisados, e semem conceitos históricos,
[07:10:00 - 07:25:00]:  e uma coisa em diferentes fases da história, e ele analisa vários mentos, fala do Carlos Smith, etc.,
[07:25:00 - 07:35:00]:  mas fala também do conceito de identidade nacional, do ar do Oréan, de forma maliada, crítica e interessantes,
[07:35:00 - 07:45:00]:  e, portanto, é um livro sobre conceito em movimento, por acilizar.
[07:45:00 - 07:53:20]:  O Ricardo Arospreira, que está no estrangeiro suger um livro em estrangeiro.
[07:55:00 - 08:05:00]:  Exatamente, Carlos, é um estrangeiro para este alimento da desculpa, não sei se percebem bem,
[08:05:00 - 08:10:00]:  não sei se é bem, mas...
[08:10:00 - 08:16:40]:  Tá, tipo fundo, tá, às vezes, tem espalmão, é diferente da tua cara.
[08:16:40 - 08:20:00]:  Não sei bem, talvez isto.
[08:20:00 - 08:23:20]:  É isso, é.
[08:23:20 - 08:36:40]:  F/E/E é uma palavra em Abraíco, ao que visu ao todo, e a palavra significa em Abraíco, acho que é o equivalente portuguesa,
[08:36:40 - 08:41:40]:  ou talvez Brieco, talvez seja melhor Brieco.
[08:43:20 - 08:46:40]:  É o link, era, que nós...
[08:46:40 - 08:56:40]:  É isso, é isso, exatamente. É uma expressão de rejeição, de simperepugnência.
[08:56:40 - 09:03:20]:  Então, os mortos de Shalomos Landar, é o nome do autor,
[09:03:20 - 09:15:00]:  ele está publicado em Portugal apenas um livro, acho, na guerra e paz, mas este chama-se "Mem para agentar", acho.
[09:15:00 - 09:30:00]:  Ele é o autor do livro muito em um passado chamado "Force Kings Lament", ou seja, "Alimentação do Percussio".
[09:31:40 - 09:41:40]:  É isso muito monotmático, porque ele é um autor, joelho, é um humorista joelho, pois aqui é quase um óximuro,
[09:41:40 - 09:53:20]:  e ele cresceu numa comunidade, ele tem 50 anos, e são as mortias, ele cresceu numa comunidade de Arthur Voxa,
[09:53:20 - 10:05:00]:  em Nova Iorque, e isto este o livro chamado "Tem a ver como isso que intervira", ele diz...
[10:05:00 - 10:13:20]:  Foi uma história que me contaram e me seguiu, deixou muita ofetável,
[10:15:00 - 10:23:20]:  e me seguiu a história de estúria por quinz, a história de que me contaram foi uma história que nós conhecemos todos,
[10:23:20 - 10:31:40]:  que é a história do mundo, digamos, de uma entidade que recebo o nome de Deus,
[10:31:40 - 10:40:00]:  que cria o mundo, que cria várias coisas, e todo mundo sempre cria alguma coisa a ver que ela é boa,
[10:40:00 - 10:46:40]:  e isto cria o homem, é a única criatura da qual ela não diz.
[10:46:40 - 10:55:00]:  E viu que era bom, disse não, e portanto o homem ela choquera,
[10:58:20 - 11:11:40]:  e a história deixou o autor, bastante impressionado, porque quem contou a história disse que a história era sobre o próprio,
[11:11:40 - 11:23:20]:  sobre nós todos, sobre nós enquanto criatura, e é isto a história do homem,
[11:23:20 - 11:35:00]:  que é o pequeno nome do autor, o autor chama-se "Challem Auslander", um livro publicado em português, acho, ver.
[11:35:00 - 11:45:00]:  E é assim, se concluiu mais uma reunião semana, autor, hoje, de hoje, há mesmo horas, os mesmos de sempre,
[11:46:40 - 11:53:20]:  também em podcast de Tâmecia João Mietavarzi Ricardo Rúste Pereira.
[11:53:20 - 12:41:40]:  [Música]
