[00:00:00 - 00:10:00]:  Os livros da semana são patrocinados por Cupralenho e Bredo Plaghan.
[03:20:00 - 03:33:20]:  Este livro consiste no seguinte, há um cientista político norte-americano de Leastamente,
[03:33:20 - 03:45:00]:  que tem passado portuguesa, o Paul Christopher Manuel, que estava a fazer uma tese de doutoramento
[03:45:00 - 04:00:00]:  sobre a revolução portuguesa, e entre 1991, entrevisto 14 de gajantes militários,
[04:00:00 - 04:08:20]:  foram essenciais no 25 de abril. E estas entrevistas ficaram inéditas até agora,
[04:08:20 - 04:18:20]:  e portanto espinam-la ao telo, de jaminéves, a vasca com salves, as figuras de absolutamente essenciais de 25 de abril.
[04:18:20 - 04:28:20]:  Uma parte delas, estas todas, já falseiro, estão aqui, deviva voz entrevistas por lá,
[04:28:20 - 04:36:40]:  e que é só por isso este livro de vale, e essa pena é uma edição da tinta da China.
[04:36:40 - 04:53:20]:  O Pedro Messia traz um livro de uma autora de esquerda que não está se desfeita com os rumos de certa esquerda.
[04:53:20 - 05:00:00]:  Este livro foi apresentado esta semana aqui pelo nosso colega a este esquerda.
[05:00:00 - 05:08:20]:  -E que é que ainda lhe referer. -É uma autora de funda filfimoral.
[05:08:20 - 05:15:00]:  -Isso mesmo. -Semar a decisão de animar.
[05:15:00 - 05:21:40]:  E que ele é este filme como socialista, ou que no Estados Unidos tem mais peso.
[05:21:40 - 05:33:20]:  E o que ela diz, como outras pessoas já começam, finalmente, a dizer que embora o oquismo seja de esquerda,
[05:33:20 - 05:41:40]:  a esquerda não tem de ser a mente do que ser o oco, porque enquanto se o oquismo por um lado...
[05:41:40 - 05:58:20]:  -É o que ele disse, que ele disse, o oquismo é o que ele disse, por um lado é fiel, uma tradição da justiça social,
[05:58:20 - 06:10:00]:  mas põem em causa das ideias da esquerda que é o universalismo e o progresso.
[06:10:00 - 06:26:40]:  O universalismo é trocado pelo particularismo das identidades, e o progresso é sempre visto como tudo honrada.
[06:26:40 - 06:46:40]:  Uma coisa em que não se fez o progresso todo, não se fez progresso nenhum, e em pedra uma política de melhorias e de passos concretos e sucessivos.
[06:46:40 - 06:56:40]:  E, portanto, é finalmente uma pessoa que não se pode dizer que seja conversada de café, que seja uma coisa em cima do...
[06:56:40 - 07:15:00]:  É um livo condensidade. E finalmente, começa uma percepção que a esquerda, porque as pessoas direita o que digo, não vai fazer a diferença nesta conversa, mas pessoas a esquerda,
[07:15:00 - 07:26:40]:  a perceber que esta ideia tem muito pouco a ver com o estorial filosófico e ideológico da esquerda.
[07:26:40 - 07:38:20]:  -A esquerda não é o oque de Susanne Neman, e o Ricardo Arosparer atrás um escritor enquanto leitor.
[07:38:20 - 07:55:00]:  -Exatamente, há muito tempo, e este livro é curiosíssimo. É um livro de Jorge Costa Lopes, chama-se a biblioteca de Virgil e Ferreira, mas é um livro sobre a marginalia do Virgil e Ferreira,
[07:55:00 - 08:18:20]:  ou seja, as anotações que Virgil e Ferreira fez à Margem, o autor, Jorge Costa Lopes foi para a biblioteca do Virgil e Ferreira, que está lá está numa biblioteca, é espolio, e concentrou-se entre esses autores sobretudo,
[08:18:20 - 08:28:20]:  Fernando Pessoa, Clareís Li-Spector, Eduardo Lorenzo, e ele foi ver o que é que Virgil e Ferreira escreveu na Margem.
[08:28:20 - 08:48:20]:  -Também, ele também, também, deu uma espereta dela, no outro exemplo, ao que parece, o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote, este livro pertence à sala de trofeios do Benfic.
[08:48:20 - 09:01:40]:  -É um cardcípico de que é esta notação, mas chama uma atenção porque tem uma palavra que quer das mais belas, ou língua português, e...
[09:01:40 - 09:11:40]:  -Tenho um félvio, sim. -Está concluído a mais uma reunião semaral de hoje a 8 dias, a mesma hora, os mesmos de sempre.
[09:11:40 - 09:18:20]:  -Também, em podcast, peda-me-se, João Miguel Tavar, e Ricardo Roussebrele.
[09:18:20 - 09:28:20]:  -Também, em podcast, peda-me-se, João Miguel Tavar, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
[09:28:20 - 09:38:20]:  -Também, em podcast, peda-me-se, João Miguel Tavar, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
[09:38:20 - 09:48:20]:  -Está concluído a mais uma palavra que quer das mais belas, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
[09:48:20 - 09:58:20]:  -Está concluído a mais uma palavra que quer das mais belas, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
[09:58:20 - 10:08:20]:  -Está concluído a mais uma palavra que quer das mais belas, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
[10:08:20 - 10:25:00]:  -Está concluído a mais uma palavra que quer das mais belas, e o Virgil e Ferreira escreveu na Margem de uns cadernos de Lanzarote.
