[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavares soltou uma exclamação.
[10:06:00 - 10:36:00]:  -Pra que eles consideram incomprehensíveis as fontes de rendimento, que permitem os 10 Sócrates continuar a alimentar a litigância nos tributais, como tem acontecido ao longo dos últimos anos, esta história, venda algo modo contribuir para esclarecer este mistério, os Homem Galtavars?
[10:36:00 - 10:59:20]:  -Só, no sentido de facto, Sócrates tem uma espécie de maldição, que é, ele tem muita dificuldade em provar a legalidade do dinheiro que utiliza, e ele tem que utilizar.
[10:59:20 - 11:17:40]:  -Nos sabemos que são recursos que ainda andava a contar, acho que ficou país já nos 170, ainda em de cima recursos para terminais de períodos e para constitucionar as coisas caras.
[11:17:40 - 11:46:00]:  -Imaginem o que, qualquer pessoa que já tenha pagou um advogado, o que é, tem um advogado há mais de 8 anos até que vai dar, sócrates foi te tido, não é igual por que tem o túbreo de 2014 há mais de 8 anos, mas imagine o que é ter alguém há 8 anos a trabalhar?
[11:46:00 - 12:04:20]:  -E isso pode não ser exclusivo, mas calhar é muito próximo disso, é fazer recurso, atacar este recurso, e portanto o que é conseguir pagar essas pessoas?
[12:04:20 - 12:16:00]:  -Ater por que, em princípio, acho que são, os números são este, 23 recursos apresentados por Sócrates, ele perdeu 21.
[12:16:00 - 12:27:40]:  -Sim, e por isso teve que pagar as custas dos 21 recursos perdidos mais as viagens?
[12:27:40 - 12:42:40]:  -Não são baratas, não é verdade? -Depende, depende do nosso critério, se tivermos bastante dinheiro são baratas.
[12:42:40 - 13:01:00]:  -O Ricardo falou no novo empresário que apareceu, aquilo é de algo machado, e falou na casa da IA que também é uma história extraordinária.
[13:01:00 - 13:29:20]:  -E a pessoa já não tem acompanhado até o anovela toda, mas ainda um outro caso, acho que as pessoas lá em casa já nem sabem, mesmo o famoso monte da IA de José Sócrates foi comparado por Carlos Santilva em 2021.
[13:29:20 - 13:46:00]:  -Ocê já assim que Vroz a liberto, e disse aqui estão até vezes os bantes porque afinal dos senhores não comem ter nenhum crime extremamente grave,
[13:46:00 - 14:02:40]:  uma das primeiras coisas que fez, que o caso da Sofia Fava fez, foi seis meses depois, vendeu o monte com o que em Santilva, outra vez.
[14:02:40 - 14:14:20]:  -Eu não sei se Sofia Fava ainda lá vives, não vive, mas toda esta nebulosa à volta da IA de José Sócrates mantém-se.
[14:14:20 - 14:31:00]:  -E, então, sob os preços da fim de semana passado, que o processo marquete está emperado numa texicalidade legigitiva,
[14:31:00 - 14:37:40]:  vennela em competência ou dolo.
[14:37:40 - 14:52:40]:  -Adivés a me tivesse distingue uma coisa da outra. Vamos ver, quem, aquilo que neste momento está em pancar aquele processo,
[14:52:40 - 15:11:00]:  é uma iniciativa legislativa patrocinada por uma naquia quinta-la do PSZ, naquilo que tem que arruir o Ajava, que tinha que purificar os tribunais e o Ministério Público, e andou para ler e fazer algumas leis.
[15:11:00 - 15:29:20]:  E esta lei, aparentemente bem intencionada, tinha a ver com a aumentada transparência de quando se está surtiar os juízes entre bonais superiores.
[15:29:20 - 15:37:40]:  E, portanto, quer dizer, não, eles não criam só surtiados, os juízes relatam que um todo fossem surtiados.
[15:37:40 - 15:52:40]:  O PS, de facto, votou conta, mas a lei foi aprovada e tinha que ser regulamentada no préssimo de 90 dias. Até hoje, então, o que acontece?
[15:52:40 - 16:02:40]:  Nos tribunais, os juízes dizem, ainda não está regulamentado, vale o surtiio antigo, a lei antigo.
[16:02:40 - 16:36:00]:  A sensação antigo, e, portanto, o surtiio, como ela era feita antigamente, e José Sócrates, e a defesa dele, diz, e até admite que possa, neste caso, ter bons argumentos de lá dela, dizem que não está regulamentado, mas também nada impede que o surtiio já tivesse sido feita como está na lei, porque isso não precisa de nenhuma regulamentação especial.
[16:36:00 - 17:02:40]:  Então, o que acontece é que, cada vez que a defesa de José Sócrates coloca um recurso, basicamente, todas as quintas feiras, é preciso surtiar quem é que são os juízes que vão analisar o recurso, e, assim que o tribunal surteia, vem!
[17:02:40 - 17:11:00]:  A outra vez, a defesa de José Sócrates diz, se está mal surtiado. E então, anda-se nisto.
[17:11:00 - 17:31:00]:  Porque a lei, não, já há uma outra lei vigente, e senta-se. O juízes acham que vale a defesa de Sócrates, acha que vale a moderna, aquilo nunca mais é regulamentado.
[17:31:00 - 17:41:00]:  São os lentes argumentos de parte a parte. E, e, e, José, para saber quem é que...
[17:41:00 - 17:47:40]:  Nesta, nesta, nesta debate jurídica, o que é que triunfa?
[17:47:40 - 18:02:40]:  O Ivorosa teve aquela pronúncia magnífica, não é, que nós todos sabemos, mas foi em brilho 2021, já passou quase 2 anos.
[18:02:40 - 18:19:20]:  2 anos desde a pronúncia de Ivorosa. E ainda nem se quer decidir, nem se decidir quem é que vai analisar, surtiça só que a defesa de Sócrates vai ou não, o juízes.
[18:19:20 - 18:29:20]:  E agora, depois que nós começamos a lhe enjeuar nas as prenses, que é uns que inclinimos que vão por isso que vão ver em 2024.
[18:29:20 - 18:49:20]:  E, e apesar de o próprio não, tem muita dificuldade em acreditar nisso, porque acho que é uma coisa terrível, posses ter uma distância português, nós hoje andi, olhamos para a Chez Sócrates, e eu comecei a achar que há genuínas probabilidades.
[18:49:20 - 18:59:20]:  Dele, nem se quer que a julgamento. E daí, é preciso encontrar novos empatizados.
[18:59:20 - 19:11:00]:  Como é que comenta, peda-me-se, o Ricardo já que me sou falar disso há pouco, como é que comenta a resposta de Sócrates,
[19:11:00 - 19:21:00]:  e que o ministro dizendo que estou a devassar a vida privada, nomeadamente com esta nova investigação da CIC.
[19:21:00 - 19:34:20]:  Dos três tipos de regressões que José Sócrates tem tido, faça as acusações, ou as alegações, ou as especulações, enfim,
[19:34:20 - 19:49:20]:  qualquer uma delas, na verdade, há duas que são, mesmo que possam se censurar, baixam os ítimas, uma, dizer que é uma perseguição, geralmente os políticos,
[19:49:20 - 20:01:00]:  quando tem processos judiciais, dizem que são perseguidos, em todo lado. É isso, em um lugar, as questões processuais,
[20:01:00 - 20:14:20]:  mas, uma vez, tem direito a pôr os recursos, entre pôr os recursos que muito bem entenda, enfim, no limite da litigância de mafé,
[20:14:20 - 20:34:20]:  neste caso, na defesa de mafé, mas a terceira é a única caramente não é admissível, porque toda a gente percebe que a vida financeira de um primeiro ministro,
[20:34:20 - 20:51:00]:  ou até de um mês, primeiro ministro, mas, reportando só seu passado, é um assunto de interesse público, porque, se nós não sabemos exatamente qual é,
[20:51:00 - 21:04:20]:  qual é, quais são os fontes do rendimento dessa pessoa, como é que ela sustenta o seu nível de vida, que dependências é que ele tem a colação a terceira,
[21:04:20 - 21:22:40]:  nomeadamente, que possam ter sido beneficiados, na sua ação política, etc., e ser interesse público, evidente, aliás, até as coisas que não são de interesse público,
[21:22:40 - 21:37:40]:  e até as coisas que nós consideramos de vida privada, em pessoas muito expostas são admissíveis, daquele caso com conhecida de fotografias,
[21:37:40 - 21:51:00]:  não se pode fotografar um desconhecido, mas pode fotografar uma estrala de cinema, é porque faz parte da vida, uma estrala de cinema ser fotografada,
[21:51:00 - 22:07:40]:  e aí temos a falar de ser fotografado, que é uma coisa bastante invasiva, agora, dizer, quero saber como é que esta pessoa, que foi por meio misto Portugal, viveu e vive, não é vida privada,
[22:07:40 - 22:24:20]:  não é não ter nada a ver com a sua vida íntima, efetiva, nada, é o dinheiro, fala da maneira, isso é uma pergunta básica, normal emocional.
[22:24:20 - 22:42:40]:  Agora, quanto vai ser saber se sócrates é um pepe ou não é um pepe, porque caixa geral de pós-etos deu alerta porque eles postamente é um pepe,
[22:42:40 - 22:57:40]:  uma pessoa polírica que vem disposta, e ele disse que não é um pepe, acho que é um pepe, um pepe rápido,
[22:57:40 - 23:12:40]:  eu acho que é um pepe lapio, aquela personagem que te presentava, não é, de nos ensinos animais, porque tudo isto te trazendo de fato.
[23:12:40 - 23:29:20]:  Entregamos ao Ricardo Aros Pereira, a pasta de ministro de bandeirada, quando o João Miguel Tavarres ainda, no capítulo de Trafo-lis, na Algada, Trafo-lis,
[23:29:20 - 23:41:00]:  quer ser desta vez ministro do ruído externo, já vamos perceber a origem da expressão ruídos externo,
[23:41:00 - 23:51:00]:  mas é preciso começar pelos facto que vai conseguir por o clubismo de parte, neste matéria, o João Miguel Tavarres.
[23:51:00 - 24:04:20]:  O cara, essa pessoa que se lembra desse programa foi muito descoidada, num momento escolheu o painel onival clubística, conseguiu arranjar quatro pessoas,
[24:04:20 - 24:17:40]:  são todas bem ficas, mas acho que ninguém nesse aspecto nos pode acusar de clubismo, porque nós temos de dar forte e feio no nosso próprio clube,
[24:17:40 - 24:36:00]:  até porque quando nós falamos de Trafo-lis, eu gosto de acreditar que está não a judeu nem gentil e também não há a esquerda nem direita,
[24:36:00 - 24:46:00]:  não há a benfica nesse portem, porque a Trafo-lis é para enviar tudo isso.
[24:46:00 - 24:57:40]:  Sabes de falar, neste caso, da acusação judicial, como se era esta semana, quando traou o benfica, bemficaçada, bemficaçadio,
[24:57:40 - 25:12:40]:  dois antigos dirigentes do benfica e um dirigente que ainda está na direção, planta a acusação de frótifes, califalcificação,
[25:12:40 - 25:21:00]:  este novo capítulo sorpreendio, dá algum modo?
[25:21:00 - 25:32:40]:  É sempre gigo, este tipo de traficião é um bocadinho comado só que já disse, é engraçada, porque isto nós estamos a falar neste caso,
[25:32:40 - 25:46:00]:  de uma empresa chamada "questão flexível", e que é supostamento uma empresa de coriado e informática.
[25:46:00 - 25:57:40]:  Qual é que é um deus de logo dos problemas? É que a sede ainda é caga, e não sei se vocês têm algum problema,
[25:57:40 - 26:09:20]:  é que quando tem um problema no iPad ou no Telemóvel, se costumam, não sei, gapo, a cor de uma empresa, não se negá-lo, para que é tratado do problema.
[26:09:20 - 26:16:00]:  Mas por exemplo, o benfica parece que achou que era boa ideia, e de repente, há um vínculo...
[26:16:00 - 26:17:40]:  É, já, já, já, já...
[26:17:40 - 26:19:20]:  Que reou...
[26:19:20 - 26:24:20]:  O general Minhaga, como é que era?
[26:24:20 - 26:32:26]:  -Teste, hein, é bom que o Marulho já obreu. -Era na Guiné.
[26:32:26 - 26:40:02]:  -Éra da Guiné, pera, então olha, é uma longa-taquia... -Era que é o que a pessoa se...
[26:40:02 - 26:44:04]:  -É uma longa-taquia. -É uma longa-taquia deição.
[26:44:04 - 26:49:12]:  Aqui o problema é que todo a gente está bastante convencido,
[26:49:12 - 26:56:06]:  que os serviços daquela empresa nunca foram prestátios.
[26:56:06 - 27:03:10]:  E o don da empresa está acusado, parece que ela é o conhecido,
[27:03:10 - 27:08:30]:  que também é uma espacido senior 11%, que é um bom que a negocinho é o senhor 100%.
[27:08:30 - 27:18:40]:  Este é o senhor que é o senhor que é o senhor que precisa. E parece que faz menos, digamos, assim, atividades magnitórias.
[27:18:40 - 27:25:36]:  Parece que consta que fica com uns por cento dos valores das faturas que ela anda a passar.
[27:25:36 - 27:32:32]:  E a partir daí, essas faturas, pelos serviços não prestados, são poques pelo bem-fique,
[27:32:32 - 27:41:50]:  poesão levantados e, de repente, há uma data de dinheiro, o chamado de dinheiro líquido, que é ainda por aí. Açolta.
[27:41:50 - 27:46:04]:  -Fraldo fiscal, por cento. -E o suspeita de faldo fiscal.
[27:46:04 - 27:52:40]:  -E o suspeita de faldo fiscal, sempre ninguém sabe para que a coidinha foi utilizado, né? Até agora.
[27:52:40 - 27:59:20]:  -Acho que não é... -Acho que não é... -Follow the money. -Ai, não o ministério público se atravessa agora.
[27:59:20 - 28:09:20]:  Independentemente, o ponto foi o não o dinheiro, ele teria que ter pago impostos, não podia estar que essa mover aquela maneira.
[28:09:20 - 28:14:00]:  -Lue fica, ficou sem ele? -O febe fica, ficou sem ele,
[28:14:00 - 28:21:50]:  portanto há aqui uma questão de faldo fiscal. Olha, o que que se passa? Atras é o que usado?
[28:21:50 - 28:29:20]:  -Um, é, Luis Felipe Vieira, o O Tem Miguel Morar, e é o director financeiro do Benfica.
[28:29:20 - 28:36:50]:  E o terceiro é do Mimco Chorges da Oliveira, que é a atual administradão do Benfica.
[28:36:50 - 28:50:10]:  E a atual que é o CEO do Benfica, e portanto, o pessoa, na verdade, manda financeiramente nas maças do clube.
[28:50:10 - 28:56:50]:  Eu sempre achei, e do que eu ouço, dizem que o senhor é muito competente agora.
[28:56:50 - 29:08:30]:  E lá, ao mesmo tempo, que é muito competente, tem que saber o que é que fazer, ele é o Luis Felipe Vieira, e tem que saber como é que o Movimento da Avaldinia do Clube,
[29:08:30 - 29:13:30]:  até porque as chuses assim na turas eram mensagens.
[29:13:30 - 29:23:30]:  O demigco Chorges da Oliveira é, contem um ar nestas condições, como CEO do Benfica,
[29:23:30 - 29:26:50]:  por mais competente que ele seja, em um devido.
[29:26:50 - 29:41:50]:  É algo altamente... Não é só porque o Panté é altamente esquisito, como porque raio é que o Enfica sustenta isso.
[29:41:50 - 29:45:10]:  -E esse é o sentido... -Pando dentro de um ar nuído externo.
[29:45:10 - 29:56:50]:  -Exato, é isso. -Como é que entenda a frase que o presidente do Benfica ou o presidente do Benfica usou com esta expressão?
[29:56:50 - 30:05:10]:  -Ruído externo. -A frase é de Rui Costa e a frase é.
[30:05:10 - 30:16:50]:  -É preciso e faltaram. -Ela foi dita, ou no dia, ou logo a seguir, temos que termos tido estas notícias.
[30:16:50 - 30:28:30]:  E Rui Costa diz, é imperioso ficar nos Unidos, focados e Munes a todo Rui de externo.
[30:28:30 - 30:43:30]:  Olha, eu não estava falar de fobol, deu uma ideia, até porque a coincidência de datas faz com que as pessoas tenham vido Rui de externo.
[30:43:30 - 30:48:30]:  E o bagulhinho que houve é, ó, sacas-a-le, sacas-o.
[30:48:30 - 30:58:30]:  E então, eu não vim muito confortável com isto, até porque Rui Costa fez parte da antiga administração.
[30:58:30 - 31:01:50]:  E isso aqui atualmente está tudo acurruindo muito bem ao Benfica.
[31:01:50 - 31:11:50]:  E eu fico muito contente com os jogos todos que não se agandem. Parece que Rui Costa acertou nas contratações, parabéns para ele.
[31:11:50 - 31:20:10]:  O clube até parece estar seguindo o que estava antes, pelo menos a nível de contratações.
[31:20:10 - 31:28:30]:  Agora, enquanto o Migos Jorge do Oliveira lá continua a agar, continua a agar ser sustentado.
[31:28:30 - 31:33:30]:  Qualquer pessoa que esteja a olhar de forma, o que é que pensa a pensa?
[31:33:30 - 31:43:30]:  E pás-se-se, senhor, deve saber mesmo muita coisa. Pás-se, nem se esqueça, até que eu venho a correr como eu.
[31:43:30 - 31:53:30]:  Criação pode um caso destes provocar nas águas inquinadas do clubeismo, Pedro Messia.
[31:53:30 - 32:01:50]:  Eu quero que o clubeismo vai dar banho a campo, e não tem paciência nenhuma para o clubeismo destes materiais.
[32:01:50 - 32:18:30]:  Aliás, no discurso do Rui Costa, essa frase vem nisso que eu ia ser de uma frase normalíssima,
[32:18:30 - 32:31:50]:  e é normal que a se congretou com isso. Ele diz, "E aqui é vitória dos imediatos, temos mais sócios,
[32:31:50 - 32:45:10]:  e não vamos ficar em diferentes ao Rui do esterto. Como se essas coisas podem estar na mesma frase,
[32:45:10 - 32:56:50]:  ou seja, vitórias, ótimos, saúde, saúde deportiva, financeira, ótimo, mais associados, ótimo".
[32:56:50 - 33:10:10]:  Depois, não é para a agra, é capítulo, questões com a justiça, não é possível contrabalançar umas coisas com outras,
[33:10:10 - 33:18:30]:  infelizmente do futbol é isso que se faz, é isso que é o clubeismo. Quando as pessoas dizem, por exemplo,
[33:18:30 - 33:28:30]:  aliás, o João Miguel refriu isso, que é... Bom, mas agora até tão em primeiro lugar, agora até tão em chegada,
[33:28:30 - 33:35:10]:  e se completamente irlevando para esta conversa, que eu parei me adivando para esta conversa.
[33:35:10 - 33:41:50]:  O que irlevando para esta conversa foi o que já foi aqui dito.
[33:41:50 - 33:51:50]:  Agora, pelo João Miguel, já, todos de uma forma ou doutra, o Ricardo, com a ocoração, é lágrimas,
[33:51:50 - 34:05:10]:  mais vezes do que nós, que é... Quando caem um regime, todos nós vimos que irregimos de vários cores políticas dos últimos anos,
[34:05:10 - 34:15:10]:  quando caem um regime convém que ir, o regime todo, porque se caem o número um e ficou dois ou três ou quatro,
[34:15:10 - 34:28:30]:  é muito possível que as práticas se mantenham, nós lembrando de um tempo da ruménea e do outro sítio, onde isso acontecia.
[34:28:30 - 34:36:50]:  É ainda possível que o Estado de Fiqueboule compaixam que o Lubística, Ricardo da Auxitoreira,
[34:36:50 - 34:48:30]:  venda como lá, em essas evidências, que estamos pranto na indústria, em grande medida e em salubra.
[34:48:30 - 34:55:10]:  Eu acho que sim, eu gosto de um fã me engano.
[34:55:10 - 34:58:30]:  Eu gosto de um fã me engano.
[34:58:30 - 35:01:50]:  Eu não estou no menos aqui.
[35:01:50 - 35:08:30]:  E ainda antes de vir para a cara, eu já vi a Valia.
[35:08:30 - 35:25:10]:  Mas a questão é a seguinte, o que é... Reparem, Março de 2018, o ex-Flipe Vieira disse, a cabou a paródia instalada neste país à custa do Enfica.
[35:25:10 - 35:36:50]:  A partir de segunda feira, haverá um gabinete de crise, montado para responder aos ataques, venham eles onde vierem.
[35:36:50 - 35:55:10]:  Os benfiquistas devem estar unidos. Março de 2023, ricaosta cinco anos depois, em preuça ficarmos unidos e imunos ao ruído externo.
[35:55:10 - 36:10:10]:  É possível que quem escreve os discursos seja a mesma pessoa, ou seja, aquilo do ter que ir.
[36:10:10 - 36:25:10]:  Eu não sei, unidos a quem, a quem está sob graves acusações, de ter tirado dinheiro do próprio clube.
[36:25:10 - 36:28:30]:  São móveis aqui, tem que estar unido a isso.
[36:28:30 - 37:00:10]:  E exatamente, qual é o critério que permite fazer com que a gente deixemos de estar unidos a um presidente que foi acusado destas coisas gravíssimas, mas nos mantenhamos unidos a outro dirigente que está acusado destas coisas gravíssimas?
[37:00:10 - 37:13:30]:  Qual é a diferença? É só percovirei a foi detido por entre o regatório e mais ninguém foi.
[37:13:30 - 37:20:10]:  Só sei isso, porque a acusação é mesmo, não é?
[37:20:10 - 37:23:30]:  O que você teve o acusamento?
[37:23:30 - 37:35:10]:  Exato, porque a retirada ao bem-fica, ou não foi retirada ao bem-fica e foi usado para outros fins?
[37:35:10 - 37:38:30]:  Bom, não.
[37:38:30 - 37:43:30]:  A primeira vista foi retirada ao bem-fica.
[37:43:30 - 37:45:10]:  A primeira vista?
[37:45:10 - 37:53:30]:  Roba ao bem-fica. É pior que bater na mãe.
[37:53:30 - 38:11:50]:  Vamos ver como é que este desenvolve e desenrola. O João Miguel Tavar, fica então ministro do Ruí de Externo, e é vez do Pedro Messias tornar ministro de Abril.
[38:11:50 - 38:28:30]:  E parece que ele pedra mexer que as polêmicas que Abril abriu com a preparação da vida vinda de Lula da Silva Portugal já estão encerradas.
[38:28:30 - 38:31:50]:  Abril, eu sou porque...
[38:31:50 - 38:33:30]:  Abril, sou.
[38:33:30 - 38:35:10]:  Foi uma ideia bastante bizarra.
[38:35:10 - 38:45:10]:  Resume que faz desta controvércia que chegou a meter ameaças de violência verbal no Parlamento.
[38:45:10 - 39:03:30]:  O ministro do Sul, às traste de si deu, passando por cima da Assembleia da República, que é que a competia marcar, não só a Agenda da Assembleia, como as comemorações parlamentares de 25 de Abril,
[39:03:30 - 39:13:30]:  é anunciar que já que estava por cá o presidente Lula ia descorcer no 25 de Abril.
[39:13:30 - 39:28:30]:  E aqui várias, há pelo menos duas questões de atenção, e eu sou totalmente institucional, isto é acho que o presidente Lula é o presidente do Brasil,
[39:28:30 - 39:38:30]:  e portanto, imperatementalvez, o primeiro acho que se possa ter sobre Lula não é isso que eu estou discutindo, é o presidente do Brasil.
[39:38:30 - 39:46:50]:  Por que que o presidente do Brasil havia de descorcer no 25 de Abril?
[39:46:50 - 40:08:30]:  É verdade que está aqui, vai entregar o Prêmio Camões, nomeadamente, o Chico Arque, e acho, normal que eu besito o Parlamento, já tem acontecido das vezes, e por um num país,
[40:08:30 - 40:23:30]:  o Luzofre, o primeiro ia de razão, que até participem, não há alguma sermão na noite da 25 de Abril, mas em que medida faz sentido que ele falo, por que que ele fala?
[40:23:30 - 40:48:30]:  O Brasil não teve nenhuma ligação entre o 25 de Abril e o Brasil, ou o Vaz Clorensso disse que...
[40:48:30 - 41:01:50]:  Estou a dizer nos acontecimentos, não foram no Brasil, não teve nada a ver do 25 de Abril, que de abro.
[41:01:50 - 41:28:30]:  É, acaba o Zezinho. O Vaz Clorensso disse que Lula é um homem de Abril, no mesmo sentido que eu sou campeóro o peu, porque sou compatriote do Ever, mas não tem nada a ver com o que ele quer dizer, que Lula da Silvão Ammond.
[41:28:30 - 41:48:30]:  O que ele quer dizer é que Lula da Silvão Ammond é de esquerda, mas isso ser presente a República do Brasil, um ótimo argumento, ser de esquerda ou direita é um péssimo argumento.
[41:48:30 - 42:16:50]:  Não havia nenhuma razão, e depois, quando gerou o que ia gerar, foi promessa este carro na volta, palhaçada, devolvantei mentos de rancho, e pronto, então conseguiu perceber-se em 15 minutos, não foram quase 15 dias,
[42:16:50 - 42:18:30]:  que eram disparados.
[42:18:30 - 42:36:50]:  Este caso 3 estidos, o Miguel Tavares, o ministro Cravinho, não tivesse anunciado o discurso, um discurso do presidente brasileiro, nesse remané oficial do Vaz Clorensso de Abril.
[42:36:50 - 42:56:50]:  Esta história bastante bizarra, porque quem anunciou isso foi, no final do ano passado, mas se ela revelou de sozo, eu disse que ele iria participar nas semanas de Abril, porque o visto toda a gente esqueceu, e depois que eu vim, claro, com o seu talento, pagar, acabou por...
[42:56:50 - 43:40:10]:  É verdade que... Podia não ser na presidência da República, não podia ser no próprio dia 25 de Abril, mas participa no motro a seguir, e depois que vamos que ele vim, fez aquela área que tu não sinto ainda mais insustentável, mas aí veio do Lula da Silva, e igual, para o elemento, no dia 25 de Abril, daria sempre um boá, de comunal, e não só daria como...
[43:40:10 - 43:53:30]:  Tenou olhando o que eu to aumento, é a constituição do proelamento, parece que foi propósito, porque que seria evidentemente inaceitável.
[43:53:30 - 43:56:50]:  Mas por que?
[43:56:50 - 44:08:30]:  Por causa da persona... Pessoal contra a área, agora já ia revolucionar, uma coisa impensável, não é certo?
