[00:00:00 - 00:06:44]:  Essa semana a Ricardo Araús Pereira confessa-se em Inciso.
[06:46:40 - 06:55:00]:  ainda posso considerar isso? Eu partilho também, se tu considera um que é...
[06:55:00 - 06:58:20]:  Eu só disse que somos pessoas fora de moda.
[06:58:20 - 07:01:40]:  Minha não convença em adotar outra e creio todos...
[07:01:40 - 07:13:20]:  Os homossexuals que eu conheço também não... todos eles me dizem que por mais que os queiram convencer,
[07:13:20 - 07:20:00]:  não estão disponíveis para alterações. Agora, eu queria...
[07:20:00 - 07:23:20]:  A gestion foi administrativa?
[07:23:20 - 07:30:00]:  Sim, foi administrativa que nós somos os presidentes do Conselho.
[07:30:00 - 07:33:20]:  E por isso temos que um dever de neutralidade.
[07:33:20 - 07:40:00]:  Eu fiquem tão a pensar para que serve aquela quando a gente...
[07:40:00 - 07:50:00]:  Antecipa com ansiedade. E agora nós próximos seis meses, vamos ser os nossos presidentes do Conselho.
[07:50:00 - 07:51:40]:  Para que?
[07:51:40 - 07:56:40]:  Se não temos poder se quer para assinar uma cartinha.
[07:56:40 - 08:06:40]:  Nesse que é para isso serve. Até para isso estamos impedidos. Eu queria dizer a óbgusta Santisilva.
[08:06:40 - 08:10:00]:  Que é o vai estar?
[08:10:00 - 08:20:00]:  O sitio onde é o vai estar aparece descrito no canto 3 da Divina Comédia,
[08:20:00 - 08:26:40]:  que é quando do dente e vregiliu, vão os dois a passar.
[08:26:40 - 08:36:40]:  Por aquela entrada do inferno que diz abandonar as para toda a esperança todos os que aqui entrarem.
[08:36:40 - 08:46:40]:  E as primeiras coisas que vêem são uns anjos covardes, que permaneceram neutros,
[08:46:40 - 08:53:20]:  lá está, alugaram neutralidade, na luta entre Deus e Lucio Ifer,
[08:53:20 - 09:03:20]:  são nem revés, nem fieis, diz o... é na tradução do Vásgrasa amora.
[09:03:20 - 09:13:20]:  E é isso, algo de Santisilva só há lá. Já agora fica a nota, o castigo para a si é picado por várias vespas.
[09:13:20 - 09:21:40]:  E depois escorre-lo um gênero de um púrgust, misturado com o sende,
[09:21:40 - 09:31:40]:  que se alomeira aos seus pés onde estão larvas repuglantes...
[09:31:40 - 09:35:00]:  Apesar de ter de ser de piores.
[09:35:00 - 09:38:20]:  Boa sorte, Augusto. Boa sorte.
[09:38:20 - 09:45:00]:  Compreende a ideia de um dever de neutralidade neste caso, Pedro Messia,
[09:45:00 - 09:56:40]:  ou ver nisto alguma coisa em paralelo com aquilo que aconteceu no ano passado,
[09:56:40 - 10:08:20]:  quando António Costa foi a unguria e esteve com Orban.
[10:08:20 - 10:23:20]:  Nostra, não é igual ao ano passado, porque o ano passado tinha um nosdito que se devia dissociar o valor de dinheiro.
[10:23:20 - 10:28:20]:  Exato. Podíamos tratar do dinheiro, mas o dinheiro já foi tratado.
[10:28:20 - 10:30:00]:  Já. Já se pode ir ao banco.
[10:30:00 - 10:35:00]:  Porém, agora já se pode tratar de valor outra vez, pelos vistos não.
[10:35:00 - 10:40:00]:  O que acontece é que, dependendo do que estamos a falar,
[10:40:00 - 10:51:40]:  quando estamos a falar de neutralidade, eu percebo que o país que rototiveamento presida ao Neuropeia
[10:51:40 - 11:06:40]:  não possa tomar-te escaradamente partida nas diferenças de opinião que há sobre matérias,
[11:06:40 - 11:10:00]:  em que há a diferença de opinião.
[11:10:00 - 11:16:40]:  Mas há diferenças de opinião e há matérias que são...
[11:16:40 - 11:23:20]:  Aquilo que se esqueçam de chamar os valores europeus, são os valores de Europa neste momento,
[11:23:20 - 11:30:00]:  não são os valores de Europa da 50 anos, certamente.
[11:30:00 - 11:38:20]:  Mas são os valores, são os valores de liberdade sexual,
[11:38:20 - 11:46:40]:  e tudo isso está avertindo todas as constituições, todas as deslações em todos os escórios.
[11:46:40 - 11:51:40]:  E porém, nessa matéria não há bem como ser neutral.
[11:51:40 - 11:58:20]:  Há depois matérias de opinião, e já vou falar disso, proposito um tema seguinte,
[11:58:20 - 12:05:00]:  mas há matérias em que se pode discutir no âmbito da opinião,
[12:05:00 - 12:15:00]:  no âmbito acadêmico, no âmbito científico, mas no âmbito de gestão.
[12:15:00 - 12:18:20]:  São a gestão de duas coisas.
[12:18:20 - 12:25:00]:  Muito em que fazem muita impressão nessa gestão, um garumé, que está na promoção,
[12:25:00 - 12:33:20]:  a ideia de que é por ver em imagens de homossexualidade, homossexuales,
[12:33:20 - 12:43:20]:  que as crianças vão tornar pessoas homossexuales, para a deslada contaminação.
[12:43:20 - 12:50:00]:  E o outro lado é que essa deslação fala também da pedofilia.
[12:50:00 - 12:58:20]:  E não é inocente falar de homossexualidade, da pedofilia na mesma deslossão.
[12:58:20 - 13:11:40]:  E isso realmente é enorme que as duas questões sejam referidas a uma ligada a outra como se,
[13:11:40 - 13:20:00]:  não há nenhuma diferença entre um comportamento claramente criminal,
[13:20:00 - 13:31:40]:  do foro penal, e outro comportamento que hoje é dia em todas as nossas ligações,
[13:31:40 - 13:41:40]:  e segundo a ONS e tudo mais, é um comportamento que não tem que ser penalizado de forma normal.
[13:41:40 - 13:50:00]:  Mas no caso, porque isso provou seu real político, pode se por algo nesses termos.
[13:50:00 - 13:56:40]:  Pois não sei, eu não percebo que já havia com uma minha daga mão, acho que aqui.
[13:56:40 - 14:01:40]:  E agora as coisas meio desastragadas?
[14:01:40 - 14:15:00]:  Sobretudo porque mesmo tempo há aquela coisa de dizer que isto é muito importante para nós,
[14:15:00 - 14:21:40]:  porque foi essa ficção, a ficção é de que aquilo era realmente uma coisa muito importante,
[14:21:40 - 14:30:00]:  mas cheira realmente uma coisa muito importante, tem que ser alguma consequência.
[14:30:00 - 14:36:40]:  E isso não é uma outra outra, é como um árbitro dizer,
[14:36:40 - 14:43:20]:  eu não vou ponir este jogador que prosjagam a mão porque quer ser neutral.
[14:43:20 - 14:50:00]:  Não, ela é regra do jogo, não pode jogar com a mão, porque tem que entreviver
[14:50:00 - 14:55:00]:  porque foi consensualizado que não se pode jogar com não.
[14:55:00 - 15:03:20]:  Muito a propósito da Metáfora Federalística, a UEFA, a fração europeia de Futebol,
[15:03:20 - 15:13:20]:  impediu a cidade de mônica de iluminar o estádio, onde foi julgado a uma partida do Euro
[15:13:20 - 15:23:20]:  com as cores da bandeira LGBT, a partida do Euro aliás era com a seleção da ongria.
[15:23:20 - 15:36:40]:  Mas depois a própria UEFA publicou um comunicado com o seu logo ativo em envolvido nas coisas do ar cuíris.
[15:36:40 - 15:46:40]:  Viu nisto uma contradição, João Miguel Tavarzo compreendeu as explicações dadas pela UEFA a este respeito?
[15:46:40 - 16:00:00]:  Porque a casa este tem uma ótima sequência, porque para mostrar como os casos não são de todo idênticos.
[16:00:00 - 16:05:00]:  Eu acho que a UEFA foi muito inteligente na sua resposta.
[16:05:00 - 16:20:00]:  A UEFA argumentou da seguinte forma, ele disse que a questão não estava no símbolo da bandeira LGBT
[16:20:00 - 16:35:00]:  e ser um símbolo político, ou seja, uma bandeira política, daí, e depois ter colocado as cores da bandeira no seu logo,
[16:35:00 - 16:48:20]:  mas disse que fazer aquilo naquele momento era um gesto político, porque estava a jogar a ongria como tu sublinhaste bem.
[16:48:20 - 17:10:00]:  E é verdade. E eu e isso sensível ao argumento de que ao contrário da que a União Europeia e de um debate com aqueles em que está em causa políticos,
[17:10:00 - 17:20:00]:  em que estão a discutivo políticas públicas, quando se está a jogar a bola do Mundial, está se jogar a bola.
[17:20:00 - 17:28:20]:  Mas ali era a cidade de Munique que queria...
[17:28:20 - 17:41:40]:  O proprietário é do Estado, que queria dar as cores naquele dia ao Estado.
[17:41:40 - 17:50:00]:  Mas imagine-me para ter pedido a autorização ao UEFA, porque o UEFA tinha algum poder de decisão sobre...
[17:50:00 - 17:53:20]:  Também foi um gesto político.
[17:53:20 - 18:08:20]:  O capitão da seleção almea, o Guarda Redes Noyer, ter aparecido com uma abraçadeira com as cores LGBT.
[18:08:20 - 18:20:00]:  Mas isso é um gesto político. Mas muito bem isso. Com o documento noyer não tem nada contra isso.
[18:20:00 - 18:28:20]:  Vamos ver. O problema é que a homossexualidade não é o único problema de discriminação no mundo inteiro.
[18:28:20 - 18:36:40]:  O UEFA, hoje é de, por exemplo, nós temos que lá, os problemas democráticos e da autocracia.
[18:36:40 - 18:45:00]:  E se soltamos da UEFA para a FIFA, temos questões como a China.
[18:45:00 - 18:55:00]:  Temos temas de manifestações em relação a China da UEFA, cada vez que existe um jogo.
[18:55:00 - 19:05:00]:  Ou seja, quem está a organizar eventos deportivos convém que esteja a organizar eventos deportivos.
[19:05:00 - 19:20:00]:  Quando se tente que algo é do mundo mínimo, tal formina admissível, que tem que ser corrigo dos eventos deportivos, como aconteceu com África de Sul, por exemplo, da Khan Tape, da Apartite.
[19:20:00 - 19:45:00]:  Então se faz, olha, essa seleção não, nesse que é que pode participar em eventos internacionais. Nada contra isso. Mas enquanto em um gria ou a China, ou os países todos domedio-o-guientes, que também me seguiam lueses com a bandara LGBT.
[19:45:00 - 19:58:20]:  Enquanto esses países continuarem a fazer parte de eventos deportivos, eu percebo que quem usa organiza tenha que terá algum cuidado para a política não entrar aí.
[19:58:20 - 20:21:40]:  Entregamos, então, ao Ricardo Raúcha para a pasta de ministro de neutralidade, mas continuamos mais ou menos no mesmo âmbito, porque o Pedro Muxia quer ser ministro da Isenção, Isenção, Isento e Neutral, neste caso, são Sinónimos ou Aparentados, da Muxia?
[20:21:40 - 20:30:00]:  São aparentados, na verdade não é exatamente o mesmo súltiplo, isso eu acho que é o que é o que é o interessante.
[20:30:00 - 20:46:40]:  Quero trazer para conversar uma polêmica em Itália por causa de uma tentativa do Vaticano, de condicionar uma iniciativa legislativa, de combate ao homofobia.
[20:46:40 - 20:51:40]:  Quero explicar os detalhes deste caso.
[20:51:40 - 21:20:00]:  O que acontece é que o Vaticano quer que a Igreja fique se agizentada de matérias que possam ferir a sua liberada religiosa, dentro do contexto concordata, etc.
[21:20:00 - 21:25:00]:  Talvez seja de porra a coisa ao contrário, né?
[21:25:00 - 21:36:40]:  É, e tal, e foi para a tentativa de passar uma legislação contra homofobia.
[21:36:40 - 21:51:40]:  E o Vaticano quer dar alguma forma alertar para que expõe em causa concordata com...
[21:51:40 - 21:55:00]:  O posto de uma forma muito de vimento que não é habitual.
[21:55:00 - 22:05:00]:  Na verdade existem duas coisas diferentes e por isso é que a questão da neutralidade, digamos assim, é diferente no caso e no outro.
[22:05:00 - 22:20:00]:  E não é para ser da igreja católica naturalmente, que as pessoas e todas as comunidades estão obrigadas a compreir a lei.
[22:20:00 - 22:35:00]:  E portanto todas as comunidades, as pessoas e as comunidades estão obrigadas a não discriminar em função de orientação sexual,
[22:35:00 - 22:48:20]:  em não praticar a permitir o discurso do audio, a violência e tudo isso.
[22:48:20 - 23:05:00]:  Mas no outro extremo nós temos que imaginar que possa haver comunidades religiosas ou a doutora natureza,
[23:05:00 - 23:15:00]:  que têm opiniões diferentes e práticas diferentes na sua própria comunidade.
[23:15:00 - 23:28:20]:  Ou seja, essa discussão teve muito a propósito de o islão, a propósito de ser possível no acidente,
[23:28:20 - 23:38:20]:  a ver comunidades com práticas diferentes dentro de portas para se dizer.
[23:38:20 - 23:46:40]:  E os limites foram muito traçados, entre, por exemplo, a xizão que era claramente inaceitável,
[23:46:40 - 23:51:40]:  porque era uma violação de reis de uma, homens.
[23:51:40 - 24:10:00]:  O menos e depois a questão do velho e tudo isso que havia uma agradação, a diferença que eu acho que a questão de tem é
[24:10:00 - 24:26:40]:  as religiões, as três religiões, não têm uma opinião positiva acerca de não heterosexualidade,
[24:26:40 - 24:40:00]:  não em baraja e virilmente católico, sobretudo católico, cristãos, que têm uma visão mais positiva de uma sexualidade.
[24:40:00 - 24:51:40]:  A questão é a tradição. Significa que, por exemplo, nas escolas religiosas,
[24:51:40 - 25:01:40]:  essas comunidades religiosas não podem ensinar os valores dessas religiões,
[25:01:40 - 25:08:20]:  isso é um assunto sério e a ser, os seus pessoas pensarem ao contrário,
[25:08:20 - 25:15:00]:  se pensarem que estão na posição em que estão em desacordo com a maioria,
[25:15:00 - 25:23:20]:  ou que estão em desacordo com o consenso, determinadamente esteve,
[25:23:20 - 25:35:00]:  ramificam as interessantes das estados unidos, ou uma decisão do supremo sobre um bolo feito com o casamento gay,
[25:35:00 - 25:43:20]:  se podiam não recusar, se o pasteleiro podiam não recusar, fazer um bolo.
[25:43:20 - 25:48:20]:  São assuntos que as pessoas tendem a achar que é toda a mesma coisa,
[25:48:20 - 25:51:40]:  e são bastante complicados.
[25:51:40 - 26:00:00]:  Como é que este caso se compatibiliza João Miguel Taváres com a abertura manifestava pelo Papa,
[26:00:00 - 26:05:00]:  no final do ano, passava relativamente às unidades civis de homossexuais?
[26:05:00 - 26:15:00]:  Este caso, o rei termo a interferência, a tentativa de interferência do Vaticano no processo legislativo italiano?
[26:15:00 - 26:21:40]:  Acho que como estava o pededização coisas diferentes.
[26:21:40 - 26:30:00]:  Antigamente, quando começou o programa, estava a brincar com o Ricardo a dizer
[26:30:00 - 26:38:20]:  que nós éramos de platifesa homossexuais na década de novo, não é que continuamos a ser.
[26:38:20 - 26:50:00]:  Mas éramos os dos anos 90, e os anos 90 não têm a ver que o século 21, nomeadamente,
[26:50:00 - 26:55:00]:  por causa das questões todas relacionadas com a identidade gênero.
[26:55:00 - 27:03:20]:  Eu tenho muitas vezes a sensação que não estamos já a defender a mesma coisa,
[27:03:20 - 27:10:00]:  e porque não estamos a defender a mesma coisa, é que pessoas que nos anos 90,
[27:10:00 - 27:20:00]:  nos anos 90, que querem muito clara na defesa dos Degades cells de MBT,
[27:20:00 - 27:28:20]:  que estavam a lotar pelo casamento, evidentemente, porque estão em óbvios de não discriminação,
[27:28:20 - 27:38:20]:  essas pessoas que não adiguem hoje em dia aquilo que é uma filosofia da identidade gênero
[27:38:20 - 27:45:00]:  são consideradas quase já do outro lado, já são inimigos, estamos do outro lado da barricado.
[27:45:00 - 27:51:40]:  E isto é muito claro nesta lei.
[27:51:40 - 28:01:40]:  E o problema que coloca-se na relação da igreja com a monsexualidade,
[28:01:40 - 28:05:00]:  eu sou daquilo...
[28:05:00 - 28:11:40]:  Coloca na relação da igreja com um outro estado, que eu estava italiano,
[28:11:40 - 28:21:40]:  ou seja, no fundo, há aqui uma interferência num outro estado,
[28:21:40 - 28:31:40]:  se posermos a questão com Portugal, um processo gerativo que o Vaticano quisesse
[28:31:40 - 28:48:20]:  romper, ou desromper por ter uma visão diferente, seria no mínimo uma questão estranha, não é?
[28:48:20 - 28:55:00]:  A grande preocupação aqui é do Vaticano é conquistando as escolas católicas,
[28:55:00 - 29:01:40]:  porque vai ser entre a lei, entre as várias coisas que diz,
[29:01:40 - 29:11:40]:  é a promoção de um dia, digamos assim, para simplificar, a dor gulguei,
[29:11:40 - 29:21:40]:  e que seguia instituído e portanto, uma das escolas estariam neste dia que se dedicar a aquele tema.
[29:21:40 - 29:28:20]:  E a igreja católica tem que achar as escolas, como a imediatra,
[29:28:20 - 29:36:40]:  que são muito importantes em todo mundo ocidental, que seja um outro que também,
[29:36:40 - 29:45:00]:  que seja um obrigada a se celebrar aquele dia, por aquilo que está instituído dentro daquela deslissão.
[29:45:00 - 29:58:20]:  E isso é evidentemente complexo, e é preciso ver a diferença entre nós entendemos como eu entendo,
[29:58:20 - 30:05:00]:  que a posição da igreja em relação a homossexualidade está profundamente errada,
[30:05:00 - 30:11:40]:  como está errada em relação aos pessoas recasadas, as pessoas divorciadas,
[30:11:40 - 30:20:00]:  são a igreja, aí está não só te fazada do mundo como as pessoas que têm alguma fé,
[30:20:00 - 30:25:00]:  que ficou em igreja, que ficou em igreja como é o meu caso,
[30:25:00 - 30:35:00]:  acham que é algo que até vai contra aquilo que é mensagem evangelica. Isso é um ponto,
[30:35:00 - 30:45:00]:  é dizer que a igreja está errada e as pessoas que estão dentro da igreja devem lutar para os homossexuals
[30:45:00 - 30:50:00]:  seguem acolhidos devidamente.
[30:50:00 - 30:58:20]:  Outra coisa é dizer que a opinião da igreja católica deve ser criminalizada.
[30:58:20 - 31:05:00]:  E o que nós temos aqui a falar é de uma lei que criminaliza homofobia,
[31:05:00 - 31:11:40]:  e depois não é claro o que significa homofobia, por que?
[31:11:40 - 31:16:40]:  Não fomfobia hoje em dia, não é apenas de discriminar pessoas,
[31:16:40 - 31:21:40]:  ou se violem também, mas também entre a questão do discurso doudio.
[31:21:40 - 31:28:20]:  E quando andar a questão do discurso doudio que está nessa lei,
[31:28:20 - 31:33:20]:  isso complexifica tudo, complexifica tudo.
[31:33:20 - 31:40:00]:  Será que o Vatican tem algo que aprender, Ricardo Rostr, com o governo de português,
[31:40:00 - 31:45:00]:  no capítulo da neutralidade?
[31:45:00 - 31:50:00]:  Eu acho que o Vatican não tem...
[31:50:00 - 31:56:40]:  Nem se queria aprender porque já aprendeu isso a bastante.
[31:56:40 - 32:05:00]:  Eu já tenho que aprender para aprender o seguinte princípio,
[32:05:00 - 32:18:20]:  da porta da igreja para dentro, e quem diz "igreja" diz "mosquita" e "sina" "goga" mandam eles.
[32:18:20 - 32:23:20]:  Da porta da igreja para fora, já não mandam.
[32:23:20 - 32:30:00]:  Então não o palácio, não sei qual é o palácio do Parlamento italiano.
[32:30:00 - 32:31:40]:  Não mandam.
[32:31:40 - 32:36:40]:  Não mandam, é a Deus do Rio, não o Parlamento do Oriental.
[32:36:40 - 32:41:40]:  E as qualas que estão em questão, portadentro ou para dar fora?
[32:41:40 - 32:46:40]:  Estou de questões colegas, que é tão lhe que é...
[32:46:40 - 32:51:40]:  Eu duvido o que é que você vai fazer também nas escolas islâmicas.
[32:51:40 - 33:00:00]:  E o que tem pédito em um nome ali, seja considerado discurso doudio que o que você estáis lá a dizer?
[33:00:00 - 33:05:00]:  Mas isso, eu acho que isso cai dentro da liberdade de religiões.
[33:05:00 - 33:06:40]:  É verdade.
[33:06:40 - 33:08:20]:  Não, é outra.
[33:08:20 - 33:11:40]:  Por que que não é de cramina?
[33:11:40 - 33:21:40]:  Por que que não é de craminação só haver casamentos religiosos para pessoas de sexo diferentes?
[33:21:40 - 33:25:00]:  Por que que não é de extrema?
[33:25:00 - 33:31:40]:  Por que que não é de religiões? Porque é que não é...
[33:31:40 - 33:36:40]:  Não há mulheres que possam ser audotes, ser audotizas.
[33:36:40 - 33:38:20]:  Exato.
[33:38:20 - 33:40:00]:  E sei lá com eles?
[33:40:00 - 33:43:20]:  É o que eu ia fazer.
[33:43:20 - 33:45:00]:  E sei fazer isso.
[33:45:00 - 33:51:40]:  É lá no voo, é que vai ser o argumento fundamental.
[33:51:40 - 33:55:00]:  Que é dentro de nas escolas?
[33:55:00 - 34:05:00]:  Eu não mando nas voças práticas e vocês não mandam na minha caméia.
[34:05:00 - 34:16:40]:  Então você é o problema da lei.
[34:16:40 - 34:18:20]:  Porque a igreja que você está a queixar é que elei começar a entrar e tem medo.
[34:18:20 - 34:25:00]:  Porque a igreja tem medo, é um desargumento de ser multada porque está descoestódio.
[34:25:00 - 34:30:00]:  Ou por dizer que tem ou agora, nas minhas colas.
[34:30:00 - 34:38:20]:  Uma lia, que você é sensível no mundo laico, a liberdade da opinião na vida acadêmica.
[34:38:20 - 34:40:00]:  É isso.
[34:40:00 - 34:46:40]:  Onde várias pessoas, por dizer em coisas, que não são consensuais hoje?
[34:46:40 - 34:50:00]:  E eu acho que devem ter estigadas por causa da vida.
[34:50:00 - 34:53:20]:  Eu acho que devem ter de dizer elas, e um.
[34:53:20 - 34:56:40]:  E isso ainda é como uma fubia, né?
[34:56:40 - 34:58:20]:  E o primeiro são...
[34:58:20 - 35:06:40]:  E um padre que está no pulpe, do aler, partes da Bíblia, que são realmente bastante as dinhas em relação.
[35:06:40 - 35:13:20]:  Não sou a homossexualidade, mas há várias outras coisas.
[35:13:20 - 35:16:40]:  Não, quer dizer, o que é que...
[35:16:40 - 35:28:20]:  Eu, para mim, eu queria ser sublinhar, talvez só para acabarmos num ambiente de concordia.
[35:28:20 - 35:41:40]:  É uma frase que num cartaz de alguns ativistas gay em Italia, que o cartaz dizia.
[35:41:40 - 35:48:20]:  A única coisa que é contra nature é a Nanazna Pisa.
[35:48:20 - 35:51:40]:  E eu, de novo, se você não é.
[35:51:40 - 35:56:40]:  O Pedro Mexí é que é então o ministro da isenção.
[35:56:40 - 36:10:00]:  E é, a vez do João Miguel Tavares, se tornar ministro da cerca, e vai ser permitido por lá, a cerca João Miguel Tavares.
[36:10:00 - 36:11:40]:  Pelo, existe, vai.
[36:11:40 - 36:16:40]:  Mas deixa-me só o dizer que eu gosto da Nanazna Pisa.
[36:16:40 - 36:18:20]:  Mas, continua.
[36:18:20 - 36:20:00]:  O que é na Matálsia?
[36:20:00 - 36:21:40]:  Vou tentar ser que...
[36:21:40 - 36:40:00]:  Pergunto-lhes-se ter que, porque a segunda figura do Estado lançou um apelo aos portugueses, já para este domingo, a pensar no jogo da seleção portuguesa em Sevilla.
[36:40:00 - 36:58:20]:  Espero que os portugueses se deslocue, de forma massiva, para o Sul de Spana, e que possam apoiar uma grande vitória de Portugal no Brasil.
[36:58:20 - 37:00:00]:  Eu etafo este final.
[37:00:00 - 37:03:20]:  Bom fim de semana a todos.
[37:06:40 - 37:10:00]:  O Esquipugar é esse vídeo, claro.
[37:10:00 - 37:40:00]:  Ferro, Rodrigues, a insistir já esta sexta-feira no Parlamento, naquilo que tinha dito antes de que uma daquesta pele do presidente da Assembleia de República João Miguel Tavares, pode conjugar-se com a suspensão, em alguns casos, mesmo com o reculdo planes confilamento.
[37:40:00 - 37:53:20]:  Eu já achava a paguina de clagueção bastante polegma, e uma era a fone calor da vitória, não, do empato.
[37:53:20 - 37:58:20]:  É isso, eu gostava de falar sobre o que o Lord do Empato foi.
[37:58:20 - 38:05:00]:  O que é o Florian, que são o empato por dois de dois que estudo proporcionado.
[38:05:00 - 38:13:20]:  Pois é, no último europeu, fomos campeões com sucessivos empatos.
[38:13:20 - 38:23:20]:  Eu também tivesse conversa com pessoas "Não, ele estava eu fórico, como é que com o empato do exador?"
[38:23:20 - 38:33:20]:  Mas aquilo já tinha sido muito mal, vamos imaginar que ele estava realmente eu fórico.
[38:33:20 - 38:43:20]:  Mas agora eu não só repete no paralamento, mas repete com uma pausa dramática ali.
[38:43:20 - 39:01:40]:  A gente já estava toda a gente se ir e ele decidiu voltar a vaca fria e aquecer a vaca. Não dá para perceber.
[39:01:40 - 39:08:20]:  Eu às vezes espantam, o Stuból faz qualquer coisa.
[39:08:20 - 39:15:00]:  -Turova certas mentiras. -Turova as políticas quando estão.
[39:15:00 - 39:18:20]:  No Stuból senta esse próximo do povo.
[39:18:20 - 39:25:00]:  Então senta uma liberdade para dizer tudo que eles vão à cabeça.
[39:25:00 - 39:38:20]:  O presidente da República vai dizer que o fundamental, olha, num gria Portugal, que o fundamental, naquele dia, era discutido a bola.
[39:38:20 - 39:45:00]:  E portanto aquela coisa da pandemia e dos numes andarem escalar, não tem interesse nenhum.
[39:45:00 - 40:00:00]:  Nós já vimos António Costa, o ano passado, a Champions em Portugal é um prêmio para os profissionais da saúde.
[40:00:00 - 40:15:00]:  Agora, estas declarações, ferrodericos, portanto já é primar, segundo e terceiro, mais altos cargos da nação, todos dizem coisas que complementem a nossa pausa.
[40:15:00 - 40:18:20]:  -Denação, danoção. -Não danoção.
[40:18:20 - 40:33:20]:  A dizer que as coisas mais tapafúrdias. E eu só pensei, aquelas pessoas que andam a lutar, têm um negóciozinho, têm um pequeno restaurante.
