[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oro-O-Esperer declara-se fraude o lento.
[05:35:40 - 05:42:20]:  E também que me fala nisso por uma simples razão, o Paul Núncio não disse nada disso.
[05:42:20 - 05:55:40]:  Bom, três notas muito simples só para esclarecer e balizar o assunto.
[05:55:40 - 06:07:20]:  O que o Paul Núncio disse foi uma afirmação de grande respeito democrático, que a que o Paul Núncio disse,
[06:07:20 - 06:17:20]:  disse que o resultado de um referendo só pode ser alterado por outro referendo.
[06:17:20 - 06:34:00]:  Ponto 2, e este tema não é um tema que conste do acordo de clicação, não constante de uma cor de clicação, não é tema para a próxima legislatura.
[06:34:00 - 06:47:20]:  Ponto 3, em relação ao tema, sabe, o CDS é o mesmo e portanto aquilo que o CDS sempre foi, é que o CDS sempre é.
[06:47:20 - 07:04:00]:  No Numelo é garantir que Paul Núncio não defendeu uma reversão da lei que permite a opção voluntária da vida e a vida.
[07:04:00 - 07:09:00]:  Afinal, defendeu ou não defendeu? Ricardo Raus Pereira.
[07:09:00 - 07:17:20]:  Eu nesta matéria vou permitir me acreditar mais nos meus ouvidos do que no Numelo.
[07:17:20 - 07:35:40]:  Eu não só defendeu como me pareceu mais uma vez, digo que foi uma excelente iniciativa, porque a daqueles em que não é preciso, é só estar a bola aparenta da baliza.
[07:35:40 - 07:57:20]:  Porque a ideia de regressarmos aos tempos do aborto que lente tino, nesta altura, mais de 10 anos depois da aprovação do referendo.
[07:57:20 - 08:09:00]:  E, olhando para, e de novo, outro dia ser, uma notícia nos parece que dizia aborto com maior tchida de sempre em 2021.
[08:09:00 - 08:19:00]:  Há hoje menos 40% de entre opções voluntárias da gravidez do que há 10 anos.
[08:19:00 - 08:27:20]:  Isto é o que costuma acontecer quando o aborto é despinalizado.
[08:27:20 - 08:35:40]:  Isto acontece é uma coisa verificável. O número de abortos começa a techer.
[08:35:40 - 08:50:40]:  E, portanto, eu acho que não precisamos de ir ao avar para saber se o Paulo não se disse, ou não disse aquilo que o Numelo diz que ele não disse.
[08:50:40 - 08:57:20]:  O Numelo não sabia que exploração estavam gravadas?
[08:57:20 - 09:07:20]:  Talvez não soubesse. Escalhar não sabia que esse é o perigo de hoje.
[09:07:20 - 09:14:00]:  Há sempre alguém com o telefone. Por causa que nesse caso era o telefone.
[09:14:00 - 09:35:40]:  O agendamento é esta questão por parte do vice-presidente, o CDS, em plena campanha eleitoral do seu ponto de vista de João Miguel Taváres faz com que a D ganhe ao perca votos.
[09:35:40 - 09:47:20]:  Quase, se eu tivesse que gostar entre ganharem e perder, eu talvez aposto de ganhar por uma razão simples.
[09:47:20 - 10:09:00]:  Primeiro, porque pode dizer que o eletogado mais conservador ficou com uma vagíssima esperança de que um dia se possamos dar uma like e agrega refriendo apenas no sentido de hoje em dia.
[10:09:00 - 10:24:00]:  É uma vitória enorme das pessoas que defendem a manutenção do aborto, não parece que não.
[10:24:00 - 10:35:40]:  É um para-doco. Se o referente desaria uma maioria clara para os cançores da IBG.
[10:35:40 - 10:49:00]:  Mas é porque tu ainda não estava as aspéras agora que o introduz uma subtilesa que certamente vai espantar o mudagador.
[10:49:00 - 10:54:00]:  E todo o nosso voto é o detório.
[10:54:00 - 11:12:20]:  Mas eu recorte que Luís Montenegro nesta matéria é para ser como o sensato. Ou seja, isso não está em discussão, está fora de questão, isso não vai acontecer.
[11:12:20 - 11:17:20]:  O percento foi uma softball para Montenegro.
[11:17:20 - 11:29:00]:  Não, eu não dir que seja uma softball para Montenegro, mas não acho que isto vai ter nenhuma espécie de implicação e Montenegro vai dizer que não.
[11:29:00 - 11:32:20]:  Nada disso, parece como uma pessoa sensada.
[11:32:20 - 11:42:20]:  Não, espere lá, pós outros que não querem, que nada muito vai dizer "ah, mas espere, este senhor não vai mudar nada".
[11:42:20 - 11:45:40]:  E isto vai se manter como está.
[11:45:40 - 11:47:20]:  E nesse sentido...
[11:47:20 - 11:50:40]:  Atender aventura...
[11:50:40 - 11:52:20]:  Acho que isso não é que é assim...
[11:52:20 - 11:54:00]:  Estou acelerando só isso.
[11:54:00 - 12:00:40]:  Que é uma coisa que foi o mais interessante nisso.
[12:00:40 - 12:09:00]:  No meio disso, foi aquela posição de andar aventura.
[12:09:00 - 12:17:20]:  Essa vale a pena sentá-lo e pedir-lo pelo explicar bem.
[12:17:20 - 12:24:00]:  Porque é engraçado, é engraçado, significa que realmente eu...
[12:24:00 - 12:32:20]:  E ela acha possivelmente que, como eu estou com o Vicito que eu não tenho nenhuma espécie de convicção,
[12:32:20 - 12:37:20]:  e ela só faz aquilo que o seu eleitorado quer.
[12:37:20 - 12:50:40]:  E nesse sentido, ela deve achar que a mãe é o parto eleitorado de chega e eu acredito que ele tem razão, não está interessado, em que há uma reflexão.
[12:50:40 - 12:57:20]:  É um valor assim, o eleitorado que ele permite que esteja crescer.
[12:57:20 - 13:02:20]:  Ou seja, a gente agora parece que tem outras pessoas em que eu fotaque.
[13:02:20 - 13:14:00]:  Este politicamente foi um tiro no pé ou uma manifestação legítima de uma convicção pessoal, pedra-me-se.
[13:14:00 - 13:19:00]:  Eu não desculpa com a vixão pessoal e a questão aqui é de discutir.
[13:19:00 - 13:25:40]:  Porque pode discutir o aborto e a substância da questão.
[13:25:40 - 13:35:40]:  Mas o que interessa para o caso e por isso aqui isso se tornou o caso é que estamos em campanha eleitoral.
[13:35:40 - 13:44:00]:  O Paulo Nússil é um dos dois de português de CDS que tem um lugar garantido nas listas.
[13:44:00 - 13:47:20]:  Nas listas isto é, no lugar e legível.
[13:47:20 - 13:57:20]:  E portanto, tudo o que ele diga que causa ruído é no que é que causa ruído.
[13:57:20 - 14:09:00]:  Caso ruído por duas razões, não parece que seja, se há 2%, 5% é o que a pessoas indecisa.
[14:09:00 - 14:24:00]:  É, porzo nível, há muitas de elas sejam da tradicional área que flutua entre o PS e o PSD.
[14:24:00 - 14:32:20]:  E portanto não parece ser isso, estou falando de poratática política.
[14:32:20 - 14:40:40]:  Que seja isso eleitorado que interessa a cativar com este tema particular.
[14:40:40 - 14:50:40]:  E terceiro e mais importante todos, talvez, é o assunto que não está no acordo da coligação.
[14:50:40 - 15:02:20]:  Portanto, é um do ponto de vista da campanha, não do ponto de vista das razões das convicções pessoais do Paulo Nússil que tentou direta.
[15:02:20 - 15:07:20]:  Tela, é um terno pé.
[15:07:20 - 15:20:40]:  E claro, se não estava naquela circunstância em defesa da opinião de pessoas, estava em representação, dado isso foi dito.
[15:20:40 - 15:24:00]:  Para esse, no princípio, dessa violência.
[15:24:00 - 15:34:00]:  É para citar Antonio Costa, que dizia que os ministros até a mesa do que é fessa, monístros, em um gariidade da V, de facto, em um gariidade da V.
[15:34:00 - 15:42:20]:  Em qualquer circunstância, qualquer essa fosse circunstância, em que ele, no outro partido, qualquer.
[15:42:20 - 15:55:40]:  Em que ele, em campanha eleitoral, preferi ser estas declarações, ela não seria ser utilizada explodível, que o político é verdade, que, como de sujo-amigal,
[15:55:40 - 16:17:20]:  isso prometiu ao ponto de negro fazer outra vez o papel do moderado. Só que neste caso, o papel do moderado, é factual do sentido que aquilo não foi, não está no programa.
[16:17:20 - 16:22:20]:  É um assunto que não vai avançar.
[16:22:20 - 16:34:00]:  E a semana até tinha cobrido mais ou menos bem, já vamos discutir se a tinta é o Corbalho-Como, por acitizar.
[16:34:00 - 17:04:00]:  Mas foi um episódio de, porque evidentemente que, nesse momento, falta a única linha da esquerda, é dizer, já tentar o passo, e agora é as ideias do PSC, são ideias radicais, veja-se os senhores agricultores, veja-se o aborto.
[17:04:00 - 17:30:40]:  O senhor desagricultores é o cabeça de lista, por Santa Ré, que agitou o fantasma de possíveis militias de agricultores.
[17:30:40 - 17:55:40]:  Mas o senhor tem um bigota ainda do século XIX, talvez seja por causa disso.
[17:55:40 - 18:29:00]:  O Jomem Gautavars, que é ser desta vez ministro do Atac, que pouco eficazes, desageria que houve uns forços para aumentar a eficacia do ataque que fomos falar no mercado de avar.
[18:29:00 - 18:52:20]:  O ácido da tinta verde lançado sobre o Lisbon de Negro na Filho, uma ação criticada por todos os quadrantes políticos, e também de ser te modo criticada neste termo pelo presidente da República.
[18:52:20 - 19:09:00]:  A utilização terminados meios, quando é feito uma vez, é uma novidado, segunda vez é novidado, a 10 e 15 já não é novidado.
[19:09:00 - 19:14:00]:  E portanto, perde muita suificação.
[19:14:00 - 19:37:20]:  A reação de Marcelo ao protesto pintou a severo del líder de AD, podemos concluir destas palavras, o Jomem Gautavars, que o presidente está desiludido com a eficacia dos jovens ativistas.
[19:37:20 - 19:44:00]:  É, se isso fomos muito litras, sim, é isso, que aquilo significa.
[19:44:00 - 19:55:40]:  Nós já távamos com saudades de Marcelo, que não dávamos a capacidade de dar uma tempestas, as coisas da campanha, e ele, claro, vai tomar uma posição.
[19:55:40 - 20:05:40]:  Por aquilo que mais uma vez acho que é algo que até corre a favor de mundo negro.
[20:05:40 - 20:14:00]:  Mas quer dizer, eu acho que consegui encontrar uma folgulação mais ablidosa do que esta.
[20:14:00 - 20:24:00]:  E ele parece que está a falar após jovens, como se estivessem encontrado ali numa peste laguídia, ou se não façam mais isto.
[20:24:00 - 20:29:00]:  A regela de gente está a fazer, arranjam outras coisas.
[20:29:00 - 20:40:40]:  Semos o ponto não é assim, não é acho que seja o seu papel do presidente da República, a limpa e a sua condinação severa daquilo que aconteceu.
[20:40:40 - 20:54:00]:  Já potencial neste incidente para que ele possa funcionar mal comparado como o episódio marinha grande do mundo negro?
[20:54:00 - 20:59:00]:  Não, não, acho que não, porque isto é pesado.
[20:59:00 - 21:07:20]:  Nem são esses sustembros, nem é isto, é um episódio da manguinha grande, não é por levar como cada tinta verde em cima.
[21:07:20 - 21:17:20]:  Mas claro, nesta as ocasiões, que são coisas evidentemente inesperadas, não se ficamos olhando, olha como é que este reas.
[21:17:20 - 21:24:00]:  Aliás basta ver mais uma vez, porque eu acho que estão quase num papel de policia bom, de policia mal.
[21:24:00 - 21:39:00]:  A reação do Número, que não teve nada a ver, o Número não voou com a tinta na cabeça, até no seu programa Ricardo, se celebrou, não ter levado, porque acho que ele disse que no meu...
[21:39:00 - 21:44:00]:  Ele disse, né, no meu bonito, eles são muito...
[21:44:00 - 21:45:40]:  Estragava a Yahbalenda.
[21:45:40 - 21:47:20]:  No meu?
[21:47:20 - 22:07:20]:  Os cabelos grisados, meus cabelos grisados, os cabelos grisados, e de morar em menos tempo, a tirago, o que significa que é uma crítica implícipta ao estado do cabelo do último dinheiro.
[22:07:20 - 22:14:00]:  Mas não é grisado, e é natural, não é grisado.
[22:14:00 - 22:17:20]:  Acho que há a distemção capilar, nada.
[22:17:20 - 22:30:40]:  A distemção capilar, mas eles aprecem, e oismo tem que regio muito bem, ali foi mais pondrada, até o regio de forma mais calma do que no Número, esteve bem.
[22:30:40 - 22:37:20]:  E disse que nadou ofetava, e que estava ponhando país sim para muito mais.
[22:37:20 - 22:45:40]:  Ele disse por mais tinta que me deu em cima, eu já mais me moderei.
[22:45:40 - 22:59:00]:  O que é que é a oficada de uma declaração assim, que não é... quer dizer, talvez faça mais e feita depois de levar um tiro.
[22:59:00 - 23:02:20]:  - Pois seja. - Agora já para a questão do marçal.
[23:02:20 - 23:04:00]:  - Sim.
[23:04:00 - 23:07:20]:  - Se puder dizer alguma coisa depois de levar um tiro.
[23:07:20 - 23:12:20]:  - E se já foi lito numa campanha natural, dei um montero na cabeça.
[23:12:20 - 23:14:00]:  - Já.
[23:14:00 - 23:20:40]:  - A grande os momentos de campanhas, eleituais, para aliar apenas a recuperar.
[23:20:40 - 23:24:00]:  - Ninguém aceito esse convite.
[23:24:00 - 23:49:00]:  - Ao contrário do que aconteceu em situações idênticas, entrehores, em que os portagomistas foram atacados, também, por tinta verde, o caso dos ministros do ar de Cordairo e Fernando Modina,
[23:49:00 - 23:59:00]:  Mundo Negro, desta vez, Mundo Negro decidiu apresentar queixa contra o manifestante que o pinto ao verde.
[23:59:00 - 24:00:40]:  - Sim.
[24:00:40 - 24:09:00]:  - Tira desta diferença da atitude, pedimos-se a alguma ilação do ar dem política?
[24:09:00 - 24:47:20]:  - Não se chamem, da não ser, não se entendem que Modina e do ar de Cordairo eram membros do Governo e, portanto, no fundo, dedicaram de exercer essa diferença, digamos, de estatuto, ainda por cima processando os ativistas, o Negro para todos efeitos, é um cidadão, na escrita, portanto,
[24:47:20 - 25:30:40]:  - Mas acho que não é muito clavante fazer uma coisa ou outra, tem direito de fazer uma coisa ou outra, acho que eu queria de muito bem do ponto de vista de dizer, "Juatim, olha, com a casa, o botomão do chital, não tornou aqui o Nenávex, parece como uma marinha grande, não é, já temos visto, tentativas de marinha grande no outras candidaturas, nesta repanheira virtual, todas muitas pífias, mas também acho, francamente,
[25:30:40 - 26:09:00]:  - Debandar da agressão da bandar, mas acho que é importante, não todos quer que as pessoas devam ou não devam processar as pessoas, agora, estão um atro, contralei, portanto, como um atro, contralei, pode, alrei para ver consequências jurídicas,
[26:09:00 - 26:40:40]:  também não sou a favor do que se crie um clima, elas estão eles, não tem 12 anos, elas estão a fazer aquelas coisas, e portanto, se estão a fazer coisas, contralei, devem, dependendo de queixa particular, devem ser censuradas, devem ser...
[26:40:40 - 27:04:00]:  - É um atisbolado, porque depois comunicou que tinha detido outros quatro membros, mesmo obrigadas, antes da ação deste valor, se deu-se que é parado, a vigilância policial.
[27:04:00 - 27:20:40]:  - Eles têm estado a secundinados, todos dos cortes estes, mas claro, acabam, estão com nada, apenas a traduzão, mas depois saem como muitas de seiscentos, oito cento.
[27:20:40 - 27:52:20]:  Mas eu até compreendo isso, mas acho que a ideia de que, vamos ver, tudo que é considerado um clima, é um clima porque é considerado uma coisa que é sociedade censura, se há-tos que, uma e outra vez, não são punidos, então a ilação que estira disso é...
[27:52:20 - 28:10:40]:  - Isso é uma coisa incomodativa, é como... - O que não for a sentido? - É como ouvir uma boca. Vai para casa, ao abandono, isso não é nada, não é? Não é uma pessoa que não vai para uma pessoa entre o nosso por causa, de uma boca.
[28:10:40 - 28:30:40]:  Agora, um tinta, quanto mais não seja por dos anos? Uma triagem, uma tinta, eu tive uma frase engraçada disso, que foi uma paicologia, porque eu tenho imenso tempo a tomar banho, a ter a ratita do que eu me entro. Até nesta favelha.
[28:30:40 - 28:57:20]:  Tem sugestões a dar aos ativistas climáticos, recardar aos preras na sequência das declarações do Presidente da República, sobre o modo que o meu esforço pode eventualmente vir a melhorar a superforma, para não parecer ainda eficazes...
[28:57:20 - 29:07:20]:  - Para espantar ainda, mas que, um tiro numa rótula, uma chadada nas coisas. - Eu não sei, mas eu não percebo sugestões, porque eu...
[29:07:20 - 29:24:00]:  Eu sou ouvir um Presidente da República, a gente quer ficar da pensar, bem, isto ainda fica a isto, o facto... Ou, mais altas mais estrada da nação, acha que assim não vamos lá, o que que devemos fazer a seguir?
[29:24:00 - 29:37:20]:  - Tem dúvidas de... - Tem dúvidas de legalidade dos conceitos que eu pudesse dar. Acho que o melhor conceito que eu posso dar é...
[29:37:20 - 29:57:20]:  Se calhar, dar uma vista do olhar em a volta e perceberam que qualquer coisa mudou. Porque até aqui o Pedro Apocada é 166, não são pessoas que não têm em 12 anos, mas durante muito tempo parecia que tinham.
[29:57:20 - 30:10:40]:  Porque era sempre, e sem ser grande na medida continua. Aqui os jovens, os jovens ativistas, e estes jovens, e depois os jovens chegaram aos jovens, e os jovens...
[30:10:40 - 30:24:00]:  Isto é o tipo de coisas que não se diz mais nenhuma e importante. Hoje, 700 pessoas de uma edade, ninguém diz a edade...
[30:24:00 - 30:40:40]:  Mas o facto deste ser em jovens tem sido um facto sempre real sabe, e a palavra é, em cima, aquilo é um bem em cima, o facto de ser em jovens.
[30:40:40 - 30:43:12]:  - Então, se os 40 anos que a natureza da
[30:43:12 - 31:13:12]:  - Én a natureza da Commission de Idealista, era a atenção, idealista, zufturede, e ainda persim o jovens, jovens, jovens, que estão muito preparados, e havia o outro tipo de condescendencia, que era a revolução, não se fazsem sang, épsis veristo, a dimensão da causa justificava os métodos.
[31:13:12 - 31:31:32]:  - Havia uma série de condescendencia, e nem em cima do muro, piora ainda, havia uma série de condescendencia relacionadas com isto, que parece a inteira acabado, porque a propria mariana mortágoa.
[31:31:32 - 31:46:32]:  - Escreveu a ontumita dizer isto é un ataque, a liberdade a democracia, se esta causa é justa, estes são os piores defensores desta causa.
[31:46:32 - 31:59:52]:  - E portanto, a receio que Maria de Mortága possa ser a próxima alvar com tinta, mas isto parece determinar aqui uma espéz de...
[31:59:52 - 32:16:32]:  Ah, o que é que é a condicia? É a quem antigamente, se fosse quem fosse, que se haça alguma coisa, não se faz pouco dos jovens, a causa é muito justa, e o jovens,
[32:16:32 - 32:26:32]:  os fiores justificam uns meios, e não era de esquerda dizer o contrário.
[32:26:32 - 32:41:32]:  Só se Maria de Mortága também já não era de esquerda, não me surpreenderia, porque todos os dias saiam de um bultinho novo com mais uma lista,
[32:41:32 - 33:01:32]:  de gente que está em cima do muro, ou já passou mesmo para o outro lado do muro, e portanto, o conselho que eu tenho para dar aos jovens, é que leiam os jornais
[33:01:32 - 33:16:32]:  e tentem perceber que pode ser que aqueles tempos de mim, que tenham uma simpatia acrícita, e os jornais que acabaram.
[33:16:32 - 33:24:52]:  - E que isto já se torna eficaz? - Pode ser eficaz, não, e de eficaz, então não se sentez.
[33:24:52 - 33:31:32]:  - Hoje é um Miguel Tavar, fica então o ministro dos ataques pouco eficazes.
[33:31:32 - 33:56:32]:  - O que é a vez do Pedro Messia, a propósito dos momentos marcantes da primeira semana de campanha, o regresso ao palco de Pedro Paço Escollio, o Pedro Messia quer tornar sememistro do sim, do não e do tal vez.
[33:56:32 - 34:01:32]:  Começamos pelo sim, Pedro Messia, sim aqui.
[34:01:32 - 34:18:12]:  - O sim, o aparecimento passa na campanha, acho que é positivo, é um ex-lheador partido, mas o primeiro ministro já tinha sido confrontoado por Pedro Núnews Santos,
[34:18:12 - 34:28:12]:  onde é que está o passo e que deu aquela resposta, quando eles estraram onde é que está o Sócrates.
[34:28:12 - 34:34:52]:  - Mas também nem se nem, não, o que é que corresponde o tal vez?
[34:34:52 - 34:39:52]:  - Não, espera, deixe-me só dizer assim, nisso.
[34:39:52 - 34:56:32]:  - Inaprópia, no certo, na certa... o carisma, como queríamos chamar, apesar de toda aquela intervenção, teve uma...
[34:56:32 - 35:14:52]:  a coelência bastante grande e bastante eficaz para... e não sei as maras tropas, embora o entusiasmo de paz por um monte negro, na campanha intervenção fosse zero, praticamente, não falou dele.
[35:14:52 - 35:16:32]:  - Também é um tal vez?
[35:16:32 - 35:36:32]:  - O tal vez, o tal vez é o argumento que foi utilizado para Pedro Paço Escollio ter feito aquela intervenção naquele cítio e com aquele assunto, sendo o assunto e migração e segurança,
[35:36:32 - 36:01:32]:  que é o fato de ser preciso disputar eleiturado que chega no algar, particularmente, onde parece que o cheio teve e terá bons resultados e, portanto, era preciso ir disputar.
[36:01:32 - 36:19:52]:  Eu não sou contrar a ideia de disputar terreno no determinado assunto, mas sou contrar a ideia de disputar o terreno com as mesmas respostas.
[36:19:52 - 36:21:32]:  - E aí que entrou não?
[36:21:32 - 36:44:52]:  - E que entrou não? Porque é verdade que algumas pessoas disseram e o concordo com isso, que não é prohibito falar de imigração, não é prohibito falar de segurança, e nem sequer é prohibito falar de relação entre imigração e segurança.
[36:44:52 - 36:48:12]:  - Cheto, quando ela é falsa.
[36:48:12 - 37:08:12]:  - A refersa à passagem do discurso de paz escolha em que o antigo primeiro ministro juntou na mesma frase, uma referência aos imigrantes e é um algado sentimento de imigração no país.
[37:08:12 - 37:34:52]:  - Lembro-me também de uma intervenção que aqui fiz por acaso em 2016 ainda no pontal, em que disse, nós precisamos de ter um país aberto, a imigração, mas cuidado, precisamos também de ter um país seguro.
[37:34:52 - 38:04:52]:  - Na altura, o governo fez ouvidos moucos disso e, na verdade, hoje as pessoas sentem uma insegurança que é resultado da falta de investimento e de prioridade que se deu em essas matérias.
[38:04:52 - 38:16:32]:  - A declaração que deu muito que falar, na Holômbra Semana, como é que foi esta aproximação de paz escolho ao ileturado do chega?
[38:16:32 - 38:38:12]:  - Eu acho que pior do que a da matricção se fizeram, se foram securitárias, nofvas ou isto e aquilo, eu acho que pior do que isso são falsas, são falsas e são inutas.
[38:38:12 - 39:19:52]:  - São falsas no sentido que nós sabemos que os números da segurança são bons em Portugal, que tendem a presentagem que cresçam muito de população estrangeira, de imigrantes e de presidentes estrangeiros em Portugal, que o crescimento é mudrado das pessoas que foram condonadas, a população presionale, não português, etc.,
[39:19:52 - 39:56:32]:  - E, por tanto, esses números, o aumento da imigração não levou ao mal momento generalizado, nem da criminalidade, por sido da dança estrangeira, numbrou 1, e, por tanto, é falsos, e, sendo falsos, não parece particularmente útil, não parece particularmente avisado, e também não é útil porque depois há o conceito de sensação.
[39:56:32 - 40:13:12]:  - Tamos em pleno momento da sensação, nunca te viveu dias mais felizes porque as pessoas sentem as coisas, e... - Ficem-se um sentimento, foi a expressão do pacifismo.
[40:13:12 - 40:41:32]:  - Mas o sentimento, claro que se deve ser elevado a sério, porque as pessoas, quando sentem uma coisa estão preocupadas, atentas, e isso, mas um sentimento não é um facto, ou seja, tem que haver a péssaro de uma separação.
[40:41:32 - 41:08:12]:  - Se uma pessoa viver num sítio, não há um homicídio, há 30 anos, mas todos os dias, acordar com medo de ser assassinável, é um sentimento, mas é um sentimento um bocadinho psicótico, porque não há trazendo nenhuma, que é justo que isso,
[41:08:12 - 41:23:12]:  - Invidamente que há criminalidade em Portugal, que há criminalidade em Portugal, há em todo lado, mas sabemos que não é esse problema num brumo, nem num por cinco, nem num brudeio do país.
[41:23:12 - 42:08:12]:  - E que não está se arrepetendo? - A abrir a porta à questão da sensação, no fundo é uma espécie de uma consciência a dizer, bom, esta associação que eu estou a fazer não é os facto, e a relação à sensação, mas isso é abrir uma porta muito complicada, porque, peixeira política para uma zona meio intensiza, meio nobolosa, que não se basei em nada, mas em preceções e sensações.
[42:08:12 - 42:33:12]:  - Quem rejuviou com as palavras de passos que ele foi, André Ventura, o líder do chega, aproveitou a casizião até para uma pergunta retórica, Pedro Passos que o olho traí da poear ou dar um estábua montenegro, que perguntou André Ventura.
[42:33:12 - 42:46:32]:  Também ele parece recadrer aos prersos que passos como uma firma aventura, foi dizer ao PSD, vou citar-lo, ponham os olhos nos chega.
[42:46:32 - 43:11:32]:  - Talvez não tenha sido assim, tão categórico, mas eu acho que o Luís Montenegro pensou estar a jogar um tronfo e no dia seguinte percebeu que tinha de facto de jogar um tronfo, que pretencia a naip dos adversários.
[43:11:32 - 43:34:52]:  Portanto, André Ventura, gostou imenso da intervenção de Pedro Passos que o olho, Luís Montenegro subiu, na campanha subiu de Faro para Porto Alegre, e apanhou-me as contarrinhas do que a gente tinha.
[43:34:52 - 43:46:32]:  - Com os tronfos, com os rancos de Jomegal Tavars, que já dava alguma idade, e que nem se querem ouvir um ocupado com o passo de coelho,
[43:46:32 - 43:58:12]:  se limitaram a servir, e fizeram aquela cruzinha com os indicadores que se faz quando se renego a Satanás.
[43:58:12 - 44:06:32]:  - Fantástico, é uma da pensão passada. - Exatamente, ou quando o passo de coelho aparece.
[44:06:32 - 44:18:12]:  Mas onde eu creio que André Ventura pode ter razão interficado, se desfeito?
[44:18:12 - 44:36:32]:  - É porque eu li o texto do Jomegal no público sobre esta questão, e o Jomegal parece muito otimista, porque ele diz que a primeira parte da frase do passo de coelho,
[44:36:32 - 45:03:12]:  que é "nós precisamos de um país aberta à emigração, mas cuidado, um país seguro", e o Jomegal diz esta frase uma vez que começa com a ideia, "nós precisamos de um país aberta à emigração, não pode ser condonada por ser, digamos, crítica da emigração".
[45:03:12 - 45:13:12]:  - Só que isso? - Serto, só que a seguir vai um mes. É como se diz assim, mas não é crítica da emigração.
[45:13:12 - 45:19:52]:  - E temos que ser entendido como crítica desde que tem que ter emigração, não pode ser entendida como isso.
[45:19:52 - 45:23:12]:  - Imagina que eu dei... - E como nas palavras?
[45:23:12 - 45:31:32]:  - Nós temos que lutar pela igualdade de direitos entre homens e mulheres, mas desde que elas não descurrem, isto estará a fazer dolar.
[45:31:32 - 45:38:12]:  O que se diz a seguir ao mes?
[45:38:12 - 45:46:32]:  - Presidica o que se diz centros do mes? - Não, eu não estou defendendo.
[45:46:32 - 45:53:12]:  - Não sei, não sei. - Não sei, eu não sei. - Não sei, eu não sei. - Não sei. - É uma coisa que até o aproxima...
[45:53:12 - 46:09:52]:  Eu não dá o acho que isto fica à celebração da minha aventura. É porque passei-me justo os outros, passei com ele, não relacionou a emigração com a segurança.
