[00:00:00 - 00:08:20]:  Os livros da Semana têm o Patrocínio, Renault Atec.
[04:33:20 - 04:45:00]:  Tanto é uma espacito festinha de uma imagem que é também a imagem de Portugal ao longo do último século.
[04:45:00 - 05:00:00]:  Pedro Machia, terá ação de lúdita sobre os lúditas que explica que a expressão lúdita,
[05:00:00 - 05:05:00]:  o senhor do Ampli de Alias.
[05:05:00 - 05:13:20]:  Um de selão chamado NetLad, chamando a Suleyfe, chamando a NetLad de Reynha Mab, de um extreveiro americano,
[05:13:20 - 05:20:00]:  que se deve se pronunciar lá em Bo, Peter Lánebo, é uma edição de antigo,
[05:20:00 - 05:33:20]:  e é sobre este movimento dos lúditas que são, que eram os operários que destruiam máquinas e campanesses,
[05:33:20 - 05:45:00]:  também no outros casos, operários e campaneles, que destruiam máquinas, porque eram máquinas que eles vinham tirar o trabalho.
[05:45:00 - 05:58:20]:  E não só essa história dos séculos anóvios e da revolução industrial, que já é bastante interessante,
[05:58:20 - 06:08:20]:  até porque nós usamos a palavra lúdita hoje, para generalizar uma hostilidade à tecnologia,
[06:08:20 - 06:18:20]:  mas o livro é muito interessante, porque acessiu outro tipo de revoltas e interroda uma ideia,
[06:18:20 - 06:26:40]:  que é polêmica na história da esquerda e do marxismo, que a ideia do progresso,
[06:26:40 - 06:35:00]:  ou seja, pro marx, estes senhores eram antigo progresso, e portanto não eram bem vindos,
[06:35:00 - 06:45:00]:  mas outros sonidores e outras coentas vêm que o progresso de uma forma mais do widroso,
[06:45:00 - 06:51:40]:  e portanto se o progresso, se o progresso é uma forma de exploração, o progresso não é bom, etc.
[06:51:40 - 06:58:20]:  Então, é um livro que, sobretudo hoje em dia, nós vemos, por exemplo,
[06:58:20 - 07:15:00]:  atacestoristas ambientalistas, ou seja, há um tipo de relação entre o progresso e o crescimento
[07:15:00 - 07:26:40]:  e a libertação dos povos, neste caso do planeta também, e que é uma descrição que continua.
[07:26:40 - 07:41:40]:  Na delá de errei, na mave, o Ricardo Raúse Pereira propõe, é um recurrento, né?
[07:41:40 - 07:43:20]:  É, Mark Twain.
[07:43:20 - 07:50:00]:  Mark Twain, sim, chama-se "Cartas da Terra", "Let's As From The Earth",
[07:50:00 - 08:01:40]:  é o diabo venha à Terra, só para observar essa experiência que Deus fez chamada "Ração humana",
[08:01:40 - 08:06:40]:  só para perceber o que é, a show muito graça, ficou pro progresso com o covio,
[08:06:40 - 08:16:40]:  e mandou umas cartas lá para cima, o livro tem a introdução do Antanero Ujo,
[08:16:40 - 08:26:40]:  que é como é que estudo muito exaustivo, muito informativo, e é isso.
[08:26:40 - 08:35:00]:  Fica assim, a sugestão das cartas da Terra de Mark Twain está concluída mais uma rirna em o semanal,
[08:35:00 - 08:45:00]:  2 ou 8 dias à mesma hora, e a qualquer hora em podcast, peda-me-se a João Miguel Taváres
[08:45:00 - 08:48:20]:  e Ricardo Raúse Pereira.
[08:48:20 - 09:36:40]:  [Música]
