[00:00:00 - 00:14:00]:  Esta semana João Miguel Tavares declarasse-se meiestro, Ricardo Braux Pereira-Sente-Scanalizador
[05:18:16 - 05:29:56]:  vê alguma relação causa e feito entre a vitória do chega na emigração e o modo como Santos Silva se relacionou no Parlamento
[05:29:56 - 05:34:56]:  por diversas vezes com o Partido da André Ventura.
[05:34:56 - 05:48:16]:  Objetivamente a leitura é essa, mas não tem a certeza que os que as pessoas que vivem fora do país sigam os detalhes...
[05:48:16 - 05:51:36]:  As até fora da Europa.
[05:51:36 - 06:01:36]:  Sim, neste caso, fora da Europa, que sigam os detalhes da nossa vida para lamentar para ter sido essa razão.
[06:01:36 - 06:13:16]:  Ou seja, eles votaram no chega, porque queriam votar no chega pelas minhas razões que as pessoas vivem em Portugal votaram.
[06:13:16 - 06:21:36]:  Mas olha que o próprio St. Valleit Tribuo, a sua rota, é a desinformação do bolso na guerra.
[06:21:36 - 06:33:16]:  Sim, claro, é normal, e, de repente, ele viu uma percentage dos votos do Brasil significativa de determinado pra isso.
[06:33:16 - 06:34:56]:  Sim, significativa é nesta.
[06:34:56 - 06:41:36]:  Agora, e que a desinformação do bolso na guerra parece incontratável.
[06:41:36 - 06:46:36]:  Agora, não se ser possível como o barco foi esta.
[06:46:36 - 06:58:16]:  Agora, que essa imagem passou ao ponto de chega e fisiada essa maneira, por causa dessa razão, sim.
[06:58:16 - 07:16:36]:  E, de facto, agora que essa co-habitação acabou, nós podemos dizer, e eu mantém exatamente o que disse ao longo, quer com Santa Silva, quer com Ferro Drix,
[07:16:36 - 07:28:16]:  da diferença entre o que eles fizeram de errado e o que eles fizeram de certa minha opinião enquanto a presentação de a Assembleia da República.
[07:28:16 - 07:44:56]:  O que eles fizeram certo e, acho que o próximo apresentação de a Assembleia da República, que vai ter uma função difícil, tem que continuar a fazer.
[07:44:56 - 07:49:56]:  É manter aquilo que se chama o decor parlamentar.
[07:49:56 - 08:01:36]:  Há certipe de pressões, há certipe de linguagem, há assinpe de modos no Parlamento que têm que ser respeitados.
[08:01:36 - 08:08:16]:  É a graja de educação, a curtesia, como se quer chamar.
[08:08:16 - 08:18:16]:  Em todos os parlamentos, é isso, em todos os vídeos, em todos os vídeos, é no Parlamento do inglês, todos já vimos em que elas...
[08:18:16 - 08:21:36]:  - Sabe a verdade. - Em que você retira essa palavra?
[08:21:36 - 08:26:36]:  Se não retira essa palavra, vai ter que ser da sala.
[08:26:36 - 08:31:36]:  Começou-se uma turma mal comportada, portanto, isso é normal.
[08:31:36 - 08:39:56]:  Agora, em compensação, eu sou por uma grande latitude do que se pode dizer politicamente.
[08:39:56 - 08:46:36]:  Acho que se deve poder dizer coisas revicares no Parlamento politicamente.
[08:46:36 - 08:51:36]:  Coisas chocantes, coisas...
[08:51:36 - 08:58:16]:  Em registrar... ataques pessoais a uma pessoa.
[08:58:16 - 09:03:16]:  E por isso, acho que esse...
[09:03:16 - 09:09:56]:  Não me choca nada aqui uma pessoa que foi eleita numa plataforma.
[09:09:56 - 09:19:56]:  Revical diga coisas politicamente revicares, porque se eu... se eu vou dizer na capa em Eleitoral, porque não pode dizer no Parlamento.
[09:19:56 - 09:33:16]:  Coisas que não sejam, que não ponham em causa, é honrar uma pessoa, que não seja uma acusação com um componente criminal, ou a ganha, etc.
[09:33:16 - 09:43:16]:  E revidentamente, cada vez mais, que eu acho que não se pode dizer, não se pode dizer, o profissista é todo pera-vida.
[09:43:16 - 09:46:36]:  Isso não é possível dizer no Parlamento, não é?
[09:46:36 - 09:53:16]:  Para citar a figura, isso, na minha mente.
[09:53:16 - 09:56:36]:  Mas...
[09:56:36 - 10:11:36]:  Eu estevo bem, sempre ao lado, estar mal... Eu acho que estevo bem no caso do Lula.
[10:11:36 - 10:23:16]:  O presente do Brasil é o presente do Brasil, seja o que é em Fora e seja qual fora sua estúria ao político e o judicial.
[10:23:16 - 10:38:16]:  Ponto 1... depois de ver se coisas bizarras de escolar o chega da comitiva das comitivas da Assembleia, nos tranjeiro.
[10:38:16 - 10:48:16]:  As comitivas, quando era por convite? Quando era por convite, sim, eu sei.
[10:48:16 - 11:04:56]:  Acho que houve uma parte de oposição de Lula chega, que, de fato, não tem que ver o presidente da SEMO da República, não tem que ser o por enquanto tal.
[11:04:56 - 11:14:56]:  É um partido enquanto... Embora se passou por enquanto, pessoa, enquanto o militante do partido todo o qual foi eleito.
[11:14:56 - 11:31:36]:  Esse clíbulo não foi fácil de ser atingido com um deputado do cheio, não foi fácil ser atingido com 12 portatos do chega.
[11:31:36 - 11:48:16]:  E boa sorte para guiar branco, seja quem for, que faz o novo presidente da SEMO da República, para conseguir manter esse clíbulo e virtuoso com 50 deputados do cheio.
[11:48:16 - 12:18:16]:  Se inscreve, recarda-vos para a afirmação de andréventura de que se tratou de uma vitória a vitória do chega sobre algo sensível, ou a de rota da algo sensível, por uma coisa de forma mais clara, se tratou de uma vitória da humildade sobre a arrogância.
[12:18:16 - 12:38:16]:  E os tarefas que eu tinha tratado de uma vitória da humildade sobre a arrogância, mas ficou com dificuldade em saber de que lado estaria humildade e de que lado estaria a arrogância.
[12:38:16 - 12:58:16]:  Porque humildade seria de lado de quem, do autor das frases, vai ser tão desimada anagômis, e de pacifico entreceiro, ou das frases, eu vou ganhar estas eleições de cheio de pacifico entreceiro.
[12:58:16 - 13:38:16]:  Ou ainda da frase "Deus confiou uma tarefa de transformar Portugal". Gente que considera que o senhor do universo, criador de todas as coisas visíveis e invisíveis, faz uma pausa na tarefa de estar de ser o grande arquiteto.
[13:38:16 - 13:56:36]:  E aí, o senhor, em Lisboa, que eu gostaria de confiar de a tarefa de transformar Portugal até perfei que ia me persinar de si com a sua participação.
[13:56:36 - 13:59:56]:  E já não fazia de jodou fã ser riqueis?
[13:59:56 - 14:01:36]:  Exato, desde o orinco.
[14:01:36 - 14:19:56]:  Mas desde o or fã ser riqueis que não havia ninguém a sair-se tão bem nos debates sobre fora de jogo, com o anibal pinto, que chamasse a atenção de nosso senhor e tivesse de ter pá.
[14:19:56 - 14:41:36]:  É este, é este fã transformar Portugal. Normalmente as pessoas que consideram que estão investidas de uma missão que foi confiada por Deus, ele para o prisione só forem de uma coisa, mas não costumasse ser humildade.
[14:41:36 - 15:01:36]:  Entretanto, com todos os votos acontados, o presidente república indigitou Luís Montenegro para formar o governo, leva a sério os nomes que têm circulado como ministriáveis, os nomes de Alta Varse.
[15:01:36 - 15:38:16]:  Não, nem por isso. Mas deixa-me só dizer uma coisa sobre o orinco sentiva, porque eu gostava de deixar claro que a exusão da democracia não é solta que a gente mal criada no paralelamento como mandra aventura e soube encarada para lamentar que confiquem-se esse esforço, não para ser claro, para em só os gritos, para ser infilmados e para ser infalados, ter sido essa estratégia ao longo dos últimos 5 anos.
[16:14:56 - 16:58:16]:  Se ela pode viver a segunda dia, mas neste momento já é só que ela descinda até em primeiro lugar. E portanto, um homem que foi braço de direitos sócrates durante 2005 a 2011, que foi essencial quando os jornalistas estavam sempre seguidos quando os bancos estavam sendo mais desententados de tomada salto, quando uma altura realmente pesada para o país, e algo sentivo foi a pessoa que estava ali ao lado dele, muitas vezes ataca a própria comunicação social.
[16:58:16 - 17:16:36]:  E eu não me esqueço disso, portanto, a egusão da democracia começa também com a sua eleição para apresentar a Assembleia da República, portanto eu celebro o facto desta vez altificado de fora.
[17:16:36 - 17:23:16]:  - Perfeiro que seja um deputado chego a ter sido eleito, portanto?
[17:23:16 - 17:31:36]:  - Entre o presidente da Assembleia da República, o gestão tinha bem o deputado...
[17:31:36 - 17:51:36]:  - Não faz a ideia que seja o deputado do chego, portanto, não faz a ideia de ser uma pessoa com grandes pequenos médios médicos, não faz a ideia nenhuma. Mas se lembra que algo sentivo até ele tinha ficado fora.
[17:51:36 - 18:06:36]:  - Agora quanto ao elenco, o Fernando Mental, que expectativas é que tem, parece que o Monte Negro tem condições para ele recrutar ministros fora do seu círculo político mais próximo?
[18:06:36 - 18:49:56]:  - Eu acho que não tenho grandes condições políticas num sentido dele, porque se as pessoas aparentes peírem para o escapar ministro. Mas, se ele também não surpreender e for o Uxuag, Miguel Ponte do Pinto Luz, o Paulo Rangel, o Aguíabra, o Número, fica uma certa sensação de profissionais da política, ainda que o PST está muito tempo afastado do poder.
[18:49:56 - 19:09:56]:  Mas se os seus ministros forgançam aquelas caras que nós conhecemos da televisão e não aparecer nada de novo, fica aquele saborzinho arrequentado ainda antes de começar.
[19:09:56 - 19:14:56]:  - Mas quem é que fora da política que é assim, ministro, por uns meses?
[19:14:56 - 19:34:56]:  - Eu, pôs, essa é uma ótima pergunta, mas mesmo dentro do PSD, certamente haverá caras menos conhecidas que podem dar ali um aresinte, aquilo chegue ainda tinta-feira.
[19:34:56 - 19:39:56]:  - Fala-se de Felipe Roseta, por exemplo, estaria nesse caso?
[19:39:56 - 19:51:36]:  - Eu acho que estaria assim e falasse também já se falou-se lá, numa pessoa que nós conhecemos bem que é o alachandômia em Cristo, que é uma pessoa que é muito dada de criação.
[19:51:36 - 19:53:16]:  - É de criação.
[19:53:16 - 20:06:36]:  - Claro, no caso da vada do alachandômia em Cristo não tem nenhuma experiência política por ele além, no caso da Fui por setas, é diferente já tem alguma taguina, não é?
[20:06:36 - 20:23:16]:  - É, também, eu liso boa, mas essas caras novas precisam da parecer. Embora eu também acho que este governo não é assim...
[20:23:16 - 20:26:36]:  - Eu não acho que não poderia almeer o dinheiro.
[20:26:36 - 20:38:16]:  - Eu não acho que isto poderia ter dada só 6 meses, acho que este governo que se quer dar pode durar 2 anos, exatamente porque tem-lhe um equilíbrio percar.
[20:38:16 - 20:46:36]:  - O meu problema é que pode durar 2 anos, esse é um governo super despesista, mas isso é a gente que vai...
[20:46:36 - 20:59:56]:  - O risco que duram poucos mesmos, uma pessoa que tem uma carreira profissional, tem uma carreira senta verdade, não se vai atravessar?
[20:59:56 - 21:03:16]:  - Não, mas pode ser que seja um acadêmico que vai estar para um início.
[21:03:16 - 21:16:36]:  - Eu acho que é uma administratinária do ministro de finanças.
[21:16:36 - 21:18:16]:  - No Palma Cedo?
[21:18:16 - 21:19:56]:  - Ah, certo.
[21:19:56 - 21:21:36]:  - Não, estou a ver que o Palma Cedo...
[21:21:36 - 21:24:56]:  - Não, mas já deu a entender...
[21:24:56 - 21:29:56]:  - Não, ele disse, obrigado por o lugar do Opa Greio, disse.
[21:29:56 - 21:48:16]:  - Entregamos ao pedra-mexia a parte de ministro do Santos da Casa, o Quanto da O Ricardo Raús Pereira quer ser desta vez ministro da ratificação, e o que é que precisou de ser ratificado?
[21:48:16 - 21:49:56]:  - O Ricardo Raús Pereira.
[21:49:56 - 21:59:56]:  - Pelo menos, a gente vai ser preciso ratificar o orçamento e há umas novidades interessantes, acho eu.
[21:59:56 - 22:09:56]:  - E, pelo menos, o Santos também, certos centíso, ratificou aquilo que tinha dito na noite das voações, dizendo que não apoiaria...
[22:09:56 - 22:11:36]:  - Sim.
[22:11:36 - 22:13:16]:  - Orçamento do PSD.
[22:13:16 - 22:33:16]:  - Ratificou, dizendo que, neste caso, concreto, apoiaria um orçamento ratificativo que satisfizesce as revindicações de policia, médicos e professores.
[22:33:16 - 22:34:56]:  - Ora.
[22:34:56 - 22:38:16]:  - Quem foi um alvado que não as...
[22:38:16 - 22:58:16]:  - Isso é a questão, é que eu estou habituado a eleições, a pareza ganha um partido que diz "nós temos uma maneira de fazer as coisas que é diferente da partida anterior".
[22:58:16 - 23:11:36]:  - E normalmente, o partido anterior diz "aê, mas cuidado, que se é um risco, olha que vem a iudeave, vem a iudeave".
[23:11:36 - 23:21:36]:  - Eu estava habituado, vem a iudeave, não estava habituado, acho que é mais raro dizer, sim, sim.
[23:21:36 - 23:31:36]:  - Vamos fazer, então, o que o governo do meu partido considerava, é impensável, na semana passada.
[23:31:36 - 23:33:16]:  - Na semana passada.
[23:33:16 - 23:36:36]:  - Pedro, no Santos, já na campanha eleitoral, no ano.
[23:36:36 - 23:38:16]:  - Bem, sei.
[23:38:16 - 23:43:16]:  - E as outras pessoas, do reto da forma cosa apresentou eleitorado, e já defendia...
[23:43:16 - 23:46:36]:  - E não há dúvida, não há dúvida.
[23:46:36 - 23:48:16]:  - Eu tenho uma acia divertido.
[23:48:16 - 23:53:16]:  - Assim como, é divertido que do outro lado.
[23:53:16 - 23:59:56]:  - Quer dizer, Pedro, no Santos e António Costa não são exatamente...
[23:59:56 - 24:03:16]:  - É assim, não são exatamente as noções, mesmo que sou político.
[24:03:16 - 24:14:56]:  - Mas que tiveram juntos no mesmo governo, eu sei que depois ele fez um grande período, em que veio aqui falar com a Nelma,
[24:14:56 - 24:23:16]:  na de circunitícias sobre todas as mal-feiturias que o António Costa estava a fazer e que ele faria diferente.
[24:23:16 - 24:29:56]:  - Mas eu fui rigoroso quando escrevi isto, ou Carlos Más Marx.
[24:29:56 - 24:43:16]:  - Eu disse... eu disse... vamos fazer o que o governo do meu partido considerava impensável na semana passada.
[24:43:16 - 24:48:16]:  - Este é incontestável, esta frase, tentei cheitar o leste.
[24:48:16 - 24:53:16]:  - E até ali, eu escrevi aqui que é para não falhar.
[24:53:16 - 24:56:36]:  - Só que do outro lado também é engraçado.
[24:56:36 - 25:09:56]:  - Do outro lado, há um partido, uma coligação, neste caso, que diz o 5º, o país está na miséria.
[25:09:56 - 25:13:16]:  - Este governo anterior deixou o país na miséria.
[25:13:16 - 25:29:56]:  - E portanto, vamos aproveitar o estudante orçamental que eles nos deixaram para satisfazer as reivindicações de policias, médicos e professores.
[25:29:56 - 25:48:16]:  - É possível que o governo anterior estivesse a guardar o estudante orçamental para os últimos 2 anos de mandato.
[25:48:16 - 25:51:36]:  - Uma normalmente é a submeto, não é?
[25:51:36 - 25:53:16]:  - O método, pego-meia.
[25:53:16 - 26:01:36]:  - Exatamente, nos últimos 2 anos de mandato, vamos então satisfazer o reivindicação.
[26:01:36 - 26:08:16]:  - Só que o governo caiu ao fim de ver.
[26:08:16 - 26:28:16]:  - O governo apresentando um arçamento retificativo e proponde estas medidas, este é risco que a primeira votação seja para a polonia de unidade.
[26:28:16 - 26:33:16]:  - A polonia de unidade é possível, é possível.
[26:33:16 - 26:41:36]:  - O que você quer também também também entender que não vai aprovar nada ao lado da direita.
[26:41:36 - 26:53:16]:  - Mas torna-se difícil ir contra medidas que o próprio partido apoia.
[26:53:16 - 26:54:56]:  - A polia de fendeu.
[26:54:56 - 27:04:56]:  - Sim, assim, para aquela maneira de dizer que a solidar de resolva-feifício quer dizer, podia ir mais longe.
[27:04:56 - 27:06:36]:  - Podia ir mais longe.
[27:06:36 - 27:26:36]:  - E se for mais longe e fizer uma espécie de cheque ao PS, pondo nesse retificativo, a possibilidade de redução da carga fiscal, por exemplo, que estão que de vida.
[27:26:36 - 27:31:36]:  - O PS e do PS. Isso pode...
[27:31:36 - 27:33:16]:  - Mas isso seria estupente.
[27:33:16 - 27:34:56]:  - Para olhar...
[27:34:56 - 27:36:36]:  - Esquantas.
[27:36:36 - 27:38:16]:  - Mas isso seria um tiro no PS.
[27:38:16 - 27:41:36]:  - Quando a vantagem do PS, se fazer isso.
[27:41:36 - 27:49:56]:  - É uma forma de levar pro diante as propostas eleitorais que apresentou.
[27:49:56 - 27:56:36]:  - E de esperar que o PS se definisse.
[27:56:36 - 28:04:56]:  - Mas porém causa a possibilidade de dar uma boa notícia eleitorado.
[28:04:56 - 28:08:16]:  - Que fazer a provar.
[28:08:16 - 28:11:36]:  - Essa situação...
[28:11:36 - 28:13:16]:  - Quer dizer...
[28:13:16 - 28:14:56]:  - Quanto mal anos, não sei.
[28:14:56 - 28:18:16]:  - Tu, por hipóteses.
[28:18:16 - 28:19:56]:  - Não sei, tu, por hipóteses.
[28:19:56 - 28:21:36]:  - Não sei, tu, por hipóteses.
[28:21:36 - 28:23:16]:  - Não sei, tu, por hipóteses.
[28:23:16 - 28:24:56]:  - Não sei, tu, por hipóteses.
[28:24:56 - 28:26:36]:  - Não sei, tu, por hipóteses.
[28:26:36 - 28:28:16]:  - Não sei, tu, por hipóteses.
[28:28:16 - 28:29:56]:  - Não sei, tu, por hipóteses.
[28:29:56 - 28:31:36]:  - Não sei, tu, por hipóteses.
[28:31:36 - 28:33:16]:  - Não sei, tu, por hipóteses.
[28:33:16 - 28:34:56]:  - Não sei, tu, por hipóteses.
[28:34:56 - 28:36:36]:  - Não sei, tu, por hipóteses.
[28:36:36 - 28:38:16]:  - Não sei, tu, por hipóteses.
[28:38:16 - 28:39:56]:  - Não sei, tu, por hipóteses.
[28:39:56 - 28:41:36]:  - Não sei, tu, por hipóteses.
[28:41:36 - 28:53:16]:  - Isso foi muito divertido porque tu estava simultaneamente discutido que é passe, que a ninguém foi estudado, isto vai, que é igual a fim de seis meses.
[28:53:16 - 28:54:56]:  - Mas depois disso.
[28:54:56 - 29:01:36]:  - Não sei, nós queremos fazer que o morceamento retificativo para aumentar os policícias e os professores.
[29:01:36 - 29:06:36]:  - E de repente, peda um de santo, eu apoi a sorçamento retificativo.
[29:06:36 - 29:11:36]:  - E a seguir vem a da aventura, eu apoi a sorçamento retificativo.
[29:11:36 - 29:19:56]:  - E de repente, o PSD, que estava em risco, não teve a pôr, ninguém agora corre e esteve a pôr a mais.
[29:19:56 - 29:21:36]:  - Não.
[29:21:36 - 29:24:56]:  - Porque é em todos os alpotes em simultâneo.
[29:24:56 - 29:34:56]:  - Eu tenho a equilidade de ganhar ter saudades do diabo, que é o próximo governo.
[29:34:56 - 29:44:56]:  - Mas fique feliz que o Lisbon dele tenha visitado a senhora a vandela e a vice-ela ele diz ao meu micito.
[29:44:56 - 29:48:16]:  - Não pode estar a fazer tudo que está potece.
[29:48:16 - 30:09:56]:  - É que, no dia de que o anúncio de Pedro Mussandres, este no Cersei da Du Boaien, é compatível com a garantia que o próprio Pedro Mussandres deu na noite das eleições de que é que, antes de antes de operar a tática.
[30:09:56 - 30:18:16]:  - Já tinha comentado que esses milhares estão os que eu dava o Supaul dizer, não faço mais fintas.
[30:18:16 - 30:38:16]:  Não existe tática, faz parte da política. Além do mais o Pedro Mussandres assim consegue demarcar-se de políticas impopulares.
[30:38:16 - 30:48:16]:  - Tanto olha o costa, que estava um pouco esportelhado, com o lugar durante a campanha, etc.
[30:48:16 - 31:08:16]:  - Daram um ar de responsabilidade, contribuindo para uma coisa que agrega das pessoas, e a partir daí está livre, o resto ande fica parecendo no bom, mas dissocia-se normal.
[31:08:16 - 31:29:56]:  - O grande problema aqui, e essa é um problema que vai ser muito interessante, tem todos que estarem ao seu melhor de reventura, pelo Nuno Santos e o Lisbon do Negro, é saber para a que a cor da parte...
[31:29:56 - 32:11:36]:  - A tática ela está? - Exato, porque há duas coisas que são, para mim, impensáveis. Uma é a ideia de um bloco central, que seria, evidentemente, que a tata estrófida, porque é um bloco central, não quer dizer, oficial, não quer dizer, uma condicendência do PS, chaciva do PS para como a governança da AD, significaria que a oposição não chega.
[32:11:36 - 32:38:16]:  - E por tanto, isso vercia nas próximas eleições, o que eu coisultava. Depois, aí, evidentemente, e pode ver um bloco das direitas, mas também há uma coisa bastante pisa que foi edita pelo António do Anonamento, que chega não há um problema do PS.
[32:38:16 - 32:58:16]:  - Mas, claro, não falam uns que os outros, porque já até este, isso, para nós íamos promar aqui um jambulanca da esquina, porque... - Por que ele cortava as coisas? - Por que ele resistesse.
[32:58:16 - 33:24:56]:  - Por tanto, já se está bom... - Já disse várias vezes no programa, se vei o fascismo, então o PS, se o PS acha que vei o fascismo, cabe ao PS e evitar o mais possível, e não dizer isso não é problema meu, é assim.
[33:24:56 - 34:09:56]:  - Que frase tem a frase, vei o fascismo problema não é meu. Uma frase bastante rítmico, não é, tanto às duas uma, o PS diz "ah, este é um problema da direita, não é, porque basta ver as julos da eleitorais, para perceber que a gente também come eleitorado, o PS, e depois, este é um problema do PS, ou não, se o PS acha que este é um problema do PS, da democracia nos 50 anos, de 25 de abril, tem que ter isso em mente sempre que toma precisões políticos.
[34:09:56 - 34:29:56]:  - O Ricardo Raújo Pereira fica, então, o ministro da reatificação, é a vez do João Miguel Tavares se tornar ministro do Euro-Setisismo, Euro-Setisismo de quem, João Miguel Tavares? - Ninguém.
[34:29:56 - 34:33:16]:  - Ninguém? - É a citizens, ninguém.
[34:33:16 - 34:56:36]:  - Então, se criar a ludir a frase, Antonio Costa, de embroxelas, ainda no fato de preber ministro, e, em jeito de tranquilização, dizer, o Slovander Lain, que, entre os pareceros europeus,
[34:56:36 - 35:09:56]:  não há razões para alarme quanto ao resultado das eleições, em Portugal, porque, e agora você tal, o chega nunca fez campanha contra a União Europeia.
[35:09:56 - 35:16:36]:  - Exatamente. - O que é que viu de... - O que é verdade? - Errado nesta frase.
[35:16:36 - 35:31:36]:  - Nada, ele, que pensa que sentou, ou explodar que qualquer atitude de ego-osetisismo, eu não vejo nada errado, aché muita graça essa frase.
[35:31:36 - 35:56:36]:  - Prazer. - Por várias razões primeiro, porque esteja verde com 2015, e em 2015 eu fiz uma jenga engança com dois partidos de Euro-Setis, portanto, se isso fosse uma coisa assim, então, então, esteja preocupadomente conhecendo 2015.
[35:56:36 - 36:13:16]:  Mas aquilo que me admira essa é porque é, possivelmente, o primeiro exceo-seu-lista, realmente importante, em que eu vejo em tudo inúas sem relação a chega.
[36:13:16 - 36:33:16]:  Porque o chega, e, acho que, continua, a ser tratado como uma espécie de besta negra toda ela, de ponta do cabelo ou a ponta dos pés.
[36:33:16 - 36:48:16]:  E é, para a primeira vez, que um sociolista ainda, por cima, António, costa ver, então, o que é, o que é, o que é, o que é, ainda é Euro-Setis.
[36:48:16 - 37:01:36]:  - E para ela... - Podia ser para o ruso, para o ruso, para o que é, mas, evidente que o português com 50, o Estado, vai se levar com no antes,
[37:01:36 - 37:08:16]:  de qualquer forma, é invitável, ou seja, de partilhar a audiência.
[37:08:16 - 37:16:36]:  - A Miguel Morgávo, o que disse aqui na Secretaria Estas Declarações de Constituição, um ultraso nacional?
[37:16:36 - 37:28:16]:  - Não, não, eu uso ultras coisas, para mim, fago bem divertidas, e muitos discolhecedoras reparem.
[37:28:16 - 37:41:36]:  É que o tempo, porque, ao vão tempo, é que o próprio Lisbon de Negra, o Vantávii Pótesse, até no dia, ter conversações e o corte que chega antes do não é não.
[37:41:36 - 37:44:56]:  - Sim, sim. - Vai lá, se eu se mudrar.
[37:44:56 - 37:54:56]:  - Mas não, altura, ninguém admitia sequer que o Vessé Simpote, como é possível, o chega mudrar-se.
[37:54:56 - 38:04:56]:  E da minha ideia, que parece que em Portugal, as noances têm sempre que ser apresentadas pelas que erram.
[38:04:56 - 38:24:56]:  É um bocadinho com em 1978, que foi o primeiro, quem finalmente atribuiu a devido a respeitabilidade democrática, ao CDS, foi marçoar,
[38:24:56 - 38:33:16]:  - Acho que quando se diu que... - Comligar-se com o CDS no segundo, o que ver constitucional.
[38:33:16 - 38:56:36]:  E parece que a direita tem tanta horror, a ser considerada radical, que ainda vemos de ver que deixa que uma ideia para a Pedra de Nundes Santos, que é ser o século ligar-se com o chega.
[38:56:36 - 39:16:36]:  Acho que eles conseguiam fazer um governo e tem mesmo uma maioria absoluta, não ficam senta-me em 50 mais de 1828.
[39:16:36 - 39:26:36]:  - 50 mais de 1828. - Não, olha que o vento é o vento da imprensipe, o aceitaria.
[39:26:36 - 39:34:56]:  - Por que o vento da imprensipe é o que é o treveiro? - Não, sempre que é a cidade, não está em ser.
[39:34:56 - 39:44:56]:  - O segundo, porque sempre diz que PS e PSD são iguais, hein? - São iguais, hein? - Não, não, não é só isso.
[39:44:56 - 39:58:16]:  - Como chega para cultivar mais ele, está claramente, de virar a esquerda, não tem nada a ver com o chega de 2019.
[39:58:16 - 40:08:16]:  Não é um chega que já não quer nacionalizar, que é tapo, que é que puguos reformar de colsa lá em mim,
[40:08:16 - 40:24:56]:  portanto é um chega brutalmente pesista e portanto, com estas voltas todos e reverha voltas, acho que António Costa abre uma porta que sabe para dar a ideia de estúrgas ao Partido de Seu List.
[40:24:56 - 40:41:36]:  - Quando refere a 2015 é para dizer que António Costa está a ser troca tinta-se? - É, em relação a claro, em relação a 2015, aquilo que foi a Jogin Gossa,
[40:41:36 - 40:54:56]:  nesse momento é igual a setecismo, para ele não era um problema, mas, mais uma vez, acho que ele falou bem e se lembra isso, aprende não com António Costa.
[40:54:56 - 41:01:36]:  - A frase de António Costa, pelo que o Mati, tudo troca tinta-se ou de estavista?
[41:01:36 - 41:18:16]:  - Eu quero fazer uma carreira europeia e portanto, vai lá dar garantias que nós somos bons alunos, que não há nada, não há problema nenhum, não se preocupa, não se assusta, etc.
[41:18:16 - 41:34:56]:  E portanto, o ponto de vista dos seus interesses pessoais e até se quisermos, de imagem do país, acho que até é positivo e o que ele diz não é falso.
