[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavarres confessa-se zero.
[06:33:20 - 06:50:00]:  Festas é que tem dificultades. Infelizmente não muitas, mas sei, sei a entiúria, que a exvisão...
[06:50:00 - 07:01:40]:  Levemos nos livros. Exatamente. Que a exvisão de rabos, de facto, anima festas, mas também estraga. Isso é que é curioso e afeginante.
[07:01:40 - 07:13:20]:  Era essa refletão que eu vinha trazer pelo gisto. Não estava a espera de dissensão.
[07:13:20 - 07:36:40]:  -Vosof não se calou. -Vosof não se calou e estava a falar no TT. Sendo que não me percebo que houve acelos nas coecas e exibidas pelos... Por isso não perceba a sensação.
[07:36:40 - 07:40:00]:  Qual é a dissensão?
[07:40:00 - 07:53:20]:  A dissensão, eu acho que acho que eu acho que mesmo que isto com rabos de míadas não funciona da mesma milhaude, com rabos de míudis, não é nenhuma espécie de sexismo, é uma questão mesmo de matemática.
[07:53:20 - 08:18:20]:  Porque quando eu estou aqui falando do lugar da fala do homem, não é? Não quero ter que ver falar no lugar da mulher. Mas no lado do homem, o que diz a estatística, é que 90% da população é até sexual e 10% da população ao molso sexual.
[08:18:20 - 08:41:40]:  Há dovidas sobre isso, 10% e 5%. Portanto, quando são três rabos poludos, como eram os antigamente, os dos anos 90, a maior parte da população masculina olha para aquilo e dizem "e empate três rabos poludos", que é o raro, e tal.
[08:41:40 - 08:46:40]:  E fixa-se no portégio, o que é este desomé, isto é uma lia fazer?
[08:46:40 - 08:53:20]:  Sim, mas a população feminina quer dizer é que é...
[08:53:20 - 09:01:40]:  E não sei, acho não é igual. Quando quando são rabos de míudis, acho que aquilo depois funciona ao contrário.
[09:01:40 - 09:18:20]:  É que isto é isso, que você acha, tu acha isso, que isto é imestético, o corpo masculino, senso senhor, eu tinha uma experiência neste programa que era um momento max-vêbara, mas eu não queria que o ano não existia.
[09:18:20 - 09:30:00]:  Você esteja muito bem, isto é o nosso tempo, solargamento ultrapassável. O Pedro Mexia quer desempatar?
[09:30:00 - 09:31:40]:  Este foi o momento max-vêbara. Aquilo é meio não funciona?
[09:31:40 - 09:38:20]:  Não é o momento do momento inteiro, é no artigo, ninguém fica...
[09:38:20 - 09:43:20]:  Estas animadas em som, acho que...
[09:43:20 - 09:53:20]:  Fila-se, não, desculpa, aquilo lá sempre ali. Eu acho que pagar população até é igual sexóleo, mas é o particular momento sensualidade e não deputar isto.
[09:53:20 - 10:01:40]:  Aumentimento, voce este não é armados em som, desculpamento. Não, não, não. Isso é... Parece...
[10:01:40 - 10:10:00]:  Então armados em som, se acho que depois estas estas estas estas estas imagens vão pagar aos forgos errados.
[10:10:00 - 10:21:40]:  Tu nevesse ser, este é como batentes pelo clima, mas parece sempre as combatentes pelo clima, mas se este é invitar.
[10:21:40 - 10:25:00]:  Os rabos dizia app...
[10:25:00 - 10:28:20]:  E depois? Exatamente, é o seu.
[10:28:20 - 10:51:40]:  É ou seja, isto é só o padizé, com rabos mídios não funcionam, tem que ser rapos de rapados pelo menos a partir do meu lugar da fala.
[10:51:40 - 10:51:40]:  O rabo está ali, desprevido de toda a... Está, está com a da mentira, não é? Significações... Eroóticas.
[10:51:40 - 10:56:40]:  Fala, vocês são os alugamões. Isso está a propósito da festa, socialista dos 50 anos.
[10:56:40 - 11:00:00]:  Fala, vocês são os alugamões, vocês são os alugamões. É um alugamão.
[11:00:00 - 11:01:40]:  É um alugamão.
[11:01:40 - 11:03:20]:  Não, não, não, não. São os...
[11:03:20 - 11:05:00]:  É, vocês são os alugamões.
[11:05:00 - 11:08:20]:  Pode, não pode fazer aquilo, não pode.
[11:08:20 - 11:15:00]:  É, isto está ao desveral de parar uma conversa sobre os 50 anos do partido de socialista.
[11:15:00 - 11:18:20]:  Fátalmente, tinha que ir. E acho que é bem feita.
[11:18:20 - 11:25:00]:  Na festa socialista, além do atual líder António Costa,
[11:25:00 - 11:33:20]:  se tiveram apenas dois antigos secretários de raiz do partido, Vitor Constância e Ferro Drix,
[11:33:20 - 11:41:40]:  Antónios de Ascuro Rancos ou convite e José Socrates não fosse que era convidado.
[11:41:40 - 11:56:40]:  Viu aliás, ser ele retirado o título que normalmente é atribuído de responsável pela primeira maioria absoluta do PS.
[12:00:00 - 12:11:40]:  É mesmo que o Eduardo Ferro Drix, que o PS teve a primeira maioria absoluta da sua história
[12:11:40 - 12:23:20]:  nas eleições europeias de 2004, onde sob a liderança do Eduardo Ferro Drix,
[12:23:20 - 12:35:00]:  o PS teve uma vitória estrandosa, a pessoa primeira maioria absoluta e infligiu
[12:35:00 - 12:40:00]:  uma monumental de rota à direita empurral.
[12:41:40 - 12:51:40]:  António Costa, revisitar a história para retirar José Socrates à autoria da primeira maioria absoluta
[12:51:40 - 13:01:40]:  socialista, poderá falar-se este respeito João Miguel Tavarres de um ajuste de contas que o passado.
[13:01:40 - 13:11:40]:  É que pode, mas lá está. Eu mais preocupado com o ajuste de contas de contas que o passado
[13:11:40 - 13:20:00]:  estou preocupado com o ajuste de contas que o presente, porque ao mesmo tempo que nós vemos estas imagens
[13:20:00 - 13:30:00]:  e qual é que é o subtexto? O subtexto é "o sócrates não fosse de um primar que o primeiro foi Ferro Drix".
[13:30:00 - 13:40:00]:  Foi o primeiro, o Ferro Drix é que teve a primeira maioria absoluta, eu tive a última e tu estás lá no meio
[13:40:00 - 13:43:20]:  e não tem essas anigas.
[13:43:20 - 13:53:20]:  Mas enquanto isso acontece, nós de repente vemos o "resprese" desta sexta-feira e o que a gente vê.
[13:53:20 - 14:00:00]:  Olha os crimes dos José Socrates para escreveram todos. É verdade que eles fomem uma bola do peixe?
[14:00:00 - 14:03:20]:  - Sou de peixe? - Não, é verdade.
[14:03:20 - 14:08:20]:  - Mas isso? - Lá está. Isso não é um subbravo muito.
[14:08:20 - 14:13:20]:  - É verdade. - Por ver, isso leva a questionar porque aquilo não é convidado por este...
[14:13:20 - 14:21:40]:  - Então por esse desafio? - Só se foi por isso. - Foi isso. - Então é o argumento.
[14:21:40 - 14:26:40]:  - É uma grande injustiça. - O argumento foi que ele se desfiliou.
[14:26:40 - 14:33:20]:  É uma grande injustiça, como homem que não se calhar nem se quer fazer julgado.
[14:33:20 - 14:43:20]:  Mas para um subselho, isto é que se desfiliou, acho que o Partido Civilista, enquanto Governo, tem se forçado de imenso
[14:43:20 - 14:56:40]:  da sua incapacidade de reformar os estes mantes distis e de irregular-lais que estão neste momento a impedir que ele seja julgado
[14:56:40 - 15:08:20]:  por permitir, em tantos e tantos recursos, por tanto, é assim, longe, pode-te estar longe da vista, pode estar...
[15:08:20 - 15:13:20]:  Eu sinto que está muito perto em educação ainda.
[15:13:20 - 15:20:00]:  - Nique significada é que atribui a autosco-lusão da Antónia de Assurro.
[15:20:00 - 15:26:40]:  - Antónios de Assurro, eu acho que há muito tempo que é dizer o que qual é o significado é isto.
[15:26:40 - 15:36:40]:  Eu não quero ter nada a ver com isto. Eu não gosto destes senhores, não gostava do outro que teve a maioria absoluta
[15:36:40 - 15:45:00]:  e também não gosto destes que teve a maioria absoluta que me definestrou altamente.
[15:45:00 - 15:48:20]:  - Tem essa sensação também que não gostam dele.
[15:48:20 - 15:51:40]:  - Também. - Tem essa sensação que não gostam dele.
[15:51:40 - 16:00:00]:  Antónios de Assurro é verdade que eu acho que ele poderia ter representado um outro que tem de PS,
[16:00:00 - 16:20:00]:  mas este PS, na verdade, não existia e eu foi atroplado em 2015, por que esse Partido Civilista, que continua aqui todo vissoso, dá cabo do país.
[16:20:00 - 16:25:00]:  - Sinto inveja da festa socialista, peda-me-se.
[16:25:00 - 16:30:00]:  - Inveja por causa da frase do...
[16:30:00 - 16:31:40]:  - De sim?
[16:31:40 - 16:41:40]:  - É a frase do António Costa, é direita em vez do ADN.
[16:41:40 - 16:50:00]:  - Eu vim de este destaque, não percebi que a frase referia.
[16:50:00 - 17:06:40]:  E depois do que a frase referia é que parece que há pessoas maldosas, que falam dos níveis de desenvolvimento de outros países,
[17:06:40 - 17:30:00]:  com gêneras e comparam os resultados. E António Costa disse que se se preocupa, que essa pessoa se preocupa com quem está mais desenvolvido ou se aproxima mais de nós.
[17:30:00 - 17:50:00]:  Com certeza, nós comparamos os cursos nossos parceiros da União Europeia, o nosso desenvolvimento em condições globalmente similientes deve ser comparado com quem se compara conosco.
[17:50:00 - 18:08:20]:  - Não, inveja, não quero mala, os países do leste europeu, seja quem for, mas se nós vivemos no mesmo espaço, económico neste caso, sobretudo.
[18:08:20 - 18:21:40]:  E se há algum shitsão de corro bem, e em Portugal não corro bem, essa comparação parece absolutamente natural na política,
[18:21:40 - 18:46:40]:  mas em vez de que se inveja, tem algum gosto com o mal dos outros, agora quando nós não acompanhamos os índices bons, então alguém chamava esse deegamento o governo, deve ser responsabilizado por isso,
[18:46:40 - 19:08:20]:  - Não é em vez de ambição. - Mas do que isso, António Costa disse que a direita tem em vez do ADN, não ADN da direita e um ADN da esquerda?
[19:08:20 - 19:30:00]:  - Não estou a parte das últimas descobertas das genéticas, acho que não, aparentemente não há quase nada no ADN, há muito pouco coisa, mas isso é uma frase que não tem esse esquerdo sentido útil.
[19:30:00 - 19:53:20]:  Mas a comparação tem sentido útil, porque essa é cedente que é invejoso, nós compararmos uns com os outros, estamos sempre sempre sempre comparando uns os outros,
[19:53:20 - 20:18:20]:  porque o governo conseguiu, o que é com um país fejo, o que é que um líder, o que é que foram estrenos um líder que faça o outro, isso faz parte da vida política, a vida política tem qualquer coisa de comparação, dizer que isso é inveja, não faixa a ti de nenhum.
[20:18:20 - 20:53:20]:  - Entregamos ao Ricardo Raúx, para a pasta de ministro dos 50, quanto ao João Miguel Taváres, quer ser a desta vez ministro dos pensionistas, atribui o aumento extraordinário das pensões João Miguel Taváres ao governo ou ao PSD, que vai reclamar esta semana louro por esta medida.
[20:53:20 - 21:41:40]:  - Eu acho que isso não me ame um pouco ou outro, eu só que estava aqui, ou vez de repenta alguém, espérito político, disse-se assim, pere lá, mas vamos lá ver isto, são que mil milhões de horas, a partir daqui a todos os anos, e mais de dois mil milhões de horas para o próximo ano, porque afórmula aparentemente tualmente vai manter-se, eu que estava aqui a alguém que te utilicisse, pegue, isso faz sentido, é que se deve investigar este dinheiro, as contas do estado do suporte vão isso, e eu não vejo ninguém, viu uma estraníssima e uma quase unanimidade em todo o espérito político.
[21:41:40 - 21:56:40]:  - E eu ai sim, como pouco representado. - Mas acho que há irresponsabilidade, as contas certas estão por ser postas em causa a isso?
[21:56:40 - 22:30:00]:  - Eu, o tempo, até agora, então, em constatinho em nomes de feitos, que eu, bastamente, fui expondo aqui, e nós criticávamos mais centenas, e eu, por a PMD, mas dizemos, as clítecas é um seguinte, estes senhores continuam a praticar a austeridade e tanosar a alde acabar, afingir que essa austeridade não existe, mas essa austeridade está lá, e portanto é a ideia de contas certas,
[22:30:00 - 23:18:20]:  continuávala, é evidente que nós, quando passado, o país conseguiu boas contas, a custa, mais uma vez um aumento de gigantesco daquilo que é carga fiscal, e portanto, há poder-se a supor, uma espécie de mais endima nobre, que o governo agora, de repente, decide gastar, no aumento de pensões, de 8,5% para as pensões mais baixas, mas também, de 7,5% para pensões, algumas delas,
[23:18:20 - 23:45:00]:  que estão acima de 5 mil euros, é verdade que são poucas, mas é bom que as pessoas da inundação diz, faz sentido, está a aumentar, ainda que sejam só 1%, pensões acima de 5 mil euros, as 7,5% e para o ano, mantendo-se esta forma local, que é uma forma que já vem desde 2007,
[23:45:00 - 24:06:40]:  em tempos que não existiam inflação, e portanto, juntando a inflação com o crescimento económico, para o ano, mais almente que podem chegar até aos 9%, e de repente, em um intervalo de 2 anos, almente de 18%, incluindo para pensões que estão acima de 5 mil euros,
[24:06:40 - 24:26:40]:  eu gostava de ver isto, realmente, conversado nos passos públicos, eu escrevi sobre isso, e, a vez muito poucas pessoas que fiquem em este tema, e eu, para quem ainda tem memória dos tempos da teoria, acho que é um pouco...
[24:26:40 - 24:46:40]:  E, ver, de sejam do governo, como uma forma de amendar a mão, depois de um onda de críticas que se levantou no final do ano passado, com aquelas alterações de introduzidas na altura, quando foi adiantado pagamento também, a pensão à cada pensão...
[24:46:40 - 25:05:00]:  Eu não vejo como um amendar de mão, vejo, na verdade, como me dida profundamente para o polista, mas, uma vez para comprar aquilo que se está a tornar a classe eleitoralmente, mais importante, Portugal, que é classe dos pensionistas.
[25:05:00 - 25:23:20]:  Em 2024 são as relações europeis que se tornaram eleições absolutamente decisivas, e o PS quer ter algum resultado de sente nessas eleições, e portanto quer ter os pensionistas felizes.
[25:23:20 - 25:53:20]:  As críticas do ano passado, em 2022, têm ver a sobretudo a ver com a explicação do António Costa, porque a explicação do António Costa é que foi de uma sensício, de uma aldega bisse, vergonhosa numa pagamentoada, em que, evidentemente, ele estava, digamos assim, em ganhago os pensionistas, adiantando-lo em um estado de uma pensão para ele, depois...
[25:53:20 - 26:11:40]:  Evidentemente, em 2022, em 2023, os almenos poderam ser mais baixo. Amendida é inteligente, ela foi apresentada de forma a la Gabona, mas isso são coisas diferentes.
[26:11:40 - 26:38:20]:  Nós neste momento temos uma apresentação que não foi a la Gabona, mas eu defini de muito que esta amendida, tenho uma sensação de este, comparável, à amendida do ano passado, mas seja como for, sem sensação, ou em sensação, eu gostava que isto fosse discutido, que alguém levantasse as questões, por que parece que é troca ou não, então, outra vez que paguei...
[26:38:20 - 26:53:20]:  Por que estes níveis estamos outra vez a subir a despesa de primária, vem mais uma crise, e que vem outra vez a alguma coisa, vamos chamar outra vez a Europa?
[26:53:20 - 27:10:00]:  É isso que foi realmente pensões, pedram-se-se de uma tentativa do governo de recuperar a popularidade, no momento em que tem os índices popularidade um pouco afetados.
[27:10:00 - 27:28:20]:  Há duas coisas e quando é isso, uma raza é um pouco malindrasa, porque não é uma questão apenas na área dos grandes principios éticos e copoliticos.
[27:28:20 - 28:03:20]:  É um tema de uma coisa mais trivial, então, em coisa de segura, não houve cortes, neilusões e trucos, como ficou claro da outra vez, explicação, foi avendo, foi avendo aliás, mesmo as coisas boas que este governo, por este governo, entende-se, desde o tempo de centena conseguiu,
[28:03:20 - 28:36:40]:  houve trucos, alguns desses trucos, acabaram por ser positivos no seu resultado, mas trucos, e a muita vez tentadorar a pila dessa forma um pouco difícil, ou ano passado, as pessoas não acreditaram há uns meses, as pessoas não acreditaram claramente nisso.
[28:36:40 - 29:21:40]:  Mas há uma questão que o João Miguel levanta e que é uma questão importante e que não se responder, na verdade, porque, por um lado, quando o João Miguel diz, e é verdade que o especialista são o setor ilytural muito importante, e significa que na prática, os partidos com a ficação governativa, tem que estar atentos a setores ilyturales muito importantes.
[29:21:40 - 29:55:00]:  E eu concordando ou não com a reação dessas pessoas, assisti, já falei isto, aqui várias vezes, porque me impressionou muito, assistiu uma coisa inédita na minha experiência política, de observar as questões políticas,
[29:55:00 - 30:30:00]:  que as políticas ao nível pessoal familiar, a relação do governo, de passos que eu e com os pensionistas, gerou a mais avançadora crítica à direita que eu já ouviante pessoas direita familiar, e conhecidos nunca, em nenhuma circunstância, ou vitente a gente vai falar mal do governo direito, por causa disso.
[30:30:00 - 31:15:00]:  Eu não estou sequer a produzirmos sobre a substância, estou a falar de uma coisa concreta, e algumas dessas pessoas, votantes na A, digamos assim, desde 1975, não votaram depois disso, e por tanto, a minha pergunta é, há uma questão que é orçamental, que é da estabilidade das contas, que é da sustentabilidade,
[31:15:00 - 32:03:20]:  mas há uma questão política, e de facto, não tenho certeza que seja possível governar contra ou não tendo a enconta, se quisermos, sendo de uma forma mais suave, parte importante do eleturado, no caso do governo passe ser muito evidendo, porque era aquilo era eleturado daquela área política de caras, de caras, e hoje em dia, de vez em quando, há umas chondagens, em que fazem perguntas mais setorias, e sabemos que há pessoas, dessa faixa etária e dessa área política,
[32:03:20 - 32:35:00]:  que ainda tem esse assunto, encravado, e portanto, eu não estou a te curdar da substância da questão, estou a pensar se é possível, realmente, que a ser eleturalista não seja eleturalista com o eleturado, que são fundamentais,
[32:35:00 - 32:58:20]:  há qualquer coisa proverso neste crescinho, há, com certeza, mas também há qualquer coisa proverso, e não poderia ler isso hoje. Quem não pareceu especialmente imprecionado com a decisão do governo de fazer esta aumentos extraordinários das pensões, foi o presidente da República?
[33:03:20 - 33:28:20]:  É o governo a fazer aquilo que podia ter feito quando a certa altura decidiu esperar para ver se podia fazer, e eu sempre achai que iria fazer, porque se não fizesse, havia problemas jurídicos, se levantavam.
[33:28:20 - 33:48:20]:  Ou seja, subententes das palavras de Marcelo, o governo no fundo não tinha outro remedio, que lações tira desta alfinetada presidencial, Ricardo Aospreira.
[33:48:20 - 34:08:20]:  São difíceis tirar caras, porque ao mesmo tempo que o presidente está a dizer é que o que o governo está a fazer agora é politicamente justo, só que é filozoficamente impossível.
[34:08:20 - 34:28:20]:  Porque o que o governo está a fazer é devolver uma coisa que alegre nunca ter tirado, e portanto, isso não se pode fazer, é impossível, é impossível fazer, pelo menos, na lógica, o clídean.
[34:28:20 - 34:43:20]:  Talvez, estijamos em natural que Portugal funcionam no atralógico, nós estamos habituados a isso.
[34:43:20 - 34:58:20]:  Mas quando foi roubado a armamento, não exército de português, foi recuperado mais do que a ci-derrobado.
[34:58:20 - 35:01:40]:  Exatamente. Nós temos um país.
[35:01:40 - 35:11:40]:  Ou seja, nós podemos estar a funcionar nisso, de universo, em meta-versos.
[35:11:40 - 35:21:40]:  Exatamente, em que as regras habituais não se apliquem. É um gosto, acho eu.
[35:21:40 - 35:23:20]:  E a maior genóvelidade?
[35:23:20 - 35:25:00]:  Sim.
[35:25:00 - 35:43:20]:  Os homicletes avaros ficam tão ministros dos pensionistas, agora é vezes do Pedro Muxia se tornar ministro da clarificação e acha que aí pode-se de ela vir a ser bem sucedida, Pedro Muxia?
[35:43:20 - 35:50:00]:  Sim, porque não é preciso da clarificação. É que isto é um fio seguinte.
[35:50:00 - 36:10:00]:  Bem, isto propósito já agora promessa ministro da defesa de clarificar e apelar a ver a dela, junto do presidente brasileiro, a posição português à respeito da guerra na Ucrania.
[36:10:00 - 36:22:32]:  O que grau de embarasse é que atribui a visitar de Lula da Silva Portugal, depois das declarações em que quando no apoio ocidental a resistência ou
[36:22:32 - 36:45:52]:  a regração do Lula, depois das declarações em nenhuma. Acho que há um grau de muito duvidosa questão do 25, que tabiou já falamos sobre isso agora.
[36:45:52 - 37:02:32]:  É a questão da Ucrania, é uma não questão porque clarificar o que? É a posição de Portugal, a Clarinha, a posição do Brasil, a Clarinha.
[37:02:32 - 37:15:52]:  Nuno dos dois está equivocado com ela, em um dos dois tem, em um dos dois países tem e pode fazer o outro mudar do opinião.
[37:15:52 - 37:32:32]:  E além do mais, a visita do chefe de Estado, particularmente no chefe de Estado, um país língua portuguesa, é independente do cheio do opinião sobre o Estado do mundo.
[37:32:32 - 37:47:32]:  Digamos que é no lista de opiniões de pluráveis, o política internacional do Lula, necessé ser a pior coisa que ele diz a que acredita.
[37:47:32 - 38:00:52]:  Também é Clarinho que, embora, tem a mudar tudo da política brasileira, isso não mudou de Bolsonaro para Lula.
[38:00:52 - 38:20:52]:  Portanto, nós, com alguns parceiros extra-europäus, se fazemos parte da minoria, apesar de tudo de pessoas que, no mundo inteiro,
[38:20:52 - 38:40:52]:  que acha que a ocrania foi evadida e, legalmente, evadida e é preciso ajudar a defender ela, o Brasil não acha. Não vejo que isso seja um problema, nós não temos que partilhar a nossa política.
[38:40:52 - 38:54:12]:  Não, mas o convite, mas o convite no 25 de abril. Mas isso é tudo tal, concordo com isso, mas isso é isso.
[38:54:12 - 39:12:32]:  Mas isso, o questão da ocrania não aquece na irrefece a relação a isso, ou seja, vem cá um presidente brasileiro que tem uma opinião em políticas que têm na diferente do governo português.
[39:12:32 - 39:24:12]:  E então, nada, mas eu vencai convidar, não pago uma coisa e eu não posso ir, eu não posso ir, eu estou tentando ter mais uma opiniões neste caso.
[39:24:12 - 39:40:52]:  Mas não temos a discutir a visita do Presidente Lutam, os outros que tirei as clarações da ministra da defesa, que acha que há alguma coisa a esclarecer.
[39:40:52 - 39:54:12]:  Nós não estamos a armar a ocrania, estamos a ajudar a defesa da ocrania.
[39:54:12 - 40:12:32]:  O Presidente Lutam, por exemplo, está uma frase para o porto lá, naquilo lá de um eixo alternativo, Russia, China, Brics e o Diabo.
[40:12:32 - 40:19:12]:  O nosso e o Diabo também entra, mas está a ver, este evento é disponível.
[40:19:12 - 40:37:32]:  E, portanto, não faz sentido explicar uma nada, porque a gente tudo isto é claro, tudo é claro, a opinião do mundo, é claro a opinião do outro, é claro a legitidade da opinião do mundo e do outro.
[40:37:32 - 40:49:12]:  E é claro as razões pelas quais as pessoas têm essas posições e pelas quais fazem de desentendidos na praça pública.
[40:49:12 - 41:00:52]:  Ou seja, o Lula não acorda a pensar, a gente aqui foi uma opração espalheta especial.
[41:00:52 - 41:20:52]:  Eu sabe como toda a gente aqui foi uma invasão, mas não ele dá jeito estar do lado americano, porque há toda uma mitologia da esquerda latino-americana, em que isso não é...
[41:20:52 - 41:30:52]:  Não perceba, acho que isto foi um ruído se se disserem assim.
[41:30:52 - 41:37:32]:  Foi Lula devia ter falado nisso na esta altura.
[41:37:32 - 42:00:52]:  Tem a certeza que não olhou o página e eu vou Portugal nessa semana. Não acredito que Portugal não estará em primeiro lugar, faça outras visitas que ele tem, de estado que ele tem entendido nos últimos dias e nas últimas semanas.
[42:00:52 - 42:29:12]:  A Universidade de Marcares contraia a favor da cerimónia e da recessão no Parlamento, o presidente brasileiro na próxima terça-feira, de que forma isso poderá marcar este ano de comurações do 25 de abril.
[42:29:12 - 42:44:12]:  Acho que poderá marcar, desviendo assim as atenção do desgraçado do 25 de abril, que se calhar marcia melhor sorte.
[42:44:12 - 42:50:52]:  Eu tive doente esta semana, Carlos, ainda estou um bocado e por isso estou...
[42:50:52 - 42:52:32]:  Combalido.
[42:52:32 - 42:57:32]:  Sim, eu sinto falta de... em alturas como esta.
[42:57:32 - 43:05:52]:  A ver, o genialofes que você foi sobre isto, sobre o Gustavo, precisamente nos encontramos quando estamos doentes.
[43:05:52 - 43:15:52]:  Eu vejo as manipulações a favor do Lula e controlula, sinto falta de uma grande manifestação de indiferença.
[43:15:52 - 43:27:32]:  De borrífar. Estava em si, senhora. Eu... eu vou sinceramente... eu fico curioso para saber...
[43:27:32 - 43:34:12]:  O que eu sou de infereça seria... uma contradição...
[43:34:12 - 43:40:52]:  Não interessa. Não interessa. Eu também li esta.
[43:40:52 - 43:47:32]:  E a uma com muita vimência.
[43:47:32 - 43:50:52]:  Porrífar. Porrífar, de para isto.
[43:50:52 - 44:00:52]:  E tenho um interesse, que é saber quais serão os termos do discurso do Lula.
[44:00:52 - 44:10:52]:  Por que falar, por exemplo, falar... é um chefe de estado extranjero, não é?
[44:10:52 - 44:24:12]:  E não, normalmente... o chefe de estado extranjero, que vem agora, quase cinco e tênis depois, falar sobre uma data histórica.
[44:24:12 - 44:37:32]:  Se ele quiser fazer uma abordagem sob atualidade, é indica-pável falar da guerra e vai ser um problema.
[44:37:32 - 44:45:52]:  Se ele quiser falar sobre a data, aquela que estão dos três dias, um dos quais era descolonizar.
[44:45:52 - 44:54:12]:  E se ele se impatiza com o imperialismo do Putin, também vai ter um problema.
[44:54:12 - 45:00:52]:  Por isso eu aprecio exercício de escrita criativa.
[45:00:52 - 45:04:12]:  Estou muito, muito, muito interessado em saber...
[45:04:12 - 45:14:12]:  O que é que eu vai se calhar vai ser um ensai sobre os caravos.
[45:14:12 - 45:17:32]:  A relação... os caravos.
[45:17:32 - 45:30:52]:  O que é que serão necessários de uma regalta-vaspe para manter a dignidade do estado no clima que se criou
[45:30:52 - 45:37:32]:  entre o entorno desta visita do presidente do maior país, de língua oficial e portuguesa?
[45:37:32 - 45:50:52]:  Bom, eu como presidente da associação das pessoas que se indignam com coisas, das quais nenhum destes meus colegas é sócio.
[45:50:52 - 45:57:32]:  Eu posso se tentar se forçar porque é que...
[45:57:32 - 46:02:32]:  É uma baixa na nossa manifestação do estômago por Ivan.
[46:02:32 - 46:19:12]:  Sim, sim, da mesma maneira que eu tenho baixas constantes de voces, porque não há linha na associação de pessoas que se indignam com coisas que são absolutamente invidentes, porque é que se domingo indignar.
[46:19:12 - 46:22:32]:  Mas eu posso tentar fazer mais uns forços.
