[00:00:00 - 00:11:08]:  Esta semana recartera aos prédios sentidos apoiado. João Miguel Tavares sentidos muito só.
[13:36:08 - 13:46:08]:  Não, ainda não virada, posso te encher que a minha mulher quando viu que o rejuílou e não ficou.
[13:46:08 - 13:49:28]:  Ficou, ficou. Mas é quem ensaí-me.
[13:49:28 - 13:51:08]:  É, com ela.
[13:51:08 - 13:57:48]:  Eu deve dizer que isto é muito engraçado, mas eu até tenho dificuldade.
[13:57:48 - 14:09:28]:  Eu quero voltar a contar. A gente tinha um dos alí, 9 políticos para anunciar 7 jogos.
[14:09:28 - 14:12:48]:  7 jogos. 9 políticos, 7 jogos.
[14:12:48 - 14:19:28]:  Se um daqui é os políticos, que é cada um, eles iam um jogo diferente, não tem jogos.
[14:19:28 - 14:27:48]:  Não tem jogos profissivos para ir. Foi aquilo que foi anunciado naquela outra.
[14:27:48 - 14:29:28]:  É um raço que...
[14:29:28 - 14:34:28]:  É um raço muito inusitável.
[14:34:28 - 14:37:48]:  É um raço muito inusitável.
[14:37:48 - 14:39:28]:  Mas...
[14:39:28 - 14:46:08]:  Mas, que existe, não é apapamento europeu, mas independentemente se fosse um europeu.
[14:46:08 - 14:52:48]:  Há uma coisa que o Ricardo não sobrevindou, que é...
[14:52:48 - 14:59:28]:  Nós estamos com um contexto específico. Isso não é um ano. Qualquer, certo?
[14:59:28 - 15:09:28]:  Sepastamente é o ano da pandemia. E quando nós nos lembrem, isto é o ano da pandemia, quando isto deixa de ter graça.
[15:09:28 - 15:14:28]:  E é porque isto deixa de ter graça, que é maior parte dos portugueses.
[15:14:28 - 15:19:28]:  E esta gente avaliou aquilo muito mal.
[15:19:28 - 15:27:48]:  Porque é maior parte das pessoas que eu vi a minha volta, ouve uma espécie de indignação, generalizada.
[15:27:48 - 15:36:08]:  Desta pessoas terem atrevido a fazer este tanuncio indirete nos telas ordinais às 8 da noite.
[15:36:08 - 15:42:48]:  Este tipo de propaganda não conta este de covid.
[15:42:48 - 15:52:48]:  Já agora, com os Estados fobão vazios, mas, pois visto que em Portugal, os Estados tem continuos vazios,
[15:52:48 - 15:59:28]:  mas aparentemente eles podem, não continuos às vezes, ainda se vai ver se sim-se não.
[15:59:28 - 16:07:48]:  E neste contexto, este tipo de anuncio é uma coisa obscena.
[16:07:48 - 16:12:48]:  E depois vem e me dizer que o André vem de qualquer populista.
[16:12:48 - 16:22:48]:  Porque isto é o gesto maior populismo, mas de desbaragado populismo, que eu me lembro que teve isto há muito tempo.
[16:22:48 - 16:36:08]:  E estar lá a primeira, a segunda e a trigissaga figuras do Estado, mostre que está toda a gente a ficar leida cuca.
[16:36:08 - 16:39:28]:  Estas opções já foram usadas.
[16:39:28 - 16:42:48]:  E já e um segue já foi.
[16:42:48 - 16:46:08]:  Tem um dos intervinhentes.
[16:46:08 - 16:51:08]:  E, portanto, isto por um lado, tem graça.
[16:51:08 - 16:56:08]:  Por outro lado, acho que é um momento, verdadegamente preocupante.
[16:56:08 - 17:02:48]:  Aquilo é um sinal da desgraça que pode vir aí.
[17:02:48 - 17:17:48]:  Portanto, o número de infeções de diárias na zona de Lisboa continuou a aumentar, mas a direteira geral de saúde ainda não põe de parte de possibilidade dos jogos de Champions.
[17:17:48 - 17:22:48]:  Eles virem a ter adapto nas bancadas.
[17:22:48 - 17:26:08]:  Diz que ainda não é altura para se falar disso.
[17:26:08 - 17:32:48]:  E recebeu com satisfação a notícia que vamos ter visitas na capital.
[17:32:48 - 17:42:48]:  Creio que o número de visitantes, quanto maior for para nós, país melhor,
[17:42:48 - 17:59:28]:  desde que obviamente cumpram as regras que foram previamente estabecidas entre todos os intervinhentes, relativamente, portanto, a Champions.
[17:59:28 - 18:17:48]:  E a questão do público como sabem e voto a dizer, na direção de jade a saúde, tem que um parça ili-censial na avaliação da situação que chama a federação portuguesa de futebol.
[18:17:48 - 18:32:48]:  E portanto, será sempre que a federação portuguesa de futebol, que aconcionaremos essas questões neste momento, é percoce dizer se o jogo for.
[18:32:48 - 18:47:48]:  O que é percoce saber se vai haver público nas bancadas neste jogos da Champions em agosto, a diretora geral de saúde, de também preocupada com a saúde.
[18:47:48 - 18:51:08]:  A diretora geral de tudo isso.
[18:51:08 - 18:52:48]:  E economia.
[18:52:48 - 19:16:08]:  E são as mais línguas, dizem que a razão placoal, a marca Portugal triunfo e obterve esta grande vitória, foi porque a marca Inglaterra, a marca França e a marca Almanha, não se preençava muito sábado neste grande vitória.
[19:16:08 - 19:27:48]:  Como é que a valia pedra-mexão, uma de umas autoridades de estonhas de lírico de libero entre as preocupações com a saúde e as preocupações com a economia?
[19:27:48 - 19:46:08]:  A três coisas que eu percebi e o meu que não percebi, como é que percebi logo que é e que é a melhor notícia dessas todas, é que vai haver 8 opós equipas a jogar em Portugal.
[19:46:08 - 20:02:48]:  Estando, o que é inédito, não aconteceu, e portanto agradeço muito que finalmente alguém joga o futebol em Portugal, acho que tem que se importar para que isso acontece.
[20:02:48 - 20:36:08]:  E depois, percebi duas coisas, até certo ponto, percebi o prestígio que quer receber uma prova internacional, por que o que disse a Deus do capacidade organizativa, Portugal, percebi com importantes estes eventos são proturígenes, depois não percebi uma coisa que foi o ano.
[20:36:08 - 20:39:28]:  Eu estava sem o som.
[20:39:28 - 21:07:48]:  A país está bom, mas é quando, a esta não. Não percebi esta parte, porque esta parte, o percebo é bom ter uma final da Champions e diz coisas boas sobre a nossa capacidade, seja de organizar essas Champions, seja de outra evento qualquer.
[21:07:48 - 21:34:28]:  Isso é positivo para Portugal e tendo a ser positivo para trazer muita gente ou teixeios, que está durante cheio, mas esta não é narrativa de 2020 e não vai ser a tempo, nada indica que vai ser a tempo do campeonato.
[21:34:28 - 21:44:28]:  Não percebi o ano, ou percebi maluano, isto é muito conteúdo.
[21:44:28 - 21:57:48]:  O será que já se deu a volta e a economia tornou-se bastante mais importante do que a questão sanitaria.
[21:57:48 - 22:12:48]:  Nós tivemos a atoridade sanitária das reguzes jarences, com isso, que é um pouco contra o produtente, era o que a gente estava a dizer da...
[22:12:48 - 22:17:48]:  É da diretor de autorismo. É da diretor de autorismo.
[22:17:48 - 22:19:28]:  É da diretor de autorismo.
[22:19:28 - 22:27:48]:  Ou seja, a opinião era uma opinião sanitária, porque isso que ele cabe não propriamente.
[22:27:48 - 22:44:28]:  E evidentemente todos nós queremos que o turismo recuperem Portugal, porque é muito importante para nós. Mas a diretor de autorismo saluda e importa dar uma opinião sanitária.
[22:44:28 - 22:52:48]:  A opinião não nos tranquiliza. Acho que nós estamos tranquilos com isto.
[22:52:48 - 23:02:48]:  Por mais que é marca Portugal, que é uma expressão que eu também não gosto particularmente, mas que entrou no lexico político.
[23:02:48 - 23:14:28]:  E ainda se pode ser marca branca. Eu estava pensando nisso sobre as pessoas que cairam em dezoz, nós temos que fazer marca branca.
[23:14:28 - 23:22:48]:  Mas que é um bocadinho marca branca nestas coisas, a marca Portugal.
[23:22:48 - 23:32:48]:  Eu ia dizer que os estivais continuam por evidos, supostamente, e os grandes estivais do Ganto Varão inteiro.
[23:32:48 - 23:42:48]:  E os estádios de futebol continuam vazios. Eu sou muito sensível e já foi aqui e dito muitas vezes, há abertura da economia.
[23:42:48 - 23:56:08]:  Não há a ver política. Se não vai haver política, estamos a fistejar o que?
[23:56:08 - 24:02:48]:  A vinda das equipas e a capacidade organizativa.
[24:02:48 - 24:09:28]:  E as duas vezes mais novos políticos dos quais.
[24:09:28 - 24:21:08]:  Oito políticos, o presidente da defensão, afetar o facto de viagrem 7 equipas, passear a Portugal.
[24:21:08 - 24:34:28]:  Oito aqui para os 7 chocos. Vem cá o Messi, porra, é isso. A unicológica que isto tem para fazer sentido.
[24:34:28 - 24:46:08]:  Porque ela diz que finalmente isto vai abrir e vem muitos estugueses para aqui gastar dinheiro.
[24:46:08 - 24:54:28]:  Eu consigo perceber esse argumento. Agora, de facto, esse argumento não é compatível com os atuais números.
[24:54:28 - 25:06:08]:  Supostamente que estão em Lisboa com o que estamos ouvindo certos surtos. Imagina só.
[25:06:08 - 25:14:28]:  Imagina só isto. Agora vinho e agosto.
[25:14:28 - 25:19:28]:  Começamos a deptos de futebol. Não são os espectaculares.
[25:19:28 - 25:24:28]:  Afastar em uns dos outros. Tendem fistejága e a taguei monte.
[25:24:28 - 25:41:08]:  Surtem Lisboa. E então deixa. Com este surtão de Lisboa não pode exagir.
[25:41:08 - 25:47:48]:  Não pode exagir. É só um bolo e ainda agora não é só um bolo.
[25:47:48 - 25:57:48]:  E ainda agora vimos aqueles imagens e naples da vitória da taça.
[25:57:48 - 26:04:28]:  É bastante escante. Imagina que é um surto em Lisboa no início de setembro.
[26:04:28 - 26:14:28]:  E então, dizem, olha os milho de estão em casa. As colegas têm continuado porque isto agora não é seguro.
[26:14:28 - 26:17:48]:  Acho que sim. Eu vou estar muito sem aqueles imagens.
[26:17:48 - 26:32:48]:  O Ricardo Luz para a parte de ministro de Champions. Quando o João Miguel Tavarres, ou através dele, quer ser desta vez ministro da persiguição legal ou a margem da lei?
[26:32:48 - 26:46:08]:  O Miguel Tavarres? Não. Enfim, aparentemente a margem da lei segundo o autôrgido da tese da percepção.
[26:46:08 - 27:06:08]:  Se você falar da reação, d'António Costa, ao Projeto Lei do PAN para alterar as regras de nomeação do governador do Banco de Portugal, o Primeiro Ministro veio iniciativa com uma perseguição.
[27:06:08 - 27:31:08]:  O caso concreto do automário centeno. Eu não compreende, acredito que ninguém no país compreende, esta furia de alguns partidos na Assembleia da República do Pesquirem, do Castigarem, como se tivesse contido a algum crime.
[27:31:08 - 27:36:08]:  Nos qual foi o crime? Fadei-se de membro do Governo.
[27:36:08 - 27:49:28]:  Uma pergunta da António Costa para quem quer impor um período de nojo no Banco de Portugal a crime, o João Miguel Tavarres?
[27:49:28 - 28:11:08]:  Não há crime, mas desde quando é que é a precisa da ver crime. Desconde é que a precisa da ver crime, portanto, é a base de crime, naquilo que é a vida da República, a base de crime é tudo de válido. Não existe uma coisa chamada conflite de interesses.
[28:11:08 - 28:22:00]:  O que é que curiosamente quando nós vamos legas normas de conduta do Banco de Portugal, eles dedicam para aí 15 pontos aos conflitos de interesse, que é uma pena onde viu um lást
[28:22:00 - 28:48:40]:  só deviam dedicar 15 pontos a crimes e dizem "não é para quem com o teu crime não pode vir para aqui", mas isso entende não só num crime que saiba como tem um correio no chelente para ser o Governador do Banco de Portugal, aliás é a equadra do Banco de Portugal e é para lá que voltaria.
[28:48:40 - 29:03:40]:  Eu consigo perceber que voltasse, as pessoas não devem ficar sem emprego só porque tiveram um cargo político. Agora, para o Governador do Banco de Portugal, eu não consigo perceber como é que...
[29:03:40 - 29:17:00]:  Eu não consigo perceber como é que é conflite de interesses porque ele vai tratar de assuntos que decidiu no Governo.
[29:17:00 - 29:47:00]:  - Básicamente? - Só para sublunhar este ponto, sou obce esta semana e queria perguntar se se acham extralevante, que se for para o Banco de Portugal, sentendo vai ter a fiscalizá-lo, uma equipa nomeada por eu, foi eu quem escolheu os elementos do atibol, com o céu e da auditoria.
[29:47:00 - 29:58:40]:  - É evidentemente, é logo uma razão para não ir, conflite de interesses óbvio que as pessoas que deviam vigiar, foram nomeadas pelo próprio.
[29:58:40 - 30:03:40]:  Logo, puma, conflite de interesses. Sá muito mais.
[30:03:40 - 30:10:20]:  - As pessoas, um dos argumentos que utilizam, já se fez no passado.
[30:10:20 - 30:22:00]:  O argumento já se fez no passado, eu acho que eu tenho ganhado, já se fiz imensa coisa no passado, não é? Ele é o que mais discutou hoje em dia, as coisas horríveis que fizem no passado.
[30:22:00 - 30:37:00]:  Também nas tintas que este se tenha feito no passado, se fez no passado e fez se mal. A mesma é que a si o Valop é o Miguel Blesa, além de não ser iguais aos Marcos Centeno, era um outro tempo.
[30:37:00 - 31:00:20]:  E era um outro tempo também, na forma como a política está relacionada com o sistema bancário, porque nós vimos de uma queda abrupta do sistema bancário, com a falência ou bancarota de imenços bancos.
[31:00:20 - 31:27:00]:  Marcos Centeno, este envolvido na resolução do baninho, este envolvido na nova venda do novo banco, este envolvido na capitalização da caixa geral de pósito, este envolvido na história do mundo de piu, que é uma história, peça-se em malemententada, peça-se em malemententada, este envolvido em todas essas histórias.
[31:27:00 - 31:43:40]:  E agora vai para o Banco de Portugal, quando estes bancos continuam a ser bancos com dificuldades, para o Mamá disse, e estes problemas vão entender a aumentar com o crise monumental que vem,
[31:43:40 - 31:58:40]:  e é pessoal que andou a decidir, naqueles casos, que agora vai regular aquilo, e as pessoas acham isso normal, eu não consigo perceber como está se for relacionado com o Banco de Portugal.
[31:58:40 - 32:32:00]:  Nós estamos falando aqui desta sunto, na semana passada, entretanto, e é uma das redões porque voltamos a ele, ele teve desenvolvimento o PS esta semana, pediu declarações a este respeito, ao Banco de Portugal, e ao Banco Central, europeu, parecem de depoimentos necessários para que o Parlamento possa referir
[32:32:00 - 32:42:00]:  de legitimidade desta escolha, ou é uma tática de relatória por parte dos cientistas Pedro Messias.
[32:42:00 - 33:08:40]:  Claro que é uma tática de relatória, eu acho que, na verdade, se nós, se nós pusermos como critério da ética pública, a lei no me aramento crime, temos uma exigência muito baixinha para a regulação da vida pública.
[33:08:40 - 33:33:40]:  E parece-me que este caso, de que foram citados, nomeadamente essa da equipa de fiscalização nomeada pelo possível futuro governador, parece-me um caso que não é preciso se estar escrito em um lado nenhum, para a douragem de perceber que é problemático.
[33:33:40 - 33:48:40]:  Eu, a foi na semana passada, eu falava que falava, mas disse, acho que é problemático que se fizesse uma lei neste momento, porque era claramente uma lei sobre centeno.
[33:48:40 - 34:08:40]:  Assim como as pessoas que defenda esta nomeia são, defendei centeno e o corriculo de centeno, mas o problema não é centeno, o problema é que se nós achamos em tese, porque é a única maneira sério de discutir este assunto, etc.
[34:08:40 - 34:23:40]:  Em tese, há ou não problemas de confetes de interesses. E estas notícias e outros casos que sabemos demonstram que há problemas da perfeita.
[34:23:40 - 34:53:40]:  E aí, do bloco de esquerda, nessa matéria, o bloco de esquerda diz que não vai... Não, o bloco de esquerda, o bloco de esquerda, o bloco de esquerda diz que esta lei não vai servir para esta nomeiação incontrato, mas que acha que há um conflito de interesses salvatador.
[34:53:40 - 35:10:20]:  Ali não vai servir peste, caso é concreto, mas a lei foi aprovada neste momento para como elemento de pressão e portanto acho que esta este.
[35:10:20 - 35:15:20]:  Eu tenho dúvidas nisso que estes trei acentidos.
[35:15:20 - 35:30:20]:  Eu acho que sou tão pouco dada, eu acho que isto não vai adorar com a inspiração.
[35:30:20 - 36:03:40]:  Mas eu vou acabar de dizer, só se eu me expira, mas eu estou tentada achar que esta lei, que é uma lei adorada, não é duvida, foi sendo candidamente portulada até esta altura e que os próprios partidos políticos, peça e péssita, não, porque acha tudo bem.
[36:03:40 - 36:15:20]:  Não é que estou. Não, acho que vai. Não, acho que vai, mas é isso.
[36:15:20 - 36:35:20]:  Bloco de esquerda, péssita, e possivelmente também o pan, estão a fazer uma espécie de julguinho para ficarem bem no retrato sabendo a partida que não impedeu mais sentendo para lei.
[36:35:20 - 36:48:40]:  E é só para isso que isto seja. Ou seja, eles não querem pedir a iida do mais sentendo, querem pacificar para ser que querem ir para cada coisa do voto,
[36:48:40 - 36:57:00]:  que a gente sabe que vai perder uma votação, mas ficam em arte, ficam em arte que te pagaram.
[36:57:00 - 37:10:20]:  A importância que dá, Ricardo Rojo-Perão, o FAC do PCP não vê a incompatibilidade numa eventual nomeação de sentendo no Pro Banco de Portugal.
[37:10:20 - 37:28:40]:  Não é a probabilmente um caso inédito, o PCP parece partir do princípio e até certo ponto sensato, de que isto dá alta financia tudo uma cambada.
[37:28:40 - 37:48:40]:  Não interessa, mundo interessa, não interessa, eu tarea em virar com o FAC do governador ir ser fiscalizado por uma equipa que foi nomeada por ele, como o PCP, no mundo alta finança isto.
[37:48:40 - 37:50:20]:  É que comecei a ter peravida na verdade.
[37:50:20 - 38:00:20]:  Exato, no Pro PCP, eu tarea em virar com um criminoso que quer me endir matar uma velhota através de fora da passadaira.
[38:00:20 - 38:10:20]:  Não é para, não é interessa, deixe-la, óbvio, já sabe o que é que vai dar, já sabe o que vai dar.
[38:10:20 - 38:20:20]:  Então é que estão em, de exemplo, domicídeo de velhota, sem entenderem essas particularmente.
[38:20:20 - 38:27:00]:  Eu, eu, eu, é, como é óbvio, uma lei feita a anavida.
[38:27:00 - 38:35:20]:  É ilogitima, não é? Não, não se faz isso, não se faz uma lei, a medida não está sabendo.
[38:35:20 - 38:53:40]:  Não está sabendo, é curioso. É curioso que, se eles que eu ia dizer mais, na verdade isto também foi um processo feita a anavida para Mario Centeno sair do Governo ir em virar.
[38:53:40 - 39:05:20]:  É que estão em qual é que é me dizer então mais irregular, se eu não eu acho que, eu acho que vai ter de ser, vai ter de ser.
[39:05:20 - 39:13:40]:  Ok, isso entendo desta vez passa, mas vamos fazer uma lei boa, próximo já não passar.
[39:13:40 - 39:17:00]:  É, em principio, é sempre assim, não é?
[39:17:00 - 39:28:40]:  O João Miguel Navajo, que então ministro de perseguição, agora é vezes do Pedro Messias tornar ministro de natureza das coisas.
[39:28:40 - 39:33:40]:  O que é que não surpreendeu esta semana, Pedro Messias?
[39:33:40 - 39:38:40]:  Ah, é a única coisa que não quer surpreender. Não, é uma coisa que surpreendeu.
[39:38:40 - 39:52:00]:  É, a única coisa que me surpreendeu foi que eu não sabia, não estava a partir disso, que havia um conflito entre o aeródipotado do PAN e o partido.
[39:52:00 - 40:00:20]:  Mas é da natureza das coisas, por exemplo, que os deputados dissidentes não abdiquem do mandato.
[40:00:20 - 40:07:00]:  Sim, é da natureza do PAN. É de ter que o mandato é deles e é que o mandato é...
[40:07:00 - 40:13:40]:  Não é da natureza do PAN, é da natureza do PAN, mas o mandato é partidamente repetido.
[40:13:40 - 40:27:00]:  Mas é da natureza do PAN, e isto está bem assim, aliás, falamos isto no caso de João Sino de Catarmuraera, mandado a daela e é assim mesmo que as coisas funcionam.
[40:27:00 - 40:50:20]:  O PAN ficou sem representação no Parlamento Europeu com a desfileação de Francisco Guerreiro, era o único aeródipotado do que o PAN tinha, percebeu as divergencias políticas que levaram a este fecho?
[40:50:20 - 41:05:20]:  Tem algumas coisas que, pela própria resposta do partido, que sepanem ali divergencias internas, mas não percebi o fundamental.
[41:05:20 - 41:20:20]:  O fundamental? Não percebi o fundamental, porque para se esquerrer é a coisa o PAN de ter virado à esquerda.
[41:20:20 - 41:37:00]:  O PAN de finil, de esta forma, encantadora como um partido que não é de esquerda na indirecie, que é o caminho para o desastre, porque não existe.
[41:37:00 - 41:53:40]:  O partido tentaram isso na Europa nos últimos anos, os cidadãos tentam o Ísci, depois virar a viraita, os cinco estrelas tentam o Ísci, depois virar a esquerda, praticamente ninguém.
[41:53:40 - 42:02:00]:  E há o partido de macron que não virou lá, nenhum pequeno macron quando eles apareceram o partido também desaparece.
[42:02:00 - 42:17:00]:  E portanto, os partidos são a de esquerdação de direita. E acho que se pode dizer que no legislatura anterior o PAN esteve consistentemente do lado do PS,
[42:17:00 - 42:28:40]:  não só nas grandes votações, na campanilitural, a indirecie foi encantador com o PS.
[42:28:40 - 42:32:00]:  Mas agora está a envirrar com o centeno?
[42:32:00 - 42:55:20]:  Agora está a envirrar com o centeno, mas não se pode dizer que o discurso geral da bancada até sinto, parecem por exemplo que no caso da retórica animalista que até teixou de tom, não as declarações de indirecie,
[42:55:20 - 43:12:00]:  o Brasil está gostoreio de amarrar aos marros, mas no Parlamento, acho que se deixou um bocadinho de tom, em relação a algumas afirmações de delas de legislatura anterior.
[43:12:00 - 43:35:20]:  E não creio que acho que isso tem muita ver com esta ideia de que quando há partidos novos que têm uma dinâmica qualquer, o PAN tem uma particularidade que foi eleipo ao Parlamento, e depois o Parlamento europeu, por causa dos suas ideias,
