[00:00:00 - 00:02:08]:  Hora muito bom dia!
[10:39:48 - 10:48:08]:  como do lado dos manifestantes,
[10:48:08 - 10:54:48]:  aquilo são todos pessoas da mesma classe social.
[10:54:48 - 11:06:28]:  Isso é uma coisa que me chamar a atenção, digamos assim.
[11:06:28 - 11:16:28]:  E também já vimos que do lado da polícia
[11:16:28 - 11:26:28]:  fica claro que aquilo não é um incidente isolado,
[11:26:28 - 11:36:28]:  porque eles acham mesmo que é a violência, que o recurso à violência é assim...
[11:36:28 - 11:38:08]:  Exatamente.
[11:38:08 - 11:39:48]:  É uma...
[11:39:48 - 11:51:28]:  Eles acham que é medicinal, tanto com isso que vamos falar a seguir sobre a sua barco-relha de fundos e tal.
[11:51:28 - 11:58:08]:  Ou seja, há pessoas que acham que é um ato heroico,
[11:58:08 - 12:06:28]:  assassinar a sangue frio um desgraçado.
[12:06:28 - 12:14:48]:  O balanço de esta semana, quase uma semana com fronto de apesar,
[12:14:48 - 12:21:28]:  foram cair madres 5 mil veículos, carros e autocarros,
[12:21:28 - 12:26:28]:  mais de mil edifícios foram danificados,
[12:26:28 - 12:33:08]:  722 pessoas ficaram feridas,
[12:33:08 - 12:41:28]:  a medididades dos mais 3 mil e doentes detidos é de 17 anos.
[12:41:28 - 12:49:48]:  Isto sugero João Miguel Tavar, que sendo muito jovem
[12:49:48 - 12:56:28]:  dos doredeiros onde crescer e ganhar maturidade,
[12:56:28 - 13:01:28]:  ou pelo contrário que estamos prontos, mas geração perdida.
[13:01:28 - 13:09:48]:  Ó, carros, eu em 2005 era jornalista do Diágrida de notícias
[13:09:48 - 13:16:28]:  e fui acompanhar os motinhos em que lixi suboar.
[13:16:28 - 13:24:48]:  Naquela turga não sei se as pessoas recogram, nós começamos a ser vejos.
[13:24:48 - 13:33:08]:  Fogam 2000 que estavam fugir e nesse escape foram assassinados
[13:33:08 - 13:41:28]:  pela polícia, eles simplesmente tentavam saltar para uma substação
[13:41:28 - 13:44:48]:  da edempeira do Cimétrica e morreram dois...
[13:44:48 - 13:46:28]:  Mas não é tão...
[13:46:28 - 13:48:08]:  Se morreram dois, mas não é tão...
[13:48:08 - 13:49:48]:  Se morreram dois, mas não é tão...
[13:49:48 - 13:51:28]:  Se morreram dois, mas não é tão...
[13:51:28 - 13:53:08]:  Se morreram dois, mas não é tão...
[13:53:08 - 13:54:48]:  Se morreram dois, mas não é tão...
[13:54:48 - 13:56:28]:  Se morreram dois, mas não é tão...
[13:56:28 - 13:58:08]:  Se morreram dois, mas não é tão...
[13:58:08 - 13:59:48]:  Se morreram dois, mas não é tão...
[13:59:48 - 14:01:28]:  Se morreram dois, mas não é tão...
[14:01:28 - 14:03:08]:  Se morreram dois, mas não é tão...
[14:03:08 - 14:04:48]:  Se morreram dois, mas não é tão...
[14:04:48 - 14:06:28]:  Se morreram dois, mas não é tão...
[14:06:28 - 14:14:48]:  Se morreram acidentalmente, ela é tocada, se não parece haver grandos dúvidas, se estavam a não ser perseguido por boas razões, é outra.
[14:14:48 - 14:19:48]:  Mas estou só a dizer que não é tão diguete como aqui.
[14:19:48 - 14:28:08]:  E naquela altura foram 19 noites de confronto, 9 mil carros queimados,
[14:28:08 - 14:36:28]:  3 mil pessoas para esses e houve mais quatro mortos além desses dois.
[14:36:28 - 14:41:28]:  E a atenção daquilo é ali, era...
[14:41:28 - 14:44:48]:  Tanto quanto eu lembro se tivesse tendo transvítimas, não foi?
[14:44:48 - 14:51:28]:  Eu venho mais lombar, assim, não veio como pau no wombu, mas enfim...
[14:51:28 - 14:51:28]:  Não, não...
[14:51:28 - 14:54:48]:  Da parte da polícia dos manifestantes.
[14:54:48 - 15:04:48]:  Não, da parte de uma manifestante, que nós não conhecemos bem, vamos lá pra onde é que tem os barros e se eu dar um rapazinho que nos desenfiou.
[15:04:48 - 15:14:48]:  A mim, eu vou ter que que cabriguita, vou fotografar, vou fazer o que tiver ouvido, vou ficar na verdade, como panhejas, devagar uma...
[15:14:48 - 15:19:48]:  Foi umas reguadas no wombu, mas nem esse que é doêo muito.
[15:19:48 - 15:26:28]:  Agora, vamos fazer o classe que não me doeu.
[15:26:28 - 15:31:28]:  Porque era gira-se, esse senhor estará a ver...
[15:31:28 - 15:39:48]:  Não sei por que, razão, se que tem um amigo que é imigrante, não está a ver o programa, não é?
[15:39:48 - 15:41:28]:  Não, não doeu.
[15:41:28 - 15:46:28]:  Eu tenho um casaca, assim, rija, de facto, num número muito.
[15:46:28 - 15:53:08]:  Mas porque é que eu tenho que ter a história para aqui? É porque isto foi há de os 8 anos.
[15:53:08 - 16:04:48]:  E como você estava a dizer, bem, isto são melhores de 17 tantos estes sonhos, somos filhos dos que lixem isso boija.
[16:04:48 - 16:09:48]:  É uma ou outra regação, porque não tem difícil estar a falar de uma regação pagadida.
[16:09:48 - 16:24:48]:  Há uma capa do liberação esta semana, que é uma situação de pais a dizer em aos miudos.
[16:24:48 - 16:31:28]:  Também já andamos à pedrada, as pedradas não resolvem nada.
[16:31:28 - 16:43:08]:  É o dia a dar a voto do miudo, foi morto, fez explorações, extraordinariamente.
[16:43:08 - 16:54:48]:  Sem satas e até difíceis de fazer naquela situação, dizer que não resolve nada,
[16:54:48 - 17:06:28]:  que a fija da polícia, mas a crise nos tribunais, quatro vezes a desse gênero, que lhe espera.
[17:06:28 - 17:16:28]:  E é mais interessante ainda a propósita questão da classe social, não sei se foi a voo,
[17:16:28 - 17:28:08]:  ou se foi alguém também do lado da família da vítima, que diz, para quem era autocar os são as mães...
[17:28:08 - 17:31:28]:  É já foi a voo, né?
[17:31:28 - 17:33:08]:  É já foi a voo.
[17:33:08 - 17:39:48]:  São as voces mães que precisam de autocar os seus.
[17:39:48 - 17:41:28]:  Mas isto é um clássico.
[17:41:28 - 17:44:48]:  Quedes é esta história?
[17:44:48 - 17:53:08]:  E já são já que são perdidas, já vai se painate de seguida, não é que é uma regação pagadida.
[17:53:08 - 18:03:08]:  Porque às vezes dizia, "sá são os 2º de regação, não são os 2º de regação, já devem ser o estesegue de quarta".
[18:03:08 - 18:08:08]:  Por tanto, exista evidentemente um gravíssimo problema de integração,
[18:08:08 - 18:19:48]:  daquilo que eu li, acho que que leimé de 1/3 do jovem, realmente, conseguem seguir daquela circunstâncias
[18:19:48 - 18:26:28]:  e fazer uma integração na sociedade, dois textos ficam patrás,
[18:26:28 - 18:31:28]:  por tanto, é preciso patrá-la esta estatística, agora.
[18:31:28 - 18:36:28]:  E é preciso ter capacidade de discutir esta questão seguiamente,
[18:36:28 - 18:43:08]:  porque isto não é um confronto bomzimaus nem policiais ladrões.
[18:43:08 - 18:51:28]:  Tanto existe responsabilidade do Estado e na capacidade de integração destas pessoas,
[18:51:28 - 18:56:28]:  como existe responsabilidade desta comunidade sem fazer um fórs de integração?
[18:56:28 - 19:03:08]:  E, portanto, é preciso apostar nos dois lados e não só do...
[19:03:08 - 19:11:28]:  Entretanto, abriu-se uma polêmica, o Ricardo já estava a começar a falar disso,
[19:11:28 - 19:16:28]:  uma polêmica com a iniciativa de um militante extrema direita
[19:16:28 - 19:26:28]:  que lançou uma peticção da põe financeira família do polícia que matou o jovem de Danter.
[19:26:28 - 19:34:48]:  Em meio dosia de dias, essa peticção, a favor do polícia,
[19:34:48 - 19:48:08]:  a família do polícia que assassinou o rapaz de Danter, a peticção reuniu 1 milhão e 600 mil euros.
[19:48:08 - 19:59:48]:  Foi, entro, andofechada, criou o grande polêmica, a dúvida sobre a ligabilidade desta recolha de fundos.
[19:59:48 - 20:08:08]:  Então, do caso, pedra-mexia, como é que vê o sucesso de uma iniciativa desta natureza,
[20:08:08 - 20:11:28]:  numa situação como esta?
[20:11:28 - 20:19:48]:  Vejo como parte de um clima de prega e agracivir que não há alguns momentos de instalar a infrança
[20:19:48 - 20:26:28]:  e que faz qualquer pessoas, por exemplo, tome a partir de automaticamente,
[20:26:28 - 20:34:48]:  como base na origem étnica da pessoa envolvida ou como base na farda da pessoa envolvida,
[20:34:48 - 20:44:48]:  ou seja, por exemplo, confiar sempre na polícia, outros confiar sempre na polícia
[20:44:48 - 20:51:28]:  não faz nenhum sentido, como da polícia, como nenhuma autoridade.
[20:51:28 - 21:01:28]:  Acho que, em princípio, a polícia está lá para que o senhor de ver e a maioria dos polícias prestam um serviço
[21:01:28 - 21:09:48]:  o milhaz muito útil e muito difícil, a sociedade, mas em todos os países abusos,
[21:09:48 - 21:19:48]:  em todos os países há disparos que não deviam ter acontecido e em todos os países há coisas como esta
[21:19:48 - 21:24:48]:  que devem ser punidas internamente, pois investigar os judensalmente, etc.
[21:24:48 - 21:39:48]:  O problema, acho que eu, transchendo um pouco a questão da integração, porque nós tendemos a falar de violência,
[21:39:48 - 21:46:28]:  por causa das prifries, eu não sei o que é mais ligado às as questões étnicas, etc.
[21:46:28 - 21:48:08]:  e as minorias.
[21:48:08 - 21:56:28]:  Mas nós temos visto a infrança, muitos jovens brecos e particosas.
[21:56:28 - 22:06:28]:  Portanto, há um problema de violência, há um gosto pela violência, há uma potência,
[22:06:28 - 22:18:08]:  pela violência, na sociedade francesa, que é ele, às longa edato, uma série de acontecimentos históricos,
[22:18:08 - 22:29:48]:  em que os franceses vieram para a rua a fazer desacar, de fazer revoluções, a revolução é uma espécie de desacar de coro bem,
[22:29:48 - 22:41:28]:  é o coro mal, dependendo das circunstâncias, mas há uma coisa mais problemática ainda,
[22:41:28 - 22:54:48]:  é que o várias chondagens, não agora, mas quando a Constituição acha reformas, há leiras reformas,
[22:54:48 - 23:08:08]:  que foi a quantidade de pessoas, sobre todos os partidos da oposição, da oposição à esquerda e também na estrada de maneira correcta,
[23:08:08 - 23:16:28]:  que era a quantidade de pessoas que a quem perguntavam, compreendo o recurso à violência,
[23:16:28 - 23:26:28]:  e a sua exigência, sim, e havia partidos onde essa compreensão ia até 60% dos inquiritos,
[23:26:28 - 23:39:48]:  que achavam que a violência, portanto, partir com as as pessoas diziam uma distinção porque quer dizer importante,
[23:39:48 - 23:49:48]:  mas um grande especial entre a violência sobre objetos e a violência sobre pessoas nem sempre isso é fácil de,
[23:49:48 - 23:58:08]:  por causa das pessoas dentro dos objetos, por exemplo, dentro dos carros, e isso é assim,
[23:58:08 - 24:11:28]:  quando as pessoas em democracia dizem que a violência dos cidadãos é admissível, isso é uma doença evidente da sociedade,
[24:11:28 - 24:18:08]:  é uma coisa que seja o compreender, não, não, o compreender, então, isso é assim,
[24:18:08 - 24:29:48]:  se justo também compreendem-se, todos nós compreendemos o terrorismo, porque as pessoas que se fazem explodir, etc.,
[24:29:48 - 24:33:08]:  pelas razões que elas acreditam.
[24:33:08 - 24:38:08]:  - Compreender e aceitar são coisas que existem. - É isso, não é aceitar, claro.
[24:38:08 - 24:43:08]:  Entregamos ao ficar da hora de esperar a pasta de ministro das execuções,
[24:43:08 - 24:49:48]:  quanto para o João Mial Taváres, que é a ser da esta vez ministro do Branque Amento,
[24:49:48 - 24:53:08]:  já ouvimos essa palavra, esta palavra.
[24:53:08 - 24:56:28]:  Sim, sim, sim, isso é fácil.
[24:56:28 - 25:06:28]:  Quer falar no relatório pro laminar da Comissão de Inquerida, a tutela política de gestão da tapos,
[25:06:28 - 25:16:28]:  concluí que o governo não teve culpas na indenização ao chandarres, ao chandarres,
[25:16:28 - 25:26:28]:  a indenização essa que esteve na origem da criação desta Comissão de Inquerida,
[25:26:28 - 25:36:28]:  este relatório pro laminar parece grave, pluclasta, pluc que não viu lá.
[25:36:28 - 25:44:48]:  - É uma verdade nem sequer, não parece assim tão grave.
[25:44:48 - 25:49:48]:  - Eu não sei se estou... - Quer dizer, com essa sensação, é, sem ser...
[25:49:48 - 25:53:08]:  - É, sem ser... - Mas eu gosto de ser surpreendente.
[25:53:08 - 25:59:48]:  Eu não sei se estou com aqueles jogadores de fã, que há me de ir aqui em Vilece,
[25:59:48 - 26:06:28]:  eu já estava perdendo a evolucia da idade, e eu tenho que passar estar perdendo,
[26:06:28 - 26:11:28]:  porque a indenização não é de sagamento, bom, para a minha profissão,
[26:11:28 - 26:14:48]:  para uma perda da evolução da idade.
[26:14:48 - 26:18:08]:  - Isso é um filho de uma época. - É um filho de uma época.
[26:18:08 - 26:21:28]:  Eu tenho que ser um problema, pá, acho que fiz.
[26:21:28 - 26:24:48]:  - Estou galo, tu galganhou. - Estou galganhou.
[26:24:48 - 26:33:08]:  - Caljoa-te da ponto de você já não... - Não, eu aqui é mais, qual é o espanto.
[26:33:08 - 26:36:28]:  - Ah, é bem-vence. - É importante.
[26:36:28 - 26:44:48]:  - Não, porque, ou seja, eu, para ficar mesmo indignado, tem que ter um surpre salto.
[26:44:48 - 26:46:28]:  - Perante. - Não é?
[26:46:28 - 26:51:28]:  Ou seja, como os filmes trorotem, eu tenho que...
[26:51:28 - 26:54:48]:  Não sei quem é que está, a taxa é a porta.
[26:54:48 - 26:58:08]:  - É ser ser toda a cadeira. - Sim, tem que ser alta da cadeira.
[26:58:08 - 27:08:08]:  De repente, nós vimos o fredi e curga revir a três quilômetros de estância
[27:08:08 - 27:19:48]:  numa estrada toda direita, e com uma faca na mão, é, não é a mesma coisa.
[27:19:48 - 27:29:48]:  Olha, eu recordo que uma das dos pontos que nesta comissão foi nós temos aprendido
[27:29:48 - 27:38:08]:  que as pessoas do PS se reuniam com pessoas que um següvidas ao aprilamento.
[27:38:08 - 27:44:48]:  Re-uniam, tenham umas reuniões, por exemplo, combinavam as perguntas entre elas.
[27:44:48 - 27:48:08]:  O que é que a gente diz é que...
[27:48:08 - 27:54:48]:  E, então, depois de nós temos percebido nessa comissão que as pessoas se riunem
[27:54:48 - 28:01:28]:  e combinam tudo entre elas, de repente, revém um relatório numa comissão de inquéria.
[28:01:28 - 28:06:28]:  Tem que o PS-te em uma maioria absoluta e nós ficamos pensando,
[28:06:28 - 28:14:48]:  "Olha, dá que ver, e aqueles assos, tanto os riunigos se combinaram com o que devia estar ali".
[28:14:48 - 28:21:28]:  É, portanto, não consigo ficar surpreendido, porque nesta espécie do relatório
[28:21:28 - 28:26:28]:  é tudo aquilo que nós esperávamos com o relatório de força.
[28:26:28 - 28:33:08]:  Mas, há aqui um pré-noski, que eu acho que é curioso,
[28:33:08 - 28:41:28]:  e que, qual eu acho que as pessoas não têm postada a devida atenção,
[28:41:28 - 28:46:28]:  que é a linha das recomendações.
[28:46:28 - 28:53:08]:  E essas recomendações, o público fez um trabalho muito,
[28:53:08 - 29:01:28]:  do interessante sobre isso, faz uma lista daquilo que é recomendado no final.
[29:01:28 - 29:06:28]:  As pessoas ficaram só concentradas naquilo que ficou, porque dizia,
[29:06:28 - 29:14:48]:  mas as recomendações são mesmo muito interessantes, porque são seis pontos.
[29:14:48 - 29:19:48]:  De forma muito constrictiva, para que seja que nós chamamos de um daquilo de programas,
[29:19:48 - 29:23:08]:  que informam a mesma as pessoas.
[29:23:08 - 29:28:08]:  Eles dizem, recomenda um par de acabar com a leisina aplicável,
[29:28:08 - 29:33:08]:  e com o cheço de recomendação.
[29:33:08 - 29:43:08]:  A senhoga, esta na Paula Bernardo, que é deputado do PS, cheque, ela diz que,
[29:43:08 - 29:48:08]:  parece que faz falta alguma melhor articulação entre ministros.
[29:48:08 - 29:56:28]:  E diz também, tem que se começar a aplicar imediatamente os contratos de gestão,
[29:56:28 - 30:01:28]:  quando nós contratamos as pessoas, elas sentem isso mesmo contratadas,
[30:01:28 - 30:06:28]:  que apoiapos não chegarem lá e assim terão que formam enganadas.
[30:06:28 - 30:11:28]:  Diz que se quererem a precise melhor comunicação e mais comunicação,
[30:11:28 - 30:16:28]:  então isso que tive as empresas públicas, diz que, depois,
[30:16:28 - 30:21:28]:  que é a precise melhor informação pública, passo sociedade,
[30:21:28 - 30:24:48]:  tem que se prestar quantas a sociedade.
[30:24:48 - 30:33:08]:  E finalmente, ela diz que se querar aquela coisa do processo de classificação dos documentos,
[30:33:08 - 30:36:28]:  também é preciso melhorar.
[30:36:28 - 30:46:28]:  Estas recomendações são excelentes, até porque elas percepanhe isto que é que relação em presarial,
[30:46:28 - 30:56:28]:  o setor em presarial do Estado, tem um funcionamento péssimo e horrível.
[30:56:28 - 31:06:28]:  Portanto, apesar de tudo o que o relatório não tem,
[31:06:28 - 31:19:48]:  estas recomendações mostram, provam que aquilo foi evidentemente tudo um processo absolutamente desverassado.
[31:19:48 - 31:26:28]:  E, portanto, indigatamente, está ali o ano do primeiro.
[31:26:28 - 31:36:28]:  As reações da oprodução ao relatório para eliminar foram o nénimos na rejeição.
[31:36:28 - 31:41:28]:  O relatório é para eliminar, como já foi sublinhado,
[31:41:28 - 31:51:28]:  ou ainda pode vir ser alterado, será votado na versão final no próximo dia 17.
[31:51:28 - 31:59:48]:  Entende que ainda haverá forma de melhorar pedromocia,
[31:59:48 - 32:14:48]:  como o início de valuable liberal parece que nem vale a pena sugerir qualquer tipo de mudança.
[32:14:48 - 32:21:28]:  É, não vale a pena sugerir qualquer tipo de mudança, isto.
[32:21:28 - 32:26:28]:  O que foi surpreendente na comissão dente que dincérito,
[32:26:28 - 32:33:08]:  para não há mais coisas que foram ditas, pelas pessoas que foram interrogadas,
[32:33:08 - 32:44:48]:  foi que o segundo responsável pela comissão, ou a Serra da Salas,
[32:44:48 - 32:56:28]:  tenha sido invulgarmente a comênico e imparcial,
[32:56:28 - 33:04:48]:  permitindo que o ámbito da comissão não fosse entender,
[33:04:48 - 33:08:08]:  dependendo de seu sentido estrito,
[33:08:08 - 33:18:08]:  mas abrangendo outras matérias conexas com a tápico ou ministério das infraestruturas.
[33:18:08 - 33:28:08]:  E basicamente o que este relatório preliminar faz é desautorizar o entendimento da Serra da Salas.
[33:28:08 - 33:33:08]:  Não é só a questão da indemnização,
[33:33:08 - 33:38:08]:  é uma série de outras coisas que aconteceram aqui à volta,
[33:38:08 - 33:46:28]:  e deixou por horas e horas e horas ministros e ex-ministros de secretário de Estado
[33:46:28 - 33:54:48]:  e chefes de gabinete responder a perguntas que não eram sobre lechando da rei a indemnização.
[33:54:48 - 33:58:08]:  O que o relatório vai dizer é, não, não.
[33:58:08 - 34:03:08]:  Se senhores seram se umas coisas, mas com conclusões,
[34:03:08 - 34:09:48]:  tirar tudo fora do prato, em um prato com seis persas e pessoas,
