[00:00:00 - 00:13:48]:  Esta semana João Miguel Tavarres confessa-se de Barreto Enfiado. Pedra-mexia de Clara Gafado,
[04:59:16 - 05:02:36]:  Portanto, eu tenho um quilo de maçãs, né?
[05:02:36 - 05:05:56]:  Eu costumo 2 euros.
[05:05:56 - 05:12:36]:  E vendo uma pessoa que eu não sei quem é por um euro.
[05:12:36 - 05:20:56]:  E essa pessoa diz-me assim, tens um euro a que me empreste, para me pagar o euro.
[05:20:56 - 05:34:56]:  E depois, eu peço ao fundo de resolução, não é o regime da FFRA, peço ao fundo de resolução, o Euroco falta.
[05:34:56 - 05:56:40]:  Porém, em persomínio, para já, primeiro, lugar esteja uma espécie de remodelação interessante do conceito da Mik Kratos, que é o conceito do Natal, com a Mik Kratos, nos oferece, compra uma coisa para nos oferecer.
[05:56:40 - 06:14:00]:  Aqui, somos nós que vendemos a este amigo que é secreto, por tanto o Banco vendeu este amigo secreto, em postulho dinheiro para que ele comprasse.
[06:14:00 - 06:20:22]:  E o que faltava, nós poseemos, ou seja, a única é a suma, que é a gente secreto, que é o amigo do
[06:20:22 - 06:38:42]:  mundo rogoso, sim, nós somos o amigo que toda a gente sabe quem é, nós somos o amigo, não secreto, que entra sempre com o dinheiro.
[06:38:42 - 06:51:06]:  Aliás, neste negócio, em persomínio as únicas pessoas que já entraram com algum dinheiro, fomos nós, por que o amigo secreto
[06:51:06 - 07:07:30]:  podia dinheiro em postado para comprar ao vendedor, e por tanto, em precipio ainda não pagou, e nós somos os únicos que já pagamos.
[07:07:30 - 07:18:58]:  O comprador é um fundo que está se diado nas ilhas caimão, que é o paraíso fiscal.
[07:18:58 - 07:28:58]:  Acho que, assim, dessa parte também compõe o ramalhê, não é possível saber quem é o facto.
[07:28:58 - 07:36:18]:  O evento PSD pode ser alguém que tenha um conflito interesse neste momento não sabendo.
[07:36:18 - 07:50:46]:  O novo Banco, o fundo comprou o novo Banco e quem estiver relacionado com ele, não pode adquirir bens do novo Banco, mas como não
[07:50:46 - 07:58:06]:  sabe quem é que adquire os bens do novo Banco, estamos aqui numa escadinha de rabo na boca.
[07:58:06 - 08:13:06]:  O Banco PSD, que já tinha a flurar desta súnica no debate da Nação, foi o líder partidário mais contundente, respeito do caso.
[08:13:06 - 08:24:46]:  Se você perceba isto, depois do Banco Espírito Santo, de tudo que aconteceu no Banco Espírito Santo, de tudo que nós pagamos,
[08:24:46 - 08:36:26]:  cria-se um Banco que, desculpa no termo, ou valata de chamar um Banco bom. Agora, e este não tem problema, é um Banco bom.
[08:36:26 - 08:51:26]:  Agora, dá-nos um pro juiz deste tamanho, ainda por cima, com negócios com estes contornos. Isto, desculpa, me termo, é guzar que os portugueses.
[08:51:26 - 09:13:06]:  O Rio a dizer que isto é guzar não só com quem trabalha, mas também com os outros portugueses, incluindo os ociosos, como é que vierre e cardará os paraíritos do líder do PSD,
[09:13:06 - 09:33:06]:  e usar o verbo "gusar" de que o rei cara faz uso com tanta frequência. Com isso, sem desculpa ninguém. Mas eu acho bem, ele é a gente que pode desculpa pelo termo "gusar" e pelo termo "lata".
[09:33:06 - 09:51:26]:  Pede desculpa por dois termos em 30 segundos, e eu acho bem por cada nesta manhã, tantas palavras que fazem doido ai, que todo cuidado é pouco e mais vale a gente ir desculpa cada passo por pelas palavras que usamos.
[09:51:26 - 10:04:46]:  E já tenho levantado a questão no estado da nação? E reparaste no sorrisinho do saco que nargo, o busto saco que nargo, tava ali com o sorriso uma gota.
[10:04:46 - 10:08:06]:  Olha, estou morto e não tem qualidade com isto.
[10:08:06 - 10:21:26]:  Estamos só aqui no goso, mas o caso é sério, né? Chegou pra indignar os homenialtavares, ou já não se tem indignas com a mesma facilidade?
[10:21:26 - 10:34:46]:  Não, não, é o caldo, né? O caldo no vento, e se fosse só no vento, não, eu já estou bastante calzada na invola indignação.
[10:34:46 - 10:48:06]:  Mas este caso é especialmente engraçado, porque tu já encodragaste aqui o problema, mas eu escrevi um outro dia desta semana, sou isso?
[10:48:06 - 10:53:06]:  E o Ricardo já sumiu a Massas?
[10:53:06 - 10:58:06]:  Já sumiu a Massas? Que é o formo de perceber melhor?
[10:58:06 - 11:19:46]:  Eu não sumi a Massas, mas a gente já me tem engraçado, eu escrevi esta semana, sou isso, um texto, e aproveitai um editorial do Amil Carco Rei que eles criam no público, em que o primeiro paragraph era o resumo do que se passava.
[11:19:46 - 11:36:26]:  E eu analisei esse primeiro paragraph, frase, frase que era. O novo banco vendeu mais de 13 mil imóveis, não são bem imóveis, são propriedades, porque não são imóveis, ou são 30 mesmos.
[11:36:26 - 11:43:06]:  Vendeu 13 mil imóveis, perfeitamento legal, é legal.
[11:43:06 - 11:48:06]:  Asquivinha, é um fundo anónio em siada nas ilhas...
[11:48:06 - 11:49:46]:  Que é não.
[11:49:46 - 11:58:06]:  Perfeitamento legal, também não há nada de legal aí. Em posto dinheiro, a quem comprou esses imóveis?
[11:58:06 - 12:14:46]:  Eu sei que o Ricardo da Xisténima também é perfeitamento legal. Não são perfeitamento legal, como o Banquim da Arquementa. Então, o Vendi ainda estou a ganhar juntos, porque causa desse empreste.
[12:14:46 - 12:24:46]:  E depois, vem, registou prejuízos daquilo que foi o maior negócio imúbular dos últimos anos.
[12:24:46 - 12:28:06]:  Também é perfeitamento legal.
[12:28:06 - 12:44:46]:  Por que? Porque tu podes dizer, "Ah, tu nem se quer, esténs a certeza, se esse é um problema, se aquelas 13 mil e propriedades estavam ou não mal vendidas,
[12:44:46 - 12:58:06]:  eu não sou priviligado, esturo, não sabe, para que você conhece? Nem sabos bem quais são. Nem sabos bem, se quando elas foram registadas,
[12:58:06 - 13:09:46]:  foram ou não registadas com valor gastronômico dos ativos. Também é possível que elas agora até te senham se vendidas pelo parque de justo".
[13:09:46 - 13:23:06]:  E depois, recebeu compensação pelas perdas centenas de milhão através do fundo de resolução, que também é perfeitamento legal, e está no acordo com o estado português.
[13:23:06 - 13:36:26]:  "Tua, até podes dar algum passo". A administração do novo banco garante, eu acho que o negócio não teve qualquer custo direto para o fundo de resolução.
[13:36:26 - 13:39:46]:  É, perfeitamento, vamos ficar tranquilo, portanto.
[13:39:46 - 13:49:46]:  Não, mas isso aí, tínhamos sido sentado, agora, talvez a analisar o que é que significa a expressão custo direto.
[13:49:46 - 13:58:06]:  Tu podes dizer que o fundo de resolução sepós também está para ser capitalizado e é com o dinheiro dos bancos.
[13:58:06 - 14:04:46]:  O problema é que aquilo já foi tão rapado, tão rapado que o dinheiro que ela está no existe.
[14:04:46 - 14:19:46]:  E portanto, o dinheiro que ela é colocado tem que ter que agregar em tígase dos ativos português, portanto o que significa, ou não custo direto, o que ele do artigo não era bem isso, que ela estava escrito.
[14:19:46 - 14:26:26]:  Mas agora certamente, poderemos atar a testigo o que é que significa a expressão custo direto.
[14:26:26 - 14:33:06]:  "Pros já não vamos saber tão o preço, porque algo de turía que era para ter se entregue esta seta feira".
[14:33:06 - 14:34:46]:  "Já foi aliado ou não era".
[14:34:46 - 14:48:06]:  Mas ainda, o outro lado, que é, também pode virar quando você porque é grande que estão aqui, mas chegar a que os interesses dos ativos português foram por tígides neste negócio,
[14:48:06 - 15:06:26]:  e o outro lado português é o long star, e aí podemos dizer "Ah, então pode ser que venha a ver uma comissão de Iquígide, como foi anunciado por vagamente anunciado por Rio, que admitiu esse poto".
[15:06:26 - 15:08:06]:  Mas aí o que é que a gente faz?
[15:08:06 - 15:14:46]:  Temos, então, se quer é o Governador do Banco Portugal, Mario Centeno, na averiguar.
[15:14:46 - 15:28:06]:  Se o ministro das finanças, Mario Centeno, realmente portugou a na altura também uns interesses dos ativos, e portanto isso, curiosamente também é.
[15:28:06 - 15:41:26]:  Entreses dois vai dar a ver. E isso também é, porque foi também tão legal. Ou seja, o problema aqui é que tudo isto é legal.
[15:41:26 - 15:53:06]:  E para as pessoas lá percebem que em casa é que, sim, o alcapone comitia e legalidades porque é estúpido.
[15:53:06 - 16:09:46]:  Os alcapones hoje em dia, eles cometem legalidades. É isso que eles fazem. Comitem legalidades. E esse é o grande segredo, porque nós olhamos para isto,
[16:09:46 - 16:21:26]:  isto nos parece estranho, normalmente, opoxeno, mas é uma oportunidade legal e que aqui vai estar se for preciso o CEO.
[16:21:26 - 16:29:46]:  Ou, então, no ramago, vem explicar porque é que tudo isto é legal. E nós, no final, temos a ir realmente.
[16:29:46 - 16:44:46]:  Parece que sim que é legal. Pode haver um problema aqui, que é um problema de consulte que tem interesses, porque já sabe que o antigo alto responsável da Lone Star,
[16:44:46 - 16:53:06]:  é um dos outros responsáveis do Fundancrux, que eu vou ficar com este portfolio viriato.
[16:53:06 - 17:03:06]:  Mas até isso, apesar de ser a mesma pessoa, tanto ele estava no Lone Star e agora está no Fund, que compra aquelas imóveis,
[17:03:06 - 17:11:26]:  mas até isso pode ser legal. Não sentem aqui o que o tempo pode não ter coincidido no tempo.
[17:11:26 - 17:23:06]:  E está querendo acabar com isto? Olha, é como português de pagüência, é com fíjose das off-shorts, mas nós vemos para que com este curto acabem que as off-shorts.
[17:23:06 - 17:33:06]:  E alguém se vai, que isso sentar agróssado, explicar com o misto não é possível, porque isto é toda a economia mundial.
[17:33:06 - 17:46:26]:  Portanto, é tudo legal. O novo banco de um título curioso é este polêmico, a operação de Venda, chamou-lhe "Projeto viriato".
[17:46:26 - 17:56:26]:  Tem alguma hipótesia de plaus e velpula para explicar esta referência histórica ao mito de los itanos, perdemos-te.
[17:56:26 - 18:13:06]:  Eu acho que ligado aos bancos e a finança e tudo mais, isso é um nome a contrário, porque estamos a falar do viriato, dos los itanos,
[18:13:06 - 18:33:06]:  estamos a falar de salvagens heroicos, e aqui são pessoas fisticadas. E às vezes, molhantes. Portanto, é exatamente o contrário do viriato, viriato era um grunho, mas é um heroe.
[18:33:06 - 18:49:46]:  Porque, fíjelo, miticamente, miticamente. Mas aqui é o contrário. Mas há aqui duas coisas que o João Miguel Gerrissas estou, isso já me está corto com o que ele disse.
[18:49:46 - 19:13:06]:  Ele é essa explicação, e o João Miguel agora, por desodor do artigo que tinha publicado, lembravam-me um bocadinho, também há contrário, o seu famoso sketch do Ricardo, pode-se, mas é proibir, daqui é pode-se.
[19:13:06 - 19:36:26]:  E não é proibir. Ou seja, todas estas coisas, algumas delas nós achamos, "elí, li a notícia, e pre, não, não está permitido, depois essa noite, eu vi vários comentadores, e advogado os felicidades, não, não, não, não está, está perfeitamente permitido.
[19:36:26 - 20:01:26]:  E é muito inquietante quando nós ficamos tão perturbados com as iligalidades, como com as iligalidades. Em segundo lugar, o auditoria, porque deixaram a auditoria e rejuvá-la para o melhor dia para casar.
[20:01:26 - 20:09:46]:  E agora entrar com isto realmente, e, portanto, agora nós vamos fazer.
[20:09:46 - 20:12:24]:  Apenas vamos ter a...
[20:12:24 - 20:15:54]:  Eu acho ter a proporir a tal vez que um pra vezes...
[20:15:54 - 20:24:04]:  Eu sou para ser sincero em nômenos como agora tem, o projeto viri ato.
[20:24:04 - 20:27:44]:  Eu faktiskt quignon ao dituri egoadô.
[20:27:44 - 20:30:42]:  Esstrلك...
