[00:00:00 - 00:25:50]:  [Música]
[06:26:40 - 06:35:00]:  Isso acho que foi porque a gente andou a dizer durante estas semanas e é bom que a pacenta comissão assume isso
[06:35:00 - 07:00:00]:  A minha chamou a atenção a um notícia do Nero Times dizendo que Março deste ano, que terminou a dois dias, foi o segundo mês em que se venderam mais armas nos Estados Unidos
[07:00:00 - 07:15:00]:  Vendermos 2 milhões de armas nos Estados Unidos, juntando isto a notícia de que há uns dias
[07:15:00 - 07:35:00]:  Em Palermo, na Sicily, já houve turbulência social com gente arrobar nos termocados ao ponto de ter a vida polícia para tomar conta de situação
[07:35:00 - 07:45:00]:  Sabendo que os Estados Unidos são um país onde já haviam muitas armas de se calhar
[07:45:00 - 07:58:20]:  Esta situação toda poderá atender para algo mais problemático ainda, esperemos que não
[07:58:20 - 08:08:20]:  Está um belo caldo em preparação, em fermentação
[08:08:20 - 08:21:40]:  Além disso, também sou que houve mais 6 milhões e 600 mil inscritos no desemprego nos Estados Unidos
[08:21:40 - 08:33:20]:  Nas últimas 3 semanas já são 10 milhões de desempregratos e também vão aumentar muitos os desempregratos
[08:33:20 - 08:53:20]:  Sabes que isso é uma coisa que eu comprei o mensa, mas eu acho que as pessoas que ainda não estão muito dificuldades em projetar o que isto pode acontecer no futuro
[08:53:20 - 09:05:00]:  Eu hoje escrevi um teste, tem um vato pancada de meio, então um teste de sobra chamava-se "supredentemente"
[09:05:00 - 09:06:40]:  Esperado
[09:06:40 - 09:15:00]:  Vamos liberar isto, vamos liberar isto para o programa semanal esta sexta-feira
[09:15:00 - 09:21:40]:  Não dá para ter matéria, só se ciga
[09:21:40 - 09:31:40]:  Vamos manter o sussão, esse limite coquiano e com o tempo todo
[09:31:40 - 09:35:00]:  Vamos manter o sussão para o tempo todo o tempo
[09:35:00 - 09:36:40]:  O tempo tem é bom
[09:36:40 - 09:40:00]:  Não percam exato, não percam
[09:40:00 - 09:55:00]:  Não percam exato, em estúdio, em estúdio com banda legísima no reino sonho
[09:55:00 - 10:05:00]:  O Ricardo da Ronspreira tem sussões, acho que o que precisa mais é sussão
[10:05:00 - 10:10:00]:  Tem coisas que me chamaram atenção hoje, uma foi um vídeo e uma fotografia
[10:10:00 - 10:18:20]:  O vídeo foi da tap, que é uma empresa com a qual tenho uma relação bastante próxima
[10:18:20 - 10:28:20]:  Porque foi aquela em que os meus pais trabalharam durante a sua vida toda e fez um vídeo basicamente a despedir-se
[10:28:20 - 10:35:00]:  - A fazer uma pausa nos vos ia - Mas por que por que o desí da meio do meio pedemia?
[10:35:00 - 10:38:20]:  - Do vídeo, do vídeo
[10:38:20 - 10:48:20]:  - Se depois estávamos em terra - Não sei, não quero não faças pensar no outro interesse de todo mundo
[10:48:20 - 10:53:20]:  - Mas de qualquer coisa faz, posto que o desidentes é bom nos águias
[10:53:20 - 10:58:20]:  - Não quero saber disso, é saber de primitivo, é saber
[10:58:20 - 11:00:00]:  - Não quero saber
[11:00:00 - 11:03:20]:  - Por que o idade, outros viejavam juntos
[11:03:20 - 11:15:00]:  - Sim, os triplantes da tap podem ter esse direito de ciência
[11:15:00 - 11:18:20]:  - O cheiro
[11:18:20 - 11:21:40]:  - Calmente dinham, não sei como é que é agora
[11:21:40 - 11:33:20]:  - Mas por que se senti esse vídeo é de facto como o vento e preocupante saber como é que a empresa poderá voltar a funcionar em pireno
[11:33:20 - 11:41:40]:  - E o estado leioof foi pedido leioof, na Ição, quantos, 9 mil, trabalhadores
[11:41:40 - 11:50:00]:  - Exato, e há também uma fotografia, como chamou a atenção, que é uma fotografia de um carro da polícia
[11:50:00 - 12:03:20]:  Que tem um placar com os dizeres eletrônicos que diz e evito o contato social sem si
[12:03:20 - 12:10:00]:  É com o C, é com o C, o acordo da afet, não mudou aqui, é com o C
[12:10:00 - 12:13:20]:  - É com o C, contato
[12:13:20 - 12:16:40]:  - É também o C, contato
[12:16:40 - 12:21:40]:  - Sim, não, não, é contato e continua a ser contato
[12:21:40 - 12:28:20]:  - E assim é menos eficaz, portanto
[12:28:20 - 12:35:00]:  - Pois claro que, sei lá o que é contato social, é facilmente o que é contato social
[12:35:00 - 12:40:00]:  - Tem mais alguma sugestão?
[12:40:00 - 12:45:00]:  - Ah, tem uma sugestão que é o decàmero
[12:45:00 - 12:48:20]:  - O decàmero
[12:48:20 - 12:50:00]:  - Não é que é o decàmero
[12:50:00 - 12:56:40]:  - Faz sentido, porque são 10 jovens que estão para tentar fugir da peste
[12:56:40 - 13:05:00]:  - Então é, contar histórias uns aos outros, eu já escrevi sobre isso, eles contam em duas semanas
[13:05:00 - 13:15:00]:  Contam 100 histórias uns aos outros, já estou em 40 anos, mas do que ainda não houve uma história
[13:15:00 - 13:23:20]:  Já só houve reprimendas e gritos e de ando a lavar a loja, sei que é assim
[13:23:20 - 13:28:20]:  - E algumas dessas histórias são bem boas, é...
[13:28:20 - 13:35:00]:  - E já, se calhar é boa inspiração para...
[13:35:00 - 13:38:20]:  - É que nós temos da 40 anos
[13:38:20 - 13:40:00]:  - Exato
[13:40:00 - 13:43:20]:  - Então até a manhã é em estúdio
[13:43:20 - 13:45:00]:  - A manhã é...
[13:45:00 - 14:10:00]:  [Música]
[14:10:00 - 14:13:20]:  [Música]
