[00:00:00 - 00:13:10]:  Esta semana Ricardo Oro Espreira em serviços terno declara-se secretário João Miguel
[14:30:10 - 14:46:50]:  O IRC dizia um partido de direita, algadamente de direita, vir de dizer que, bom, o IRC está em 21% e queremos passar-lo para 19.
[14:46:50 - 15:25:10]:  Ah, isso não é uma medida radical, como Pedro Nundocentza, é definiu e, portanto, quando Pedro Nundocentre fazemos algo que é totalmente banal, porque há muita gente que acha que é da direita, calma o carrega, fichá-lo, fiscá-lo, se desceiva sobre as empresas, baixar dois pontos porcentuais e ele diz, não pensar, nem com mudulação, porque é impossível,
[15:25:10 - 15:45:10]:  e ele, Luís Montenegro, propõe um baixar de 28 para 19 e se baixasse de 21 para 19, se baixasse de 21 para 20, é uma coisa drível.
[15:45:10 - 15:55:10]:  A medida agora custa 500 milhões, ficava custado 250 milhões, é impossível.
[15:55:10 - 16:11:50]:  Quando ele diz, não pensar, isso é em estar se evidentemente a colocar numa posição do enorme radicalismo e depois o detalhe que ele colocou nas próprias medidas que eu apresentou.
[16:11:50 - 16:30:10]:  Da um lado que ele parece que você quer ser primeiro ministro, que é o primeiro ministro do primeiro ministro, e isso é muito bizarro, porque evidente o supeço ganha as eleições, o orçamento do Estado não pode ser o orçamento do Estado do PES.
[16:30:10 - 16:45:10]:  E aquilo que parece é que Pedro Nundi Santos estava a dizer, Luís Montenegro, está aqui o orçamento do Estado do PES, ao governos com este ou então ao governos congelam.
[16:45:10 - 17:18:30]:  O encontro entre os dois foi precedido de uma troca de comunicados a Z da, foi precedido de uma decisão do governo de levar a constratação social, propostas que iam, supostamente sendo luceadas, estas do IER-XI-Rovem.
[17:18:30 - 17:31:50]:  E do IER-XI, o que que pareceu toda esta curiosa-fia prévia ao momento do encontro Pedro Mxia?
[17:31:50 - 18:16:50]:  Acho que é pouco europeia, porque na maioria dos países europeus não há muito, de que eles não há grande fragmentação partilária, e onde é preciso fazer colégas sobre as vezes com quatro ou cinco partidos, o que se faz é negociar, negociar é uma coisa invidente que é ceder, aproximar, limar, ajustar, agora este no verbo modular.
[18:16:50 - 18:31:50]:  E não é fazer comunicados, acusações, voos de graça, ameaça, etc., eles se faz parte do teatro político, mas não é muito útil.
[18:31:50 - 19:00:10]:  O segundo ponto é que o governo, o orçamento é do governo, e portanto o governo é que tem que fazer algumas sedências na negociação com a oposição, mas aí tem que resultar um orçamento que é do governo,
[19:00:10 - 19:15:10]:  porque o governo é o governo em funções, ficou em primeiro lugar nas eleições, e portanto, foi o governo do investidor das eleições nos termos antigos.
[19:15:10 - 19:20:10]:  Nosotros partidos aprovam, não, não, não, não, não, não, não, não.
[19:20:10 - 19:43:30]:  Não, com certeza, mas o limite é desvirtuar, e por exemplo, essa história do IER-XI, jovem, falando das questões da abrangência, até a constitucionalidade é devidoza.
[19:43:30 - 20:15:10]:  Em ultim análise, eu sou, eu digo que sempre, sobre todos os ações que foram lámos aqui, se tiver que ver eleições, não percebo, as pessoas têm uma, eu disse, vamos ter que ter que ver eleições, como se fosse uma coisa, quer dizer, é horrível quando a eleições seguidas que não resolvem.
[20:15:10 - 20:35:10]:  - Mas, senhor, velho, eleições muito recentemente, sim, mas não há um entendimento à eleições. - E não há nenhum sinal de que as eleições dessas em sinalas, então distinto.
[20:35:10 - 20:55:10]:  - Não sei, na composição para aumentar. - Isso não sei, por que os eleitores, em um de nós vai saber a que os eleitores vão cobrar a culpa do varsimentar de chuva.
[20:55:10 - 21:08:30]:  - Eu acho que esse é o mesmo ponto central. E aí, eu acho mesmo que Perenuno Santos fez um mal trabalho para esse próprio.
[21:08:30 - 21:30:10]:  A estratégia de chumbar estorçamento, empurrando o PSD para a André Gaventura, onde a André Gaventura para o PSD, faz sentido na perspectiva de Perenuno Santos, porque assim, não tem que levar com o Ones ter aprovado um orçamento.
[21:30:10 - 21:46:50]:  - Mas eu precisava ter sido mais subtil na forma como abordou aquilo. E aquela conferência de imprensa foi muito acresiva, muito radicalizou.
[21:46:50 - 21:53:30]:  E eu não preciso de uma imagem mais radical do que aquela que já tem.
[21:53:30 - 22:15:10]:  - Entretanto, antes de derrir o primeiro ministro com o líder do PS, ficamos a saber que o novo procurador a geral da República vai ser o juiz do Bilado, amadeu o guerra que já estivou a frente do diciar, pô, de portamento central de investigação e ação penal.
[22:15:10 - 22:21:50]:  - Tem algum comentário de fazer a acerta do nome e do processo de escolha, Pedro Messier?
[22:21:50 - 22:45:10]:  - Não, não é uma coisa neutra. O processo de escolha foi o processo normal, foi, me é do presidente por proposta do governo, o líder da oposição não foi consultado, mas foi informado previmento.
[22:45:10 - 23:11:50]:  - Não tinha que ser consultado, não está previsto isso. Quanto há a escolha do nome, não há o venho-ma sobre o corrigo e não houve nenhum partido que reagisse negativamente, o que é significativo, ou uma outra figura pública, né, gomos.
[23:11:50 - 23:30:10]:  - Por exemplo, mas nenhum dos partidos disse que tinha sido uma masculha, na plenar tudo, não é muito comum haver uma unanimidade de polo menos beneficiador do que aquilo que eu também dou.
[23:30:10 - 24:05:10]:  - Considero o nome João Miguel Tavares inattacável, como disse o líder parlamentar do PSD, ou sujeito a dúvidas como as que foram sugeridas de imediato por anagômes aos crevernas gritos sociais que com a madeu-guerra, você tal, vai ser um faroto de arquivamentos como no caso dos voos da trutura e dos submarinos.
[24:05:10 - 24:51:50]:  - Sim, enfim, todos os nomes são atacáveis, como evidente como se pode ver, mas a fama da madeu-guerra tem não é de grande arquivador, e foi a pessoa que não te se apalhe e dougou o mesmo opressão marquejo, e todos nós sabemos que ele foi uma peça fundamental da equipe de jornal marxas de vida-la, que eu acho que teve um mandato muito muito importante à frente da procura do guia.
[24:51:50 - 25:11:50]:  Mas acho que o governo resistiu a atentação de buscar uma figura externa e nesse sentido rio de afetificado muito irritado e de modo de agarro quando rirrifico e irritado fica contente.
[25:11:50 - 25:23:30]:  - Qual é o seu escritor de manifeste dos 50 mais 50 mais 50 neste caso? Estão a ligar muitas lágrimas, o que é bom?
[25:23:30 - 25:33:30]:  - Qual é o seu estado de espírito em relação a esta escolha? Ricardo R. Esperer, você é que tem algum?
[25:33:30 - 25:58:30]:  - Eu tenho que não ter carros em geral, e em relação a esta matéria mais ainda, porque acho que é mais providente, esperar para ver o que ele vai fazer antes de formular a opinião sobre o que ele vai fazer.
[25:58:30 - 26:18:30]:  E até porque, por exemplo, eu lembro, em isto de procuradores gerais da República, eu acho que convém mesmo dar-lhes algum tempo para formar um opinião, porque em 2018,
[26:18:30 - 26:35:10]:  o Antônio Costa gostava de ser de Lucio Ligar, tanto que foi o que é no meu e em 2023 já não gostava tanto do trabalho dela.
[26:35:10 - 26:40:10]:  - Exatamente, por que? - É que no meio.
[26:40:10 - 26:51:50]:  - É que no meio assim, foi o que por hoje. Passado 5 anos, já não era assim tão admirador de Lucio Ligar.
[26:51:50 - 26:58:30]:  - Então, eu acho que é melhor ser de verdade. - É isso.
[26:58:30 - 27:16:50]:  - Obrigamos ao Ricardo R. Esperer a pasta de ministro do Deite, quando o João Miguel Tavares, que é a sede desta vez, não ministro, mas almeirante de República, com Farda ou sem Farda?
[27:16:50 - 27:20:10]:  - Com Farda, com a sede. - Com Farda.
[27:20:10 - 27:26:50]:  - Aquelas Fardas super-apromadas, brinquinhas com muitas medalhas.
[27:26:50 - 27:45:10]:  - Estamos a falar das perspectivas e leiturais do Almeirante de Govei e Mello, relançadas esta semana com uma sondagem que dá como grande favorito na corrida abolém,
[27:45:10 - 27:58:30]:  consideram o resultado da sondagem significativo, ou este pode ser um daqueles casos, o João Miguel Tavares, em que o primeiro milho é dos Pardares, como se costuma dizer?
[27:58:30 - 28:31:50]:  - Eu gosto desse proverbio, mas na verdade aqui é que o Pardares já devia ter voado, e eu linciste em juaçar a volta da nossa cabeça e do Palácio de Balei, o Almeirante, como veio-me ao que ele destacou-se por Lidrar atrás de força da vacinação.
[28:31:50 - 28:53:30]:  E o que é extraordinário é que ele teve no cargo durante 7 meses e meio, ali entre fevereiro de 2021 até estezembro de 2021, foi sem morar, antes já tinha estado, mas não era Lidrar, não é?
[28:53:30 - 29:16:50]:  Depois da admissão do secretário de Estado, e é muito impulsionante como é que um trabalho de 7 meses e meio continua a procurar a água que é mora nacional?
[29:16:50 - 29:35:10]:  - Porque houve uma recente sondagem, e Gova e Mel aparece muito destacada, é que a água é igual a volta de 21%, portanto não é propriamente...
[29:35:10 - 29:41:50]:  - E não é uma grande fragmentação, com muitas figuras... - Almenor, me fragmenta, só o bolo.
[29:41:50 - 30:05:10]:  - Mas a verdade é que está com 21% Gova e Mel, assim que com 14 e tal, vem passos com o ano, e depois já com 10% marcos mentes, portanto marcos mentes está nas nossas casas todos os domingos,
[30:05:10 - 30:33:30]:  e não foi 37 meses, já havia até mais de 7 anos de surpresa, e tem metade do almeirante, e depois ainda vem da graventura, e curiosamente, em que só em quinta é que aparece essa primeira figura do PS, com uma casa de 18% que é Mario Centeno.
[30:33:30 - 31:08:30]:  Mas mesmo quando se vai a segunda volta, eles fazem o confronto entre duas figuras, o amigante volta a vencer. E as pessoas do Madjagal ficam um pouco chocadas e dizem, mas outra vez, as forças armadas vão voltar para as presidências da República, como no tempo que está de novo, são nos inícios da nossa democracia.
[31:08:30 - 31:25:10]:  Mas eu acho que é mais interessante perguntar por que? Porque é que as pessoas sentem essa necessidade, e isso é que estão com valor apenas a tentar.
[31:25:10 - 31:43:30]:  - Mas o PESM XIA tem uma resposta à popularidade do almeirante, ainda é efeito da campanha de vacinação ou já encontrou outras motivações profenômino?
[31:43:30 - 32:16:50]:  - É assim que ele sim pôs como um figura, não é um reconhecido do país antes disso, e comprei sua missão bem, e portanto não consigo perceber ao salto de cumprir uma campanha de vacinação para ser presidenciável, isso nunca compreender.
[32:16:50 - 32:33:30]:  Mas eu acho que há uma coisa mais profunda sem querer ser agora o Eduardo Lorenzo, hoje é dos 300, mas a Farda tem ali alguma...
[32:33:30 - 32:36:50]:  - É ainda tem mistica.
[32:36:50 - 32:50:10]:  - E eu sou, não sou antifarda, no sentido que não sou, contra as forças armadas, não era nenhuma, mas acho que não é saudável,
[32:50:10 - 33:23:30]:  que numa democracia, há uma transição de dois forças armadas para o poder político e a primeira posição política da nação, até porque o exemplo que é da área que foi idade pelo próprio almeirante que o VML...
[33:23:30 - 34:01:50]:  - Não faz sentido porque o general de Andes foi para me apresentar a República porque digamos, vamos dizer assim, teve alguma coisa a ver com os acontecimentos que nos permitiram ter uma democracia, portanto não foi para uma campanha de vacinação, que foi importante, não é do menu, a campanha de vacinação, mas o general de Andes é um dos pais da democracia portuguesa, é diferente, é diferente.
[34:01:50 - 34:15:10]:  - Será que o facto de não se saber muito bem onde seituar politicamente ao mirar que faz de muciar...
[34:15:10 - 34:18:30]:  - Isso é a hora.
[34:18:30 - 34:41:50]:  - Isso sim, mas é curioso porque nós temos neste momento o no político, temos os três blocos na Semblé da República, que temos o bloco da esquerda, o bloco da direta e o bloco do chega.
[34:41:50 - 35:13:30]:  E de facto aqui também há uma espécie de três blocos, só que é um pouco estranho porque temos o VML, no caso de uns 20%, passos e mentes, claro que só pode ser um, na casa de uns 20%, sem ter, não é neguamente, sem te se elevar na casa de uns 20%.
[35:13:30 - 35:38:30]:  Portanto, é uma outra tributartição, o que leva a querer, que uma parte significativa dos votos em VML são dos iletores do único partido que o Cháetmo mostrou simpatia para o seu candidato.
[35:38:30 - 36:00:10]:  - Deixa-me só dizer uma coisa acerca das faredas, tu tendo-tua até uma costela monárquica, eu acho que devia tentar reconhecer em VML, eu acho que há ali um cheio em área, isto crescia, que sem pisa este de um pouco na presidência da República,
[36:00:10 - 36:30:10]:  e então, com Marcelo, que parece um cargo com o toque de antigaminar aqui, e há nela uma certa postura que quem acusava também faredas é alguns reis, e há nela uma certa postura que aquilo é o Lollini Verte, podia ver da casa dos sóques, que o burgo pota, o sol momento do Lollini Verte.
[36:30:10 - 36:53:30]:  - O Lollini é, depois de candidata, terem conta, um eventual apoio do chega, Ricardo Raúche, para a reforçaria a posição do Almirante, ao colocar-vou para um problema político-bicudo.
[36:53:30 - 37:18:30]:  - Acho que os dados demonstram que ter o apoio do chega atraia uma parte do eleiprado, um repele, uma parte de 4 a 5 pesos e maior do eleiprado, pelo menos é o que eles não muziquem.
[37:18:30 - 37:53:30]:  - Não é surpreendente que o chega foi o Almirante do VEMEL, porque também é por causa daquela, está precisamente por causa da ideia de forças armadas, principalmente é possível que o chega acredite que tem um homem que vem do...
[37:53:30 - 38:16:50]:  - O que talvez ele cur puriza, aquela ideia de um mandário, os outros obtecedem, das ordens não serem pontistadas, como que é, faz parte da ética militar e também digamos de uma ética do chega.
[38:16:50 - 38:26:50]:  Às vezes nem se quer quando os grandes partidos apoiam um candidato, ou com certeza qualquer coisa, para que mais no partido da dimensão do chega.
[38:26:50 - 38:43:30]:  - Lembram que em 2016 o PS, que é um dos grandes partidos, o candidato apoiado pelo PS teve menos votação do que o candidato que não era apoiado pelo PS.
[38:43:30 - 38:56:50]:  - Depois cinco anos depois do PS resolveu então apoiar esse candidato e ele teve menos do que teve quando conclureu sem ser apoiado pelo PS.
[38:56:50 - 39:26:50]:  - Qualquer modo, acho que estamos todos aqui, esquecer um fator que vai ser fundamental isto, que é um processo que se é iniciado em breve, se a candidatura for concretizada, que é o processo de Fernando noberização do Almirante de Gov. e.m.l.
[39:26:50 - 39:40:10]:  Fernando Novertinha também capacidade de liderança na área da saúde era exatamente igual.
[39:40:10 - 40:00:10]:  Só que depois teve que manifestar a opiniões e que os problemas começam, nós fizermos, a gente admira o modo como durante sete meses o Almirante.
[40:00:10 - 40:11:50]:  O Rei Amel disse "Cersi, forma uma fila em frente desta senhora enfermeira, foi bem feito agora".
[40:11:50 - 40:18:30]:  - O Rei Amel já deu uma a duas entrevistas em que...
[40:18:30 - 40:20:10]:  - Já?
[40:20:10 - 40:23:30]:  - Como é que como é que proveneram?
[40:23:30 - 40:25:10]:  - Só já disse aí, não bem.
[40:25:10 - 40:35:10]:  - Pois, exatamente, é essa problema, mas em distante, vamos por um microfone à frente.
[40:35:10 - 40:48:30]:  E ele vai ser forçado de dizer coisas, manifestar opiniões, explicar que posições têm sobre assuntos.
[40:48:30 - 40:55:10]:  E isso é tudo bastante...
[40:55:10 - 41:11:50]:  Tem um potencial maior, digamos assim, para repolir do que aquilo que estivemos habituados, ou a ver o dizer.
[41:11:50 - 41:31:50]:  - Nos homengal tavars ficam então Almirante, na República, agora é vez do Pedro Messias, tornar ministro do Senhor Polícia, o que faz gritar o da guarda, Pedro Messias?
[41:31:50 - 41:41:50]:  - Na verdade, a referência é uma questão nos madrudeus. O Senhor Polícia tem a la cuidar de que o melhor do mundo é não ser enganado.
[41:41:50 - 42:00:10]:  - O caso é preço nasceu de uma declaração, de uma revelação feita por carros moedas esta semana a entrevista à Cicnotícias.
[42:00:10 - 42:15:10]:  A Polícia Municipal, Enlisboa, tem ordens, dadas pelo presidente da Câmara, já há um ano, para deter suspeitos.
[42:15:10 - 42:28:30]:  - Essa ordem já foi dada, ou o nosso comandante da Polícia Municipal e essas tensões já estão a acontecer.
[42:28:30 - 42:33:30]:  Depois podemos clarificar e interno jurídicos.
[42:33:30 - 42:50:10]:  - Mas a Polícia Municipal são Polícias Estudrença Pública, portanto neste momento, em Lisboa, essa mudança já está a ser feita, a Polícia Municipal já faz essas detenções.
[42:50:10 - 43:15:10]:  - Mas é preciso jurídicamente que o PSP e sobretudo a ministração interna esteja um acordo com aquilo que para mim é óbvio, é que a Polícia Municipal é constituída de Polícias Estudrença Pública, aliás, e aí que nós vamos ao recorretá-los, tanto eles são PSPs.
[43:15:10 - 43:23:30]:  - Tem sido uma grande mudança na própria filosofia da Tuar na Ciudade.
[43:23:30 - 43:45:10]:  - Carlos Muedas e a grande mudança da filosofia nas palavras do próprio, na política de surança, Enlisboa, em que o dedo é que isto pode tornar-se um embarasse pro Governo, Pedro Machia.
[43:45:10 - 44:03:30]:  - Eu acho que havia a fazer duas clarificações jurídicas, um é o que quer dizer ordens e outro quer dizer tensões, porque é muito duvidoso, não é inexistente.
[44:03:30 - 44:15:10]:  - O presidente da Câmara, o presidente da Câmara possa dar ordens a Polícia Municipal neste sentido.
[44:15:10 - 44:36:50]:  - E a palavra de tensão é uma palavra incorrecta, é verdade que a Polícia Municipal é recortada na PSP, mas não é PSP, as funções são diferentes, as atribuições são diferentes.
[44:36:50 - 44:41:50]:  - O maviarar que também é outro?
[44:41:50 - 45:16:50]:  - A função da Polícia Municipal, e aí vem a questão da palavra de tensão, é em flagrante Tolito, em caso de flagrante Tolito, entregar as autoridades competentes, PSP, hoje a NR, a pessoa que está com o Tiro Creme, entregar não é pagar de um copo ou trazer ele uma mantinha, entregar as autoridades.
[45:16:50 - 45:20:10]:  - Entregar não é ser...
[45:20:10 - 45:36:50]:  - O seu hotel numa carinha é pra alvar, é... - Não é ser curto, é ser curto, não é ser curto, não é ser curto, não é deixar andar, é fazer uma coisa diferente, é.
[45:36:50 - 45:45:10]:  - Esta pessoa fica aqui, pode ser detida no sentido, é incorrectiva.
[45:45:10 - 46:03:30]:  - wrong, correctiva, exatamente, é uma palavra melhor que detida, e entregar as autoridades competentes, isso não é muito difícil perceber, até porque alternativa é isso,
[46:03:30 - 46:40:10]:  é aquilo que o Rui Muraire aqui, o presidente da Câmara do Porto, chamou e vai em cheirifos, e eu não queria ter cheirif, acho que a ideia de uma pessoa ser detida, por exemplo, levada pra cadeia pela Polícia Municipal, não parece assim o cúmulo das liberdades públicas.
[46:40:10 - 46:55:10]:  - Eu estou tornando as embarassoures pro Governo, porque isto era até já foi chamada, ao Parlamento, por causa deste episódio, eu há vir lá, falar disso, e...
[46:55:10 - 47:01:50]:  - Então, não ve como bons olhos, esta situação...
[47:01:50 - 47:08:30]:  - Mais do que embarassou-se, o Parlamento, eu acho que é... - O Governo.
[47:08:30 - 47:25:10]:  - O Governo, eu acho que é embarassoso, é embarassoso como tema, porque não percebo exatamente, por que é que serve, serve,
[47:25:10 - 47:43:30]:  para imitar um discurso securitário, vindo alguém como caro dos moedas, que faz sempre questão de ser fostar dos extremos e no meio-alimento do chega, não percebo para quê?
[47:43:30 - 47:58:30]:  - O presidente da Câmara do Lisbo, revolucruzado, estas instruções há um ano a Polícia Municipal, mas só agora achou oportuno, algo parece,
[47:58:30 - 48:11:50]:  pedir para ser jurídicos sobre o assunto, ter aposto o carro a referentes boias, outro proverco, o nome de Galta Abar.
[48:11:50 - 48:25:10]:  - Sim, esta parte parecia sentir que tive ali um pouco bizarro, caro dos moedas, eu acho que ele é engenheiro, mas quer dizer,
[48:25:10 - 48:38:30]:  precisa de alguma sensibilidade para ele, diante que a amiga este televisão não dizem, bom, eles já começaram de ter pessoas e depois jogou de deicamente logo que se vê,
[48:38:30 - 48:58:30]:  como ele falou isso desta maneira, é evidente que isso é um absurdo, agora se me perguntar, se também não é um boquedinho absurdo,
[48:58:30 - 49:11:50]:  um policia municipal, terá alguém, mas não poder ter um carro para ir a uma escuadra de polícia, deixar o lá,
[49:11:50 - 49:26:50]:  e ter que esperar que a PSP cheque pão o vag, se quer também um boquedinho absurdo, podiam deixar os pômenes e deixar os senhores valos de carro até a polícia.
[49:26:50 - 49:45:10]:  - É o que está por isso. - Com certeza, mas senda aquilo que está por que viste, a warden certa, peste as coisas, naquelas coisas que se chamam sistemas políticos, democráticos, librais,
[49:45:10 - 50:01:50]:  é primar, muda, seja de lei, e é partida aí, mudam-se as diferenças, começa a sair de uma nega diferente, né?
[50:01:50 - 50:10:10]:  - Como é a timeta de recardar os préders de iniciativa do presidente da Câmara de Lisboa?
[50:10:10 - 50:20:10]:  - O Carlos é muito simples, eu acho que esta ideia de Fernandina não faz sentido nenhum.
[50:20:10 - 50:30:10]:  - Então, de Fernandina, é só que o que eu me enganei não é? - Não é?
[50:30:10 - 50:36:50]:  - Não é? - Não, não, não. - O Ricardo já estava passado.
[50:36:50 - 50:43:30]:  - É como da semana passada, na semana passada, os painéis.
[50:43:30 - 51:01:50]:  - O caso moedas também, o seu ex-cortivo, o seu os painéis, assim, no que um dos painéis, os painéis foram instalados e o caso moedas diz, "que é isso? Este painéis?"
[51:01:50 - 51:11:50]:  - Este ideia no Fernandina foi péssima. - E, portanto, imagine que esta da policia municipal.
[51:11:50 - 51:20:10]:  - Você quer dar que me dá? - Olha, a gente disse que a gente não fazia praticamente o brilho.
[51:20:10 - 51:28:30]:  - Está bem, está bem. - Sim, também o venho descobri que foi do Medina.
[51:28:30 - 51:53:30]:  - Eu propunei, eu acho uma ideia ótima, sobretudo se como diz o presidente da Câmara do Porto, se o policia municipal agora cadá gente deram uma espiga na boca e perguntar a cada turista,
[51:53:30 - 52:06:50]:  "O que vai furasteiro?" Ele é um muito trabalho desse para fazer e eu gostava de o venho feito.
