[00:00:00 - 00:06:08]:  Os livros da Semana, Tanguy, Patrocínio, Renou etec.
[03:36:08 - 03:49:28]:  e da investigação sobre o que é isto de fazer bonecos, como tu dirias.
[03:49:28 - 03:59:28]:  - E mas também tem uma dimensão em inglês muito forte sobre uma reação a Ono Verde,
[03:59:28 - 04:04:28]:  em Gila Terra, que não é como seria esperar.
[04:04:28 - 04:14:28]:  - É um livro muito simpático, é desigualdade social e acuriosa ideia de que Deus é um caricaturista.
[04:14:28 - 04:17:48]:  É ver o livro.
[04:17:48 - 04:29:28]:  - O João Miguel Taváres, suzer, um livro de memórias com a tragédia russa como pão de fundo.
[04:29:28 - 04:34:28]:  - Tudo isso às vezes, óbago, perima, propósito de todo o livro.
[04:34:28 - 04:44:28]:  - E às vezes, óbago, perima, propósito deste contrato da esperança sai.
[04:44:28 - 04:52:48]:  E agora, nem em preença da Universidade de Lisboa, que é um excelente catálogo,
[04:52:48 - 04:59:28]:  mas como acontece com muitos catálogos universitários, são dificil de encontrar nas livregarias,
[04:59:28 - 05:04:28]:  para que fica aqui o meu apelo, a rejam a distribuição,
[05:04:28 - 05:14:28]:  sente, porque a qualidade do catálogo da impressa da Universidade de Lisboa realmente merece mais divulgação.
[05:14:28 - 05:22:48]:  Eu encontrei o de repente na fériar do livro, e este é um dos livros absolutamente fundamentais do século 20.
[05:22:48 - 05:34:28]:  Podemos equipar algo ou algo de celular do Sol Jean Nitzin, mas não existe,
[05:34:28 - 05:46:08]:  que às vezes são os dois grandes monstros da denúncia daquilo que foram os crimes, sobretudo do Stalinismo.
[05:46:08 - 05:57:48]:  A nadéja Mádalos Tam era esposa do Sip Mandel, se tamo aliás, um escritor russ que recarga da gasporega,
[05:57:48 - 06:06:08]:  e ainda há pouco tempo, recomendou, porque saiu um livro dele.
[06:06:08 - 06:21:08]:  E o Sip Mandel Tam foi preso no manoite de 1934, e estima-se que terá morrido a alguns noem em ver, em 1938.
[06:21:08 - 06:41:08]:  E este é o relato desses quatro anos. A nadéja Mádal Tam é um viúvadoelo, mas ao mesmo tempo sentiu uma necessidade gigantesca de preservar a sua obra.
[06:41:08 - 06:52:48]:  E muita da sua obra desapareceu, ela tinha medo que desaparece, e portanto ela sentiu necessidade de amorizar.
[06:52:48 - 07:12:48]:  E para quem já viu o Fagnade 451, ou seja, no filme do Trophol, "Leo Livre do Bradbury", a nadéja Mádal Tam foi verdadegamente percursora daquelas pessoas que fixavam os livros,
[07:12:48 - 07:34:28]:  por que alguém usigui a Kimak. E tanto isto é uma narrativa absolutamente extraordinária e escrita de forma cura sem um pingo de la Mexisse, e é realmente um livro extraordinário.
[07:34:28 - 07:42:48]:  O Ricardo Arosperer atrás também um ensaio já clássico.
[07:42:48 - 07:54:28]:  Sim, já clássico. Eu lembro de ter lido este livro quando a minha avó aduíceu, e por isso foi há mais de 20 anos.
[07:54:28 - 07:57:48]:  Só que agora é esta redição.
[07:57:48 - 08:09:28]:  A redação que chama "É um livro da Sua Em Sonta", que se chama "Duença e Comum Tafora" seguida assim daí a suas metáforas.
[08:09:28 - 08:17:48]:  Ela, porque eu tive o primeiro, a doença comum Tafora, quando ela para a prosta, estava com o volso cerdo.
[08:17:48 - 08:32:48]:  O temo está em base aquimente sobre isso, sobre... Digamos a gente de metáforas que rodeiam as doenças, neste caso o cancro e também a tuberculose.
[08:32:48 - 08:44:28]:  Tal como a tuberculose, o cancro também é considerado hoje, até certo ponto, até certo altura se considerava tuberculose,
[08:44:28 - 08:49:28]:  sobretudo quando a gente não sabia o que aqui provocava e como é que se curava.
[08:49:28 - 09:06:08]:  Nós achávamos que uma determinada disposição atraía a tuberculose, ou seja, que pessoas, por exemplo, de disposição mulancoólica
[09:06:08 - 09:12:48]:  eram mais atreitas... Eurostênica. Exato.
[09:12:48 - 09:22:48]:  É uma desgraçada. E a relação ao cancro há mais ou menos a mesma ideia.
[09:22:48 - 09:39:28]:  Ou seja, a ideia de que uma determinada disposição do paciente faz com que ele desenvolva a cancro e seja, isso leva a uma espécie de culpabilização da vivita,
[09:39:28 - 10:07:48]:  sendo que, mesmo, por exemplo, eu lembro quando o Lovanturno se adoeceu e disse, "Sinto um grave do cancro". Essa ideia da gravidez, como é o viagro de uma pessoa em gravidez, tem responsabilidade no fato de estar grave e isso não se verifica, né, quando a relação ao cancro.
[10:07:48 - 10:17:48]:  E, por santei, é um livro que foi muito útil nessa altura para desmontar esse tipo de ideia.
[10:17:48 - 10:37:48]:  A doença, como dá fora de Susanne Sontagas, sim se conclua mais uma ri-neão-semanal, doas, hoje, dias, à mesma hora, os mesmos de sempre, peda-me chia João Miguel Tavarche e Ricardo Uróis Pereira, também em podcast.
[10:37:48 - 11:26:08]:  [Música]
[11:26:08 - 11:29:28]:  [Música]
