[00:00:00 - 00:09:54]:  Esta semana, Ricardo Aoros Pereira ainda em confinamento sente uma semirretta.
[06:52:52 - 07:26:44]:  - Quando Catarina de Martins inscita que estava de um jogo político, António Costa teve aquela reação, é provavelmente o momento mais significativo no debate, porque é um reflexo perfeito daquilo que é o status-pígido do Primeiro Ministro, do PS, em relação ao comportamento do bloco de esquerda.
[07:26:44 - 07:42:04]:  - E isso não augura nada de espetacular a profetura? - Portanto não é previsível que este entendimento venha a ser sanado.
[07:42:04 - 07:59:24]:  - Por exemplo, na votação final de baldo? - Sim, ainda pode ver que seja sanado, até porquito, pois ao outro lado, ao PCP que também ainda não deu garantia, acho que não votação global.
[07:59:24 - 08:14:04]:  - No contrário, vai vender cara a pele, porque já logo no primeiro dia apresentou 66 medidas da alteração na especialidade.
[08:14:04 - 08:27:24]:  - E isso que, bom, estas 66, são para levar o orçamento, para o caminho do bem. - Mas 20 e tal, não doutografia.
[08:27:24 - 08:48:04]:  - Era uma coisa que tinha um co-agutado, mas criaturas com o acordo. - Como é que valeu o risco político do bloco de esquerda nesta situação e com esta decisão de sumbrar o orçamento?
[08:48:04 - 09:12:04]:  - O risco é, se o próprio eliturado do bloco de esquerda não entende-se bem. Fora do eliturado do bloco de esquerda, há o risco muito grande, de se achar que é, numa expressão que eu não subscrevo na relação a bloco, na relação a ninguém, pouco patriótico.
[09:12:04 - 09:46:04]:  - Mas a relação ao próprio o bloco de esquerda, ou o próprio os relatos de bloco de esquerda não sei. É óbvio que é, pular um braço de ferro, que é um braço de ferro, que o bloco faz questão de insistir nas matérias, que é diferente, ou que faz questão de se apresentar como diferente, ou mais exigente, ou mais máxima lista.
[09:46:04 - 10:23:24]:  - No reforço do SNS, na vigilância sobre os bancos e tudo isso, mas há também uma exigção particular, só que tenho falado sobre o divorcio e ainda esta semana, havia uma entrevista que falava do divorcio, uma entrevista a Mariana Mortagwin, que ela dizia que não subscrevia essa linguagem.
[10:23:24 - 11:10:44]:  - E o que acontece é que qualquer coisa que é da ordem, é que é apenas meramente difícil, e aliás isso é visível, até muito antes da isso, em chamada de ringonça, há uma irritação enorme do PSC ou o bloco, como estatuto existencial, faça aliás, como mais uma vez se encerna o provavelmente, há uma do sura para a partir do comunista, que é pesado, tudo é um partido, que as coisas que eles dizem sempre, responsável,
[11:10:44 - 11:16:24]:  que não faz os petáculos para fora, etc.
[11:16:24 - 11:23:44]:  - Então, é este tipo de linguagem que continuo sempre agora?
[11:23:44 - 11:39:44]:  - É a distinção, a velha distinção dá uns meses larmos tanto a unir Costa quando disse que o PCP é um partido de massas, e o bloco de esquerda é um partido de massas média.
[11:39:44 - 12:00:24]:  - Pode ser, também, da sede, está presente desde o início na relação conflito com o bloco, senta que é uma mesma tempo que o comentário é preciso, porque tenem conta que o bloco de esquerda tem muito mais votos do que o PCP.
[12:00:24 - 12:09:04]:  - É difícil sustentar isso argumento? - Não, não, não, não, porque é difícil.
[12:09:04 - 12:19:04]:  - Estás a unir, porque se fosse um partido de massas? - Não, os detalhes de massas estavam em todos os detalhes de todo mundo.
[12:19:04 - 12:34:44]:  - Não, todos os partidos que têm no momento certo, muitos votos são partidos de massas, pelo contrário, é partidos, indeseplicadamente beneficiados, pelas massas que não são partidos de massas.
[12:34:44 - 12:39:44]:  - Não vamos discutir isso. - É a questão da geringonça.
[12:39:44 - 13:26:04]:  - Nós somos um programa de ser, aqui estamos de alguém diz, não vamos discutir. - É a questão da geringonça, que não é a questão que está em causa, porque há um orçamento e uma pandemia, mas, mais uma vez, não se percebe exatamente, para a leofetura, depois de uma legislatura em que isso conseguiu fazer desfazer uma obra anterior, e esses anteriores do governo passos, e decisões da troca, etc.
[13:26:04 - 13:44:04]:  e maximizar os pontos de contacto entre os partidos, depois de uma segunda mandato, tem que costa, claramente, não quis, como promissos níous, inscritos, coisa nenhuma.
[13:44:04 - 14:01:44]:  E agora estamos neste prudio de estranho da pandemia, eu acho que, se não estivéssemos numa pandemia, é a questão da viabilidade da geringonça, da bodupó geringonça.
[14:01:44 - 14:39:44]:  E a viabilidade deste mandato chegar até, ao fim, estaria a ser o assunto em cima da mesa, até por causa das, vai ser muito interessante, embora isso não se traduzam de seriamente, não correspondendo de seriamente, alguns partidos têm, a votação que vão ter o candidato do bloco, o candidato do bloco, o candidato do PCP nas presidenciais, tudo isso vai animar.
[14:39:44 - 15:04:24]:  Só falta em um orimenta, mas em pedentemente das questões ideológicas, formam muito pragmática, se eles fossem eleições, quem ganhava o bloco, o PCP e o PS, tem que ganhava com esta circunflexibility.
[15:04:24 - 15:29:04]:  O bloco é que ganhava, ganhava o bloco da esquerda, não, era o que ganhava.
[15:29:04 - 16:13:44]:  E a esquerda dividiu-se e o PS atacou o bloco acusando repetidamente, se ter juntado a direita, se levantar com a direita na hora da votação. E até o nome de catarina de Marteins já caiu no esquecimento entre deputados socialistas.
[16:13:44 - 16:41:44]:  E para usar a expressão da senhora de votada catarina, sim, catarina, no início deste debate, quando uma pessoa se esquece mesmo, no início deste debate falha ao país e falha as pessoas.
[16:41:44 - 16:43:24]:  Muito obrigado.
[16:43:24 - 17:06:04]:  A votada Sony é fortuzinhos, com uma branca, ao referir-se a coordenadora do bloco de esquerda, será caso para chamar o Dr. Freud e Ricardo Raúges Pereira?
[17:06:04 - 17:28:04]:  Acho que não, Carlos, acho que não é preciso, não vale a pena aborcer o CIGIS mundo, porque estou caio, que mesmo não tendo qualquer formação em psicologia, sei exatamente o que se passa aqui.
[17:28:04 - 17:49:24]:  Sabemos todos, que nós todos já estivemos na cama com alguém e depois vimos essa pessoa, não se itiu pública e não desapareceu, reconhecer quem não estou a ver, não sei quem.
[17:49:24 - 17:51:04]:  E não é isso na silêncio?
[17:51:04 - 17:54:24]:  Antes de uma trimônio, quer dizer.
[17:54:24 - 17:59:24]:  Sim, sim, claro, normalmente isto está do PS.
[17:59:24 - 18:02:44]:  Sapa que você conhece.
[18:02:44 - 18:22:44]:  Na sequência de zoolcaziones, digamos de embriagueixo, que contemos alguns erros. Essa é a questão aqui. Essa é a ver supesse, teve embriagado entre 2015 e 2020.
[18:22:44 - 18:35:24]:  E foi por isso que com o teu, aquilo que agora parece dizer que foi um erro.
[18:35:24 - 18:38:44]:  Mas suponhe que há que adulterio?
[18:38:44 - 18:57:04]:  Não, quer dizer, na verdade era poli amor. Essa foi desde o início entre o PS, o PC e o bloco. A vialia era assumido que se tratava de poli amor.
[18:57:04 - 19:07:04]:  Mas os poli amorosos que eu conheço são pessoas muito intintos e esmaras com poli amor. E aqui não é o caso.
[19:07:04 - 19:12:04]:  Que são os poli amorosos contra adiados.
[19:12:04 - 19:32:04]:  Sim, havia algum festivo. Mas repara, é poli amor numa casa em que mais ninguém deseja participar neste...
[19:32:04 - 19:33:44]:  Não vou mal, não.
[19:33:44 - 19:47:04]:  Se tem sintas que conformar com o que há, em essa medida, havia o ento e asme possível.
[19:47:04 - 20:00:24]:  Faltava a profundidade da análise a questão do ar-sabento. Com estas metáforas a volta...
[20:00:24 - 20:02:04]:  Seria de nossa intente.
[20:02:04 - 20:03:44]:  Poli amor.
[20:03:44 - 20:17:04]:  Entregamos ao jovem que ela estava a parte da ministro do mais é menos. Quando a pedra-mexia vai ser esta semana,
[20:17:04 - 20:27:04]:  ministro da matemática e qual é o grau de complexidade da equação a que quer dedicar-se permexia?
[20:27:04 - 20:45:24]:  Há duas matemáticas diferentes na matemática. É que diz que quem ganha eleições e deve ser chamado para formar o governo,
[20:45:24 - 20:58:44]:  é o particular em primeiro lugar. Nisto estamos de acordo todos. Eu e António Costa 2020.
[20:58:44 - 21:03:44]:  António Costa 2015?
[21:03:44 - 21:05:24]:  Sim.
[21:05:24 - 21:07:04]:  António Costa 2015 não sabe bem.
[21:07:04 - 21:17:04]:  Quer falar das contas de cabeça que estão a ser feitas por causa de resultados e leições de nos assuntar?
[21:17:04 - 21:17:04]:  Essas são mais contas.
[21:17:04 - 21:22:04]:  O PS perdeu a maioria absoluta.
[21:22:04 - 21:27:04]:  Mas eu estou com a maioria.
[21:27:04 - 21:28:44]:  Sim.
[21:28:44 - 21:45:24]:  A direita tornou-se meio-iritario do Parlamento Regional, se contar com os dois deputados do chega por a primeira vez que eu estou com o Parlamento Regional.
[21:45:24 - 21:48:44]:  Como é que analise este puzzle político?
[21:48:44 - 22:00:24]:  Enprou-se o lugar matemática número 1, que é que ainda deve ser chamado para tentar formar o governo, é o vencedor.
[22:00:24 - 22:05:24]:  Como nós chamá-me a pessoa que fica em primeiro.
[22:05:24 - 22:10:24]:  O PS deve tentar formar o governo.
[22:10:24 - 22:25:24]:  Se o PS não conseguir formar o governo, e a partir do PS não conseguir formar o governo, a partir do CDS que é um elemento importante para este.
[22:25:24 - 22:47:04]:  Porque já tem um historial de proximidade ao PS no Parlamento Regional.
[22:47:04 - 22:53:44]:  Mas o CDS, aparentemente, acha que é natural.
[22:53:44 - 23:37:04]:  É um historial de uma partida direita que é de uma maneira direita com uma maneira direita, ou seja, com a história soriana que nós conhecemos, a ver uma possibilidade de maioria com a direita faz mais sentido ser essa, aliás, a direita do que a presa.
[23:37:04 - 23:52:04]:  É a segunda-ritmática, que é mais complicada, que é aritmática, porque não é só aritmática, que é aritmática da direita junta.
[23:52:04 - 24:15:24]:  O que existe é que, se for formada, quero, quando vista, na votação, na posto do governo, no programa do governo, tudo isso.
[24:15:24 - 24:43:44]:  O PSD, CDS, PPM, já existia, e que você era um reforçado, ou seja, a FIOS CDS, para dar um tumultável, mas, me laci em 3, e os dois partidos que entraram, chega com 2, e necessitive-me liberal com 5 partidos.
[24:43:44 - 24:50:24]:  E isso são 29, e a maioria é no Parlamento.
[24:50:24 - 25:18:44]:  Há dois problemas aí grandes. Um problema que tem que ver com os dois pequenos, os dois pequenos, os dois que entraram agora, necessitive-me liberal com o Rio de Janeiro, porque PSD, CDS e PPM, no fundo, é AD, portanto, são uns partidos com uma tradição de se coligarem.
[25:18:44 - 25:53:44]:  A iniciativa liberal tem muito pouco a simpatia pelo que percebe, e, pela esticuleração, isto tem feito, mesmo em nível nacional, da ideia de uma frente direita, até porque não gosta, não se considerasse para um partido direita, e, portanto, não tem nenhuma simpatia, acho-o, pelo que percebe, não tem nenhuma simpatia para esta solução, embora também não estou a ver que lê possam o que o viabilismo do governo PS.
[25:53:44 - 26:22:04]:  O chega são escolhas a fazer do parta direita, da parte do chega, da direita, também, distrindo, e, digamos assim, da parte do chega, a direita, o chega tem que perceber se o seu inimigo principal é o seu... o seuismo, parte do seu lista, ó se é a direita clássica.
[26:22:04 - 26:43:44]:  A direita tem que perceber se a sua função é simplesmente quem área eleições, e hoje é qual for a estudência, ou se a ascedência é reconhecido em uma sua admissiva, até porque isto pode ser um balão de ensai para para acontecer no continente.
[26:43:44 - 27:13:44]:  A esse propósito líder do chega mudou do opinião em 48 horas, não é da declaração, rejeitou eliminar-me, qualquer acordo que permitisse a direita governar nos assores, e dois dias depois, veio colocar quatro condições para viabilizar um governo assuriano, liderado pelo PSD.
[27:13:44 - 27:22:04]:  O que terá motivado esta mudança subita? Ricardo Raúx, para era.
[27:22:04 - 27:43:44]:  Não sei, Carlos, o que será? O que será? Não tem ideia. Por causa de sei. Por causa de sei mais uma vez, temos que consórtua-se, porque consigo recolher a minha experiência pessoal para explicar todos os casos que vamos comentar.
[27:43:44 - 27:58:44]:  Eu próprio já fiz isto que em de reventura faz. Já disse, eu não tenho fome nenhuma, estou cheio, não me peteço de comer.
[27:58:44 - 28:12:04]:  Só que depois o taxo está ao lume e cheira tão bem, cheira taxe, cheira taxe, e ele realmente espera aí.
[28:12:04 - 28:22:04]:  Estou hoje, esta, tu hoje, talvez que estás em casa, vi este como gajo da alfama, claramente.
[28:22:04 - 28:28:44]:  O esteu dizer por causa de bodeira, assim como designas.
[28:28:44 - 28:37:04]:  E designas? E pina, e pina, ensos. É a tua trilogia.
[28:37:04 - 28:52:04]:  Respetável aliás, respetável. Bom, bom, é isso mesmo, não só respetável, como degógica, no sentido.
[28:52:04 - 29:02:04]:  A maneira mais didática, explica a as pessoas que estão a passar. É verdade.
[29:02:04 - 29:22:04]:  É a razão, tem a razão. Na verdade, é possível tirar o ventura documentador e documentário de futebol, não é possível tirar o documentador de futebol dentro de reventura.
[29:22:04 - 29:32:04]:  O que ele faz constantemente é aquilo que ele fazia as segundas feiras da noite na CMTV.
[29:32:04 - 29:38:44]:  Penalty! É tu e este lance rigorosamente igual. Agora já não me parece.
[29:38:44 - 29:55:24]:  E isso, é basicamente isso. Estas são as mudanças de estado de espírito, que são erradas documentário de futebolístico e agora aplicadas a vida política.
[29:55:24 - 30:12:04]:  A possibilidade do PSD negociar como chega nos assores, João Miguel Tavárez, poderá vir a fazer da região autónoma uma espécie de laboratório político português?
[30:12:04 - 30:23:44]:  Sim, sem evidente. É porque isso que estamos a falar disso aqui. Nós não temos ganho d'ábito no governo de sombra, comentágamos, resultados...
[30:23:44 - 30:38:44]:  De leisão dos rejuinais. De leisão dos rejuinais nos assores. Uns assores que estumam se especialmente faladas na política nacional, não sei daquela vez em que a váxiva decidiu interromper uma esferga,
[30:38:44 - 30:52:04]:  que é realmente importante em uma parte das pessoas, não tem percebido nada. Mas neste caso as pessoas estão percebendo tudo isso, não percebendo bem.
[30:52:04 - 31:07:04]:  E para já há um lá diagórico em que nem estudo, que é uma jingossa da esquerda, rapidamente se pode transformar numa jingossa de digaio, tem bom?
[31:07:04 - 31:22:04]:  Para isso que se chama uma carangajola. Ou uma carangajola, exato, isso é um nome que já tinha sido recuperado, seja uma carangajola. Parece que será uma carangajola muito difícil de andar,
[31:22:04 - 31:42:04]:  tendo em conta a complexidade dos acordos que teriam que ser estabocidos entre aquelas pessoas todas. Agora, a projeção de isto para o continente e para Portugal como um todo, me parece muito interessante.
[31:42:04 - 31:53:44]:  E suba que tudo, nós já falamos de isto aqui, mas acho que não é nunca por demais sublinhar.
[31:53:44 - 32:17:04]:  Esta teoria da cerca sanitária em torno do chega é uma coisa que é meu ver. Toda a gente sabe o amor que eu tenho por andar de aventura ou qualquer um de nós, por andar de aventura já foi exposto e mesas vezes.
[32:17:04 - 32:35:24]:  Mas, a partir do momento que António Costa, em 2015, faz que o tal muro e o muro à sua esquerda do qual ele é o estante de se orgulha, é evidentemente um absurdo.
[32:35:24 - 32:43:44]:  Mas, para que a hora de repente seja, a direita é construir um muro e um muro que não é.
[32:43:44 - 32:52:04]:  Você blássema equivalência entre os partidos à esquerda do PS e os partidos à direita do PSD?
[32:52:04 - 33:10:24]:  Sim, eu sou uma equivalência alegramente entre bloco, PCP e chega. A única diferença é que o chega, como é mais fresquinho, é que eles dizem, parece mais horrível.
[33:10:24 - 33:53:44]:  Mas, se nós elevá-semos o PCP a sério, quando ele indere fresquinho, seja depois do 25 de abril. Quando ele indere fresquinho, depois do 25 de abril, já insiste. Quando o bloco de chega dá para seu, quando nós olhamos para as opiniões todas que eles tenham sobretas, ou sobre as democracias na crescurejo do norte, ou sobre a Venezuela, que são obviamente opiniões abjetas, mas que nós colocamos de lado porque...
[33:53:44 - 34:12:04]:  É, mas eles nunca vão aplicar. Isso quando é aventura também vale, quando ele se pôde que a extracção quime e que é com as que elas convéixem da extracção. Não só, só, são os mesmo naturezes, né?
[34:12:04 - 34:15:24]:  Não são da mesma natureza.
[34:15:24 - 34:25:24]:  É, porra, a mim parece uma dúvida. É tudo isso que parece o pneu de abjeto. Tem dificuldade em segura-me da abjetção.
[34:25:24 - 34:33:44]:  Eu não sou muito a favor do discurso ético, na política, na encheraboga ou a palavra ética.
[34:33:44 - 34:43:44]:  A perspectiva ética é a relação ao comportamento das outras pessoas, e, neste caso, os outros partidos, é a relação ao teutu.
[34:43:44 - 34:57:04]:  Você pode dizer, é horrível a maneira como aquela pessoa se porta, e, portanto, não me vou portar como ela, ou pode dizer, é horrível a maneira como aquela pessoa se porta.
[34:57:04 - 35:05:24]:  É, portanto, vou fazer o mesmo, e portanto as pessoas que criticaram, implementam as comparações.
[35:05:24 - 35:33:44]:  Implementam dessas comparações as pessoas que passaram antes, estes antes, estes antes, e bem, no meu entender, a criticar o PS por diminuir as diferenças, obviamente, importante, obviamente, patentes entre o PS e o PC e o bloco.
[35:33:44 - 35:47:04]:  Essas pessoas, agora, acham que o CDS e o PSD, podem apagar as diferenças gigantes que têm a relação ao...
[35:47:04 - 35:55:24]:  Então, eu pergunte às essas pessoas, como nunca fui uma delas, ou seja, eu sempre achei que...
[35:55:24 - 35:58:44]:  Não, mas temos que evitar algumas delas.
[35:58:44 - 36:13:44]:  Evidentemente, que eu tive muito pena que passam escolhe-se, que tenha sido afastado daquela maneira, achem justo, está-se tudo resto, mas nunca me guei, ao PS, eu legitimizado de fazer o que fez.
[36:13:44 - 36:27:04]:  E até achei que havia algumas vantagens políticas em trazer o PS, o bloco e o PCP, para que eles chamam o arco de governação.
[36:27:04 - 36:45:24]:  Agora, é evidentemente a possuida, porque aquilo que está neste momento em causa é, a partir de 2009, os pete de partidário, nã sem mulher da República, estilha soço, multiplicos, e não vai voltar.
[36:45:24 - 37:02:04]:  Já não vai voltar. A possibilidade de PS ou PSD conseguir, em meio que as absolutas, acabou, pelo menos no médio prazo, no horizonte que a gente está engenharia a ver.
[37:02:04 - 37:23:44]:  É importante, não podem dizer a direita, que ela nunca mais volta a me ter os pés no governo, ao PSD, neste caso, não podem dizer ao PSD, ao rir que ele olha, ruite, azar, nunca mais vai me ter volta a me ter os pés no governo.
[37:23:44 - 37:48:44]:  Só tenho uma opção, ou ali, a STOPS, ou fica se achando o dedo, isso não é possível para o que é que o PS, seguia constantemente, nunca seria o que ia poder, ou era um governo meio guitário, quando você pegava sozinho, ou então era uma espécie de bloco central com o PSD.
[37:48:44 - 37:58:44]:  Sem pensar no que você não pode, é ter um roto valar em casa, com condição, de que ela não te morda.
[37:58:44 - 38:10:24]:  Mas pague os roto valas também, se você tem os mais tibios, é um jogo nem pessoas, mas não esses nós são os alinhados do PSD, ou seja, os cidades do PSD.
[38:10:24 - 38:25:24]:  O discurso do chega, e outros partidos como o chega, é interno, no joteiro de tempo, são tão atacar a direita como atacar a esquerda.
[38:25:24 - 38:40:24]:  E portanto, a ideia de que a resposta é isso, pro parta diretamente de streamer, é dizer, "Sim, senhor, fomos insultados muito bem durante estes anjos".
[38:40:24 - 38:43:44]:  Fimos outros discursos de pábulas casadas, a Espanha.
[38:43:44 - 38:57:04]:  Sim, senhor, muito obrigado por nos terem insultado durante todos, chamando-nos cobardes e pusilérnimos idiota, por tanto, venham cá para estar a dar um exemplo.
[38:57:04 - 39:08:44]:  Se for a sabilidade, dá um exemplo em que o PP está aliado com o Fox, como nós temos um partido, mas aprendeu agora, aprendeu agora, que não vivemos.
[39:08:44 - 39:25:24]:  E cada hora os prédio, que questões existenciais é que uma eventual negociação, com o chega, coloca a resta direita e em particular ao PSD.
[39:27:04 - 39:58:44]:  O Carlos, acho que são as questões ideias existenciais que o Pedro de FNU e que sinceramente não me parece que se coloquem à esquerda, tenhas maiores objeções a aquilo que o João Miguel Tavarrediça acerca da equivalência entre chega e bloco e percepem.
[39:58:44 - 40:20:24]:  Parece que basta estar nos atentos ao que as pessoas dizem. Acho que é suficiente. Do ponto de vista daquilo que é aceitável.
[40:20:24 - 40:32:04]:  As propostas políticas absolutamente inaceitáveis que o chega tem feito.
[40:32:04 - 40:52:04]:  Já nem falo da gelatina política, quer dizer, do facto de candidatar a eleições dizendo que quer acabar com SNS e que o sistema também com a educação pública, depois afinal já não é bem isso.
[40:52:04 - 41:13:44]:  Já é outra coisa quando percebe que isso se calhar é bastante impopular. Ou o confinamento dos siganos. Ou quer dizer, neste momento há aquela discussão sobre saber se o chega é ou não de extrema direita.
[41:13:44 - 41:27:04]:  Porque o partido de extrema direita não teria, digamos, o pendor antista-tista do chega.
[41:27:04 - 41:43:44]:  Serto, mas primeiro ainda não percebemos se esse pendor antista-tista existe de facto. Segundo há vários outros argumentos para considerar o chega um partido de extrema direita.
[41:43:44 - 41:48:44]:  Designadamente o facto de... É, quer dizer, é difícil...
[41:48:44 - 42:05:24]:  É difícil, mas sendo um partido que está no Parlamento Europeu, no grupo da Marino O Pen e de aqueles outros amigos todos.
[42:05:24 - 42:10:24]:  Claro, e dizer, não é? O sistema direita é como no quadro do que...
[42:10:24 - 42:13:44]:  Mas eu disse que não é que a sistema direita...
[42:13:44 - 42:22:04]:  Para mim, a sistema direita é o daqueta radical, para mim vai dizer a mesma coisa. Não é nada, disse que eu estou a dizer.
[42:22:04 - 42:42:04]:  Não é que a sistema direita é como no quadro do que a sistema direita. Não é que a sistema direita é como no quadro do que a sistema direita.
[42:42:04 - 42:48:44]:  Não é possível, é direita, dizer, eu nunca na vida, vou tocar neste senhor.
[42:48:44 - 42:55:24]:  E quer esta ser que a Sanitarre, quer esta ser que seguia?
[42:55:24 - 43:03:44]:  Um livro, passe, paga o PS, nunca sair do governo, até o final dos seus dias. Isso é obviamente inaceitável.
[43:03:44 - 43:23:44]:  Tá, Ricardo. O Pedro Mexia fica então... Eu não estava a esperar a ver se sabia mais alguma coisa que sentado.
[43:23:44 - 43:50:24]:  O Pedro Mexia fica então ministro de matemática. Agora é a vez do Ricardo e era os preros se tornar ministro do cartão amarelo.
[43:50:24 - 43:57:04]:  Não é amarelo, mas supone que teria preferido poder ser ministro do cartão armário.
[43:57:04 - 44:10:24]:  Sim, teria porque o cartão amarelo é a minha interpretação do que foram os resultados eleiturar no Vimfica.
[44:10:24 - 44:15:24]:  O cartão armário seria que você já iria que tivesse acontecido.
[44:15:24 - 44:20:24]:  Será que eu vou falar das eleições no Vimfica?
[44:20:24 - 44:33:44]:  Sim, eu nunca acho que quando dica que nas que tinha votado nas em eleições anterior de votar em branco,
[44:33:44 - 44:43:44]:  também é importante não esquecer que desta vez havia uma alternativa cardível. É importante não esquecer que ele,
[44:43:44 - 45:02:04]:  as vezes anterior, as alternativas era, por exemplo, o doutor Rui Rengel, e, portanto, em princípio, isso fica definida essa candidatura do ponto de vista da cardibilidade.
[45:02:04 - 45:13:44]:  Mas o certo é que me perceou que aquilo que estava em casa nesta eleições tinha sido o último andato, tinha sido absolutamente desastrooso.
[45:13:44 - 45:25:24]:  Quero desastrooso do ponto de vista de deportivo, em que perdemos campeonatos e aliás, acabamos de perder a dobradinha para um club que está intervencionado pela UEFA,
[45:25:24 - 45:42:04]:  mas não só desastrooso de deportivamente, também desastrooso de ponto de vista judicial, como todos sabemos, desastrooso do ponto de vista da tentativa da pervação do Opas e da Guerra.
[45:42:04 - 45:43:44]:  É certo, certo, desastrooso.
[45:43:44 - 46:02:04]:  Mas a campanha de eleitural já acabou. Chegou a ter esperanças e dado um número recorde votantes que ele só estivesse encaminhado sem sentido da mudança e não no sentido continuidade, como vai acontecer.
[46:02:04 - 46:43:44]:  Não, os resultados superaram, devem dizer as minhas preenças. O que eu esperava era que nesta circunstência, ou seja, apesar disso e apesar de estar o último andato a ser desastrooso, até do ponto de vista da democraticidade interna do club, em que o presidente tentou, digamos, sufocar os socios, quer metafóricamente, quer literalmente strafogando numa assembleia geral.
[46:43:44 - 47:22:04]:  Nesta circunstência, ou seja, nas circunstidades em que estamos agora, que é normalmente o que conta a prosa de apres, que é, sim, o melhor arranque de sempre, dos últimos 38 anos no campeonato, corrigir o erro que cometeu em 2014, indubes, caral através de Jorge-Josus, os pontos de avance que já levamos, o investimento sem precedentes.
[47:22:04 - 47:55:24]:  E ainda, um candidato no oposição que era apesar de ter sido visto, presidente do vilareng, era relativamente desconhecido, ou seja, sem nenhum tempo de antena, até bloqueado pelo facto do presidente de recusar os debates com o protesto que democracia era um circo e uma barulheira, nessas circunstâncias, tendem conta tudo isso.
