[00:00:00 - 00:18:00]:  Esta semana, Ricardo Araújo, Pereira, declara-se Araújo, Pedro Mexia, Cento capital e João Miguel
[05:07:00 - 05:17:00]:  Ele disse nesta história, mas há que lá mesmo que já está no frigorífico a procura das obras de há vários dias.
[05:17:00 - 05:25:20]:  E essa foi uma ideia que ficou olando toda a entrevista, mas agora, ilogiar que nós...
[05:25:20 - 05:35:20]:  Eu tenho batido tanto no senhor presidente da República, principalmente que há um atrasado, foi uma ótima entrevista.
[05:35:20 - 05:42:00]:  É um perfeito, porque não há muita diferença de facto em tua unha lista.
[05:42:00 - 05:48:40]:  E o presidente da República, que a gente tá a ver que parece que estamos a voltar ao passado.
[05:48:40 - 05:52:00]:  Só realmente saudades quando eu fazia este comentário.
[05:52:00 - 06:00:20]:  Só que depois de lá, pelo menos, repente falar, "Ah, que começa a falar de dissonução e de dissonução".
[06:00:20 - 06:03:40]:  E aí a gente lembra-se, por causa daquilo, é...
[06:03:40 - 06:07:00]:  De que não oubrica, é fecha que vocês estão a dizer?
[06:07:00 - 06:08:40]:  De que não oubrica.
[06:08:40 - 06:15:20]:  E aí a gente fazia quando lembra-se que ela é presidente da República.
[06:15:20 - 06:28:40]:  Mas é mesmo... Justiça seja feita a Marcelo, ele criou um estilo que é a só dela, nunca ninguém tinha inventado isto antes.
[06:28:40 - 06:32:00]:  E, principalmente, não vai haver depois.
[06:32:00 - 06:38:40]:  E isto inclui todos os países do mundo, porque eu não conheço mais nenhum país, nenhum país...
[06:38:40 - 06:40:20]:  O presidente do comentador...
[06:40:20 - 06:45:20]:  O presidente do comentador desta managa, mas o comentário foi excelente.
[06:45:20 - 06:50:20]:  A análise do país também me identifique com ela em boa medida.
[06:50:20 - 06:58:40]:  Como é que a entenda a distinção introduzida pelo presidente da respeito da situação na direita peda-me-se entre...
[06:58:40 - 07:12:00]:  A maioria aritmética e a maioria política, o presidente este que há uma maioria aritmética e não há uma maioria política.
[07:12:00 - 07:25:20]:  Quando você está a confirmar uma maioria não mono a partidária, portanto, foi de uma coligação ou para lamentar, não é irrelevante que...
[07:25:20 - 07:33:40]:  Qual é a diferença de força entre os vários membros da coligação?
[07:33:40 - 07:43:40]:  Nós temos um modelo histórico a direita em Portugal a um partido grande, aliado a um partido pequeno, o CDS.
[07:43:40 - 07:57:00]:  Em que o CDS tem a sempre algo uma coisa a vizerem, é ter importância nas mostridas do PSD, mas era a medida do seu tamanho.
[07:57:00 - 08:10:20]:  Se temos o PSD coligado como, por exemplo, dois partidos médios ou um partido médio e um pequeno,
[08:10:20 - 08:22:00]:  então a coligação de força é diferente, as sedências são maiores e, portanto, isto também pesa no elaturado.
[08:22:00 - 08:45:20]:  Saber se o PSD vai governar com o programa do PSD, ou com o programa de um dos seus possíveis parceiros e que parceiro são, é importante, é importante para quem vota e é importante para o programa do governo, não é da mente?
[08:45:20 - 08:52:00]:  E altera a ecologia, pode ter a conclusão de que o banhá existirei.
[08:52:00 - 09:07:00]:  É provável que ainda voltemos a falar da entrevista, mas, que o presidente analisou a boa parte dos temas que também vão estar aqui em análise.
[09:07:00 - 09:18:40]:  Vamos então a distribuição de pastas desta vez com um ministro do virar de página, ou Ricardo Raús Pereira.
[09:18:40 - 09:27:00]:  Mas é última página, ou será ainda... O que lívor está a meio?
[09:27:00 - 09:40:20]:  Pois eu, eu acho, somos leitores diferentes, eu acho que o livro ainda está a meio, mas Fernando Nundina quer convencer nos a todos,
[09:40:20 - 09:50:20]:  que já estamos naquela página final a dizer, este livro foi composto com os caratérios, não sei o que é e tal, e acabou-se.
[09:50:20 - 09:57:00]:  Com o qual, ou fom, mas não dá essa sensação.
[09:57:00 - 10:00:20]:  É o qual, ou fom.
[10:00:20 - 10:03:40]:  É o qual, ou fom.
[10:03:40 - 10:18:40]:  E, portanto, aquela conferência de imprensa de Fernando Nundina, propósito da TAP, tinha de sempre este todo pronto, e não se fala mais nisso.
[10:18:40 - 10:23:40]:  Deus quiser, não se fala mais nisso, tá bom?
[10:23:40 - 10:42:00]:  Justamente estamos a falar de "vassorada" que o governo deu esta semana na TAP, emitindo os dois principais responsáveis de plada de instração da empresa.
[10:42:00 - 10:50:20]:  Considero que simpou, neste momento, um virar de página na gestão da empresa.
[10:50:20 - 11:07:00]:  Um virar de página que recupera laços de confiança da TAP com o país, que devolva sobriadada as práticas da empresa.
[11:07:00 - 11:13:40]:  O ministro das Finanças anunciar maior sobriadada que é andiante.
[11:13:40 - 11:25:20]:  O que é que este desejo por se põe Ricardo Raúges Pereira em relação ao que nos estava a acontecer anteriormente na gestão da TAP?
[11:25:20 - 11:33:40]:  O que é que este gestão da TAP estava a ser feito da contioral, qual é que bastante elevado.
[11:33:40 - 11:38:40]:  Não só, e mais, eu não sei se esta a sua realidade.
[11:38:40 - 11:40:20]:  E a sua bebada, perdem não sei.
[11:40:20 - 11:47:00]:  Exatamente, não é só para este gestão da TAP, especificamente, é também para a tutela.
[11:47:00 - 11:53:40]:  Eu acho que acabou-se a bubadeira.
[11:53:40 - 12:03:40]:  Agora está aqui o chego de um senhor que eu se prendo o balão e estou apto a tutular a TAP.
[12:03:40 - 12:15:20]:  Considera que se fez justiça no ofestamento dos dois gestores, ou veus como pode despeitar e os deste processo?
[12:15:20 - 12:22:00]:  É, lá está. Eu acho que vamos agora descobrir isso.
[12:22:00 - 12:30:20]:  Vamos descobrir isso porque me parece que ainda um debate jurídico para fazer.
[12:30:20 - 12:45:20]:  Imagino que estes dois gestores de pedidos e isto ainda vai gerar um debate jurídico, que há coisas que os demitidos sabem.
[12:45:20 - 12:50:20]:  Este debate jurídico vai ser feito em dois planos.
[12:50:20 - 13:03:40]:  Não é? Vai ser feito em dois planos no plano jurídico e no plano das fugas para as jornais, que é o plano que eu confesso que me agrada mais.
[13:03:40 - 13:12:00]:  Nas fugas para as jornais vai contribuir para debate há coisas que os demitidos sabem.
[13:12:00 - 13:23:40]:  Além das coisas que eles chandras restam, eles chandras restam, e vai ter que devolver 450 mil euros.
[13:23:40 - 13:27:00]:  Acho que não está muito contente.
[13:27:00 - 13:32:00]:  Eu acharia desagradável que a pessoa já já estava.
[13:32:00 - 13:35:20]:  Então põe-me aqui lá frente.
[13:35:20 - 13:38:40]:  Sim, agora devolva.
[13:38:40 - 13:42:00]:  E ainda há comissão de inquérito.
[13:42:00 - 13:47:00]:  E ainda há uma questão a responder.
[13:47:00 - 14:08:40]:  Se a saída del chandra rei, foi tóxica a ponto de justificar a demissão da Presidenta do Conselho de Administração da TAP e do Presidente da Nússia Queda TAP.
[14:08:40 - 14:30:20]:  A sua contratação pode ministeriar das finanças a seguir a isto. Não será também suficientemente tóxica para motivar a demissão que mais há alguém, mesmo que a salveim agora estes de completamente sobrinho.
[14:30:20 - 14:45:20]:  Não sei. O governo conseguiu realmente encerrar este caso ou estando a sunta ser investigado pela comissão para lamentar de inquérito,
[14:45:20 - 14:50:20]:  que pode vir a provocar mais estragos políticos de energia.
[14:50:20 - 15:00:20]:  E ainda há da mente estes que o Ricardo estava a sujeir.
[15:00:20 - 15:03:40]:  No governo já fez muitas vezes este número.
[15:03:40 - 15:10:20]:  E vários ministérios em vários dossias que há um problema.
[15:10:20 - 15:20:20]:  Quando ele se torna enligável, o governo toma uma decisão qualquer mesmo que o suficiente diz. Está tudo resolvido.
[15:20:20 - 15:32:00]:  Neste caso está tudo resolvido por definição porque quem são os culpados foram as pessoas que se emitiram ou foram demitidas, tanto não soube a ninguém.
[15:32:00 - 15:40:20]:  Já está resolvido só que isso não se resolve assim. Em parte das razões que o Ricardo diz.
[15:40:20 - 15:52:00]:  E que tudo também é assim no resto, vai haver a comissão da inquérito, que embora possa estar um pouco desvaziada, não está abroderamente desvaziada,
[15:52:00 - 16:08:40]:  pode continuar a trazer elementos o peixe do processo. As fugas de preenpreença, a própria imprensa, mesmo sem fugas que devem interar-se do que se passa.
[16:08:40 - 16:23:40]:  E depois há sobretudo isto. Não é que resolvido este caso da ciúria, e não sei o que é mais, tudo esteja tranquilo na tape.
[16:23:40 - 16:57:00]:  Mas de tape, os problemas com a tape e os escândalos com a tape, antecedem este caso particular, esta inização particular, esta gestão particular e nesse e no caso da tape, o governo quis nos convencer de que, não, sempre quisemos, foi privatizar o que não é verdade.
[16:57:00 - 17:07:00]:  Nós tivemos isto toda a gente, sabe isso. E portanto, não só este caso, não estava resolvido.
[17:07:00 - 17:15:20]:  Ah, está a lhe juridica também com a tape. Exatamente, não só este caso não está resolvido. Com mesmo que...
[17:15:20 - 17:32:00]:  Mesmo quando este caso estiver resolvido, o caso da tape não está resolvido, porque o caso da tape é maior do que uma gestão de meditização,
[17:32:00 - 17:47:00]:  alguém que admitiu que é, ou se foi o órgão legalmente competente, isso tudo são coisas jurídicas, interessantes e consequências, mas o caso da tape não se vai embora.
[17:47:00 - 18:00:20]:  Deixamos só o direto, porque é paguimada, que é a comissão de incague, tem disclaque ser, é que é obligatoriamente. É ser vido-ner ou id-ner.
[18:00:20 - 18:18:40]:  Com a senhora é francesa? Não, a senhora é francesa, mas parece que o Maguide é inglês. E o "us" não é porque o políder é do Maguide?
[18:18:40 - 18:30:20]:  Não, é porque o políder é do Maguide. Mas tem a frase de certeza que não dizem o Maguide. Não vai valer um bom debate, é um com a gente.
[18:30:20 - 18:43:40]:  O Maguide é o Maguide. Para me centrar minha recepcial, é o Maguide e ela é francesa, é o Maguide e é vido-ner.
[18:43:40 - 18:52:00]:  Olha, para isso que a Maguide não mostra água, é que a gente espera que as pessoas olhem e faça a pergunta.
[18:52:00 - 19:18:40]:  A cutilante, para que a linda de soza era a linda de soza. É um estúdio de francesa, e mesmo neste canal, com o suanto jornalista que ele é a sua peça, é vido-ner e é o Maguide e também já houve a outra maneira.
[19:18:40 - 19:33:40]:  A reforma é muito, muito difícil. É complicado. Entretanto, há questão dos documentos pedidos pela Comissão de Inquerido à TAP
[19:33:40 - 19:57:00]:  e a recusa dos Curitórios de Advogados que assurou a companhia aérea dizendo que esses documentos estão sob sigilo profissional, o que poderá haver de significativo e de sensível nessa documentação.
[19:57:00 - 20:08:40]:  Não sei mais, estou a esperga do melhor e espero que o sigil seja levantado e que nos mandem a documentação.
[20:08:40 - 20:15:20]:  Esquira a não há documentação no agrato de documentação, que vai dar decidido por emojis.
[20:15:20 - 20:28:40]:  Não, a paquera decidida por emojis, segundo o relatório da inspiração de gale de finanças, não teve o grande problema.
[20:28:40 - 20:38:40]:  Os emojis são permitidos. Parece que a documentação dos Advogados tinha que ser mais cháulid do que aquilo que foi.
[20:38:40 - 20:50:20]:  Eu ao contrário de muita gente, olha, sem tanta entusiagem para aquele relatório da inspiração de gale das finanças.
[20:50:20 - 20:57:00]:  Eu tenho que te seguir as conspirativas, sou bom, não só assim, então, com as conspirativas.
[20:57:00 - 21:15:20]:  Mas é muito, no torio, o duplo padrão que a inspiração de gale de finanças aplica aos políticos e aos administratores da TAP.
[21:15:20 - 21:20:20]:  E aquilo é muito difícil de sustentar, e temos lógica.
[21:20:20 - 21:30:20]:  O república de fundeu o relatório e fundeu a inspiração de gale de finanças, desde que com o Solana.
[21:30:20 - 21:40:20]:  Reparei para uma parte que parece intuitiva, é que aquilo não podia ser feito daquela maneira.
[21:40:20 - 21:50:20]:  Ou seja, a chance da reira não podia ser e devia ter a gale da maneira com que elas justificações julguidas e levar clientes mil e cem intuitiva.
[21:50:20 - 21:58:40]:  Portanto, nessa parte, o relatório parece ser sólido e ninguém tem muitas dúvidas disso.
[21:58:40 - 22:12:00]:  O ponto é o seguinte, é que depois o relatório está a pagar determinado tipo de responsabilidades, responsabilidades civis e tudo isso.
[22:12:00 - 22:23:40]:  Aquelas responsabilidades que levam, Fernandina e Galamba, dizem que tchau, te pedir de constitucão de causa.
[22:23:40 - 22:33:40]:  E aí as responsabilidades que são sacadas à administração e aos políticos não têm nada a ver com mais que as outras.
[22:33:40 - 22:40:20]:  Porque os políticos safonso com o seguinte argumento, que é...
[22:40:20 - 23:18:40]:  Os políticos que adjuam Galamba jogou a rapasta. Não, não, mas os políticos de uma hora de jagá-la envolvidas naquele caso, os antigos ministros das finanças, de secretário, ministros das infraestruturas, porque o relatório diz que estas pessoas não têm responsabilidade civis, que possam ser apurados e responsabilidades financeiras por aquilo que aconteceu, por araga público e, enfim, ter sido de lapidade daquela maneira.
[23:18:40 - 23:57:00]:  E o argumento é o seguinte, de facto, aquilo não podia ter sido feito, mas eles não faziam a ideia. Eles não sabiam. E como não fogam instruídos pelos serviços que aquilo não podia ter sido feito, a responsabilidade delas é nula invocando como integrar-se uma lei que vem desde 1993, portanto, uma lei de estado novo, que é invocada no relatório da expressão de grau de finanças.
[23:57:00 - 24:15:20]:  Mas quando soltas para a responsabilidade dos administradores, é o contrário, eles são responsáveis mesmo que não fizessem a ideia de que aquilo era é legal.
[24:15:20 - 24:30:20]:  E isso, eu acho que isso é absolutamente insustentável, porque... - Ah, não, o padrão é isso. - Ah, claramente, um duplo padrão e eles foram assurados por escritões da divulgada...
[24:30:20 - 24:40:20]:  - Isso é que é que isso. - Não é. Como é que tu pode dizer que assim eu é despedida por justa causa, porque ela tem que metido uma é legalidade?
[24:40:20 - 24:57:00]:  Porque ela vai dizer, mas desculpa, de um lado é a morar a desleitão, do outro lado, ela é a ser rece de vulgados, dois escritões de vigata super prestigiéticos,
[24:57:00 - 25:12:00]:  chegaram aqui e disseram que esta é a solução de julgir de capó, o problema, e ela é despedida por justa causa porque a solução é legal, uma minha que nem português fala.
[25:12:00 - 25:23:40]:  Ela é a suposta que comeceu o clause lá do Instituto do Estatuto do Estatuto do República e ela é a sua aplicada à TAP dezenos do outubro de 2020, desde que ela foi renasciada.
[25:23:40 - 25:30:20]:  - Ela é a lega tudo isso que estáis a dizer. - Ela é a lega tudo isso que estáis a dizer. - Ela é a lega que não foi ouvida.
[25:30:20 - 25:40:20]:  - E paraí com a lega que não foi ouvida aqui é uma coisa inexplicável. E eu acho que ela tentou dar razão, portanto ela é alguém estutada.
[25:40:20 - 25:47:00]:  Daqui é um pag de antes, estamos de apagar um machugão da ininização.
[25:47:00 - 25:58:40]:  - E não só? - E não só. Não só o ambiente mil, e eu estou mais de conviciríssimo que isto realmente é uma vassogada política como tu dizia.
[25:58:40 - 26:02:00]:  O política que estou achando é que vai vassogado foi tu.
[26:02:00 - 26:18:40]:  - Entregamos ao Ricardo A. Esperar a pasta de ministro do Virar de Página, quando to a pedra-mexia quer ser desta vez ministro de confiança zero, com o sempre dão.
[26:18:40 - 26:37:00]:  - Já lá vamos ao perdão. Fala-se muita propósita da maneira como se lida com os casos de busquexuais, de atolerância zero.
[26:37:00 - 27:00:20]:  Mas e felizmente a maneira como as coisas foram conduzidas pela igreja portuguesa, e também já avou as pessoas em igrejas portuguesa, que é um pouco reduitora e enganadora, estamos a avançar para a confiança zero, confiança zero na igreja.
[27:00:20 - 27:33:40]:  Porque o que é demora na reação ao relatório, a conferência de imprensa sobre o relatório, e depois as justificações sobre o que se disse na conferência de imprensa foram e eu vou citar pessoas desde António Lobchaviera, exébano a poresa, católica.
[27:33:40 - 27:40:20]:  - É um antónio de sugerir que, de vários sugeriu que houve as manifestações de rua.
[27:40:20 - 28:25:20]:  - Mas o que é que é que é que a gente conhece a católica, que espremiram estas opiniões em privado nos últimos tempos, falta de coragem, legalismo, claraicalismo, bisante e iníse determinológico, houve uma instituição de suspensão, não é bem de suspensão, desconversa, são cis, ouve tudo, ouve tudo.
[28:25:20 - 28:52:00]:  Nós dissemos, em igreja, vai morar três semanas a reagir, mas, para o ano de seu tempo, mas quando reagir os católicos, não é o católico, porque se não diz que os patólicos são muito importantes, vão ficar esclarsidos.
[28:52:00 - 29:30:20]:  E, no entanto, vimos alguns dos responsáveis, bispos, nomeadamente, dizer que o arrependimento, que o arrependimento, digamos, rejeigata a culpabilidade, quando estamos a falar, não apenas de pecaros, mas de crimes, que é ofensivo, falar em anitizações, e que não é católico.
[29:30:20 - 29:50:20]:  Acho que é o dicioso de bossa na católico, acho que o senhor o que está aí, mas eu não queria terminar a minha lista, se o recardo pode falar, vai ir frica, até também posso falar em igreja.
[29:50:20 - 30:18:40]:  Que... que... que... que não há listas, que só há uma lista de nomes chamada, quando a comissão diz que há destumunhos cruzados com arquivos, com documentos em arquivos, e que não pode haver suspensões, quando atingar suspensões em processos de disciplina administrativos.
[30:18:40 - 30:23:40]:  Portanto, uma de graça.
[30:23:40 - 30:52:00]:  Estamos a falar das reações da hierarquia católica, o relatório dos abusos de suais, na igreja, o cardiaco atletilismo, considera que falar de indeminizações às vítimas, o Pedro Machiz já fez se polar, mas pronto, é a questão que nem se coloca.
[30:52:00 - 31:07:00]:  Até acho que isso não quer dizer, descobre minha espéciem de surtuoso para as vítimas, é porque as realidade das vítimas não valoram nenhuma de elas em indeminização.
[31:07:00 - 31:23:40]:  As vítimas não vão ser indeminizadas, e o modo como este tema tem estado a ser tratado desde o bicho de beja, é pouco católico.
[31:23:40 - 31:52:00]:  Todos somos pecadores, todos somos limitados, todos temos falhas, esta maneira de abordar as coisas não é muito católica.
[31:52:00 - 32:07:00]:  Nengeja católica, e existe o perdão, o perdão é um novo lançimento.
[32:07:00 - 32:50:20]:  Se realmente as pessoas estão arrependidas do que fizeram e fizeram penitencia e repararam o mal que fizeram, não sei se há este novo lançimento, que o perdão nos oferece, isso é importante.
[32:50:20 - 33:03:40]:  Não podemos desvalorizar isso. Mas considera que se devia ir à justiça ou apenas do perdão.
[33:03:40 - 33:38:40]:  Já os onde é isso, ou seja, a justiça é como que a estrutura que segura, que dá a firmeza, e a estilificio que é a caridade, que é o perdão, que é a misericórdia.
[33:38:40 - 34:00:20]:  Dão João Marcos, o bicho de beja, a pedir, "caridado" perdão e misericórdia consegue encarar estas declarações peda-mexidas de uma forma misericordiosa e caridosa.
[34:00:20 - 34:10:20]:  Estas declarações estamos a falar do bicho porque se esqueceu de responder, isto convém encodrar.
[34:10:20 - 34:17:00]:  Não fiquem as convidados do tempo em que eles esqueciam de responder a perguntas.
[34:17:00 - 34:30:20]:  Quando é o problema do que se lê mais de uma vez? Porque eu vou muito esquecimento conveniente ao longo dos tempos.
[34:30:20 - 34:48:40]:  Mas devo dizer que é injusti dizer a igreja, porque nós tivemos intervenções no elemento do Aspido Évro, do Bispadangra, do Bispas Celia, do Braga, do Reitor, do Seminário, do maior de Coimbra,
[34:48:40 - 35:08:40]:  e todos eles perceberem que a igreja é ter que tirar conclusões e claras revicais, visíveis, consequentes e mediates.
[35:08:40 - 35:23:40]:  E que não está a ser e que não é ver agora, um Bispadangra pode dizer o que é que é de suspensão no Código Direito Canónico, por oposição ao Código Civil.
[35:23:40 - 35:40:20]:  Isso foi o Bispô Aguiar. Isso foi o Bispô Aguiar. Isso foi... Não foi no Código Direito Canónico, não foi no Nessa Aestrâsia, na Aestrâsia.
[35:40:20 - 35:47:00]:  A orientação... isto é empatar.
[35:47:00 - 36:12:00]:  E eu devo dizer que não me lembro de ouvir uma opinião tão crítica à igreja, à aerarquia da igreja católica, uma parte da igreja católica entre os católicos.
[36:12:00 - 36:27:00]:  E eu acho que a igreja não está a perceber bem o que isto pode custar. Eu já nem quero dizer em termos da reputação da igreja, porque a igreja não é Coca-Cola, né?
[36:27:00 - 36:57:00]:  Mas não é uma empresa que está acutada em Bolsa. Mas é da imagem que as pessoas têm a relação à igreja, deixando-me só dizer que é uma medida positiva que é retirar os padres das Comissões de Os Cisenas, porque obviamente uma pessoa abusada para por padres não vai falar a padres.
[36:57:00 - 37:10:20]:  Entretanto, o presidente da Conferência Episcopal veio a entrevistar aos preços fazer um ap de contrissão.
[37:10:20 - 37:27:00]:  De aquela comunicação naquela dia não foi fácil, não foi adequada, e também não foi feliz, não foi bem.
[37:27:00 - 37:45:20]:  E isto, eu assumo. E a outra circunstancia pode interter, mas eu assumo que não consegui passar a aquilo que levava para interter.
[37:45:20 - 38:08:40]:  Dom José Ornellas admitir que não se exprimiu bem, foi, portanto, um problema de comunicação. Será este me acupa suficiente para ultrapassar os tragos reputacionais dos últimos dias, João Michael Tavares?
[38:08:40 - 38:35:20]:  O grande tonsé tem um desverso que eu gosto muito e que diz qual é coisa assim, faça as suasogações uma vez por dia, depois manda consciência junto com os lençóis para a lavandaria.
[38:35:20 - 38:40:20]:  E às vezes é o que isto parece.
[38:40:20 - 38:50:20]:  Também tem outro verso que se aplica bem que é, é todo disclaro e santo para te confundir.
[38:50:20 - 39:05:20]:  Eu não sei se é isso, mas às vezes isto, acho muito bonito para te ir para a cada um e desculpa. E a Greja, especialista nisso, aliás, é parte da sua essência.
[39:05:20 - 39:07:00]:  É parte da sua essência, não é?
[39:07:00 - 39:30:20]:  Mas andar a pedir desculpas com esta facilidade e com esta recorrência após declarações infelizes, atrasse de declarações infelizes, e atrasse de declarações infelizes, é muito pouco com Vincent.
[39:30:20 - 40:10:20]:  E o que se passou em fatima, que foi evidentemente uma conferência de imprensa muito triste, foi o seguinte, aí Greja tentou fazer um exercício muito oblidoso e se montanemente tendo a contar aquilo que está em casa realmente repugnante.
[40:10:20 - 40:27:00]:  E o exercício é o seguinte, é dizer de facto, há muitos pedófilos de enteigraja, temos muita pena disso e estamos muito arrependidos.
[40:27:00 - 40:35:20]:  Mas a estructura da igreja é como se não tivesse responsabilidade.
[40:35:20 - 40:43:40]:  Ou seja, porque se vemos a Zag, é que e a necessidade então isso porque tudo é na família.
[40:43:40 - 41:00:20]:  Quando eles seram que era vítima, já não foi mal. Exato, já ouve quem dissece. E isso, absolutamente nesta etapa, porque o ponto é precisamente isso.
[41:00:20 - 41:27:00]:  E claro que pedófilo existe em todo lado, existe na escola, existe na casapia, mas não existia uma estructura da casapia que agora agraço nos funcionais da casapia que fossem pedófilos e os mandassem pôt de casapia e depois para outra casapia e depois pôt de casapia e tenta se apagar tudo.
[41:27:00 - 41:43:40]:  E essa é uma responsabilidade coletiva da igreja que existiu e não existiu só porque eu estou aqui a dizer que isso "papa", disse que existiu o atual "papa".
[41:43:40 - 42:15:20]:  E portanto, a igreja tem que se consciência de Zag, e quando domano o aclemente, que é uma pessoa que custa porque qualquer pessoa que tenha linda o seu livro, que começa a sua estatura intelectual, a afirmação de quem insultou as páginas de mesmo de inisações, é realmente insultuosa.
[42:15:20 - 42:27:00]:  E portanto, tem cita que eleições infelizas, atractualições infelizas, pois vem agora a Dom América que é guiar, inventar a história da suspensão, que são coisas triste.
[42:27:00 - 42:38:40]:  Deixe-me só terminar, dizem isto que o Pedro estava a pedir que a igreja não é toda igual. É bom, é bom saber se, de facto não é.
[42:38:40 - 42:42:00]:  E os bichos é diferente, nós temos isso.
[42:42:00 - 42:58:40]:  Eu ainda agora, antes de ir para que ele estava alegu, um comunicado da Diocesse Zabraga, e o comunicador estava certo da primeira linha, a última linha.
[42:58:40 - 43:08:40]:  Olha, em qualquer o que eu disse a Diocesse Zabraga, e vai copiar em as outras Diocesse. Por que se passei isto?
[43:08:40 - 43:27:00]:  Como as Diocesse, tem uma grande impedência. O senhor de Beja, dizem-me de bagunidade de aquelas como se vivem em 1965, altas pessoas que já percebem que estão em causa, mas não conseguem falar uma solvão.
[43:27:00 - 43:35:20]:  Esse é o problema do Ornão, o Ornão está atentado, fazer uma ponte entre coisas que não têm.
[43:35:20 - 43:50:20]:  É a sua desabrabridade, mas estão a refletir a sua discordância profundada a vispos portugueses que discordam do Papa nesta matéria.
[43:50:20 - 43:53:40]:  A tensão é isto que se trata.
[43:53:40 - 44:10:20]:  A culpa da igreja Ricardo Ajo Pereira não percebeu a gravidade do que está no relatório, a será que a Joga tira ainda um poder influência na sociedade que pelo Juche já não tem.
[44:10:20 - 44:35:20]:  Não sei se não são as duas coisas, seja que se eles não percebem por causa do poder que Joga não teria. Uma das indicações de que isso aconteça é que eles não falarem pucador, não sei que são todos pucadores, são pessoas limitados, não pucador sou eu.
[44:35:20 - 44:48:40]:  E com força, eu tento, por exemplo, eu todos dias, pego todos dias, e as pessoas podem dizer "olha por gressos, agora é aquela 70".
[44:48:40 - 45:10:20]:  É lá, duas surmesas, se se agula, é bucecoço alto criança, seja do outro ordem, não é exáduo repetir um pudinho, não é isso, repetir o pudinho, quando já está cheio é pecado, não é que é gula.
[45:10:20 - 45:18:40]:  Também é pecado, mas é crime, não é? É bucecoço alto criança, é crime, por isso não são...
[45:18:40 - 45:27:00]:  Não sei de que encontras um padre que te diga que repetir um pudinho é pecado, mas é o que é isso.
[45:27:00 - 45:38:40]:  Não sei que é válida, é que tu precoe esta, é isso, por um... Não é o crime, por certeza. Isso é o que já tiver que me ir do inteiro.
[45:38:40 - 45:52:00]:  Portanto, é isso, não são pucadores que são criminosos, o pecado redim se na igreja, o crime, realmente precisa de papelizão.
[45:52:00 - 46:15:20]:  E a situação, por nosso de facto, bastante significativa, quando Lopes avia era pela amulistação de rua, por acaso é interessante ver como em Portugal não é...
