[00:00:00 - 00:13:20]:  Esta semana a Pedermostia considera-se revisto João Miguel Tavars de Clara Centenario
[11:51:40 - 12:30:00]:  - Placou a própria Natoriaza, tudo o que envolve o sexo já de si é uma complicação, não são coisas fáceis, eu por aí até quase percebo a fuga de agressão judicial, porque é muito complex mesmo numa sala tribunal, está-la por vari dentro de aquilo que é a lógica de um processo judicial, o que é que se passou, o que é que não se passou em casos como isto.
[12:30:00 - 13:05:00]:  - Sim, por exemplo, em casos como o Jd. Pedófilia, nós esteemos isto, e a questão da casa, a toda verdade, mas é que, a direi importante não esquecer que, no nosso sistema judicial, mesmo quando há provas, por exemplo, que um amante e um marido se juntam para agredir com uma moca com prego de uma senhora, os jovens olha para aquilo e diz, tem a impulsão que não há nada.
[13:05:00 - 13:15:00]:  - A velha cotada do macho de cada lado, é isso, evidentemente que existe essa agadição, mas não é disso que eu estou a falar.
[13:15:00 - 13:26:40]:  - Ou seja, mesmo que não existisse essa agadição, mesmo que eu houvesse um sistema judicial profundamente igualitário, seriam sempre coisas muito complicadas para provar.
[13:26:40 - 13:46:40]:  - E depois é, precisa saber o que é a sede sexual, o que é mais do domínio da importunação sexual, e também o que é um crime, o que é um crime, e coisas que não se entre crimes são manifestamente inaceitáveis.
[13:46:40 - 14:05:00]:  - Tanto eu não tenho nium exigência, a única coisa que eu gostaria aqui é acontecer, sei, que quem sabe não fica lado como reforço de quem não se viu.
[14:05:00 - 14:31:40]:  - A vez que eu me faço explicar, nós, muitas vezes, não podemos, os são casos que não merecem esse cara, porque não são crimes, o caso que a Joana e Miriamarques relatou, não parece mesmo sendo verdade da forma como ela relatou, não parece que fosse algum dia um crime.
[14:31:40 - 14:51:40]:  - Mas isso não é, muitas vezes também não é aquilo que está em questão, não se trata de ser um crime, pode ser algo que se sentiu importunada ou estediada, e acha que isso deve ser contado e deve ser denunciado.
[14:51:40 - 15:03:20]:  - E nós registravamos isso daquilo que é uma esferre criminal, e existe evidentemente uma sensora social.
[15:03:20 - 15:08:20]:  - E uma sensoraética é a relação a aquilo que se passou.
[15:08:20 - 15:23:20]:  - E aí eu estou corrigado, acho que as Miriamarques têm carradas de razão, carradas de caixas, sempre tiveram históricamente, e continuam certamente a ter.
[15:23:20 - 15:45:00]:  - Agora, quem sabe o que se passou, ou o que quem ouviu histórias semelhantes, eu aí gostaria que se chegar saiu frente, porque é evidente que há acumulação de pessoas, cria de polis ou estes mundos.
[15:45:00 - 16:10:00]:  - Ou seja, é muito diferente, seja uma jornalista dizer que aconteceu isto, quando depois já outra jornalista dizer que eu confirmo, quando dá outra pessoa a dizer, eu também ouvi falar ou ou até dizer, eu também passei o pelo mesmo, evidentemente que essa acumulação de estes mundos é bastante relevante.
[16:10:00 - 16:30:00]:  - A uma escritora e tratadora foi errita canamente, também nas redes sociais também veio confirmar, certamente eu ver reforçar aquilo que a jornalista tinha dito,
[16:30:00 - 16:43:20]:  embora mais uma vez tem dito que acho que isto não é clínio, e portanto isto também é importante, isto é possível, porque uma coisa é o Harvey Weinstein, né?
[16:43:20 - 17:00:00]:  - Ou seja, já ela ganha que um mega produtor do olio, que utilizava a sua posição para abusar da tristes, para basicamente utilizar tudo o poder que tinha para chantagialas.
[17:00:00 - 17:16:40]:  - Isso é uma coisa, outra coisa é, por exemplo, aquilo que aconteceu, ou àsisançar, e que nós também também falamos aqui, que basicamente quando nós ouvimos a descrição, foi uma noite sexo corromala ou outra senhora.
[17:16:40 - 17:21:40]:  - E não parece que tenha instruído mais do que isso.
[17:21:40 - 17:35:00]:  - A casa de intermédio e o shellacomoluíciquei, que acho que não é nenhuma coisa, não acho que não é nada do domínio criminal, mas que é algo muito sensual.
[17:35:00 - 17:50:00]:  - E portanto não é fácil, isto é possível ser regas claras e a relação a estes processos, e acho que é preciso sempre insistir,
[17:50:00 - 18:06:40]:  se montar nem mental algum bom senso, é muito difícil, establecer regas clagíssimas, e essa é uma tentação a qual nós devemos tendencialmente resistir.
[18:06:40 - 18:08:20]:  - É isso?
[18:08:20 - 18:16:40]:  - Desta maneira, precisas, as pessoas todas têm que falar que têm todas está caladas, ou então é a presunção de inocência,
[18:16:40 - 18:26:40]:  se não há provas das pessoas calens, e isto ainda seitava agora, estou com o Ricardo também no outro aspecto.
[18:26:40 - 18:51:40]:  - O que dá a sensação em Portugal é que cada vez que surge um caso são mais as pessoas, e muitas delas atem de suspoitas, porque vindas até digamos assim de uma esquerda ouque, que de repente vem em paz frente a dizer que isto não aconteceu, vejam lá, é preciso muito cuidar,
[18:51:40 - 19:05:00]:  há a equidade de intermédio e a presunção de inocência, e isto é muito engraçado, ou seja, um mito em Portugal, acho que será sempre extremamente difícil, porque o meio é minúsculo.
[19:05:00 - 19:33:20]:  - Precisamente, parece que ele pedra-mecia que poderemos juvirem ter em Portugal um movimento à similhança daquilo que nasceu no Estado Unidos, ou particularidades culturais portuguesas a impedir uma tradução literal deste movimento de inocência.
[19:33:20 - 19:50:00]:  - Bom, abraço, agora, particularidades portuguesas, a principal particularidade, nós temos pequenos, e portanto os maios todos, cada um dos maios, em que essas coisas passam,
[19:50:00 - 20:13:20]:  tenda ser endolgémico, de grande proximidade, etc. Agora, eu acho que o que seria importante era que nós reagiçamos aos casos portugueses,
[20:13:20 - 20:26:40]:  na mesma forma como reagimos aos casos americanos, porque houve pessoas que tinham formulado reações,
[20:26:40 - 20:40:00]:  que tinham formulado regras de reação a estes casos como acreditar sempre na vítima ou nunca acreditar na vítima,
[20:40:00 - 20:56:40]:  quando se passava do outro lado do Atlético, e agora em Portugal os critérios alto proclamados dependem a este é assim menos esta pessoa que eu conheço,
[20:56:40 - 21:15:00]:  isto é assim menos esta pessoa que é meu colégionário, e às oufum caso esta semana também muito interessante foi o do portato do blog de esquerda, que é um caso ligado à violência doméstica,
[21:15:00 - 21:38:20]:  aliás uma acusação escruzada em que as pessoas imediatamente tomaram a posição, pro que são o do blog de esquerda, o contra do blog de esquerda, como se se fosse alguma dessas coisas estivesse em causa, como se fosse uma luta obstumlítica ideológica,
[21:38:20 - 21:55:00]:  agora o que aconteceu nos Estados Unidos e não são nos Estados Unidos, foi o essencial muito positivo, que foi acabar com a cultura de silência,
[21:55:00 - 22:10:00]:  acho que o mito, o que vai ficar, os prêmios que fica isso, e as pessoas falarem, podem falar, não serem sancionadas por falarem e serem ouvidas,
[22:10:00 - 22:25:00]:  agora e ao mesmo tempo, permitir que as pessoas que são acusadas também se possam defender, agora há duas coisas que eu não compreendo,
[22:25:00 - 22:40:00]:  não compreendo é que todos os denunciantes sejam do que for, sejam imediatamente considerados como voz da verdade,
[22:40:00 - 23:05:00]:  há versões, acho que deve ser levado a sério, sobretudo em ambiente de empresas, de escolas, as televisões, por exemplo, anunciaram quédicos de condução nessa matéria,
[23:05:00 - 23:21:40]:  e do outro lado os acusados também não conseguem perceber muito bem, não ser por amizade, que é por amizade para dar tudo, a ideia das mãos não fogo,
[23:21:40 - 23:38:20]:  mas não sabemos se um amigo nós foi acusado de coisas, nós desejamos que não tenha feito nada, podemos falar com ele,
[23:38:20 - 23:48:20]:  mas é muito riscado uma pessoa, não é essa pessoa de certeza que não fez nada, porque é meu amigo,
[23:48:20 - 24:01:40]:  isso é o meu conhecido ou do mesmo meio que eu, e portanto o que eu acho é que essa de natura transposição do caso americano,
[24:01:40 - 24:16:40]:  o francês, devia valer a frase dos junos, do João Sésar Monteiro, que é bom para freguesiras, mordecês também é bom poxar as elisas,
[24:16:40 - 24:25:00]:  ou seja, a regra tem que ser a mesma, seja com conhecidos ou com desconhecidos,
[24:25:00 - 24:35:00]:  entregamos assim ao Ricardo Raúse para a parte de ministro do eu também,
[24:35:00 - 24:50:00]:  o João Miguel Tavarro quer ter desta vez ministro do... é assim? Não, tu é espécie para fazer a interpretação dos meus ministros,
[24:50:00 - 25:06:40]:  pode ser, eu não quero ser o nome do meu de peia do soninho, como o Mauro, o Mauro, eu explava que um muderador com a tua experiência profissionalismo consegue fazer um doctomo,
[25:06:40 - 25:10:00]:  como é que é?
[25:10:00 - 25:25:00]:  Ah, mas também pode ser zida da balha, mas que o soninho é que quer falar, se for zida balha é ver espanhismo, seguia do arte cabrita,
[25:25:00 - 25:40:00]:  eu quero falar do Zemara e de tudo o que está a volta deste caso que dominou a nossa atenção do contesta semana,
[25:40:00 - 25:55:00]:  e que agitou o sono em que está, mas é a relação à aquela situação concreta, se vive na costa lenta de jane,
[25:55:00 - 26:06:40]:  porque agitou o sono, agitou o sono por ter repente algumas dezenas daquelas pessoas que vivem com as ações misraves,
[26:06:40 - 26:30:00]:  há bastante anos, foram portuguardar o sono e o descanso de uma certa elite de gente de classe média alta que tem umas casas aliás de maneira mais casita,
[26:30:00 - 26:38:20]:  porque todo aquele empreendement é estranho, umas casas na zona e portanto naquele empreendement chamado Zemara.
[26:38:20 - 26:53:20]:  E talhendo só rapidamente o Governo nesta sexta-feira sofreu uma rota intribunal ao ver suspense por uma providencia cautular,
[26:53:20 - 27:15:00]:  a requisição civil do complexo Zemara, para os baros migrantes em situação precária, parece que este respeito Governo deve insistir junto a justiça ao mudar de estratégia.
[27:15:00 - 27:30:00]:  Eu acho que o Governo, como muitas vezes, acontece e como é muito típico, cada vez que Eduardo Cabriguita entra em cena,
[27:30:00 - 27:43:20]:  ele estava indo naquele Ministério, porque ele claramente deve ter umas daquelas mocas de Rio-Maior, uns casatetes lá em casa para bater a alguém,
[27:43:20 - 27:58:20]:  eu não estou aposado de violência de mestre, e que mas há um lado bruto nele, de uma brutalidade em quebrar os problemas que eu consigo perceber muito mal.
[27:58:20 - 28:15:00]:  E esta providencia cautular, quer dizer, quando nós vamos ligar a argumentação, o Governo chegar ali e dizer "Agora recresitem estuda, não precisa porque precisava de recresitar aquilo tudo,
[28:15:00 - 28:35:00]:  sobretudo porque o aparentemente só precisava de 10 casas, e portanto instalou-se logo ali uma confusão entre as pessoas que tinham casas privadas e pessoas que tinham casas que estão simplesmente para o lugar no empreendemento que está fechado,
[28:35:00 - 28:48:20]:  e aí o Governo terrasão, que está fechado, que está falido, que deve ser 100 milhões de euros, ou está-tado.
[28:48:20 - 29:05:00]:  E portanto, se aqueles casas estavam deshabitadas, tendem quantas dívidas, e o estado em que aquilo se encontra, pode ser um argumenta atendível.
[29:05:00 - 29:45:00]:  A mim choca que de repente as pessoas desportaram para aquilo, porque aquilo aconteceu no Zé Márco, que é a realidade que há um lado de pandemia ligada a isto, mas essencialmente estes direitos, esta atenção toda foi porque de repente aquelas pessoas entrarem onde foram insuporada no empreendimento, não é de luce, mas digamos assim, que está subrede à alta, e que suposta também terá algum parte de campismo.
[29:45:00 - 30:10:00]:  E é que é logo uma história, uma daquelas histórias magníficas passadas em 2008, com famosos pín, sucráticos em que ninguém ainda percebeu se quer como é que aquelas casas nascem ali, tendem quanta culência, se se se se amenta, é de um parte de campismo que ainda percebeu mais que até este licenciamento também já foi.
[30:10:00 - 30:35:00]:  Já que são aquelas construções que não são bem construções, eles permitem controlar a lei. É exato, porque tem que controlar a lei, e nesse que é que as pessoas são proprietárias, ficaste do treino, não é? Não, são só proprietárias, do uso fruto daquelas coisas de madrugas.
[30:35:00 - 30:58:20]:  Toda esta história é muito estranha. Agora, há um outro lado que eu queria se alimentar, que é questão ideológica, é me encusta a mimenço, até porque eu sendo de digaite, em porque eu não tenho lentá além de 2021, parece que eu tenho que estar ao lado da proprietário.
[30:58:20 - 31:11:40]:  E então, isso foi o chega que tem isto ao lado da lei daquelas pessoas que eu fui para a dor, e pá, desculpe lá, e para mim não é uma questão ideológica.
[31:11:40 - 31:46:40]:  Isso não é uma questão ideológica, aquelas pessoas, são pessoas, muitas vezes mal tratadas que vivem em péssimas condições, o Estado português, seja uma pessoa chega, seja uma pessoa que diga, até certamente que tem obrigação de ajudar aquelas milhares de tabeliladoras que saem que a situação que já existe há anos e anos, tem que ajudar, provavelmente, aquilo que é a Câmara local,
[31:46:40 - 32:06:40]:  de um conselho de 25 mil pessoas, em que aparentemente já tem cerca de 15 mil, de 12 mil grandes, é evidente que uma pressão humana desta dimensão, aquilo que eu conselho precisa de ajuda.
[32:06:40 - 32:30:00]:  Mas aí, para isso que existe o Estado, e a mim choque-me que estas situações só, de repente, causam este super sal público, porque foram chatear a paz, de um senhor que esteve umas cabanas no ressorte ecológico.
[32:30:00 - 32:43:20]:  De quem é responsabilidade pelo problema das condições de vida dos imigrantes que trabalham na agricultura, na costa Vicentina, Pedro Messia?
[32:43:20 - 33:16:40]:  Bom, a responsabilidade é que o Jomego Aloneta dizerem, e com a razão, e todos nós temos essa noção de que, neste caso, os contornos deste caso, fizeram o país a curdar para a situação, mas não fizeram a curdar, a fiscalização havia.
[33:16:40 - 33:55:00]:  É amplas fiscalizações sobre questões de condições de trabalho, condições de habitação, como funcionavam as empresas da engalhação de trabalhadores, isso também lemos na imprensa na última semana, não era desconhecido, e isso é, peraquamente, mais competência do Estado Central, do que da autarquia.
[33:55:00 - 34:33:20]:  Isso por um lado, por outro lado, a questão da propriedade privada, eu, neste quere, vejo, com um corte com o cocos, o Miguel disse, mas até a questão da propriedade privada, já ponde para todas aqueles imbrogulos sobre aquele empreendimento, sobre as insolvencias e os licenciamentos e tudo isso, mas, quisemos, por as coisas, temos de esquerda a direita,
[34:33:20 - 35:05:00]:  um dos principais componentes do pensamento social de direitas, se quisermos chamar-lhe assim, era o tradicional da igreja que sempre ensinou que a propriedade, na mão direita absoluta, que está ao serviço do bem comum, e portanto, eu admito que possa ser necessário.
[35:05:00 - 35:41:40]:  Coisa diferente é se a solução, a única solução era esta, se os instrumentos jurídicos, que permitiram esta recazição foram os adequados, e tudo isso, tudo isso é tão discutível que aparentemente o tribunal decidiu a suspensão dessa...
[35:41:40 - 36:11:40]:  a providence é que a gente não é... mas não é que seja igual a outra vez, não é que a gente não é... mas não é que é um pedido grosseiramente improcedente, já disse com a qualquer coisa sobre...
[36:11:40 - 36:56:40]:  eu, do ponto de vista dos princípios, eu acho que seria bizarro que a propriedade privada não puder salbregar pessoas em condições de emergência, acho que isso, por mais que isso seja, evidentemente, muito prenoso e muito danoso, por os proprietários, por mais que o péssimo que tem que haver, o mecanismo de lidar com isso, mas não parece ser... não parece ser escradil, é, tu falo que é menos.
[36:56:40 - 37:20:00]:  acertamento, Ricardo Raúx, Pereira, o episódio do FUNEM aqui, o bastinário do Ordem dos advogados, fez ao presidente da República para que o advogado dos proprietários do Zé Mar, tivesse autorização para entrar no complexo.
[37:20:00 - 38:06:40]:  E o bastinário tinha o número do presidente? E se é ótimo sim? A oponza esta mesa poderão ter, mas... ou como se dava... Não, não tem, em o principio não tem. Mas eu acho que o senhor bastinário identificou muito bem que estávamos prendo um caso de, de respeito pelos direitos humanos, ali naquela... naquela acontecimento, não é? E tu fiquei surpreendido...
[38:06:40 - 38:55:00]:  acertou no conceito... acertou no cítio, naquela área geográfica de facto, há tentados graves aos direitos humanos. Entramos irá arquicos. Não sei se ele depois... por que esta atenção? Nós temos a falar de gente mesmo muito desgrissada, numa escala de desgraça. É difícil imaginar o que há abaixo destes migrantes que vêm fazer trabalhos que nós não queremos fazer, enquanto são expurados por mafias.
[38:55:00 - 39:08:20]:  E vivem em situações de agredência. Não tem intenção de passar férias aos contentores que...
[39:08:20 - 39:20:00]:  O senhor da capa, os que estão em geral da capa... Acredito que seja...
[39:20:00 - 39:28:20]:  Têm de ir ao zumato, ver essa a mais boa escritica... como é que chamou o tripadvisor?
[39:28:20 - 39:48:20]:  Eu queria que ele era ótima, até me enver essa a mais... mas este aqui... as primeiras notícias sobre este caso... eram uma gritaria sobre expropriação, voltamos ao préco...
[39:48:20 - 40:03:20]:  A minha casinha... foi confiscada... não parece que não. Não, era técnicamente expropriação sequer.
[40:03:20 - 40:11:40]:  Exato, mas não, mas a provêm aqui... a exicção foi do empregendimento todo. Ou seja, também da ideia que aqui foi muito claro...
[40:11:40 - 40:25:00]:  O abelidor... é possível, mas nunca esteve em causa... nunca esteve em causa... que as casas das pessoas fossem invadidas.
[40:25:00 - 40:36:40]:  O João Miguel Tavares fica, então, ministro do... e é vez do Pedro Muxias, de tornar...
[40:36:40 - 40:38:20]:  O Pedro Muxias, melhor.
[40:38:20 - 40:45:00]:  Danda Valha... isso é uma ameaça, Pedro Muxia, andava...
[40:45:00 - 40:48:20]:  Não, não, não é a minha aceleração.
[40:48:20 - 40:58:20]:  Quer falar das eleições em Madrid marcadas por uma campanha-leitural cheia de ameaças várias?
[40:58:20 - 41:05:00]:  Até uma navália enxenguentada e presumo que é isso que se reporte esse...
[41:05:00 - 41:11:40]:  Porque a gente não é uma realidade tão poli-semic que nem lembrei do hiper da navália...
[41:11:40 - 41:15:00]:  Eu pensava que era para a navália, mas a gente...
[41:15:00 - 41:15:00]:  Não é não, mas a gente...
[41:15:00 - 41:16:40]:  E a da ministra...
[41:16:40 - 41:21:40]:  A tua age lidada mental e a própria realidade é grande, já foi...
[41:21:40 - 41:23:20]:  A navália enxenguentada...
[41:23:20 - 41:30:00]:  Não, porque a gente não é navália, mas, claro, a navália... como as balas... também...
[41:30:00 - 41:36:40]:  Fizem-am parte deste elemento da crispação.
[41:36:40 - 41:45:00]:  Em que me diz é que os resultados de terça-feira refletem a crispação sentindo na campanha?
[41:45:00 - 41:58:20]:  O slogan que se vai revelar, que é vitorioso, foi comunismo alibrado, não é?
[41:58:20 - 42:00:00]:  É por tanto...
[42:00:00 - 42:11:40]:  E, se acha que diz bem, da crispação que se viveu nessas eleições em Madrid.
[42:11:40 - 42:13:20]:  Mas aconteceu...
[42:13:20 - 42:20:00]:  Aquanto seram várias coisas interessantes, mas eu queria só falar de duas...
[42:20:00 - 42:31:40]:  Que o famoso... as mutações do famoso fim do bídeo partida-rismo...
[42:31:40 - 42:38:20]:  Durante anos havia o pessoal e havia o PPP.
[42:38:20 - 42:41:40]:  E depois de repente...
[42:41:40 - 42:46:40]:  Isso bídeo partida-rismo acabou com o cidadão e o que podemos.
[42:46:40 - 42:56:40]:  O cidadão está secovido em cada eleição que faz com a querida nem para a junta a este freguesia.
[42:56:40 - 43:01:40]:  Não sei como é que assim vamos juntos a este freguesia, hein?
[43:01:40 - 43:11:40]:  Tem desaparecido todo lado e, na verdade, esta vitória estrandosa do PPP
[43:11:40 - 43:20:00]:  é em grande parte alícer sada, encomer todo eleiturado dos cidadãos, que não teve sequer...
[43:20:00 - 43:25:00]:  5% e, portanto, não teve representação eletora.
[43:25:00 - 43:26:40]:  De algum do PEC, senhor?
[43:26:40 - 43:28:20]:  E algum, sim.
[43:28:20 - 43:38:20]:  Porque também houve uma outra força à esquerda a afirmar-se em Madrid.
[43:38:20 - 43:43:20]:  A lo que está a lagores dentro podemos e o pessoal.
[43:43:20 - 43:48:20]:  E no caso do Podemos...
[43:48:20 - 43:55:00]:  Agora sem iglesias, vamos ver se é a mesma coisa.
[43:55:00 - 44:05:00]:  O iglesias teve vários méritos compatíveis, mas teve uma grande, grande dificuldade...
[44:05:00 - 44:16:40]:  Como aliás, pessoas daquela área política, em fazer parte do poder, quando tem que partilhar.
[44:16:40 - 44:30:00]:  O Pablo Iglesias, todas as manifestações contra o governo, não me funde, estava a favor, mesmo sendo ministro.
[44:30:00 - 44:38:20]:  O chipe do governo não estava nele e nunca estará a nossa, que seja...
[44:38:20 - 44:40:00]:  O governo do governo...
[44:40:00 - 44:45:00]:  E agora seria o governo do governo e agora seria o governo do PT?
[44:45:00 - 44:50:00]:  O governo da dificuldade em viver e de acordo com os seus altíssimos princípios.
[44:50:00 - 44:55:00]:  Pois isso, já se viu com a casa, enquanto a piscina, não sei o que é bom.
[44:55:00 - 44:58:20]:  E o que aconteceu em Madrid?
[44:58:20 - 45:03:20]:  Essas asções a retiraram para a política portuguesa?
[45:03:20 - 45:06:40]:  Essa é a segunda rovo, isso foi muito discutido.
[45:06:40 - 45:15:00]:  Eu acho que não em quase tudo, mas tinha uma coisa.
[45:15:00 - 45:23:20]:  Não em quase tudo, porque evidentemente, como tem sido o João Miguel da Mestre,
[45:23:20 - 45:30:00]:  vai saber isso, várias pessoas que viram sobre isso durante esta semana, a situação de base é muito diferente.
[45:30:00 - 45:31:40]:  Não só o PPG.
[45:31:40 - 45:38:20]:  O PPG...
[45:38:20 - 45:41:40]:  Os deas têm dado o prova de uma cria de vida política, a dignidade dos italianos.
[45:41:40 - 45:51:40]:  Eram os italianos, eram os cientistas políticos da Europa com um laboratório que inventando fórmulas novas.
[45:51:40 - 45:53:20]:  Agora, as bem andadas.
[45:53:20 - 45:58:20]:  E é real também estar vivo durante nessa matéria, não é?
[45:58:20 - 46:16:40]:  Mas, pro lado do PP, o governo da Madrid há muitos anos, pro outro lado, desapareceu um partido relevante que foi o cidadãos.
[46:16:40 - 46:23:20]:  E muitos outros fatores que não é possível transportar...
[46:23:20 - 46:26:40]:  - De Espanha para participação da Lei de Togal?
[46:26:40 - 46:28:20]:  - P participação da Togal.
[46:28:20 - 46:36:40]:  - P participação da Togal, mas há uma em que é...
[46:36:40 - 46:48:20]:  ...transponível, o PP, embora tenha tido um resultado muito forte, não ficou, não teve uma ideia absoluta.
[46:48:20 - 47:00:00]:  E pode governar, dependendo não do apoio, mas da abstensão do vox.
[47:00:00 - 47:25:00]:  Essa solução, que era uma solução que seria ter sido perfeitamente possível, por exemplo, nos assores, que é a ideia de dar direita clássica, dizer a direita radical.
