[00:00:00 - 00:11:36]:  Esta semana João Miguel Tavares declara-se energizado. Pedramxia, sente-se como prometido na
[05:27:08 - 05:45:28]:  E trata de segurança. Sempre, porque eu sou sempre, por torço de senpularia, e eu fico sempre com calafriozinho, sempre que me pedem para escolher a segurança, em vez da liberdade.
[05:45:28 - 05:55:28]:  Sempre, não precisa citar aquela frase do costume. Quem opta para a segurança, em vez da liberdade, não merece nenhuma nenhuma.
[05:55:28 - 06:00:28]:  É que são dois valores que o que é inconflito.
[06:00:28 - 06:18:48]:  Se são dois valores, mas... É a questão já de posterior, digamos assim. O problema é que há uma lei, na verdade, o que é curioso? Isso tem que há uma meta-lei dos metadares.
[06:18:48 - 06:32:08]:  Porque é que há uma meta-lei, porque está para além da lei, porque há uma lei portuguesa, que está para... que o Tribunal Constitucional veio agora dizer que há uma meta-lei.
[06:32:08 - 06:53:48]:  Porque está para além e que está em vigor a 14 anos e alguém resolveu dizer assim "peragi", e que está em vigor a 14 anos, há o repio de normas europeias e de...
[06:53:48 - 06:57:08]:  E até do nosso Tribunal Constitucional.
[06:57:08 - 06:58:48]:  E até do nosso Tribunal Constitucional.
[06:58:48 - 07:02:08]:  E a gente vai ser bem-seio.
[07:02:08 - 07:18:48]:  O problema disso é que já condinados a pedir a anulidade de processos que foram usados metadares.
[07:18:48 - 07:20:28]:  Está.
[07:20:28 - 07:42:08]:  O questão é que oferecentesas que, provavelmente se basearam em metadados, o Tribunal Constitucional diz que é legal e é legal retroativamente.
[07:42:08 - 07:43:48]:  Pois.
[07:43:48 - 07:50:28]:  Portanto, aqueles que foram condinados com base em metadados podem...
[07:50:28 - 07:52:08]:  Tem a razão para...
[07:52:08 - 07:55:28]:  Podir a revisão...
[07:55:28 - 07:57:08]:  Ou... ou... ou...
[07:57:08 - 07:58:48]:  Não vai estar abaixo?
[07:58:48 - 08:00:28]:  Exatamente.
[08:00:28 - 08:02:08]:  Exatamente.
[08:02:08 - 08:07:08]:  Exatamente.
[08:07:08 - 08:12:08]:  É uma pergunta que já veio depois do Acorn, porque é um crime mais...
[08:12:08 - 08:17:08]:  Vocês é mais específica, só se é mais vaga, porque...
[08:17:08 - 08:25:28]:  Eu não falo como não falo onde de vatas e não esclaressem a questão da retroatividade.
[08:25:28 - 08:32:08]:  Agora neste descolocimento faz de depender a questão de...
[08:32:08 - 08:40:28]:  Usa devogados das pessoas em causa de recreir, em portanto não é uma...
[08:40:28 - 08:42:08]:  E os metadados...
[08:42:08 - 08:43:48]:  O que é o Rio dela, geral?
[08:43:48 - 08:45:28]:  Não, o Rio dela é o Rio dela, geral.
[08:45:28 - 08:50:28]:  E os metadados terão sido essenciais para condinação.
[08:50:28 - 09:00:28]:  Ou seja, pode interesse ir nos adesmetadados, mas havia outra prova que era suficiente para condinação.
[09:00:28 - 09:05:28]:  Mas como é que isso também se estabelece com claritidésia todos os casos?
[09:05:28 - 09:10:28]:  Mas agora isso não é dovidinuma que é uma bota patiscalçara.
[09:10:28 - 09:12:08]:  Sim.
[09:12:08 - 09:15:28]:  A gente não sabe os metadados da bota.
[09:15:28 - 09:18:48]:  Quem é que vai descalçar?
[09:18:48 - 09:23:48]:  Quem vai ficar descalço com isso?
[09:23:48 - 09:25:28]:  Quanto é que calça?
[09:25:28 - 09:27:08]:  Quem é que vai descalçar a bota?
[09:27:08 - 09:30:28]:  E se os metadados da bota já não sabe.
[09:30:28 - 09:32:08]:  Mas que é uma bota patiscalçara?
[09:32:08 - 09:37:08]:  E que é responsável, é que é o facto de ver uma bota patiscalçara.
[09:37:08 - 09:50:28]:  Porque alguém provavelmente devia ter feito alguma coisa acerca de uma lei que pelo juíste de sendo o vídeo.
[09:50:28 - 09:52:08]:  Não, não.
[09:52:08 - 09:55:28]:  E parece que o tempo é difícil, né?
[09:55:28 - 10:13:48]:  É ver a metadados no processo marquejo, Miguel Tavars, os advogados dos exércitos, principalmente já estão esconderinharem tudo que foi escrito naquele processo.
[10:13:48 - 10:17:08]:  E o especificado de salgado e os droghtantes mais, não é?
[10:17:08 - 10:18:48]:  Tentes mais, claro.
[10:18:48 - 10:23:48]:  Eu acho que há metadados sendo o vídeo em uma cameta das insolvadas.
[10:23:48 - 10:35:28]:  É ver a metadados sobre o processo marquejo, sobre os desocrates, porque isso seria um imbrogulho jurídico.
[10:35:28 - 10:42:08]:  Eu acho que o índemame, porque sempre se diz sócrates, estou fazendo.
[10:42:08 - 10:47:08]:  É a fineta do que eu sou.
[10:47:08 - 10:48:48]:  É que ele se quer ir.
[10:48:48 - 10:52:08]:  Não, não, não, não.
[10:52:08 - 10:53:48]:  É evidente.
[10:53:48 - 11:05:28]:  É evidente, se estou rependo por causa desta decisão, ou para ação marquês que é isso, ou o Ricardo Salgado, ou o caso que é isso.
[11:05:28 - 11:12:08]:  É evidente, se estou em uma taguejédia absoluta para a justiça portuguesa.
[11:12:08 - 11:17:08]:  Mas eu acho que há aqui duas questões.
[11:17:08 - 11:23:48]:  O papel do terminal constitucional tenda em conta a diguetive europeia.
[11:23:48 - 11:28:48]:  Infelizmente, eu acho que eu podia fazer muito pouco.
[11:28:48 - 11:35:28]:  Há um outro lado que é, a gente não quer especialista em metadados.
[11:35:28 - 11:43:48]:  Eu não sei se seis meses chegava, em vez de um ano, sou sensível à questão.
[11:43:48 - 11:47:08]:  Então, mas não tem que os metadados estão guardados.
[11:47:08 - 11:53:48]:  Olha, estão por aí, ou então, são os empresas privadas que os têm guardados.
[11:53:48 - 11:58:48]:  Porque as empresas são três meses, né?
[11:58:48 - 12:02:08]:  É o propósito do palco, acho que é muito...
[12:02:08 - 12:10:28]:  Mas quer dizer, os privados é que têm estes dados guardados e já não há fiscalização.
[12:10:28 - 12:17:08]:  Há três ou quatro grandes, porque a comissão de proteção da data, e isso que já não ia fiscalizar.
[12:17:08 - 12:22:08]:  E, em alguns casos, estão fora de território europeu.
[12:22:08 - 12:27:08]:  Estão fora de território, porque fora não estão a obrigos a observar a sua Europaia.
[12:27:08 - 12:33:48]:  Eu sou sensível a todos os segmentos e não devido que a lei tenha que seja mudada.
[12:33:48 - 12:40:28]:  Agora, se colocar esta questão só em termos de princípios apostratos,
[12:40:28 - 12:47:08]:  porque quando isto se coloca sempre, como uma questão de privacidade qualquer pessoa diz,
[12:47:08 - 12:53:48]:  "Ah, claro, não quero que saiba nada sobre mim, né? Um décimo doido, não é que deixe de andar."
[12:53:48 - 12:55:28]:  Por favor, não está de ver.
[12:55:28 - 13:00:28]:  O problema é que quando nós te temos desse mundo dos princípios, para exemplos muito práticas,
[13:00:28 - 13:03:48]:  a questão pode ser trágica, né?
[13:03:48 - 13:10:28]:  E não precisa de ser atenção, não precisa de ser que se querem o gel só, quer dizer o Ricardo salgado,
[13:10:28 - 13:12:08]:  imagina uma fotogamédia.
[13:12:08 - 13:18:48]:  Imagina uma fotogamédia e uma fotogacliancinha que desaparece de um cítio, qualquer era,
[13:18:48 - 13:23:48]:  e venha a policia e te diz, "Tenha igual a onde é que está o criminoso,
[13:23:48 - 13:32:08]:  se nós pudéssemos acertar as metadatas, calhar conseguimos saber, mas infelizmente, azagucho."
[13:32:08 - 13:43:48]:  Ou seja, a casega isto não é, não é um pro norte-sumentes naquilo que era digital.
[13:43:48 - 13:50:28]:  E, portanto, não é fácil agarrar simplesmente, porque isto é um dos metadatos,
[13:50:28 - 13:55:28]:  não são dados, porque não é que seja um caso de ser isso.
[13:55:28 - 13:58:48]:  Então, metadatos ou sem metadatos?
[13:58:48 - 14:02:08]:  Não, mas se estesnaltou a se calhar era.
[14:02:08 - 14:07:08]:  Que é, nós temos que ter consciência, é um mundo em que tu vivas,
[14:07:08 - 14:18:48]:  e tu não podes atingar pela janela, um meio absolutamente essencial hoje em dia de investigação criminal.
[14:18:48 - 14:32:08]:  E, portanto, nós em bonomos dos princípios, transformar a criminalidade de uma espécie de paga iso,
[14:32:08 - 14:38:48]:  para tudo o que é bandido, que é o que pode acontecer, se isto não for bem feito.
[14:38:48 - 14:42:08]:  É um problema real.
[14:42:08 - 14:55:28]:  Essa questão, põe-se sempre na perigida de driva, mas a sua discuridade é uma consciência que isso pode acontecer.
[14:55:28 - 15:00:28]:  A tua discurdência não é o acordo de uma constitucional.
[15:00:28 - 15:05:28]:  Eu acho que o acordo não é que ele invita, então, está utilizando o tribunal europeu.
[15:05:28 - 15:17:08]:  Eu acho que a diretiva do Tribunal Europeu, em 2014, é de uma espécie de fundamentalismo em relação à privacidade.
[15:17:08 - 15:25:28]:  E, se fundamentalismo é preciso ter cuidado, aliás, nós temos visto isto também,
[15:25:28 - 15:35:28]:  Portugal com a aplicação do regulamento da proteção da atos, que é o facto, por exemplo, hoje em dia.
[15:35:28 - 15:37:08]:  Isso não é que libra-se.
[15:37:08 - 15:48:48]:  O se fundamenta listem a relação à privacidade. Eu tenho novoado com esta história de, tu não é muito libral.
[15:48:48 - 15:52:08]:  Vamos falar do "I wonder why".
[15:52:08 - 16:03:48]:  É o primeiro lugar, porque vocês acham que tem uma ideia de libralismo, que ainda é que libralismo já agora não há estado e privatiza seus rios.
[16:03:48 - 16:07:08]:  É um libral, é por...
[16:07:08 - 16:10:28]:  É um libralismo.
[16:10:28 - 16:13:48]:  É um libralismo, a explícola.
[16:13:48 - 16:22:08]:  Eu vou comendo a explícola no final do programa, onde mostra o banho, o que é que é o verdadeiro libralismo.
[16:22:08 - 16:28:48]:  É uma coisa pundigada, explícola.
[16:28:48 - 16:33:48]:  Mas não tem a privacidade como uma pedra basilar.
[16:33:48 - 16:38:48]:  Claro que tem a privacidade como uma pedra basilar.
[16:38:48 - 16:43:48]:  Eu estou a dar casos com créditos, mas também tem a segunda.
[16:43:48 - 16:45:28]:  Você não tem a se humoragem, não tem a se humoragem.
[16:45:28 - 16:50:28]:  Sem segurança, não existe libralidade em um lado nenhum.
[16:50:28 - 16:55:28]:  É como as pessoas acharem que o libralismo não quer estado, sem estado.
[16:55:28 - 17:00:28]:  Não há nada, o estado é absolutamente fundamental.
[17:00:28 - 17:05:28]:  Mas tu não pode esteir.
[17:05:28 - 17:20:28]:  Por que está toda a gente assustada? Vocês deviam se questionar, porque é que de repente está toda a gente empanada e que o primeiro ministro, presidente da República, tudo o que é isto disso.
[17:20:28 - 17:25:28]:  Ao lado de que de probabilidade política é assim.
[17:25:28 - 17:38:48]:  Porque Antônio Costa fez o que faz sempre, empurra com a barriga até estar a aberta do precipício, portanto há responsabilidades políticas gravíssimas da parte do PS.
[17:38:48 - 17:47:08]:  Mas está toda a gente assustada, porque isto é um susto e um susto real.
[17:47:08 - 17:50:28]:  E portanto não se te faixa tão bem.
[17:50:28 - 17:53:48]:  E portanto não é, porque o arco é um programa muito grande.
[17:53:48 - 18:00:28]:  Mas está... É porque se o ano evestes se dizem, não faça 10,6 mil anos.
[18:00:28 - 18:03:48]:  Não, não, não, não. Não faça ideia, isso não é.
[18:03:48 - 18:07:08]:  Não, tudo se dizem entre a aprovação da lei.
[18:07:08 - 18:08:48]:  Ah, sim, está bem.
[18:08:48 - 18:10:28]:  E o arco é uma barriga.
[18:10:28 - 18:18:48]:  Se isto fosse 2 anos, o número de processos, e vou ouvir dizer, mais pequeno, portanto o paninho era mais ou menos.
[18:18:48 - 18:27:08]:  Mas mesmo se o problema colocava-se porque tem que ir com um arco de gestões profundas de infabição, porque são muito graves.
[18:27:08 - 18:33:48]:  Como se chegou esta situação também é uma questão interessante, pode-á já feio florada.
[18:33:48 - 18:50:28]:  Pelo visto, havia uma decisão do Tribunal de Justiça da União Europeia que levou vários países a reverem a sua desigação, mas em Portugal ficou tudo na mesma.
[18:50:28 - 18:52:08]:  Sim.
[18:52:08 - 19:07:08]:  Os avisos para a legendação portuguesa é incomformidade com a decisão do Tribunal de Justiça da União Europeia.
[19:07:08 - 19:17:08]:  Não foram suficientemente viamente, Pedro Machiau, ninguém trapecebidas implicações que isto teria.
[19:17:08 - 19:37:08]:  Há alguns da Provedora da Justiça e que ele já esteve feito no outro esmaterias e cloverantes, mas nós não somos propriamente campeões do mundo em velocidade de transposição, direitivas europeias.
[19:37:08 - 19:48:48]:  Neste caso, na inicial até fomos bastante, dois anos, fui quase, sem medias barreiras.
[19:48:48 - 20:08:48]:  Mas... 2 anos em relação à diretiva europeia inicial de 2000 anos. Mas em tradicisão do Tribunal de justiça da União Europeia. E agora passaram 8 anos.
[20:08:48 - 20:27:08]:  Essa diretiva inicial foi aquela que abriu a porta a ver com o clima de combate ao terrorismo.
[20:27:08 - 20:52:08]:  E essa diretiva não só foi de facto uma transposição de uma norma europeia que, como é normal, tem que ser transposta com uma margem de latitude nos usuários países, na altura havia uma maior consciência de relação a isto.
[20:52:08 - 21:00:28]:  E não houve, pelo menos, em Portugal, que eu me lembro, um aviso em relação a isto.
[21:00:28 - 21:25:28]:  A partir do momento em que há uma decisão de um Tribunal europeu... - Que há dois milicatores? - Que há dois milicatores. E por isso é que o arco temporal, porque se a decisão do Tribunal Europeia, se era em 2009, quer dizer, havia na questão de que...
[21:25:28 - 21:48:48]:  Muitas que mais nos preocupam, é o que vai acontecer aos processos que o Tribunal nem sabe responder ou não quer responder o constitucional, o que faz aos processos que transitaram em julgado.
[21:48:48 - 22:03:48]:  Mesmo a relação a isto não se pronuncia, ou às claros cimento já, com os treinadores que o Tribunal constitucional não se compromete quanto a isto.
[22:03:48 - 22:17:08]:  E não sei se sequer, se é possível, ou não sei mesmo, se é possível estabelecer com um grau de certeza, qual é a importância relativa de...
[22:17:08 - 22:28:48]:  Não há alguns casos, mas metadades podem ser claramente sem equilo, mas no caso é uma prova entre outros.
[22:28:48 - 22:43:48]:  E, portanto, como é que vai haver, vai ser criado uma certa incertesa, quanta a pondração relativa de cada uma das provas no peso pro batório.
[22:43:48 - 22:57:08]:  A dícecia é uma complicação dos diabos. - Se eu multiplicar os cístitos, mas rápido, problema é menor.
[22:57:08 - 23:10:28]:  A questão é que existe sempre, e se tirar sempre, e a interessante, porque os homeniales discordam, ao contrário da maioria das pessoas que eu vi, discordam não da sess...
[23:10:28 - 23:32:08]:  Não, de sessando o Tribunal português, mas a sessando o Tribunal Europeu, o Tribunal Europeu, rejo de uma determinada maneira que tem sido a Minera Europeia, neste conflito entre esses provocando a privacidade.
[23:32:08 - 23:53:48]:  Entregando-nos ao Ricardo Arospreira, a parte de ministro dos metadados, quanto ao João Miguel Taváres, que é de ser esta semana, ministro das viagens turísticas, com a vizeprevio ao sendar Cavacaninguem, João Miguel Taváres.
[23:53:48 - 24:00:28]:  Bom, sendar Cavá é a justiça, mas depois aparece nem integrante, por isso...
[24:00:28 - 24:20:28]:  O português está desta história, já foi referido a pouco. Como é que entenda no tícido que José Socrates tem viajado, com entimento pro Brasil, sem avisar as autoridades judiciais,
[24:20:28 - 24:43:48]:  apesar de, aparentemente, estar sujeito a termo de identidade. Não, ele está sujeito a termo de identidade a residência, mas tem uma interpretação diferente das obrigações que isso faz ter.
[24:43:48 - 24:57:08]:  Eu acho que há dois lados aqui, um é isso que tu estás a dizer, que ele tem uma interpretação diferente do que é o termo de identidade de residência.
[24:57:08 - 25:07:08]:  Vamos cá ver uma coisa. Eu acho que todos nós aqui é esta mesa, já tivemos o prazer, ou o outro prazer, que constituídos é o Guido.
[25:07:08 - 25:12:08]:  E tivemos que informar o tri... Eu informei sempre o tribunal sempre.
[25:12:08 - 25:23:48]:  Cada vez que estava em uma uma de 5 dias, que é o que faz? Quer dizer, há muita gente que não faz, e muitas vezes a gente não tenha divulgado.
[25:23:48 - 25:42:08]:  Há muitos jornalistas que é constituído no meio do processo, vai viajado, ganho de 15 dias, pode ser que não vai avisar o tribunal, porque não tem uma divulgada em permanência, até para ele fazer isso.
[25:42:08 - 25:53:48]:  Não é o caso de dizer só, que não tem só uma divulgada, é ter uma equipe para trabalhar para ele, do ganho de todos os dias do ano.
[25:53:48 - 26:27:08]:  Mas, ele não só é peñado, dos manas no Brasil, e sem avisar, como e depois, há uma expedição de pedredolilo, seu incansável advogado para a frente das câmeras de televisão, com interpretações do que quer dizer o termo de identidade.
[26:27:08 - 26:55:28]:  E realmente, que é inacreditável, é ter uma divulgada que consegue dizer que o preto é branco e que o branco é preto, quando aquilo está escrito, e que o que significa que é evidente, que é preciso, as pessoas avisarem os tribunais se estiverem sempre dias fora do país.
[26:55:28 - 27:03:48]:  Então, esse lado realmente mostra que só quer dizer o maior que se está realmente nesta intraspa tudo.
[27:03:48 - 27:05:28]:  Veste situação que não é...
[27:05:28 - 27:15:28]:  -E que ainda não é cabaíco. -Ainda é mais? Não, deixa-me só dizer. Agora, para mim o mais interessante não é isto.
[27:15:28 - 27:23:48]:  -São os entrevistas e as aparições de publicas... -A sim, por que não? Para mim o mais interessante é uma outra coisa.
[27:23:48 - 27:45:28]:  Todas as dúvidas que existiam em relação às 16 Sócrates, em 2011, 2012, 2012, 2013, 2014, que a coisa dúvida essencial é, onde é que ela arranja ólinear para pagar este estil de vida?
[27:45:28 - 27:58:48]:  Continuam sem as mesmas dúvidas, em 2021, 2002, que é onde é que os 16 Sócrates arranja ólinear.
[27:58:48 - 28:13:48]:  Para pagar 800 igós de propinas, para estar agora há um doutor gamento no Brasil, para viajar para o Brasil, para pagar semanas e semanas de doutes no Brasil,
[28:13:48 - 28:33:48]:  e essas dúvidas eu continuo a ser assaltado por elas e gostava que alguém me explicasse porque a sensação que dá é que realmente ouvaliu uma parte da opriação de uma queijo que captou uma certa...
[28:33:48 - 28:53:48]:  uma certa águia da vida de Sócrates, mas depois de antisto dá-me ideia que há uma longa águia que ainda está à disponibilidade de ser descoberta por jornalistas e investigadores.
[28:53:48 - 29:05:28]:  Vés esta situação das viagens transatlânticas, pedra-mexir como desconhecimento da lei, como um desafio, ajustiça.
[29:05:28 - 29:20:28]:  Eu acho que os J Sócrates como está a sujeito a tiro, portas como um caminhão a tiro para um tan leve, as seguimento que é atropela na sua acelbrola prazer. Vamos lá ver.
[29:20:28 - 29:30:28]:  Essa foi a frase que o desconhecimento da lei não pode aproveitar o infraator da lei.
[29:30:28 - 30:00:28]:  Mas, a juamigada, que a mergma não é, ele não é interpretada, ele sente a lei, ele não sente, obrigado, que é todo um campo maravilhoso de desobdência a lei, que é dizer eu sinto o render disso mais ou menos isso, ao dizer que não vou dar a política, e eu sinto que esta lei não está bem.
[30:00:28 - 30:35:28]:  Ora, a nossa equadrugada de Zé Sócrates, o Probe de Zé Sócrates, aduso um argumento jurídico que não se consegue perceber qual é a luz do que ela é nesta matéria, o nosso sentimento sobre a lei é irrelevante, não há sentimento sobre a lei, pode haver interpretações jurídicas, com argumentos e aí os seus devogados estão lá para isso.
[30:35:28 - 30:45:28]:  E até pode ter a razão, não estou a ver como, mas para a interração. Agora, sentimento sobre a lei não existe, ela é bem ouve.
[30:45:28 - 31:20:28]:  A notícia da visão revelou que Sócrates está no Brasil, na salutura tem feito viagens frequentes e que está matriculado em um programa de pós-graduação numa universidade de São Paulo, quando viveu em parís matriculoso na Sorbona, será que se pode falar a respeito do Antique Primeiro Ministro de uma Pai-Chample da Educação?
[31:20:28 - 32:02:08]:  Não, eu acho que é um doutorado, exatamente. O doutorado é um Brasil, mas o Brasil é um doutorado. E nesse ponto de vista, a uma pequena encorressão, porque a visão diz, ele está a fazer outro doutoramento, não é assim que se dizem.
[32:02:08 - 32:12:08]:  O doutorado está a rincidir num doutoramento, porque o primeiro doutoramento estava rodeado.
[32:12:08 - 32:15:28]:  Mas é administrado, o que eu fiz em pagüismo foi administrado.
[32:15:28 - 32:23:48]:  É uma doutoramento, é uma criação, mas é um paniávame, mas não chegou a entrar.
[32:23:48 - 32:37:08]:  Eu acho que eu vou falar de certo, ter rincidência, é rincidência. Porque realmente é uma Pai-Chample da Educação, mas é uma Pai-Cham Platônica.
[32:37:08 - 32:57:08]:  Eu imagino que o domingo esfarinho já estáis já praticando o seu gênero, porque em principe vai ser chamado a ero, sim, domingo esfarinho, tá, praticando.
[32:57:08 - 33:12:08]:  Estou a restação, quando todo o respeito pelo sistema educativo brasileiro, mas a gente fazia um doutoramento no Brasil, é com o meu carnaval na Finlandia.
[33:12:08 - 33:23:48]:  Acho que é uma coisa um cara, de uma pessoa fica, "pá, deve ser ótimo doutoramento, mas uma pessoa pensa, "pou brasileiro".
[33:23:48 - 33:35:28]:  E aí, está-se injusto estar em um dia, não posso estar assim, mas quer dizer, não é um coisa muito novo do programa.
[33:35:28 - 33:43:48]:  É um bocadinho, dá-se que ele ainda é mais pau, ainda mais que não escreve lá pra o Brasil.
[33:43:48 - 33:52:08]:  Não, não tem a ver com o país, quer dizer, passar da sorbona, não é, da sorbona.
[33:52:08 - 33:58:48]:  A sorbona, a gente é alguma coisa, mas é fim.
[33:58:48 - 34:02:08]:  Acho que a pontificia de São Paulo também tem algum objetivo.
[34:02:08 - 34:10:28]:  Não, não, não, não, não, não do vídeo que tem, não do vídeo que tem, mas é mais...
[34:10:28 - 34:20:28]:  - É agora. - O bonista da folha de São Paulo, com laxas, tem uma verificativa brasileira.
[34:20:28 - 34:25:28]:  - Estrata, disse, é só pra que... - Eu não vou fazer a folha.
[34:25:28 - 34:33:48]:  - É só porque... - E enfim, ir para o Brasil, eu já...
[34:33:48 - 34:37:08]:  - O que não é? - É, o que é em Paris.
[34:37:08 - 34:42:08]:  - É, que eu bairro, acho que é assim. - Acho que terminava.
[34:42:08 - 34:45:28]:  - É, acho que são mais assuntos, tem mais um por aqui, não.
[34:45:28 - 34:53:48]:  - É em Paris, ele estava mais vulnerável, ela achou... - No Brasil, parece...
[34:53:48 - 35:00:28]:  - É só do Lula, ainda em... - É, ainda há de regressar a Portugal,
[35:00:28 - 35:07:08]:  ela disse que ajudou-lo da si, lá, sei o que for há, se me presenta em To Brasil.
[35:07:08 - 35:12:08]:  - O minha questão de... - Está-se tão petei, então.
[35:12:08 - 35:15:28]:  A minha questão neste documento é...
[35:15:28 - 35:18:48]:  Quanto é custa e quem é que vai escrever a tesce?
[35:18:48 - 35:23:48]:  É só isso que eu estava devia, a visão não diz.
[35:23:48 - 35:28:48]:  João Miguel Tavares fica então ministro das viagens transatlânticas,
[35:28:48 - 35:37:08]:  agora é vezes do Pedro Muxias tornar ministro do respanete nórdico,
[35:37:08 - 35:40:28]:  justificado ao Bolívo.
[35:40:28 - 35:45:28]:  Não é o justificado, é só, vários cidadãos, que dizem como é que os nórdicos,
[35:45:28 - 35:53:48]:  como é que os suéculos e os filandeses se atrevem a adrir ao Nio-Europaí.
[35:53:48 - 36:00:28]:  - Aqui é que atribueças a nada. - Ah, nao, nao.
[36:00:28 - 36:07:08]:  - Como é que se devem? Adrir nao.
[36:07:08 - 36:18:48]:  Ora bem, não é preciso tirar um doutorado, para saber porque aqueles perem desam a nao.
[36:18:48 - 36:27:08]:  Porque... porque ver o que aconteceu com outro vizinho de a Rússia...
[36:27:08 - 36:35:28]:  - Da bem telegada, pelo que dizem. - E claro, para estas pessoas que fazem este comentário
[36:35:28 - 36:43:48]:  em "Vazão Rússia" no raio dos outros é refresco, mas de facto não é.
[36:43:48 - 36:52:08]:  E sob toda a filândia tem uma história, não muito simpática com a Rússia.
[36:52:08 - 36:57:08]:  Por entanto, o que aconteceu foi, é tão simples quanto isto,
[36:57:08 - 37:03:48]:  sabemos que há em uma estacha de aprovação da adesão a nao.
[37:03:48 - 37:10:28]:  Antes, né, "Vazão Rússia" e depois de "Vazão Rússia".
[37:10:28 - 37:18:48]:  Na filândia eram de 20% da favorada da entrada na nao.
[37:18:48 - 37:22:08]:  Antes, né, "Vazão Rússia".
[37:22:08 - 37:28:48]:  E, portanto, aqueles dois povos de países, indiscutivamente,
[37:28:48 - 37:37:08]:  mucraticos, avançados, etc., tanto que aliás, que vão entrar na nao de centenem,
[37:37:08 - 37:42:08]:  que preenche a todos os requisitos necessários,
[37:42:08 - 37:52:08]:  aqueles povos acharam que precisam de uma defesa, pranto o comportamento do seu vizinho,
[37:52:08 - 38:00:28]:  a potência regional é a coisa mais natural do mundo que há já pessoas que digam,
[38:00:28 - 38:08:48]:  que gente tão estúpida, que gente tão obtusa, tão malintensionado.
[38:08:48 - 38:17:08]:  Depois, a história da neutralidade, tem a vida várias pessoas que têm explicado
[38:17:08 - 38:23:48]:  que, em elementos suécios, em uma receita da filândia também,
[38:23:48 - 38:28:48]:  mas que têm sentido e menos a cooperação com a nato,
[38:28:48 - 38:33:48]:  porque a política neutralidade estreita, como a via no tempo da guerra fria,
[38:33:48 - 38:37:08]:  já não existe.
[38:37:08 - 38:47:08]:  É tão evidente que, por que é que aqueles países, e não foram aqueles governos,
[38:47:08 - 38:53:48]:  porque é que aquelas populações depois de décadas de neutralidade,
[38:53:48 - 39:02:08]:  se diram, a de ganato, que negar e dizer-se direito,
