[00:00:00 - 00:26:40]:  [Música]
[12:55:00 - 12:56:40]:  É este temporal, sim.
[12:56:40 - 12:58:20]:  Não, não, não, não é eleições.
[12:58:20 - 13:03:20]:  Aliás, o receio, que só vê essa cor a eleições.
[13:03:20 - 13:05:00]:  Acabou-se?
[13:05:00 - 13:10:00]:  Nunca mais voltas a me ter uma coisa de que eu participasse.
[13:10:00 - 13:13:20]:  Deve dizer, é preciso dizer o seguinte.
[13:13:20 - 13:16:40]:  Essa é o povo croniano.
[13:16:40 - 13:18:20]:  É isso, não é isso.
[13:18:20 - 13:21:40]:  E é tudo uma questão de grau.
[13:21:40 - 13:26:40]:  Quaseiro, toda ninguém vota, ninguém engola, até o fim,
[13:26:40 - 13:30:00]:  e o que os partidos lipõem no prato.
[13:30:00 - 13:31:40]:  Mas é uma questão de grau.
[13:31:40 - 13:36:40]:  É mais difícil, é muito difícil, é muito difícil.
[13:36:40 - 13:40:00]:  Mas é tudo uma questão de grau.
[13:40:00 - 13:45:00]:  Tudo também não concordas com tudo o que diz a iniciativa liberal.
[13:45:00 - 13:48:20]:  É para a voz, é para a voz, é para ali.
[13:48:20 - 13:50:00]:  Não, mas lá está.
[13:50:00 - 13:55:00]:  Voltaremos aquilo que já dissemos no último programa.
[13:55:00 - 14:01:40]:  Tem conta aquilo que tem vindo a ser dintos nos últimos anos.
[14:01:40 - 14:06:40]:  Por causa do partido do outro extremo.
[14:06:40 - 14:11:40]:  E isso argumenta, vale, e faz outras pessoas também, todas se se defender.
[14:11:40 - 14:15:00]:  Não, não há nada a fazer nenhum.
[14:15:00 - 14:23:20]:  É nunca de ir a uma teoria, segundo a qual todos os militares do chega.
[14:23:20 - 14:26:40]:  Por exemplo, é a partida que você está a referir.
[14:26:40 - 14:33:20]:  Todos os militares do chega são iguais, são racistas, não são escravos.
[14:33:20 - 14:35:00]:  Não são definidos.
[14:35:00 - 14:38:20]:  Se inscreve em íntegra o que diz o aventura.
[14:38:20 - 14:45:00]:  Eu sei por experiência própria, que às vezes as pessoas votam no partido.
[14:45:00 - 14:51:40]:  Não por causa do que o partido diz, mas apesar do que o partido diz.
[14:51:40 - 14:53:20]:  Pronto, não sei.
[14:53:20 - 15:00:00]:  E a pessoas que votam para chatear, a pessoas que votam com várias...
[15:00:00 - 15:03:20]:  Para ir na válvã.
[15:03:20 - 15:05:00]:  Se você não vala.
[15:05:00 - 15:11:40]:  Mas eu ou disse uma vez, uma vista diz, é que não valia.
[15:11:40 - 15:16:40]:  Aquilo que me nascemos para a tutoca, a forma de que são do PCP,
[15:16:40 - 15:23:20]:  é que, de facto, existe mais de ascensão em um escuvo no que nasce o ego.
[15:23:20 - 15:25:00]:  Para a gente vamos.
[15:25:00 - 15:35:00]:  E nesta russa, quando no primeiro, a invasão russa da ocrania do que o partido não está portugue.
[15:35:00 - 15:36:40]:  E isso, de facto, é extraordinário.
[15:36:40 - 15:43:20]:  Não existe que sequer um militante do PCP,
[15:43:20 - 15:51:40]:  que, por menos até agora, não sei se vocês, eu esta semana não estivem Portugal.
[15:51:40 - 16:00:00]:  Mas se alguém tiver acompanhado os jornais, digam que se apareceu algum comunista,
[16:00:00 - 16:05:00]:  a dizer alguma coisa diferente da linha oficial do partido.
[16:05:00 - 16:10:00]:  Por que, pelo menos, a linha década de 90, isso acontecia.
[16:10:00 - 16:13:20]:  E os válvãos que se sangaram em segundo partido.
[16:13:20 - 16:18:20]:  É extraordinário que o PCP esteja num tal ponto,
[16:18:20 - 16:26:40]:  que não há o único militante que venha a dizer que vai, isto realmente não concordo.
[16:26:40 - 16:33:20]:  Isso mostra o que o PCP, mas até que o PCP não é essencial nunca,
[16:33:20 - 16:41:40]:  e que o espanto do Ricardo é deslocado por uma razão muito simples.
[16:41:40 - 16:51:40]:  O primeiro objetivo, de um partido comunista, é a destruição do capitalismo.
[16:51:40 - 16:58:20]:  E, portanto, enquanto este fogo, seu primeiro objetivo,
[16:58:20 - 17:06:40]:  é evidente que os Estados Unidos da América sejam sempre um inimigo muito maior do que o Roci do Poutine.
[17:06:40 - 17:08:20]:  O que tira em o PCP?
[17:08:20 - 17:10:00]:  O que tira em o PCP?
[17:10:00 - 17:15:00]:  Não é que o capitalismo, o Roci do Poutine, não é?
[17:15:00 - 17:16:40]:  O que tira em o PCP?
[17:16:40 - 17:18:20]:  O que tira em o PCP?
[17:18:20 - 17:20:00]:  O que tira em o PCP?
[17:20:00 - 17:21:40]:  O que tira em o PCP?
[17:21:40 - 17:23:20]:  O que tira em o PCP?
[17:23:20 - 17:25:00]:  O que tira em o PCP?
[17:25:00 - 17:26:40]:  O que tira em o PCP?
[17:26:40 - 17:28:20]:  O que tira em o PCP?
[17:28:20 - 17:30:00]:  O que tira em o PCP?
[17:30:00 - 17:31:40]:  O que tira em o PCP?
[17:31:40 - 17:35:00]:  O PCP, não é que não condena.
[17:35:00 - 17:43:20]:  O PCP, não é que não condena, embora com muito cuidado, o vocabulário,
[17:43:20 - 17:56:40]:  o PCP, quer contextualizar a situação e não se simgire a esta situação concreta deste momento concreto.
[17:56:40 - 18:11:40]:  Mas precisa contextualizar até muito lá atrás, até mesmo muito atrás, não são só 70 anos de contextualização, são paiquinientes.
[18:11:40 - 18:13:20]:  A Converse.
[18:13:20 - 18:18:20]:  A Converse da paz, não é?
[18:18:20 - 18:23:20]:  Esta Converse de Misse mundo da paz.
[18:23:20 - 18:33:20]:  É valida, quer dizer, como uma espécie de sentimenta, mas nunca se concreto de uma agressão.
[18:33:20 - 18:36:40]:  Isso valpa aqui, valpa tudo.
[18:36:40 - 18:45:00]:  Então, sabe que em diversas pancadas numa ira rua, vamos defender a paz?
[18:45:00 - 19:01:40]:  Um lembra que se quina ou nazi estiver no meio da rua, a espancar o negro, vamos dizer calma,
[19:01:40 - 19:10:00]:  não se defenda ao negro porque o mais importante é defender a paz.
[19:10:00 - 19:13:20]:  Que sei que este não tem peixe na cabeça?
[19:13:20 - 19:25:00]:  A paz é um bonito sentimentamente que só é valido, quando não há um agredido e quando não há um agressor.
[19:25:00 - 19:40:00]:  E portanto, é uma convecie incomprécievel quando se defenda a paz neste contexto, está-se efetivamente inaparática do lado agressor.
[19:40:00 - 19:46:40]:  Não é possível dizer, "ah, não estou no lado nenhum, não, não, estás do lado ou de sur?"
[19:46:40 - 19:58:20]:  Na esquerda, as queradas do PS, com a sempre parlamentar, neste momento, três linhas de orientação distintas em relação a esta questão.
[19:58:20 - 20:18:20]:  A do PSP, que não foi a manifestação da frente, a embaixada russa, a do bloco de esquerda, que não tem de feito parte do núcleo que organizou o protesto, acabou por marcar a pazença,
[20:18:20 - 20:33:20]:  e é do livro que foi uma das forças políticas convocou a manifestação de repudio contra a invasão russa da Ukraine.
[20:33:20 - 20:50:00]:  Parece que isto, pedermos-ci, são clivagens pontuais, ou que têm a impropensão para vir a terra e feitos duradores na esquerda protocolo.
[20:50:00 - 21:05:00]:  São completamente estruturais, nós, que evidentemente não podemos comparar um partido que tem 6 anos, com um partido que tem pouco tempo como o livro, mas do que sabemos, dos três partidos?
[21:05:00 - 21:43:20]:  - Sentei um. - Pronto. Do que sabemos, dos três partidos, em matéria de política externa, em matéria de regímos despóticos, sabemos que, sabemos duas coisas que o PC e o livro são partidos de convicções, no sentido de que o Partido Comunista ditadoras do Sudasua Corpo-Politica e ditadoras é geral que...
[21:43:20 - 22:10:00]:  - As questões são... - Esperem que você está se macabara a frase. Ou ditadoras em geral que incomodem o acidente, o Partido Comunista tem uma grande caren por elas, é amigo de vários dos piores regímos do planeta da sua cor política.
[22:10:00 - 22:40:00]:  E a contemporizadora para outros que são inimigos da América, o livro até agora tem se notabilizado, e de isto, sem de ni, acho que tem mesmo notabilizado por ser muito pouco a amigo de ditadoras de esquerda, neste caso, porque é um Partido de esquerda.
[22:40:00 - 23:10:00]:  E o bloco é um equilibrista. O bloco, nesta, este clarações que perceberam o aparecimento do bloco na manifestação em frente à embaixada da Rússia, não justificável que eles tivessem na, em frente à embaixada da Rússia.
[23:10:00 - 23:36:40]:  Eles disseram coisas muito contraditórias, mas o Partido Comunista é um Partido de Convictões e o valorista de curagens, que são terminuritários, de dizer coisas que são impopulares, este tem direito a fazer e também a tendermos a ser criticado.
[23:36:40 - 23:55:00]:  O argumento da guerra é o PCP, a guerra é o PSP, a guerra é o que é de anos. O PCP está a ser criticado, de falar as peixagens, e são lá do vandalismo.
[23:55:00 - 24:18:20]:  Mas o PCP está a ser criticado por uma decisão política, como qualquer partido, é quando toma decisões polêmicas. E o PCP e o livro parece bastante mais honesto que o bloco.
[24:18:20 - 24:33:20]:  Mas é só dizer que ela, para se pacitar a frase da comédia, da comédia, alfaceinha, tem que dizer, vamos imbarar que isto é tudo uma grande da Algarabíse.
[24:33:20 - 24:51:40]:  Ou a Algarabíseis ou reservamental para fazer um termo jurídico, que são dois em particular.
[24:51:40 - 25:06:40]:  Um são as pessoas que, de 15 em 15 dias, descobrem coisas sobre o PC que toda a gente sabe, sobre o PCP.
[25:06:40 - 25:33:20]:  Coisas que são posições, ou o PCP, não condemem as ruças desde 1956. Tá 70 anos. Mas tu como antes que é... Não, mas a minha proplexidade é uma diferença entre a União Soviética e que não é rucido.
[25:33:20 - 25:56:40]:  Mas a uma ingressão de um mundo, mas a uma ingressão de um mundo, mas a uma ingressão de um mundo, e não é rucido. Isso também tem evido, por isso faz a impressão aliás.
[25:56:40 - 26:21:40]:  Ou recardo várias vezes no passado se mostrou para a plexo ou chocado e outras pessoas que eu conheço que votam habitualmente no PCP, chocado com posições sobre política externa, sobre a corria, etc.
[26:21:40 - 26:58:20]:  Portanto, não vamos agora fazer esta coisa que é uma novidade que a de vez que isto aparece, ou que é uma atitude isolada e abergante, quem votou com o PCP no paralelamento europeu, foi o Podemos, foi o Partido Comunista Grego, portanto, não é o PCP que tem uma pancava bizarra e inexplicável.
[26:58:20 - 27:46:40]:  - E foram para a de uma servideta. Mas também, as pessoas... - Estaram com a de estaram contra a doutora. Mas também as pessoas, nomeadamente, no PS, que agora estão com uma verva extraordinária atacar o PC como nem na fonte luminosa, que estão atacar o PC com gosto absolutamente expansivo e que tiveram nos últimos anos dizendo "não, o PC já não tem nada a ver.
[27:46:40 - 28:15:00]:  O muro queio, a política externa não é interessa. As inverses com o Anato são pínades. E agora são as primeiras pessoas a rasgar em os vestes e a dizer "lamentamos estas posições". O Partido Comunista é o que sempre foi, mas também descobriu isso agora.
[28:15:00 - 28:35:00]:  - Também descobriu isso agora, portanto, realmente há um lado de Alderabice, nesta surpresa, e tu isto pensei, acredito no que quiser acreditar e tem todo o direto a isso, como é óbvio.
[28:35:00 - 29:08:20]:  - Entregamos ao Ricardo Aospreira, a pasta de ministro de Amio Pia, o João Miguel Tavárez quer ser, ao fim de uma semana de guerra, ministro de resistência. Está a surpreendê-lo a determinação que tem sido demonstrada por da vida diferentes agulhias, João Miguel Tavárez.
[29:08:20 - 29:36:40]:  - Sim, a determinação tem sido muito assinalável, verdadegamente egoica. Acho que está a fazer muito para a construção de uma nação, que é a guerra, e nesta espécie, as contas de Putin são enforadas, porque esta invasão reforça certamente o Espíguido Nacionalista da Dúlia.
[29:36:40 - 29:51:40]:  - Alicadamente, Putin pensava que ia ser recebido, ou que as tropas russas seriam recebidas, como salvadoras e como... - Não sei, é.
[29:51:40 - 30:16:40]:  - Eu também dou alguns descontos, acho que é rica de Putin, mas seja como fogue, só quero dizer que, apesar de tudo, não acredito que o David venha ganhar algumas linhas dentro daquilo que é a interpretação mais óbvia daquilo que é o futuro.
[30:16:40 - 30:30:00]:  - A vitória me mandava. - Uma vitória me litar, que é de alguns russas de repente, digamos, estravelmente aqui está desagradável, vamos voltar paramos cofrosas.
[30:30:00 - 31:13:20]:  - O que é o que é o que é o que é o pior? - Eu acho que o meu nome não é esta mesa fala com o Vladimir Putin, eu não desatendo o telefone, mas acho que todos percebemos muito bem o que é o pior, todos temos essa sessão.
[31:13:20 - 31:25:00]:  - São o pior das logras, se for necessário para a Putin arrasar que é a bomba, se for necessário.
[31:25:00 - 31:45:00]:  - Eu acho bastante evidente é que Putin não se pode dar ao luxo de não ganhar esta guerra, pode não ganhar que tão rapidamente como queria, pode ter de ganhar com muito maior resistência.
[31:45:00 - 32:11:40]:  - Vamos ver, eu acho que Putin não entrou com tudo na Ucrania, não entrou na Ucrania como em Tshathenia, ou como em Tshathenia, ou como em Tshathenia, que é uma claríssima contenção do próprio exército para não destruir a Ucrania de uma ponta outra.
[32:11:40 - 32:33:20]:  - O que está acerdido é justamente como eu referia ainda agora, a ideia que prevou seria no Cremlin que os Ucranianos recebiam bem e sem uma resistência como aquela que vai verificar o exército ruso.
[32:33:20 - 33:03:20]:  - Sim, quer dizer, eu acho que Putin, como qualquer pessoa, acho que comenteu aqui um erro muito grande, sente que nós, nenhum de nós, é capaz de dizer quais são os efeitos futuros desse ano.
[33:03:20 - 33:41:40]:  - Isso não é realmente possível adivinhar. Agora, convém, embora os elences que, de repente, nos passam de uma semana se transforma assim com uma personagem de Tshathenia, que todos nós gostamos de ver, e todos nós repetimos, quinhentas vezes, a significa faraz, de munições e não de uma beleia,
[33:41:40 - 34:00:00]:  mas com o acumular das semanas, com o que o Cálogo de Gasta Guerra, uma guerra não é um conjunto de palavras e de fracos bonitas e de fracos fortes.
[34:00:00 - 34:28:20]:  E portanto, tanta comissão do acidente vai começando a esforçar-se como a própria resistência do Craniana, acho que tem alguns limites, portanto nós próprios, apesar de todas as nossas emoções, temos que manter alguma lucidez para saber o que é da lipo de vir,
[34:28:20 - 34:46:40]:  para o pagar aquilo que é, efetivamente, uma ameaça ao nosso modo de vida, e temos realmente a consciência que, como diz-me, com as coisas só podem piorar.
[34:46:40 - 35:16:40]:  - A informação que temos sobre a situação militar, em concreto, no terreno, é neste momento, os caça, e extremamente filtrada pelas partes em confronto, em baraja, muitos gravações de vídeo, com telemóveis e tal, mas, ao fim de uma semana, sabemos pouco,
[35:16:40 - 35:50:00]:  que os ocranianos, talvez, não consigam resistir durante muito mais tempo, embora pareçam estar a conseguir uma vitória importante até agora, a narrativa de resistência, polimentes até o momento, imposto, imobilizou a opinião pública e intranscional.
[35:50:00 - 36:10:00]:  - Será isto apenas uma espécie de prêmio de construção, pedram-me-se-se, é uma vitória moral, ou representam poder efetivo neste guerra que está a travarse na corania?
[36:10:00 - 36:16:40]:  - Sim, uma vitória moral numa guerra, de facto, é fraco, com o sol, isso é verdade.
[36:16:40 - 36:23:20]:  - Conheço a que Luna, um jornal, com isso não? - Um jornal, não, que isso não.
[36:23:20 - 36:50:00]:  Mas, portanto, não há grandes dúvidas que, militarmente, o que a União vai ser executada, mas aconteceram duas outras coisas, indesperadas, até para o próprio invasor, e para toda a gente para o público e intransacional.
[36:50:00 - 37:18:20]:  O que aconteceu em uma coisa indesperada, ou supostamente, indesperada, por invasor, foi que, para quem dizia que a Ucrania não existia, a Ucrania, e tem-se visto que a Ucrania, ou sou existe, é diferente e acurajosa.
[37:18:20 - 37:56:40]:  É isso que, no lugar de descobrimos, uma série de verdades que parecem estar esquecidas há 15 dias, nós achávamos, no nosso felizmente, com o forte, la Maria das nossas vidas de ponto de vista global, que a guerra tinha acabado, as guerras eram uma coisa do seu covinto, ou de outros continentes.
[37:56:40 - 38:28:20]:  Nós achávamos que, por exemplo, que já não havia héroes, que as pessoas seram movidas pelo seu interesse próprio, e achávamos que o patriotismo não existia, que a patria também era um conceito mais ou menos longe, e que ninguém daria a vida pela sua patria.
[38:28:20 - 38:50:00]:  É uma estreora de área tropa, fãndanga, de reservistas e de pessoas que mal te sabem, pegar numa arma, ali estarte e fazer coquetes de mal, então.
[38:50:00 - 39:16:40]:  E, exatamente, e que vai ser uma resistência, em que é, sobretudo, vai ser, enfim, novela, perante, se para o que vai acontecer ali, mas isso é muito impressionante, e nós vimos que tudo aquilo que nós achávamos,
[39:16:40 - 40:05:00]:  porque era longe, ou porque, como a guerra, longe, para nós, ou porque não era muito cool, como o patriotismo, coisas que não estavam nos nossos quadros mentais, vimos, por exemplo, pessoas, a chorar, pessoas zerpolitizáveis, adolescentes, que não sabia o que era ao crânio, ao mesmo, a chorar, porque a guerra, para eles, era uma coisa que não existia, era uma coisa de filme, era uma coisa longe, a guerra é estar conosco, desde sempre, estará de uma forma ou outra,
[40:05:00 - 40:40:00]:  com nós, por isso, é sempre, e essa ideia de que é uma pessoa que, de quem nós, a propós, estamos o exemplo, é acabar de que quando, adolescentes, que foi, eleito, presidente da Ukraine, e nós sempre, fundos condicidores da política internacional, fizemos pouco, hoje é um lá, um tipo, que fazia uma série, televisão e tal.
[40:40:00 - 41:21:40]:  E no entanto, tem feito uma série, não tem feito uma série, neste momento, agiu admirávelmente com capacidade de nos, de cativar o princípio publico, e o princípio publico, que, para antes os demandos de Russia, ao longo dos últimos 20 anos, nunca esteve muita tenta, o princípio publico era Europa, já vamos falar de Europa.
[41:21:40 - 41:56:40]:  justamente a figura de Zelensky, o presidente do Caraniano, tornou-se em poucos dias um símbolo de heroismo, aponto do museu de ser a de Paris, e apenas um fé de ver, ter retirado da ispissão à estátua de Putin, e estar a considerar substil de tuila por uma nova de Zelensky.
[41:56:40 - 42:20:00]:  Como é que entende a de preciação que este sujeito o presidente, o Caraniano, depois de ser eleitante, antes de ser tornado um heroi, pelo facto de ser como diante, recadrou-os para ele.
[42:20:00 - 42:36:40]:  O facto de ser como diante, atenção, eu desaconselho sempre para as sempre mais ideias quando pessoas da televisão vão para a política.
[42:36:40 - 42:56:40]:  A nossa experiência pessoal, a comentador de futebol e a comentador de crime, não tem resultado, não tem sido, não tem redado estatistas.
[42:56:40 - 43:11:40]:  Agora, dito isto, parece uma ideia bem pouco democrática, esta de que há profissões que são pouco telhadas para ocupar cargos públicos.
[43:11:40 - 43:20:00]:  Não sei se lembram de um engenheiro que nós tivemos.
[43:20:00 - 43:26:40]:  Se querem começar a descrimir na profissões, eu propunha começar para engenheiros.
[43:26:40 - 43:45:00]:  Bom, lembram de que tivesse tivemos engenheiros, mas sempre parece que os senhores EUA, os senhores EUA, nasções unidas, também, e também tivemos dois outros economistas,
[43:45:00 - 43:48:20]:  que não me mandaram de ser o menos.
[43:48:20 - 44:01:40]:  Portanto, o facto de ser como diante, não tem propriamente, não é em si mesmo um imprimente para nada.
[44:01:40 - 44:05:00]:  Os vingos que estão a recuperar, que se fosse.
[44:05:00 - 44:20:00]:  Os vingos que estão a recuperar, ficam então o ministro de resistência, e é, a vez do Pedro Messias, tornarem o ministro de União, a União está agora mais forte, a mais fraca, perciada.
