[00:00:00 - 00:10:18]:  Esta semana, Ricardo Raús Pereira declara-se com salvista João Miguel Taváres, com
[14:11:28 - 14:14:48]:  tem que realmente haver muita estrada, muita autoestrada,
[14:14:48 - 14:18:08]:  muito pavilhão para construir.
[14:18:08 - 14:23:08]:  Estes fundos hoje em dia, eu comece a ter a sensação
[14:23:08 - 14:26:28]:  que atraso mais o país do que a diante.
[14:26:28 - 14:33:08]:  E portanto, aquilo vai estar com um pé sem nível da execução,
[14:33:08 - 14:39:48]:  e a dizer, "Patá, amarela, deixa-se estar, não se perde muito."
[14:39:48 - 14:46:28]:  Olha, é menos um cento de disposições transforte que ficam por fazer.
[14:46:28 - 14:53:08]:  Quardei comprar uma coisa bonita para ti, cosso, é o que tu quer.
[14:53:08 - 14:58:08]:  Quando parte do caso concreto, Pedro Messia,
[14:58:08 - 15:04:48]:  como é que entende do modo genérico?
[15:04:48 - 15:11:28]:  E da criatividade em política, será mais frequentemente um trumfo,
[15:11:28 - 15:14:48]:  ou um prigo?
[15:14:48 - 15:18:08]:  O problema é que falar da criatividade em política,
[15:18:08 - 15:21:28]:  sei falar do caso concreto, é falar do caso concreto.
[15:21:28 - 15:26:28]:  E portanto, eu não sou político, mas não uma pãe honesta.
[15:26:28 - 15:31:28]:  É, portanto, mas, dito isto,
[15:31:28 - 15:36:28]:  não é uma pãe honesta, há uma coisa que é verdade.
[15:36:28 - 15:46:28]:  Ele acha o exemplo do Mario Centeno, o Provo, que é um assunto.
[15:46:28 - 15:58:08]:  Não vou discutir a frase quando tem esta pessoa, mas o assunto existe.
[15:58:08 - 16:01:28]:  Não sei se é uma tentativa.
[16:01:28 - 16:06:28]:  O assunto existe.
[16:06:28 - 16:09:48]:  O assunto não está invrutando.
[16:09:48 - 16:14:48]:  Ele acha da coisão na eco-PRR que teve.
[16:14:48 - 16:16:28]:  Exatamente.
[16:16:28 - 16:26:28]:  O assunto escrutinho dá-se uma governativa.
[16:26:28 - 16:28:08]:  É um assunto.
[16:28:08 - 16:36:28]:  É, portanto, nesse sentido, que, em dependentemente do contexto,
[16:36:28 - 16:44:48]:  tem que isto nascer, as pessoas podem achar coisas diferentes,
[16:44:48 - 16:49:48]:  mas não é um assunto.
[16:49:48 - 16:53:08]:  Muitas vezes falamos de não assuntos.
[16:53:08 - 17:03:08]:  As frases e as polêmicas são de temas que não têm a colver.
[17:03:08 - 17:06:28]:  Então, tem uma colver.
[17:06:28 - 17:09:48]:  Até que ela não tome a costa, não é?
[17:09:48 - 17:11:28]:  Já posso ir ao banco, não é?
[17:11:28 - 17:13:08]:  É quando ele o conhece.
[17:13:08 - 17:18:08]:  É igual a que ele está no banco, que ele não faz nada.
[17:18:08 - 17:26:28]:  Mas entregamos ao Ricardo Arroz para a era a pasta de ministro da criatividade,
[17:26:28 - 17:36:28]:  quando o João Miguel Tavares, quer ser desta vez, ministro das provincias perseguidas.
[17:36:28 - 17:41:28]:  Isso não pode ser um ministério com o cérebro do passo.
[17:41:28 - 17:44:48]:  Não, não.
[17:44:48 - 17:51:28]:  Fora, de Lisboa, quando está a pensar em estalá-lo.
[17:51:28 - 17:56:28]:  No centro de disposições, está que a gente for anti-agüise de caminha,
[17:56:28 - 18:03:08]:  parece que é a sete por feita, peixe, de mistério das perseguições, as províncias.
[18:03:08 - 18:14:48]:  Quer falar da admissão do secretário de Estado, adjujo-me de o primeiro ministro,
[18:14:48 - 18:23:08]:  manual alves, depois de uma semana em silêncio veio explicar-se Miguel Alves,
[18:23:08 - 18:29:48]:  veio explicar-se no fim de semana passada, ou, ao grande que estes peitas em que estava envolvido,
[18:29:48 - 18:34:48]:  triam por base um preconceito.
[18:34:48 - 18:44:48]:  Existe também um certo preconceito para com caminha, como se caminha não merecesse um centro de posições transfraterias,
[18:44:48 - 18:54:48]:  como se caminha não tivesse o prestígio suficiente para ter um centro de ciência e tecnologia,
[18:54:48 - 18:59:48]:  há um preconceito associado a isto.
[18:59:48 - 19:04:48]:  Explicação de Miguel Alves para a era.
[19:04:48 - 19:14:48]:  Vocês lembram-se da quantidade de pessoas que disseram que caminha não merecia um centro de disposições transfraterias,
[19:14:48 - 19:16:28]:  e eu contei-as.
[19:16:28 - 19:26:28]:  Tenham até 1, 0 pessoas, e aquelas andotas faziam-te com outras pessoas de caminha.
[19:26:28 - 19:41:28]:  Com certeza que o da gente já ouve ele, não quer dizer, num outro programa que eu tenho com companheiros de muito menor prestígio,
[19:41:28 - 19:54:48]:  se nós recuperamos aquilo, aquilo dito popular que é, até preciso de confiar,
[19:54:48 - 20:01:28]:  estar sempre com ele no burro e outro lugar de caminha para as pessoas ter sido.
[20:01:28 - 20:03:08]:  Se desconfiança.
[20:03:08 - 20:21:28]:  Mas isto foi ainda antes, estas declarações, de uma nova notícia que levou a admissão de Miguel Alves,
[20:21:28 - 20:29:48]:  menos de dois meses depois de ter trocado a caminha pelo Palácio de São Bento,
[20:29:48 - 20:39:48]:  o Ministério das Provincias, perseguidas ainda se justifica, João Miguel Davaro, neste contexto,
[20:39:48 - 20:43:08]:  depois do desfecho que o caso deve.
[20:43:08 - 20:59:48]:  Então, mas o que o que faz de casa é prova da perseguição, não só homem, foi perseguido como foi apanhado e queiu por ser um ataque do norte.
[20:59:48 - 21:03:08]:  E por isso, a caminha como todos nós sabem.
[21:03:08 - 21:18:08]:  Acho que, portanto, a bolha mediática, a corte de bolha mediática, venceu caminha.
[21:18:08 - 21:19:48]:  Não, não venceu nada.
[21:19:48 - 21:31:28]:  E ainda por cima, eu sendo um homem, eu vindo ao da província, já não lenta mais a ironia, não é?
[21:31:28 - 21:46:28]:  Já não estava com a gente, como é que um escritário do Estado do Primeiro Ministro fala da corte como não estándo lá?
[21:46:28 - 21:51:28]:  Não, mas é um ponto, é um ponto difícil perceber.
[21:51:28 - 21:59:48]:  Eu como um rapaz que vê da província e, efetivamente, nasceu em Porto Alegre, ao contrário,
[21:59:48 - 22:11:28]:  Miguel Alves nasceu em Lisboa, na verdade, na verdade, nossa senhora de Fatima, não é como qualquer Lisboa, até a verdade que depois foi jovem para a caminha.
[22:11:28 - 22:16:28]:  Qualquer Lisboa, não acho, são as pessoas que vão se possibilitar.
[22:16:28 - 22:26:28]:  É mais fino ainda, nossa senhora de Fatima, então é a mesma opção das avenidas novas.
[22:26:28 - 22:39:48]:  E a verdade, a ideia que foi para a caminha muito novo, mas qual que é a pessoa que olha para o rico do leo?
[22:39:48 - 22:56:28]:  É chocante virar março em provinciano, e eu, como gosto muito de ouvir da das provincianos, os falsos provincianos têm que ser devidamente denunciados.
[22:56:28 - 23:01:28]:  E é, absolutamente inaceitável ele tem utilizado.
[23:01:28 - 23:03:08]:  Deixe-me a uma guerra de provincianos.
[23:03:08 - 23:04:48]:  É uma guerra de provincianos.
[23:04:48 - 23:06:28]:  É uma guerra de provincianos.
[23:06:28 - 23:09:48]:  O João Melho é a das Semana.
[23:09:48 - 23:19:48]:  Está um escanção social, que diz que o Paulo Gai muñe ao operário e que o provinciano é provinciano.
[23:19:48 - 23:29:48]:  É verdade, é verdade. É verdade, é um destino de meus genos. Está nos meus genos.
[23:29:48 - 23:41:28]:  Mas quer dizer, eu tenho muito orgulhante na cidade, mas quer dizer, ao fim deste ano todos, também não vou inventar.
[23:41:28 - 23:43:08]:  É um trador de classe.
[23:43:08 - 24:03:08]:  Não vou inventar que, agora indignaram, ou as críticas que me fazem, nunca me tinha passado e recebe muitas, de dizer que você chome tão acusado isto porque eu sou um alente jane.
[24:03:08 - 24:14:48]:  Isso é ridículo. E vale o que é que eu tenho acontecido.
[24:14:48 - 24:16:28]:  Já tenho acontecido.
[24:16:28 - 24:26:28]:  O filho paderna é preciso olhar para o corrigo deste senhor.
[24:26:28 - 24:34:48]:  Para perceber que ele anda ligado a JTS e OPS desde os 20 anos.
[24:34:48 - 24:43:08]:  O OST 30 era a surdo António Costa, como se o nada de instração interna.
[24:43:08 - 24:44:48]:  Foi para a Câmara Municipal de Lisboa.
[24:44:48 - 24:49:48]:  Na Câmara Municipal de Lisboa continuou a lado de graça fonseca.
[24:49:48 - 25:01:28]:  A seguir vai para a iniciativa privada onde, na geocupital, uma empresa de Macau, cujo digaitor é de alguma série de amachado.
[25:01:28 - 25:13:08]:  E continuou sempre nesse circuito até realmente, já com o Róssico Argentão, para a Câmara de Caminheta.
[25:13:08 - 25:19:48]:  E é um homem do circuito, do poder.
[25:19:48 - 25:24:48]:  Mas nesse que é preciso olhar para o corrigo para escarar essa conclusão.
[25:24:48 - 25:38:08]:  Porque ele foi para aquele cargo de secretário adjunto do primeiro ministro.
[25:38:08 - 25:49:48]:  Porque é um homem do aparelho do PS e para fazer as liações dentro do aparelho do PS.
[25:49:48 - 26:08:08]:  E curiosamente, Miguel Alves cai, não por causa dos 300.000 euros, avançados para a pavilhão que ainda não, para a pavilhão multíluso de caminho,
[26:08:08 - 26:18:08]:  mas cai devido a um outro processo no âmbito da chamada operação, tem a...
[26:18:08 - 26:29:48]:  O que é que esta cintunia entre processos diferentes indiciados?
[26:29:48 - 26:34:48]:  Eu acho que ele cai por causa de caminhem.
[26:34:48 - 26:41:28]:  O que é por causa de caminhem é que o jornal de resolução foi por causa da ser acusado.
[26:41:28 - 26:48:08]:  Eu sei, mas os jornais começaram a pesquisar.
[26:48:08 - 26:51:28]:  Quando começam a pesquisar, começam a encontrar coisas.
[26:51:28 - 27:01:28]:  O que é que nós aqui podemos aparentender? É, que realmente temos que fazer um esforço maior por escrutinar as pessoas quando chegou a um poder.
[27:01:28 - 27:04:48]:  Que é uma coisa que nunca se faz.
[27:04:48 - 27:18:08]:  Começaram a escarar fuxar, começaram a encontrar coisas, casos em que ela era arguido e de repente um caso em que ela era acusado, mas que o próprio não sabia.
[27:18:08 - 27:21:28]:  O primeiro ministro não sabia.
[27:21:28 - 27:31:28]:  E o próprio primeiro ministro teve que dizer que teve que fazer um telefonema, a papo que de guia, a geral da república, e a de...
[27:31:28 - 27:39:48]:  O firmema realmente é o observador que viu que ela era acusada. É verdade. E o senhor pode criar do agredor.
[27:39:48 - 27:44:48]:  Ele tem a dite, sim, sim, é verdade. Ah, então eu demite-me.
[27:44:48 - 27:59:48]:  Mas estão um daqueles casos por perverquicação. Ou seja, é um caso de um senhor presidente da grama municipal que está acerado com o exército, porque tem que feitar um ajuste direto.
[27:59:48 - 28:09:48]:  Que é aquele tipo de ajuste direto, que o primeiro faz o ajuste, e depois a regração concluo que se pagou o ajuste ficar.
[28:09:48 - 28:34:48]:  Mas eu devo dizer que, se este foi o critério, eu te confio que, no mínimo, emitado todos os presidentes da Câmara de Portugal, podem ser acusados pelo ministro da República, porque este é o pão nosso de cada dia, em qualquer câmera municipal, com qualquer pessoa sabe.
[28:34:48 - 28:41:28]:  Pelo menos, que era por aí que eu valo guiso, mas ia do caso.
[28:41:28 - 28:53:08]:  Eu valo guiso o caso, por causa do famoso, centro de posições, porque é um caso evidentemente escandaloso.
[28:53:08 - 29:18:08]:  E que continua com um enorme ponto de interrogação, que é este. Ah, um estrondinário emprenyandor, que claramente aldarabou Miguel Alves, e eu até hoje não sei porque Miguel Alves continua a definidelo, porque qualquer pessoa...
[29:18:08 - 29:23:08]:  - E o Instituto de Interminista também. - Josse, que eu sou o senhor Ricardo Montes.
[29:23:08 - 29:36:28]:  - Entrem-se-nos para este. - Foi interminista pelo expereço, e é alguém que merece toda a nossa atenção, porque é especialmente divertido.
[29:36:28 - 29:51:28]:  - O que a valiazes estão política aqui o primeiro ministro fez deste caso, Pedro Messia? - Não percebo exatamente qual é a regra que está em vigor no governo, aparentemente é a casa de casa.
[29:51:28 - 30:11:28]:  Ou seja, as pessoas são afastadas, nós já tivemos ministros em várias situações, que justificariam a sua saída, que é, por causa das políticas que há propazões jurídicas e judiciais.
[30:11:28 - 30:24:48]:  - Esse é suspeito, é preciso ser acusável, é preciso, é simplesmente ser condinado, ou é só quando se promete o supo de algo de se abre.
[30:24:48 - 30:38:08]:  - Parece ser o único caso, claro, um abraço de poco, é um, parece ser o único caso, em que é claro que não se pode continuar membro do governo.
[30:38:08 - 31:21:28]:  - O Antonio Costa, o meu opinião discreve sobre isso, no observador, ao escudoarse na frase que, em si mesmo, é verdadeira, da justiça, da justiça e da política ou da política, não é muito discolorcedor sobre uma coisa mais importante, que é que consequências políticas se retiram de casos judiciais.
[31:21:28 - 31:36:28]:  - Essa resposta é muito ansiosa, é evidentemente que o jogo de genimento jurídico é feito pelo estrimonado, acho que não há nenhuma dúvida sobre a separação de poderes em Portugal.
[31:36:28 - 31:39:48]:  - Pelo menos espero que não há.
[31:39:48 - 32:09:48]:  - Agora, qual é o governo assume o horno de manter pessoas que vão estando esta semana aliás, foi particularmente inclomente pro governo, porque tivemos as três passionárias, tivemos enagomos e exibiu a morar, e ela se endereleitou, a dizer saia já.
[32:09:48 - 32:46:28]:  - Foi uma coisa mesmo during a propa dentro do Partido Socialista, todas elas, probablemente por casões suas e talvez diferentes, mas nas outras, mas as fimais que fizeram bem, e mostram a lhejas que a vida autônoma nos partidos, era muito difícil depois disso, que o resultado fosse outro, mas depois isto acontecer, quando não há a perguntar, qual é a regra?
[32:46:28 - 33:03:08]:  - É o próprio achar que, ou há algum momento em que o primeiro isto vai decidir, não, isto objetivamente impede que o senhor e a senhora continuam no cara, e isso não sabemos.
[33:03:08 - 33:11:28]:  - Como é que veu o poder de corte natural da bolha mediática, Ricardo Raúx?
[33:11:28 - 33:16:28]:  - Eu creio que este caso demostra... - Estou a citar Miguel Also.
[33:16:28 - 33:33:08]:  - Sim, sim, que o poder de corte mediática de Lisboa é inferior ao poder de caminha, porque... este caso demostra a força de caminha,
[33:33:08 - 33:51:28]:  porque ele supondo que ele é de caminha, conseguiu aguentar, primeiro, uma semana calado depois da notícia terçaíria, uma notícia, mesmo muito vamos direi em barassosa,
[33:51:28 - 34:09:48]:  mesmo muito embarassosa, problemática, desclasita, uma semana em silêncio, não sou ele, ouve uma parte documentaria de político que também esteve em silêncio.
[34:09:48 - 34:13:08]:  - Eu gosto muito de prestar atenção, não sou a política, mas também...
[34:13:08 - 34:18:08]:  - Mas este são dois fiscais...
[34:18:08 - 34:28:08]:  - É um caso de escrutinas, a cláfito escrutinas, as poegas.
[34:28:08 - 34:41:28]:  - É importante não esquecer o que você disse, é um caso e é o caso de caminha, em que a gente dentro do próprio PSA dizer assim...
[34:41:28 - 34:53:08]:  "Este ainda é admissível, a lominhore é este senhor seguir" e ainda assim a comentador político se dizem, não isto não é nada, deixa...
[34:53:08 - 35:09:48]:  - Ouvei mensagem a gente a fazer este jogo e depois ele dá uma entrevista absurda e ainda assim não é admitida, aguentasse firme.
[35:09:48 - 35:21:28]:  - A entrevista ele diz, por exemplo, além da defesa do isto é porque eu sou de caminha, a outra clássica que é "mas que agora?"
[35:21:28 - 35:28:08]:  - Que é isto, não é uma defesa que mostra a inocência, não é que ele sabe ver as horas.
[35:28:08 - 35:51:28]:  - O senhor matou uma velha, mas são 3 e 1 e 1 e 1 e 1 e 1 e 1 é uma defesa nunca, mas quando ele diz eu não sou um bandido nenhum tolo, é muito perigoso alugar isto porque o senhor que se aposera em causa que ele tem uma dessas características,
[35:51:28 - 36:03:08]:  abre a porta que a outra também tenha e a gente leia a entrevista e percebe que ele é tolo, é tolo, menal e pode se não considerar tolo.
[36:03:08 - 36:23:08]:  - O senhor matou um tempo, há uma parte em que ele diz assim, isto, este senhor apresenta-se lá e ele apresenta o trabalho feito e diz o rolista, onde, na guarda e eles, então na guarda também não fés trabalho nenhum e ele depois, não.
[36:23:08 - 36:48:08]:  - Mas, mas, em Albregariavelha, e devai o Seregio e de Feio de Vinheta, ao Fando Quebra Feio, ao Fando Quebra Feio, se você sabe ver isto foi depois, ou seja, esta outra frase dele,
[36:48:08 - 37:04:48]:  "nessão, realmente eu delí 300 mil euros para a mão e dois anos depois, há esta ideia e realmente há de que não existe nada, agora existe e deificado, não isso não".
[37:04:48 - 37:21:28]:  - Ou seja, ele deu esta entrevista e aguentou-se firmo na mesma, e depois... - E depois, depois reicar de motinho para ajudar o amigo, diz ele, da um impresário.
[37:21:28 - 37:36:28]:  - Porque eu tenho que eu empresário, da um impresário, em que não ajuda nada porque tudo o que ele diz desde que achamos empresas, da tal ouding, até as protege,
[37:36:28 - 37:53:08]:  - Para o PEDD? - Até o PEDD que adi, chamam coisa que me chamam, como do Gênero, tose é, chamam no PEDD, eu não sou o PEDD, mas é algo que eu sei que me chamam.
[37:53:08 - 38:16:28]:  - Mostra que não é fácil que nós achemos essa pessoa, que é o crevível, com quem se é. - E ainda assim, ele não cai por causa desse caso, só por causa do outro, só quando aparente...
[38:16:28 - 38:26:28]:  - E agora temos, afinal, um resultado diferente. - Força de caminha, eu acho que isto revela a força de caminha. - Para bem este caminha.
[38:26:28 - 38:39:48]:  - E ainda bem que eu sou... - Minha família, ali é minhas, para mim. - Então é donde? - Eu sou tão de caminha, como este senhor, porque nós temos os dois em Lisboa.
[38:39:48 - 38:53:08]:  - E também construísse tanto um pavilhão como eu? - Exatamente, os que eu vi isso. - Os homenagártavares ficam então o ministro das Provinças Peseguidas. - Estava até...
[38:53:08 - 39:13:08]:  - E talvez do Pedro Mershias, do tornário ministro, do Vasto Mundo, o que rima com Rai Mundo? - Sim, é um verso não dos melhores momentos da obra de Carlos de Drummond Andrebe, mas que é um...
