[00:00:00 - 00:25:50]:  [Música]
[04:42:24 - 04:47:24]:  que é uma das poucas coisas piores que o vírus...
[04:47:24 - 04:50:44]:  por isso...
[04:50:44 - 04:55:44]:  na minha vida pessoal...
[04:55:44 - 04:57:24]:  e feito mais positivo...
[04:57:24 - 04:59:04]:  foi isso.
[04:59:04 - 05:02:24]:  Mas isso faz que também recarres mesmo...
[05:02:24 - 05:04:04]:  mesmo para quem gosta...
[05:04:04 - 05:05:44]:  muito estar em casa...
[05:05:44 - 05:07:24]:  eu gosto...
[05:07:24 - 05:09:04]:  a ideia de...
[05:09:04 - 05:12:24]:  muito...
[05:12:24 - 05:15:44]:  é mais ou menos com as leituras obrigatórias...
[05:15:44 - 05:17:24]:  eu gosto muito de ler...
[05:17:24 - 05:20:44]:  mas nunca que sei muito de ler livros...
[05:20:44 - 05:22:24]:  obrigado...
[05:22:24 - 05:25:44]:  e por isso...
[05:25:44 - 05:27:24]:  obrigação...
[05:27:24 - 05:29:04]:  estraga tudo sempre.
[05:29:04 - 05:34:04]:  -E o que mais marcou...
[05:34:04 - 05:39:04]:  ou mais me chamou a atenção nas últimas 24 horas...
[05:39:04 - 05:45:44]:  foi o discurso de Bolsonaro, presidente do Brasil...
[05:45:44 - 05:49:04]:  que...
[05:49:04 - 05:50:44]:  depois...
[05:50:44 - 05:52:24]:  uma intervenção...
[05:52:24 - 05:55:44]:  uma televisão brasileira...
[05:55:44 - 05:59:04]:  uma comunicação aos brasileiros...
[05:59:04 - 06:02:24]:  que vos mostro um bocadinho...
[06:02:24 - 06:07:24]:  porque acho que vale a pena saber...
[06:07:24 - 06:09:04]:  aquilo que...
[06:09:04 - 06:10:44]:  este...
[06:10:44 - 06:12:24]:  estadista...
[06:12:24 - 06:14:04]:  tem a dizer...
[06:14:04 - 06:17:24]:  no meu caso...
[06:17:24 - 06:19:04]:  parte de volar...
[06:19:04 - 06:22:24]:  pelo menos histórico de atleta...
[06:22:24 - 06:25:44]:  caso fosse contaminado pelos veros...
[06:25:44 - 06:29:04]:  não precisaria me preocupar...
[06:29:04 - 06:32:24]:  nada sentiria...
[06:32:24 - 06:34:04]:  ou seria...
[06:34:04 - 06:35:44]:  quando muito...
[06:35:44 - 06:39:04]:  a cometido de uma grita...
[06:39:04 - 06:40:44]:  ou...
[06:40:44 - 06:42:24]:  refriadinho...
[06:42:24 - 06:45:44]:  como bem disse aquele conhecido médico...
[06:45:44 - 06:49:04]:  daquela conhecida televisão...
[06:49:04 - 06:52:24]:  Estou...
[06:52:24 - 06:55:44]:  é um discurso de estadista...
[06:55:44 - 06:59:04]:  -Quando diminutivo...
[06:59:04 - 07:00:44]:  é muito grave a ver diminutivo...
[07:00:44 - 07:04:04]:  não discurso de estadista...
[07:04:04 - 07:07:24]:  -O que é que é que ele conhecido médico...
[07:07:24 - 07:10:44]:  daquela conhecida televisão?
[07:10:44 - 07:12:24]:  -Sei lá!
[07:12:24 - 07:15:44]:  -Estava-se com os brasileiros?
[07:15:44 - 07:19:04]:  -E que é que com a joneira de brasileiros?
[07:19:04 - 07:20:44]:  -É uma tia da pra brasileiros?
[07:20:44 - 07:22:24]:  -E que eu não sei...
[07:22:24 - 07:25:44]:  -E que eu não sei...
[07:25:44 - 07:27:24]:  -Pois não, não...
[07:27:24 - 07:29:04]:  a conhecida não sei...
[07:29:04 - 07:30:44]:  não sei quem...
[07:30:44 - 07:32:24]:  conhece alguns...
[07:32:24 - 07:34:04]:  alguns...
[07:34:04 - 07:35:44]:  canais brasileiros...
[07:35:44 - 07:37:24]:  medics brasileiros...
[07:37:24 - 07:39:04]:  tem a posição...
[07:39:04 - 07:40:44]:  só acho que só conhece o PITANGI...
[07:40:44 - 07:44:04]:  não sei se é isso que é o bar...
[07:44:04 - 07:49:04]:  -O Pedro Messier tratou um vírus velho...
[07:49:04 - 07:52:24]:  nesta situação nova...
[07:52:24 - 07:55:44]:  o destino feita...
[07:55:44 - 08:00:44]:  há uma história com portugueses...
[08:00:44 - 08:02:24]:  sem timor...
[08:02:24 - 08:04:04]:  -Sim...
[08:04:04 - 08:05:44]:  é uma estino febia,
[08:05:44 - 08:07:24]:  particularmente em grata...
[08:07:24 - 08:10:44]:  porque um grupo de portugueses...
[08:10:44 - 08:12:24]:  de 12 portugueses...
[08:12:24 - 08:17:24]:  foram...
[08:17:24 - 08:20:44]:  confrontados para a população em balcal...
[08:20:44 - 08:24:04]:  e foram...
[08:24:04 - 08:25:44]:  agredidos, insultados...
[08:25:44 - 08:27:24]:  ameaçados...
[08:27:24 - 08:29:04]:  e tiveram que se...
[08:29:04 - 08:32:24]:  refugiar no hotel...
[08:32:24 - 08:34:04]:  onde estão...
[08:34:04 - 08:37:24]:  as pere de retococatreamento...
[08:37:24 - 08:42:24]:  há praticamente 140 portugueses...
[08:42:24 - 08:44:04]:  às aulas em timor...
[08:44:04 - 08:47:24]:  ou abri-me de um protocolo...
[08:47:24 - 08:49:04]:  estar portugueses e o estado...
[08:49:04 - 08:50:44]:  de timorense...
[08:50:44 - 08:54:04]:  e os arremosor também...
[08:54:04 - 08:57:24]:  pedidos se culpa por os seus compatriotas...
[08:57:24 - 09:00:44]:  e lembrar-los que...
[09:00:44 - 09:04:04]:  timor deve bastante acumulado internacional...
[09:04:04 - 09:05:44]:  e a Portugal...
[09:05:44 - 09:07:24]:  por lo menos...
[09:07:24 - 09:10:44]:  é um Portugal a partir de certa altura...
[09:10:44 - 09:14:04]:  e, certamente, Portugal no processo de independência...
[09:14:04 - 09:17:24]:  de timor...
[09:17:24 - 09:20:44]:  timor tem só um caso...
[09:20:44 - 09:22:24]:  mas os colpão os portugueses...
[09:22:24 - 09:25:44]:  por esse caso...
[09:25:44 - 09:30:44]:  e então este outro vírus de facto...
[09:30:44 - 09:34:04]:  que é esse nofobia...
[09:34:04 - 09:37:24]:  mesmo dos sitios mais indesperados...
[09:37:24 - 09:40:44]:  como se comestas esse nofobia...
[09:40:44 - 09:44:04]:  a relação ao portugueses e timor...
[09:44:04 - 09:45:44]:  desperta outra vez.
[09:45:44 - 09:49:04]:  Será que isto vai...
[09:49:04 - 09:52:24]:  ela estrar ou seja...
[09:52:24 - 09:55:44]:  estamos afegando teras...
[09:55:44 - 09:57:24]:  estamos...
[09:57:24 - 10:00:44]:  a olhar quando se confiça...
[10:00:44 - 10:02:24]:  para os estranhos...
[10:02:24 - 10:05:44]:  isto é um...
[10:05:44 - 10:09:04]:  prio que estamos de facto...
[10:09:04 - 10:10:44]:  começar a correr...
[10:10:44 - 10:12:24]:  a Ricardo.
[10:12:24 - 10:15:44]:  Aliás, ontem...
[10:15:44 - 10:17:24]:  não sei se estão recordados...
[10:17:24 - 10:19:04]:  devem estar...
[10:19:04 - 10:20:44]:  para que tudo que eu recomendo...
[10:20:44 - 10:22:24]:  você sempre vai se registrar...
[10:22:24 - 10:24:04]:  e anotam...
[10:24:04 - 10:25:44]:  naquilo...
[10:25:44 - 10:29:04]:  "London era New York Review Books".
[10:29:04 - 10:32:24]:  Era New York Review Books uma...
[10:32:24 - 10:35:44]:  um dos colaboradores da New York Review Books...
[10:35:44 - 10:37:24]:  que está em...
[10:37:24 - 10:39:04]:  que eu, com o quarentena...
[10:39:04 - 10:44:04]:  como nós lembravam no fim do seu destino...
[10:44:04 - 10:47:24]:  que é preciso não esquecer...
[10:47:24 - 10:49:04]:  que a seguir a peste...
[10:49:04 - 10:50:44]:  vem sempre um pogrom...
[10:50:44 - 10:54:04]:  e, recordando, por exemplo...
[10:54:04 - 10:57:24]:  uma sacra ao Judeus de a seguir a peste...
[10:57:24 - 10:59:04]:  negra, etc...
[10:59:04 - 11:00:44]:  e também aqui...
[11:00:44 - 11:04:04]:  é possível que...
[11:04:04 - 11:05:44]:  quer dizer é possível detectar...
[11:05:44 - 11:07:24]:  este...
[11:07:24 - 11:10:44]:  movimento sinistro, né?
[11:10:44 - 11:12:24]:  É...
[11:12:24 - 11:14:04]:  de estar...
[11:14:04 - 11:15:44]:  a...
[11:15:44 - 11:15:44]:  a...
[11:15:44 - 11:17:24]:  a...
[11:17:24 - 11:19:04]:  a...
[11:19:04 - 11:20:44]:  tentar...
[11:20:44 - 11:22:24]:  a rejarr culpados para um vírus.
[11:22:24 - 11:25:44]:  E no Estados Unidos, por exemplo,
[11:25:44 - 11:30:44]:  o New York Times publicou um artigo sobre...
[11:30:44 - 11:32:24]:  a população...
[11:32:24 - 11:35:44]:  sino-americana...
[11:35:44 - 11:37:24]:  que está...
[11:37:24 - 11:39:04]:  que está acerclaramente...
[11:39:04 - 11:40:44]:  também...
[11:40:44 - 11:44:04]:  insultável e ameaçável...
[11:44:04 - 11:45:44]:  com...
[11:45:44 - 11:47:24]:  com a ideia de que...
[11:47:24 - 11:50:44]:  que é o vírus chinês, né?
[11:50:44 - 11:52:24]:  Aliás...
[11:52:24 - 11:57:24]:  o Donald Trump, o presidente americano...
[11:57:24 - 11:59:04]:  é...
[11:59:04 - 12:00:44]:  o vírus...
[12:00:44 - 12:02:24]:  a obrigação...
[12:02:24 - 12:05:44]:  de escrever um tweet...
[12:05:44 - 12:07:24]:  de dizer que os...
[12:07:24 - 12:12:24]:  "Eginamericans" são muito importantes
[12:12:24 - 12:14:04]:  e, dar muito a país...
[12:14:04 - 12:17:24]:  para o próprio Trump...
[12:17:24 - 12:19:04]:  E a ele disse...
[12:19:04 - 12:20:44]:  para que ele disse...
[12:20:44 - 12:22:24]:  para o republicar-ne, geral,
[12:22:24 - 12:24:04]:  portanto, também...
[12:24:04 - 12:25:44]:  também, é...
[12:25:44 - 12:27:24]:  também...
[12:27:24 - 12:29:04]:  é, também, é, de ser, de ser...
[12:29:04 - 12:30:44]:  de ser...
[12:30:44 - 12:34:04]:  eu sei que vocês são uns etanos pessimistas,
[12:34:04 - 12:35:44]:  mas...
[12:35:44 - 12:37:24]:  não mexa ser gostosa.
[12:37:24 - 12:39:04]:  É isso mesmo.
[12:39:04 - 12:40:44]:  Não, é...
[12:40:44 - 12:42:24]:  Não, é...
[12:42:24 - 12:44:04]:  É só que fica rata que não...
[12:44:04 - 12:45:44]:  Não, é...
[12:45:44 - 12:47:24]:  Não, é...
[12:47:24 - 12:49:04]:  Não, é só que fica...
[12:49:04 - 12:50:44]:  Não, nunca se se se fica.
[12:50:44 - 12:52:24]:  O...
[12:52:24 - 12:54:04]:  mas nesta coisa...
[12:54:04 - 12:55:44]:  o bicho...
[12:55:44 - 12:57:24]:  o bicho...
[12:57:24 - 13:00:44]:  o bicho é extremamente...
[13:00:44 - 13:04:04]:  democrático e muito pouco racista...
[13:04:04 - 13:05:44]:  porque aquilo...
[13:05:44 - 13:07:24]:  vai tudo, não é?
[13:07:24 - 13:09:04]:  Acho que...
[13:09:04 - 13:10:44]:  Davi, ele não é como...
[13:10:44 - 13:14:04]:  e toda a gente está a conquinha...
[13:14:04 - 13:17:24]:  Parece que ninguém está...
[13:17:24 - 13:20:44]:  nem toda a gente está a compreender-se...
[13:20:44 - 13:22:24]:  onde vista...
[13:22:24 - 13:24:04]:  Não, sim...
[13:24:04 - 13:27:24]:  porque a maioria das pessoas chegaram lá, não é?
[13:27:24 - 13:29:04]:  Eu acho que...
[13:29:04 - 13:32:24]:  o bicho está que homo sapiens...
[13:32:24 - 13:35:44]:  independentemente da sua cor da pele, não é?
[13:35:44 - 13:39:04]:  Isso parece que não é bastante óbvio.
[13:39:04 - 13:42:24]:  Nas últimas 24 horas, o que...
[13:42:24 - 13:44:04]:  chama a atenção?
[13:44:04 - 13:45:44]:  Na qualidade?
[13:45:44 - 13:49:04]:  É meio que...
[13:49:04 - 13:52:24]:  que nós têm chamado mais atenção...
[13:52:24 - 13:54:04]:  é...
[13:54:04 - 13:59:04]:  estudos constantes de pessoas bastante respeitáveis...
[13:59:04 - 14:02:24]:  que te levem o tempo em ter que dizer...
[14:02:24 - 14:04:04]:  o "Init More Data",
[14:04:04 - 14:07:24]:  o "Init More Data", o "Init More Data",
[14:07:24 - 14:10:44]:  precisamos de mais dados, mais dados, mais dados...
[14:10:44 - 14:17:24]:  para perceber, em primeiro lugar, que tipo de bicho é que este é...
[14:17:24 - 14:24:04]:  e até que ponte é que afeta as pessoas.
[14:24:04 - 14:29:04]:  E essa falta de dados, a mim preocupa,
[14:29:04 - 14:34:04]:  nós tendemos muito a usar com o trâmpio bolsonarago...
[14:34:04 - 14:37:24]:  e a atenção é mais do que justificada...
[14:37:24 - 14:42:24]:  aquelas afimações do resfriadinho...
[14:42:24 - 14:47:24]:  e da constipação zinha são...
[14:47:24 - 14:49:04]:  absolutamente ridículas...
[14:49:04 - 14:50:44]:  Tal como...
[14:50:44 - 14:52:24]:  É um atleta, né?
[14:52:24 - 14:54:04]:  É um atleta.
[14:54:04 - 14:55:44]:  O homem é um atleta lá...
[14:55:44 - 14:59:04]:  está aquelas ampolas que eu estava pedindo a minha perrazer...
[14:59:04 - 15:05:44]:  também se podia lidar o homem e fumigar o bolsonar...
[15:05:44 - 15:09:04]:  já com umas que é pra ver com o atleta...
[15:09:04 - 15:12:24]:  como é que resistia aquilo.
[15:12:24 - 15:19:04]:  Mas pra além destas de coleções meio está por fúrdias do bolsonarago...
[15:19:04 - 15:24:04]:  o que tem pra dizer que querias igrejas cheias na Páscoa...
[15:24:04 - 15:27:24]:  e que tanto já estão de ser...
[15:27:24 - 15:34:04]:  datas criteriosas para acabar com a Quagantena...
[15:34:04 - 15:35:44]:  e estudem muito.
[15:35:44 - 15:39:04]:  - O que é a idade vegetiva, mas...
[15:39:04 - 15:40:44]:  - Mas...
[15:40:44 - 15:42:24]:  - Mas...
[15:42:24 - 15:44:04]:  - Não, isto é tudo muito estúpido...
[15:44:04 - 15:50:44]:  Agora é verdade que não dá-nos falta um dados para avaliar...
[15:50:44 - 15:54:04]:  qual é a melhor maneira de ter uma Tewi-X?
[15:54:04 - 15:57:24]:  Isso é uma coisa que me preocupa...
[15:57:24 - 16:00:44]:  Essa falta de dados por a culpa...
[16:00:44 - 16:02:24]:  é porque...
[16:02:24 - 16:05:44]:  eu admito que é um possível daqui a um ano e meio...
[16:05:44 - 16:10:44]:  ou dois anos nós olhamos para trás e estemos aconculzando...
[16:10:44 - 16:12:24]:  que...
[16:12:24 - 16:15:44]:  pois escalharam esta não foi a melhor ideia...
[16:15:44 - 16:17:24]:  a atenção...
[16:17:24 - 16:22:24]:  Sente que eu acho que ao mesmo tempo nós não temos alternativa neste momento...
[16:22:24 - 16:25:44]:  para fazer as coisas de maneira diferente...
[16:25:44 - 16:32:24]:  mas ao mesmo tempo é verdade que podemos estar a fazer tudo errado...
[16:32:24 - 16:34:04]:  e portanto é bom...
[16:34:04 - 16:35:44]:  - É transpar...
[16:35:44 - 16:37:24]:  - É transpar, é transpar, é transpar...
[16:37:24 - 16:39:04]:  - Não, não, não, não, não...
[16:39:04 - 16:45:44]:  que está respondido a qual é que deve ser a nossa maneira da Jiga...
[16:45:44 - 16:50:44]:  no sentido que é a Quagantena, fica a alguém casa...
[16:50:44 - 16:57:24]:  para não provocarmos a expulsão do sistema nacional de saúde...
[16:57:24 - 16:59:04]:  sendo ouvida...
[16:59:04 - 17:00:44]:  que é preciso...
[17:00:44 - 17:05:44]:  o mais rapidamente possível ao mesmo tempo que se trata pessoas...
[17:05:44 - 17:10:44]:  com isso, é que fazemos testes científicos...
[17:10:44 - 17:14:04]:  que os cientistas esperem...
[17:14:04 - 17:15:44]:  também, também...
[17:15:44 - 17:17:24]:  - É isso mesmo...
[17:17:24 - 17:19:04]:  - E acho que isso...
[17:19:04 - 17:24:04]:  - Não é como Estados Unidos, não é só na Inglaterra, não é só na Inglândia...
[17:24:04 - 17:27:24]:  acho que também precisava nos cá, não é que é...
[17:27:24 - 17:29:04]:  destá pessoas...
[17:29:04 - 17:30:44]:  encontrar...
[17:30:44 - 17:32:24]:  um...
[17:32:24 - 17:34:04]:  um...
[17:34:04 - 17:37:24]:  um determinado que o pessoas possam de ser testado...
[17:37:24 - 17:39:04]:  para nós sabermos efetivamente...
[17:39:04 - 17:45:44]:  que as pessoas são infectadas para saber realmente qual é que é a taxa de mentalidade...
[17:45:44 - 17:49:04]:  e fazer isso tudo ao mesmo tempo não é fácil...
[17:49:04 - 17:50:44]:  mas tem que ser feito...
[17:50:44 - 17:54:04]:  - O Ricardo Arosptoera...
[17:54:04 - 17:59:04]:  no que percebi, continua a ler coisas nesta rejeira...
[17:59:04 - 18:02:24]:  - O leio, coisas nesta rejeira...
[18:02:24 - 18:07:24]:  foi o que me chamou à atenção nesta estes tempos de pandemia...
[18:07:24 - 18:10:44]:  foi uma iniciativa da London Review of Books...
[18:10:44 - 18:14:04]:  hoje é outra review of books...
[18:14:04 - 18:19:04]:  eu vou recomendar todas as reviews of books do mundo...
[18:19:04 - 18:22:24]:  que se chama "Dive"
[18:22:24 - 18:27:24]:  - E são coisas que se podem lhe atar...
[18:27:24 - 18:30:44]:  que se não é preciso de casa...
[18:30:44 - 18:34:04]:  tão nos puníveis na internet e são gratuitas...
[18:34:04 - 18:39:04]:  chama "Divertive Traffic" é uma coisa que eles têm lá agora...
[18:39:04 - 18:42:24]:  e adonem...
[18:42:24 - 18:44:04]:  que eles dizem...
[18:44:04 - 18:49:04]:  a gente vai buscar diariamente um texto ao nosso arquivo...
[18:49:04 - 18:52:24]:  que não tenha rigorosamente nada...
[18:52:24 - 18:54:04]:  é unicritéria...
[18:54:04 - 18:57:24]:  que não tem nada a ver com pandemias...
[18:57:24 - 19:00:44]:  e o Gontan...
[19:00:44 - 19:04:04]:  era uma coisa da Mary Beard sobre o Asterix...
[19:04:04 - 19:07:24]:  - É que se não já falava de santa...
[19:07:24 - 19:09:04]:  - Sim...
[19:09:04 - 19:12:24]:  - E ela precisava de estar propósito...
[19:12:24 - 19:15:44]:  - O "Divertive"
[19:15:44 - 19:17:24]:  - O "Divertive"
[19:17:24 - 19:19:04]:  - O "Divertive"
[19:19:04 - 19:20:44]:  - O "Divertive"
[19:20:44 - 19:24:04]:  - Mas é muito engraçado...
[19:24:04 - 19:25:44]:  é a gente...
[19:25:44 - 19:29:04]:  - Mas eu sugui que ela teve mais graça a falar do...
[19:29:04 - 19:30:44]:  deles...
[19:30:44 - 19:32:24]:  todo o que eu...
[19:32:24 - 19:34:04]:  - Não, não...
[19:34:04 - 19:35:44]:  - De todo...
[19:35:44 - 19:37:24]:  - Não...
[19:37:24 - 19:40:44]:  - Nesse queda mais irudição...
[19:40:44 - 19:44:04]:  - Mas ainda assim...
[19:44:04 - 19:50:44]:  também é interessante ver a perspectiva da classista Mary Beard sobre...
[19:50:44 - 19:54:04]:  a razão que o local do Asterix...
[19:54:04 - 19:57:24]:  tem um appeal mundial...
[19:57:24 - 19:59:04]:  - O "Panetia" também...
[19:59:04 - 20:02:24]:  também tem uma sustão a fazer, né?
[20:02:24 - 20:05:44]:  - A sustão vai ser uma sustão...
[20:05:44 - 20:10:44]:  porque era para sugerir...
[20:10:44 - 20:12:24]:  mas...
[20:12:24 - 20:17:24]:  o Anúncio...
[20:17:24 - 20:20:44]:  ontem, porque é final o "Divertive" do "Dialan" de Saide...
[20:20:44 - 20:24:04]:  parece que uma editora chegou à frente...
[20:24:04 - 20:27:24]:  o "Divertive" vai dar a "Cade"...
[20:27:24 - 20:29:04]:  depois da "Chete" ter descistido...
[20:29:04 - 20:32:24]:  e o "Nur-time" se publica...
[20:32:24 - 20:37:24]:  um cherto do post-fácio do "Dialan"...
[20:37:24 - 20:42:24]:  que decidiu fazer um post-fácio à nova edição...
[20:42:24 - 20:47:24]:  em que dedica umas palavras simpáticas à "Chete"...
[20:47:24 - 20:52:24]:  que diz que ele garantiu que publicaria o livro...
[20:52:24 - 20:54:04]:  fosse qual fosse a Constituição...
[20:54:04 - 20:59:04]:  mas que depois descobriu que a curagem...
[20:59:04 - 21:02:24]:  não era verdadeiramente uma virtude...
[21:02:24 - 21:07:24]:  segundo o segundo é o "Dias" e portanto...
[21:07:24 - 21:10:44]:  eu me estive muito bem à arcaida...
[21:10:44 - 21:17:24]:  publicar o livro porque o "Dialan" é como todos nós...
[21:17:24 - 21:20:44]:  e no centro até prova-encontrario...
[21:20:44 - 21:24:04]:  não foi para o Provo de Coisa de Numa...
[21:24:04 - 21:27:24]:  tem uma vida interessante...
[21:27:24 - 21:29:04]:  escreve bem...
[21:29:04 - 21:30:44]:  publica o livro do Senhor que favore...
[21:30:44 - 21:32:24]:  já está publicado...
[21:32:24 - 21:34:04]:  é tão legal...
[21:34:04 - 21:35:44]:  é tão legal...
[21:35:44 - 21:37:24]:  é tão legal...
[21:37:24 - 21:39:04]:  mas é comum de como nós o conhecíamos...
[21:39:04 - 21:40:44]:  está acabado qualquer maneira...
[21:40:44 - 21:45:44]:  e portanto, todas aquelas temas que eram super-xpeteó...
[21:45:44 - 21:49:04]:  antes de ouvir que isso agora já não tem interesse...
[21:49:04 - 21:54:04]:  acabou... a discussão sobre o ambiente...
[21:54:04 - 21:57:24]:  acabou... a discussão sobre o mitú e a misognias...
[21:57:24 - 21:59:04]:  sobre o ambiente...
[21:59:04 - 22:02:24]:  não tem nada de ler de imprensa...
[22:02:24 - 22:04:04]:  é muito urgente...
[22:04:04 - 22:07:24]:  dizem que isto é prova de tudo quanto de água...
[22:07:24 - 22:09:04]:  de água... de água...
[22:09:04 - 22:10:44]:  mas também é prova...
[22:10:44 - 22:14:04]:  também é prova de que eu contarei...
[22:14:04 - 22:17:24]:  do que a grieta...
[22:17:24 - 22:19:04]:  dava para ir a dizer...
[22:19:04 - 22:20:44]:  eu acho que se calhar...
[22:20:44 - 22:25:44]:  o Senhor Mano não tem assim tanto controle...
[22:25:44 - 22:29:04]:  sobre aquilo que acontece na natureza...
[22:29:04 - 22:32:24]:  estou com esta sensação...
[22:32:24 - 22:35:44]:  mas a tua vida não se gostava de fazer...
[22:35:44 - 22:37:24]:  isto é...
[22:37:24 - 22:39:04]:  se isto é um castigo...
[22:39:04 - 22:40:44]:  o seu covido é...
[22:40:44 - 22:44:04]:  é covido é um castigo da natureza...
[22:44:04 - 22:45:44]:  pelo nosso estil de vida...
[22:45:44 - 22:50:44]:  eu não sei o que a natureza estava a pensar...
[22:50:44 - 22:54:04]:  quando mandou a peste negra...
[22:54:04 - 22:57:24]:  a bater sobre a população mundial...
[22:57:24 - 23:00:44]:  e dizim um quarto da...
[23:00:44 - 23:04:04]:  acho eu... como quarto da população...
[23:04:04 - 23:05:44]:  um quinto da população mundial...
[23:05:44 - 23:09:04]:  não sei se eu tinha muito carros a vise...
[23:09:04 - 23:10:44]:  ela naquela altura...
[23:10:44 - 23:12:24]:  já era o castigo da capitalismo...
[23:12:24 - 23:15:44]:  era o capitalismo já...
[23:15:44 - 23:17:24]:  ao mesmo...
[23:17:24 - 23:19:04]:  porque a guerra sobre a minha...
[23:19:04 - 23:20:44]:  ok...
[23:20:44 - 23:25:44]:  a minha sugestão é...
[23:25:44 - 23:29:04]:  cinéfila...
[23:29:04 - 23:32:24]:  a Madeia filmes...
