[00:00:00 - 00:11:32]:  Esta semana João Miguel Tavaros de Clara Sementico, Ricardo Borous para a Era Centro Fox,
[04:14:20 - 04:37:40]:  Estava listando internados e finalistas que foram anunciados a 15ª, mas gostava de saber se o Ricardo a aeroporto.
[04:37:40 - 04:49:20]:  Não era o participei. Não só não era o participei, como tive a oportunidade de manifestar indignadamente.
[04:49:20 - 05:02:40]:  No outro programa, não é menos conhecido que eu faço ao domingo. Indignadamente? Indignadamente só por uma razão que é. Eu de quatro em quatro anos participo numa cerimônia,
[05:02:40 - 05:17:40]:  que há em que eu me fecho num gabinetesinho e ponho uma cruz para eleger uns representantes, esperando que eles depois tomem decisões.
[05:17:40 - 05:29:20]:  Eles recebem a minha cruzinha e agora perguntam. Mas ainda assim queríamos consultar-te em relação a esta.
[05:29:20 - 05:54:20]:  Não, não são. É uma comissão técnica. É uma comissão técnica. Não me admiada pelas pessoas nas quais eu pus a cruzinha, que agora me devolvem, como é a decisão, a voz à to.
[05:54:20 - 06:09:20]:  E eu devolvo novamente. Isso faz lembrar aqueles momentos em que a pareça aba da noite, então, quer ir. Apenas iram a China.
[06:09:20 - 06:34:20]:  Eu já não há muito tempo, não há muito tempo. E, entretanto, são as de noite. E agora vai um papo ser com manteiga.
[06:34:20 - 06:54:20]:  E parece que... Se não isso para. Era um 17. Agora, a lista foi reduzida para novo, mas autôdex foram 300 e tal... Não, eu vi 700. Ah, 700.
[06:54:20 - 07:14:20]:  - Estou de 180. - Estou de 180. Mesmo sabendo que uma 750 são, façam isso no rapdo de costa. Imagina que não. Não, não.
[07:14:20 - 07:29:20]:  - Estou de 700. - É o ofensivo. É o ofensivo, a zona de brincadeira. Eu gosto muito de ofensivos. É essa tipo. Coisa da prima.
[07:29:20 - 07:57:40]:  - Exatamente. - Exatamente. O que é o porto? É o catrônio do humenho. Depois do primeiro retaio, desde 17 localização, ficaram novo, não é? Será que não podem dar ver repercagem?
[07:57:40 - 08:09:20]:  - É possível. - Normalmente. É possível. É... Estou de 100. E béja. Estou de 1.000. Estou de 1.000.
[08:09:20 - 08:21:00]:  - Mas são meios finales ou já é final? - Não, não. Eu acho que isto ainda é a fase de grupos. Acho que ainda estamos no fase de grupos.
[08:21:00 - 08:29:20]:  - Eu não sei ainda aliás. - Mas está às vezes no fase de grupos, porque a grupo vão várias localização.
[08:29:20 - 08:41:00]:  - É grupo, já é grupo, vão várias, mas eu não sei a teção. Eu estava a dizer que isto é aquela fase de grupos do mundial, depois é que vamos para as eliminatórias.
[08:41:00 - 09:09:20]:  Eu não sei se isto não são ainda as qualificações. Se conhecendo o nosso país, é possível que isto, que algumas dessas... Por exemplo, se irão ir rio-frio, ainda vai jogar com o listo de transitar em vez de se qualifica para o ir ao mundial.
[09:09:20 - 09:36:00]:  E os maiores que me encaram o espírito democrático no âmbito aeroportoário, com a mesma indignação do Ricardo Aúspreira, ou a sabemvinda participação popular nesta matéria?
[09:36:00 - 09:52:40]:  - É para esta primeira fase, vale tudo, é um bocado parva. - Estou a chamar a primeira fase. Uma fase que é a vgz e maquita fase.
[09:52:40 - 10:09:20]:  - Mas, agora temos uma cTI 50 anos. - Mas, agora temos uma CTI. E antes não, nós temos uma CTI. A CTI é o nome que as pessoas convém começar a infixar.
[10:09:20 - 10:26:00]:  - Então, o técnico independento vai dar muito falar. - E o Miguel, supostamente, tem que decidir até 31 de dizer, ou que dois estão. Não percas as esperanças. - E vão decidir, não vai haver uma CTI para dizer.
[10:26:00 - 10:34:20]:  - Agora, o tipo de alcatrão é que vai fazer a pista. - E assim, sou possível mesmo.
[10:34:20 - 10:54:20]:  - Mas eu concordo que eu também não quero decidir muita coisa. Agora, esta é a primeira fase, porque que eu estou a dizer que é uma carinha parva. Porque, de facto, a senhora da CTI é a chamada Rosário Partidágrima.
[10:54:20 - 11:06:00]:  - É um bom nome. - Tem um belo nome. - É independenta ao Partidágrima. - Tem um belo nome. Um belo apelido chamada Partidágrima.
[11:06:00 - 11:19:20]:  - E logo, se está bem imaginado. - Ela diz que foi em 780 e umas sustões das quais, ou, o ofensivas, de facto, foi um só 17. Eu também fiquei desiludido com o número.
[11:19:20 - 11:27:40]:  - Deilido que o povo português. - E o mundo que o povo perdou nasce. - Não, ouve, 177, 188.
[11:27:40 - 11:44:20]:  - Este é ridículo, este é país uns 2% ou 3%. - E, mas, depois, todas as séries, construções que estovaram a ser.
[11:44:20 - 12:01:00]:  - Tem 154, portanto, quase metada, sem informação nenhuma. - Pois é um homem. - E, na urre, ou na minha terra, nós parte temos uma quinta.
[12:01:00 - 12:16:00]:  - E, depois, de 170 repetições dos locais analis, portanto, o pessoal achou que é um pofoto já. - Ah, pofoto já. - Tá habituado, então.
[12:16:00 - 12:36:00]:  - Ah, gosto mais desta, gosto mais desta. - Portanto, eu se me estudo, isto dá de 171 e 41, portanto, passei de 171 e 81, só acho que eu ficou aguentando as coisas, e eu estivei a prestar alguma atenção.
[12:36:00 - 13:02:40]:  - E o que é que se lhe afastou das sobras localizações finalistas, ou se me finalistas ou, não sei, quatro filmas. - O mesmo que, para não repetir o Ricardo, posso repetir a famosa frase dos múlgos do Alqueve, constrou um porra.
[13:02:40 - 13:17:40]:  - Que isso é isso. É isso que todos os portugueses estão a espero. Eu acho que há muito pouco a gente com capacidade de patecidir qual é que é a menor localização.
[13:17:40 - 13:37:40]:  - É o que é que a companhia com garantização, o lobby técnica. - É que a companhia com muita atenção, o lobby de Santa Guerra, porque o lobby de Santa Guerra é muito fortíssimo. Não contendo, nunca ninguém tinha lembrado disso.
[13:37:40 - 13:47:40]:  - Mas que isso é um só novos sitios, mas não é verdade, por isso é o localização, só tipo meia dúzia.
[13:47:40 - 13:59:20]:  - E tem a defesão, realmente, quase todas as normais de insulto, ficando de Santa Guerra, que é um dos seus cavalos de batalha que não precisa construir uma nova ponte.
[13:59:20 - 14:11:00]:  - Parece que ele tinha deste aqui o processo de construção do famoso novo aeroporto levanta a voo, pedra-mexia.
[14:11:00 - 14:19:20]:  - Tem que ter as coisas muito importantes a dizer sobre isto, como se espera num assunto técnico.
[14:19:20 - 14:42:40]:  - É a primeira que tem que ter que ter que ter que ter que ter um passado e que estava que pelas vezes repiscados os dois localizações que permitem mais galhofe, que é a postiça, porque estava muito fácil das outras candidaturas dizer, não, essa é a postiça.
[14:42:40 - 14:51:00]:  - E tem que ser um sitio que nos deu tantas alegrias ao país que vai perceber o aeroporto.
[14:51:00 - 15:12:40]:  - E o segundo lugar, como leite todo poesia, não está mais para a besta, parece que foi escolhido um modelo de rabo e não o modelo de o alo.
[15:12:40 - 15:22:40]:  - E eu acho que não cali o rabo, mas liva do alo, o leva do alo, esse filho que está muito.
[15:22:40 - 15:32:40]:  - Entre seriam o último lugar, os critérios, eu percebi que se quiserá uma coisa subor ao porte, sabe que não.
[15:32:40 - 15:49:20]:  - Escritaio chão, infraestruturas, galovias e ferroviárias, área de expansão, capacidade, ruído, impacta, ambiental e distância de Lisboa.
[15:49:20 - 15:57:40]:  - Agora, é isto último, eu sou capaz de chegar com Google, claro, dificulta a importação do aeroporto.
[15:57:40 - 16:02:40]:  - O seu capaz de chegar lá, os outros não facilita.
[16:02:40 - 16:16:00]:  - Vamos ver com a questão de fluir, entregamos ao Ricardo Aros para a parte de ministro das 17 opções que agora passaram a 9.
[16:16:00 - 16:29:20]:  - Quanto o João Milhault-Avares quer ser desta vez ministro da urbanidade, da cortesia e da educação.
[16:29:20 - 16:39:20]:  - Parece-lhe bons valores ou o João Milhault-Avares considera os suborvalurizados.
[16:39:20 - 16:49:20]:  - Não, parecemos lentes valores. Na boca da algo estesantissiva, é que não parecem sempre sobrevalurizados.
[16:49:20 - 17:04:20]:  - O catálogo de boas maneiras foi anunciado pelo presidente da Assembleia da República, reagindo à pateada dos deputados do chega durante a sessão soleno
[17:04:20 - 17:09:20]:  - de recepção ao presidente do Brasil.
[17:09:20 - 17:34:20]:  - Os seus deputados que querem permanecer na sessão bolinária, têm de se portar com a urbanidade, a cortesia e a educação, que é exigida a qualquer representante do ponto de vista.
[17:34:20 - 17:49:20]:  - Algo estesantissiva exigir boas maneiras aos deputados do chega, parece que é pedir demais numa sessão soleno, João Milhault-Avares.
[17:49:20 - 18:09:20]:  - Não, não, não é pedir demais. Nada disso não é? Estas palavras, pegadas muitas vezes daquela boca e colocadas na boca da pessoa, eram muito certas.
[18:09:20 - 18:27:40]:  - Algumas destes palavras na boca de algo estesantissivo, com ainda algumas não para que serão aqui, com uma história do respeito pelas instituições, é que é particularmente engraçado.
[18:27:40 - 18:59:20]:  - E isto, para mim, é de ser sempre um ponto fundamental. E eu acho que é muito importante continuar a relembrar-lo. Até porque, para dar valor a quem acompanha a nosso programa, foi aqui chamada várias vezes a atenção para o problema que era a visita do Lolo da Silva no dia 25 de abril.
[18:59:20 - 19:19:20]:  - Ninguém de bom senso se coloca em causa que há algum problema em que o presidente do Brasil visite Portugal, venha ele e faz todo sentido que seja recebido da melhor maneira possível.
[19:19:20 - 19:42:40]:  - É questão que está na colagem de Lula da Silva no dia 25 de abril. Essa colagem é, em primeiro lugar, da responsabilidade de uma ser rebeldeçosa, como estou uma total de responsabilidade à que o Clula da Silva significa.
[19:42:40 - 19:59:20]:  - E depois, uma total falta de capacidade de devaliar também a situação em particular da Assembleia da República do Chega e da Quebrção os Objetivos do Chega.
[19:59:20 - 20:11:00]:  - Porque tem também encostame que... - Que fica a dizer que se devia ceder ao Chega nessa matéria isso?
[20:11:00 - 20:29:20]:  - É que o que se devia se ceder em primeiro lugar era, a sensatê-se devia se perceber que o tema da corrupção é um tema muito importante em Portugal.
[20:29:20 - 20:37:40]:  - Que Lula da Silva está totalmente misturado com José Sócrates.
[20:37:40 - 20:51:00]:  - Saber que José Sócrates neste momento quando se aproximam 10 anos do momento em que ele foi para isso, corre o risco nunca vira ser julgado, até os seus crimes.
[20:51:00 - 21:02:40]:  - Tega-se em sepulherado para saber que o presidente da Assembleia da República foi um dos braços de digaitos dos José Sócrates.
[21:02:40 - 21:26:00]:  - E, dentro de este contexto todo, colocar Lula da Silva no 25 de abril na Assembleia da República é a mesma coisa que a ter algo uma galinha, perdendo de um convíl de uma reposa e depois no final que achasse que ela vai-me lá de p'nada.
[21:26:00 - 21:32:40]:  - Portanto, se você ficava patiada e a circunstância...
[21:32:40 - 21:59:20]:  - A patiada não é justificada e, embora essas sejam as perguntas, storcivas que estão sem pensarem colocadas, nunca nada de especialmente bom, pode não clarecer a portuguesa, pode não clarecer a portuguesa, a acontecerar da área do chega.
[21:59:20 - 22:11:00]:  - O ventura não tem nada de bom, nem o chega nada, nada de bom, ou ofrecer a democracia portuguesa.
[22:11:00 - 22:31:00]:  - Pra quem entende que o PSD deve aliar só chega ou fazer uma alternativa com o chega, há alguma coisa de vida de bom?
[22:31:00 - 22:37:40]:  - Não, nada, se é alguma coisa de bom, a única coisa de bom é a uma alternativa de bom.
[22:37:40 - 22:47:40]:  - É a única alternativa de bom, mas como todos os salvos que estão a mensável, existem aquilo que são os malos menores.
[22:47:40 - 23:04:20]:  - Não há nenhum bom aqui, há malos, um mal que é a continuação perpetua, mais ou menos eterna do PS, não pode ir.
[23:04:20 - 23:14:20]:  - Sim, ou, quando que ando nico, perfeito? Não, até um sol explodir, não é?
[23:14:20 - 23:21:00]:  - Não é, até um sol explodir, vai até nós para ter um desabordado.
[23:21:00 - 23:24:20]:  - Vai ser tantos, porque vou ver que isso é um devolver.
[23:24:20 - 23:27:40]:  - Não, não, não, não, não, já não estáis não.
[23:27:40 - 23:31:00]:  - Por que já não estáis não?
[23:31:00 - 23:34:20]:  - Por que já não estáis não, porque diz-se perfeito?
[23:34:20 - 23:41:00]:  - É tanto mais para que petta, quanto mais o chegue que chegue, inclusive.
[23:41:00 - 23:51:00]:  - Mas eu acho que isso não vai acontecer, agora, esse é um dos malos em cima da mesa, ok?
[23:51:00 - 23:59:20]:  E esse é aquilo que eu assinal como o mal mais grave.
[23:59:20 - 24:12:40]:  É porque, para mim, irritam profundamente, olha a política portuguesa, e achar de um lado,
[24:12:40 - 24:22:40]:  tão os tipos que costem o chão, e do outro lado, aqueles que as condidas bater na avó.
[24:22:40 - 24:31:00]:  E como os tipos que bater na avó as condidas, têm muito boito que são a mesa,
[24:31:00 - 24:39:20]:  as pessoas acham que é mais gráfico o espirmo chão do que bater as condidas na avó.
[24:39:20 - 24:46:00]:  Algo disto sentiva era aquilo que andou as condidas a bater na avó.
[24:46:00 - 24:54:20]:  - O Rui Tavares, o Rui Tavares disse no início do soticurso, que foi um bom discurso, mas disse,
[24:54:20 - 25:12:40]:  a nossa democracia vive o maior risco desde a revolução, a mentira, a nossa democracia viveu o maior risco desde a revolução entre 2005 e 2011,
[25:12:40 - 25:27:40]:  que já só cratis com a complicidade do PS, ter toda uma conta da banca da comunicação social, das grandes empresas,
[25:27:40 - 25:37:40]:  e estende da justiça, como aliás, viu, estendia os seus tentáculos para todo lado.
[25:37:40 - 25:49:20]:  Esse foi o grande período mais grave da nossa democracia, que nos continuamos a fingir que não existiu,
[25:49:20 - 25:59:20]:  e é porque achamos que fingiu que não existiu, que para nós, o que está acontecendo com sóclicas, parece que não seja especialmente grave,
[25:59:20 - 26:07:40]:  que se sentiu, vai ser já o presidente da Assembleia da República, não é especialmente grave, que o presidente vai parar,
[26:07:40 - 26:16:00]:  que se é que viste por presidente do paralelo da mentira, não é especialmente grave, o que é mesmo grave,
[26:16:00 - 26:26:00]:  é este senhor que dizem em gritar que passa em bolha da República, mas mais uma vez, o chega é o sintoma,
[26:26:00 - 26:39:20]:  não é doença, a doença é ter ela postulada, se va no 25 de abril, e depois, o vagam com óbvio, sim, toma que dá jeito toda a gente,
[26:39:20 - 26:47:40]:  dá jeito ao aventura, faz a sua agritaria habitual, e dá jeito ao PS, que pode dizer "aivém e o fascismo",
[26:47:40 - 26:52:40]:  e nós somos os únicos que nos podemos salvar o país dele.
[26:52:40 - 27:01:00]:  Que notas, tomou a respeito do comportamento do chega e da reação do presidente da Assembleia da República,
[27:01:00 - 27:06:00]:  durante a Assembleia da República, se só um do que nos sentiu, vai darmos cheia.
[27:06:00 - 27:17:40]:  Bem, começando talvez um bocadinha antes disso, o presidente do Brasil, o Iroh, o Paralhamento Português, acho muito bem,
[27:17:40 - 27:34:20]:  o presidente do presidente do presidente do Iroh, ou a Sremano, o 25 abril, não, vamos bem, porque os deputados do chega,
[27:34:20 - 27:46:00]:  neste caso do chega, tenham se portada aquela maneira, acho mal, e atenção, o esse programa tem 15 anos,
[27:46:00 - 27:59:20]:  achei sempre mal, não foi como virgens da última semana, incluindo partidos os erros e vizeres,
[27:59:20 - 28:07:40]:  ele vai a cartazes, guardas ao pescoço, patiadas, e que agora acham esta mal.
[28:07:40 - 28:19:20]:  - Patiadas, não me lembro. - Não, não, na estúria álbum, o Paralhamento de São Paulo, e a Sremano da República,
[28:19:20 - 28:26:00]:  - Não, não, na Sremano da República, não, na Sremano da República, é, e esta é uma... - É uma sere... - É uma sere de partidos, na Europa,
[28:26:00 - 28:37:40]:  - O que se passa nos parlamentos franceses, no parlamento de Spanola, sobretudo, a Sremano da Estrada, a Sremano da República,
[28:37:40 - 28:47:40]:  que acham que está normal, eu acho que isto não é normal, e o presidente da República, que esteve bem,
[28:47:40 - 29:01:00]:  em ademunçar os deputados do chega, que não é um comportamento parlamentar, e eu acho isto sempre não há nenhum circunstanço que eu diz,
[29:01:00 - 29:21:00]:  mas eu concordo com isto, acho mal, agora, depois há outras questões que é instrumentalização e veritamente que o PS tem feito da questão do cheio,
[29:21:00 - 29:34:20]:  - Ele está muito cheio, porque é o baloar do antifascismo, agora, e portanto, se não, é o anoso antifascismo,
[29:34:20 - 29:51:00]:  mas eu também não percebi isto, como se diz, o gente ou este oatabaltismo dos jovem e galetabar, ou seja, se quer dizer,
[29:51:00 - 29:59:20]:  então eu vou falar do chega, mas ninguém fala do presidente da República, são duas coisas diferentes.
[29:59:20 - 30:06:00]:  Não, porque estou falando o encido de sintoma, uma doença e um sintoma, não é nenhum altabaltismo.
[30:06:00 - 30:16:00]:  Não, estás a comparar e a dizer, há aqui uma coisa muito mais grave do que esta que estamos a falar,
[30:16:00 - 30:27:40]:  agora, em impedimento da gravidade ou outra, eu concordo, não totalmente, mas, perciamento com o que tu disse, não sou tão terminante,
[30:27:40 - 30:36:00]:  porque tu sabes mais coisas que do que eu sei, certamente, e do que, de novo, de portugueses, que sou de socret,
[30:36:00 - 30:46:00]:  - Sim, certamente, sabe tudo, mas tu sabe tudo, mas tu sabe tudo, não há coisas que tu disse, que não sei,
[30:46:00 - 30:52:40]:  - Estou pode sempre fingir, não há coisas que tu disse, que eu não sei, que eu não sei, que eu não sei como é,
[30:52:40 - 30:59:20]:  - Sou de socret? - Não, e sim, com certeza, isso com certeza, isso com certeza.
[30:59:20 - 31:11:00]:  - Então, agora, é... - Forçou o importante, o comportamento é o anão e rave, é o anão importante...
[31:11:00 - 31:14:20]:  - Se você tem isso aqui, mas não vou ver o meu anão, não vou ver o meu anão.
[31:14:20 - 31:27:40]:  - É o anão importante neste momento, político, e não venho dizer que tu só pensar no chega, tu vou pensar em todas as forças,
[31:27:40 - 31:44:20]:  a esquerda é a direita que faz ainda política uma palhaçada permanente, seja o senhor Melanchon, seja o Vox, seja quem for.
[31:44:20 - 31:56:00]:  - O importante, eu acho que isso é sempre... - Peretivo, agora, que depois daí se parta para um aproveitamento ieletural do PS,
[31:56:00 - 32:04:20]:  um engrandecimento da figura do presente à assemble da República para seus fins e eleituar as futuras, etc.
[32:04:20 - 32:11:00]:  - Isso acho muito lamentável. - Deixa-me só dizer uma coisa, a minha questão que às vezes é só de indignom,
[32:11:00 - 32:17:40]:  - ou seja, vamos fazer um teste de indignom, tu que que tem indignam mais?
[32:17:40 - 32:32:40]:  - Espatiadas do chega na assemble da República, convite ao Lula no 25 de abrigão. Estas diferenças sensibilidade que são muito assim na Lávara,
[32:32:40 - 32:47:40]:  eu eito facto conhecido com o chega, é que para mim indignam muito mais a presença do Lula no 25 de abrigão, do que aquela presa-meia?
[32:47:40 - 32:54:20]:  - E a minha parte, não se capa, mas o avanismo todos aqui, é sem essa parilhóra.
[32:54:20 - 33:01:00]:  - Eu não tenho mais a grita aqui do chega, mas eu acho que o problema é sempre a val.
[33:01:00 - 33:11:00]:  - Eu mesmo sei que é o indignom, o admítio que se possa ser contra as duas coisas.
[33:11:00 - 33:19:20]:  - Claro, eu sou contra as duas coisas. - Claro, pode ser contra as duas coisas, mas há um responsável de Lula da Silva,
[33:19:20 - 33:27:40]:  - o experimento que tu disse sobre ele e que eu concordo, é o presidente e lei pelos brasileiros.
[33:27:40 - 33:32:40]:  - É isso que isso, é um presidente estulado. - O presidente ficava...
[33:32:40 - 33:39:20]:  - Se nós fossemos de jantar com ele, gostávamos de jantar com Lula da Silva.
[33:39:20 - 33:42:40]:  - É um bom nome. - É um bom nome.
[33:42:40 - 33:56:00]:  - Se nós agresolviar, Ricardo Raúsperer aqui feito tratido a ruassa do chega na percepção do CIDA da Uncomunça.
[33:56:00 - 34:06:00]:  - E está, Carlos, isso é uma boa pergunta. Eu acho que a resposta é que não agreda, sim, é um problema.
[34:06:00 - 34:17:40]:  Eu acho que a resposta é não não consigo, mas seria um processo... - Mas seria um processo...
[34:17:40 - 34:22:40]:  - Com certeza, com alguma aula. - Não só ter renação a balhaçar.
[34:22:40 - 34:27:40]:  - Até porque nós vivemos numa bolha da Zilite, eu não conhecemos do CIDA da Uncomunça.
[34:27:40 - 34:34:20]:  - Pra fazer de chega agora. - Não, não é país de querer.
[34:34:20 - 34:42:40]:  - Que alguma verdade essa avaliação tem muita vida.
[34:42:40 - 34:57:40]:  - Tem uma avaliação de sorretas. - Eu tenho muitas vezes a sensação de que estas palhaçadas do chega, os cartazos, pompons,
[34:57:40 - 35:02:40]:  - aquilo levar uma espécie de... - Com que pimpons?
[35:02:40 - 35:12:40]:  - Não, aquilo que ela é a postura da chega líder levada para o Parlamento.
[35:12:40 - 35:21:00]:  - A minha sensação sempre é aquilo na verdade. - Na chega líder.
[35:21:00 - 35:24:20]:  - Na chega líder são... - Sim.
[35:24:20 - 35:29:20]:  - São fofinhas. - É de uma clac de fopol.
[35:29:20 - 35:41:00]:  - Uma clac de aqueles... Não dos três grandes que são todas ótimas, assim, corbatas.
[35:41:00 - 35:47:40]:  - Mas é do vitória de Guimarães também. - Também é muito verdade.
[35:47:40 - 35:51:00]:  - Então, dá a reação para o violência natural.
[35:51:00 - 35:57:40]:  - Mas o ligue neste país estrangeiros e que eles possam enviar imens.
[35:57:40 - 36:06:00]:  - Tem clúmios do Brexit, no Brexit, mas não, do mais de selado do West Ham.
[36:06:00 - 36:11:00]:  - O mais forte com isso. - Sim, eu percebi não ainda em que a gente não se conhece.
[36:11:00 - 36:17:40]:  - Mas reparem, o meu problema é o seguinte, eu acho que estas palhaçadas,
[36:17:40 - 36:22:40]:  estas palhaçadas, e...
[36:22:40 - 36:26:00]:  Tem a impressão que primeiros são cansativos.
[36:26:00 - 36:31:00]:  Acho que, para além de um pequeno nucleo fanático,
[36:31:00 - 36:36:00]:  que se calhar se tem algo... Encontrar algum comprasimento naquilo,
[36:36:00 - 36:41:00]:  eles mostraram o visto que os cartazos estavam lá, os cartazos,
[36:41:00 - 36:49:20]:  não sei se o público em geral não fica... Tê vechado com aquela fantoxada,
[36:49:20 - 36:56:00]:  com aquela palhaçada, e o primeiro impulso é dizer...
[36:56:00 - 36:57:40]:  "Esta é uma palhaçada".
[36:57:40 - 37:06:00]:  Ou seja, isso acho que é uma coisa maravilhosa que aquilo volta-se contra quem faz.
[37:06:00 - 37:11:00]:  - Quem faz, é o seu. - Aqueles petáculos, ridícula, plão, como diz o outro.
[37:11:00 - 37:14:20]:  - Exato, aqui em volto. - A que não vou voltar.
[37:14:20 - 37:19:20]:  - A que não vou voltar? - Voltas contra eles. Quando é que deixa de se voltar contra eles?
[37:19:20 - 37:26:00]:  Temo eu. Quando o presidente da Assembleia república diz, "Omning, isto não se faz".
[37:26:00 - 37:34:20]:  - Eu tenho que ir deste soltar contra eles. - Mas qual era o nosso salar?
[37:34:20 - 37:41:00]:  - Estou de uma boa pergunta. - Esse que ela faz...
[37:41:00 - 37:46:00]:  - O dignitario estrangeiro. - Com certeza.
[37:46:00 - 37:49:20]:  Eu faço uma pergunta anterior qual era alternativa?
[37:49:20 - 37:52:40]:  O que é que isto produziu?
[37:52:40 - 37:59:20]:  Eles baixaram os cartazos, portaram-se bem a partir daí e deixaram-te patiar.
[37:59:20 - 38:04:20]:  Percebem, meu problema é este. - Que é o seguinte?
[38:04:20 - 38:11:00]:  - Que que produz a criminalização de atividades ilícitas por as pessoas na cadeia.
[38:11:00 - 38:19:20]:  - Mas as pessoas continuam a portar-se. - Não, isso conto as erdezas, mas em princípio desencoragem.
[38:19:20 - 38:24:20]:  - Porque, tu sabes que se praticasse uma atividade lícita, vai para a cadeia.
[38:24:20 - 38:29:20]:  - Desencoragem, princípio, dá pera de morte e não desencoragem muito.
[38:29:20 - 38:37:40]:  - É pra! - Eu, sinceramente, sinceramente, acho que há menos pessoas.
[38:37:40 - 38:42:40]:  - Estou a nossa abençoe. - Não, eu acho que não.
[38:42:40 - 38:47:40]:  - Estou a mostrar por isso. - Eu facto lembrarem a matar-se.
[38:47:40 - 38:52:40]:  - É que lembrem na América, porque a pena de morte é muito baixinha.
[38:52:40 - 39:02:40]:  - Agora, imagina o que seria, não estou dizer que é a pena de morte é excelente.
[39:02:40 - 39:07:40]:  - Se não houve, é uma lei criminal, que punisse os crimes, mas a minha questão é-se.
[39:07:40 - 39:16:00]:  - Quando ele, quando o presidente acenbleia da República, avança com o argumento das boas maneiras.
[39:16:00 - 39:22:40]:  - Da boa educação. Eu tenho reservas relativamente.
[39:22:40 - 39:29:20]:  - E depois disso, boa educação. - Então reservas quanto a boa educação.
[39:29:20 - 39:36:00]:  - Estou na política, tem reservas. Ou seja, onde é que a gente traça o limite?
[39:36:00 - 39:49:20]:  - Entrar com tichertes, como já aconteceu. Ou até, quer dizer, tirar o sapato e bater com o tacão na assembleia geral da ONU.
[39:49:20 - 39:56:00]:  - Há uma série de coisas que são mal educadas. Foi o... - Como é que eles cr same?
[39:56:00 - 40:02:40]:  - Sí, cr same. Há uma série de coisas que são mal educadas.
[40:02:40 - 40:09:20]:  Eu periferia se vocês me perguntarem. - Você periferia-se que nasce a minha questão é-se.
[40:09:20 - 40:12:40]:  - Algumas limitações. - É minha questão é-se.
[40:12:40 - 40:19:20]:  - Entramos de civilidade, meus passos públicos. - Ainda mais de uma cor espada nacional.
[40:19:20 - 40:22:40]:  - A cor espada nacional. - A cor espada é a uma questão é-se.
[40:22:40 - 40:29:20]:  - Não é essa? - Vou responder essa questão. Eu periferia, não periferia certo.
[40:29:20 - 40:36:00]:  É tão musico quando... E até gente relativamente sensata. Ou mesmo sensata.
[40:36:00 - 40:46:00]:  Por exemplo, lembram-se quando o Zé Eduardo Martins recomendou ao Fonz-Candal que se dirigisse uma determinada morada.
[40:46:00 - 40:49:20]:  - É a outra coisa. - Não, eu sei que é outra coisa.
[40:49:20 - 40:54:20]:  Mas foi ou não foi, põe-se em direto se postar muito popular que ele mandou.
[40:54:20 - 40:59:20]:  Não me dá a assembleia da República. Não é... - É isso.
