[00:00:00 - 00:09:52]:  Esta semana, Ricardo Arouspreira confessa-se apto. João Miguel Pavarge de Clara's
[16:53:08 - 16:59:48]:  Então, porque isto é só, crédito, foi corrompido por caras de antílva.
[16:59:48 - 17:09:48]:  O problema é, todos nós que já ouvimos aquelas cultas, todos nós que já,
[17:09:48 - 17:23:08]:  galho famos abundantemente em relação à aquelas cultas, aliás, com o momento inovidável ali por Ricardo Gosperega,
[17:23:08 - 17:31:28]:  que também interpretou a famosa pagódia da Casa de Paris.
[17:31:28 - 17:43:08]:  Algo não está convencido que caras de Santíva é o corruptor, o corruptor de Zé Socrates.
[17:43:08 - 17:54:48]:  Portanto, no meio de estudo, foi, foi, foi, foi, já só que o descarrompido por, porquê, dos caras de piores corruptores,
[17:54:48 - 17:58:08]:  porquê não é o corruptor.
[17:58:08 - 18:03:08]:  Exige, por que pagou, não é? Contra partida.
[18:03:08 - 18:11:28]:  Exige, este é um corruptor de Santíva. Olha, achas bem, pode ser, achas que sim, não sei.
[18:11:28 - 18:23:08]:  O corruptor é aquela pessoa que nós perguntamos qual é que é o melhor chão para a nossa casa, e se você está contente com o frigorífico,
[18:23:08 - 18:33:08]:  é isso, o corruptor típico, mas é isso que, e rosas está a surgir.
[18:33:08 - 18:39:48]:  E na verdade, que todos nós até ficamos contentes no sentido, hein?
[18:39:48 - 18:51:28]:  Temos bastante certeza, acho que já só, quer dizer, e feita em vermelho de corruptor, então diga, bom, olha, arranja em uma qualquer,
[18:51:28 - 19:01:28]:  mas a corruptor não é que é feroza, até se para, para, para, para, para, para, para o cima da mesa, tem isso pequeno problema que é, não faz sentido.
[19:01:28 - 19:14:48]:  Isso é mais estranho, então, é mais estranho, é mais estranho, porquê, depois, quando fala, se, se replamos, como, pela uma das vezes,
[19:14:48 - 19:26:28]:  como, você, pela uma das vezes, no direito, ao senso comum, que é, depois, e veroza vai valorizar, segundo o senso comum, por exemplo, o linguagem encódico,
[19:26:28 - 19:39:48]:  que todos nós já ouvimos, e começamos a ver falar, dos documentos e das fotocópias, e, por isso, eu não sei, claramente, o linguagem encódico, e, porquê, porquê,
[19:39:48 - 19:56:28]:  coisas que são valoráveis, e, valorizadas, porquê, o segundo senso comum, nos casos, aparentemente, não são, no outro, isso, criar lima de sonância, um pouco estranha.
[19:56:28 - 20:18:08]:  Entregamos ao Ricardo Arous para a pasta de ministro das garantias, quanta opedermoscia quer desta vez, ser, ministro de juízo natural, acompanha as suspeitas de ivorosa, de que houve,
[20:18:08 - 20:26:50]:  vice ação da escolha dos juízes Carlos Olshando na fase de instrução.
[20:26:50 - 20:29:14]:  - Não é? - Na fase de inquérito?
[20:29:14 - 20:34:02]:  Não, não, não. Não sei se sou a juízes.
[20:34:02 - 20:39:38]:  A minha linha de argumentação é, esta tem a ver com...
[20:39:38 - 20:49:08]:  Arfim é o princípio dos juízes natural, tem a ver com a competência dos juízes,
[20:49:08 - 20:56:30]:  e para não uma escolha arbitrária de uns juízes, mas é por que aqui?
[20:56:30 - 21:05:16]:  E existe o... Neste caso, tem a ver por causa da vera de o sistema do ticão,itchão...
[21:05:16 - 21:16:40]:  Estar entre dois juízes e dois juízes que têm uma concessão completamente diferente,
[21:16:40 - 21:33:12]:  um aparentemente muito adepto das acusações do Ministério Público, outro muito hostil e muito mais...
[21:33:12 - 21:39:54]:  e muito mais do agrado das defesas dos arbíduos.
[21:39:54 - 21:47:52]:  O que isso significa que nós agora tendo que escolher entrar a IBE, escolher isto é,
[21:47:52 - 21:57:28]:  tendo que ver os processos distribuídos a IBE, o que pensamos todos é que se for para este juízes
[21:57:28 - 22:00:12]:  é natural que ele decide assim.
[22:00:12 - 22:04:08]:  O que é um princípio dos juízes natural, mas...
[22:04:08 - 22:05:48]:  Não é um juíze...
[22:05:48 - 22:12:56]:  Mas é um juíze... Não é isso que quer dizer o princípio dos juízes natural.
[22:12:56 - 22:18:16]:  O que é isso? Quando isso é só, que manifesta,
[22:18:16 - 22:32:56]:  o agrado pela escolha de "vorosa", o que ele quer dizer é que sabe que "vorosa" tem aquela inclinação,
[22:32:56 - 22:41:12]:  em termos decisões e que portanto espera que essa decisão também o veia beneficiar.
[22:41:12 - 22:42:52]:  E de facto hoje...
[22:42:52 - 22:51:32]:  Ele poderá dizer, não sei se será o caso, mas ele poderá dizer que é por exclusão de partes,
[22:51:32 - 23:03:36]:  porque acho que o outro juíze tem uma inclinação num sentido contrário, com o viés e f, desfavorável.
[23:03:36 - 23:12:12]:  Mas quer dizer, ambos têm inclinações, não só ambos têm inclinações como,
[23:12:12 - 23:27:56]:  temos visto essa sequência de um usanular a estesisões de outros e de outros cheerem enlato por decisões superior de uma meta-relação.
[23:27:56 - 23:29:36]:  É mais anulado do que outro.
[23:29:36 - 23:32:04]:  Pronto, claro, não, mas estou a dizer.
[23:32:04 - 23:34:56]:  São mais anulados do que outro.
[23:34:56 - 23:40:48]:  Eu não estou a fazer a competição das anulações, estou só a dizer...
[23:40:48 - 23:54:36]:  Não, mas estou só a dizer que nós sabemos que há duas pessoas e ambas as pessoas têm uma tendência muito pronunciada quanto a esse.
[23:54:36 - 24:02:32]:  Isso é extraordinariamente negativo, não tem ver com este caso, não tem ver com as as sóculos.
[24:02:32 - 24:06:32]:  É a ideia de que se foi para...
[24:06:32 - 24:16:24]:  Aliás, como a gente às vezes vê nos filmes de policia, tribunais, americanos, que é...
[24:16:24 - 24:22:32]:  Se foi para aqueles juízes, você é combinado ou você ir absolvido.
[24:22:32 - 24:26:36]:  E cê pece muito, muito mal.
[24:26:36 - 24:35:00]:  E, por exemplo, esta conclusão que até pode ser injusta, neste caso concreto, a nutra-caza é mistrato,
[24:35:00 - 24:39:24]:  criou o sentimento de que já sei que foi para ele.
[24:39:24 - 24:58:20]:  E, a suspeita de visição vendada por ivorosa quando tu as escolhas sem surteio de Carlos Olshandre no processo de investigação.
[24:58:20 - 25:06:48]:  Já que eu estava a valorar provas todas as indícios, melhor dizendo, acho que ele...
[25:06:48 - 25:11:40]:  Se há visição, que se comprouva essa visição, não fazia nada.
[25:11:40 - 25:13:20]:  É, não mandou investigar.
[25:13:20 - 25:15:32]:  Não tem exatamente isso.
[25:15:32 - 25:21:16]:  Não tem nenhuma, ou se foi levantado na altura, não fazia nada.
[25:21:16 - 25:22:40]:  Não fazia nada, isso foi isso.
[25:22:40 - 25:25:00]:  Eu pode ter fundamenta, estou a gastar ganha.
[25:25:00 - 25:30:32]:  Pode ter fundamento, não sei que não tem injustamente.
[25:30:32 - 25:38:52]:  Quero para ser surteio, o máquina estava variada, não é surteio, mas a final a máquina não estava variada.
[25:38:52 - 25:42:36]:  E, portanto, deve se investigar com a surteio.
[25:42:36 - 25:52:08]:  Como é que entende esta visão de diametralmente a aposta entre os dois juízes,
[25:52:08 - 25:54:36]:  de investigação e de instrução?
[25:54:36 - 25:58:32]:  Ve que é um despique do ar da emissual dos homicártavares?
[25:58:32 - 26:02:40]:  Entre os juízes um e os juízes dois, foi assim que ele...
[26:02:40 - 26:06:52]:  Para usar a expressão de ivorosa.
[26:06:52 - 26:09:08]:  Eu acho que é evidentemente...
[26:09:08 - 26:11:28]:  Olha, que era um e qual é que era os dois?
[26:11:28 - 26:17:16]:  Um é caro, se ela achando foi o que chegou para o Marguio, o dois é ivorosa.
[26:17:16 - 26:33:24]:  Sim, eu acho que é evidente que os senhores, digamos, que não usem imagino a comer uma sante de atún,
[26:33:24 - 26:43:24]:  juntos na cantina que eu não faço de dia que existe, mas imagino que sim do ticão.
[26:43:24 - 26:51:52]:  E portanto, eu acho que é um distanciamento muito grande entre os dois.
[26:51:52 - 27:00:44]:  Nós, nós tendemos, às vezes, esquecemos que um juízes de instrução, na verdade, só está ali
[27:00:44 - 27:09:00]:  para saber se determinados atos que são praticados pelo ministério público, são anunçados
[27:09:00 - 27:10:40]:  de lugares.
[27:10:40 - 27:16:52]:  Quem contou a la investigação é o ministério público, que nós muitas vezes...
[27:16:52 - 27:30:52]:  Para, por que percebi, não sou jurista, também para escrutinar-se aquilo que é ligado como prova,
[27:30:52 - 27:45:24]:  é associatemente sólido para depois ter uma probabilidade alta de tribunal nos julgamentos
[27:45:24 - 27:47:04]:  ser aceitos.
[27:47:04 - 27:57:24]:  Mas a imagem que se criou, como estava a dizer, o pedra-mexia, é do lado, parece que é o juízes
[27:57:24 - 28:07:04]:  de deixado por acar em tá tudo bem, e do lado, do lado, é o juízes se estivamento rigoroso.
[28:07:04 - 28:08:44]:  Não, eu falei de lexado.
[28:08:44 - 28:17:56]:  Não, certo, mas eu estou a dizer que essa opinião, que muitas vezes anda por aí na nuvem,
[28:17:56 - 28:25:16]:  sobretudo, porque eu acho que existe um grande pesadado, focacia no comento aguado, e, portanto,
[28:25:16 - 28:31:56]:  a adficacia naturalmente, porque essa a superfície é sempre mais do lado da defesa, do
[28:31:56 - 28:37:48]:  o documento do lado do Ministério Público, e acho que isso nota muito.
[28:37:48 - 28:44:44]:  Mas a verdade é que esse senhor rigoroso, que é o senhor livrosa, perde muito mais vezes
[28:44:44 - 28:49:12]:  na relação do que os julgiscados alachando.
[28:49:12 - 29:01:28]:  E, sobretudo, quando nós olhamos para a argumentação que livrosa utilizou, a argumentação
[29:01:28 - 29:03:36]:  às vezes é muita sustadora.
[29:03:36 - 29:12:40]:  Eu, as questões formalistas, alganhado de batelas, eu não me sinto como tendo para saber se
[29:12:40 - 29:17:48]:  os casos já para escrever ou não para escreveram.
[29:17:48 - 29:24:28]:  Mas, e, verrosa de facto, é dificuldade, depois de dizer que está aqui um problema formal,
[29:24:28 - 29:31:04]:  este já para escrever ou já nesse que é crime, mas depois de dizer mais ainda assim, vamos
[29:31:04 - 29:32:44]:  cá a fundamentar isto.
[29:32:44 - 29:43:56]:  E, quando vieram as fundamentações, que é, na verdade, uma análise, em boa parte até
[29:43:56 - 29:54:56]:  de como funciona o fenômeno político, a questão de como funcionam as ligações económicas,
[29:54:56 - 30:02:24]:  as ligações políticas, essas explicações que verrosa de eu, pague a devaluizar para
[30:02:24 - 30:09:00]:  o vindireta, são muitas vezes explicações muito pobres.
[30:09:00 - 30:16:16]:  A argumentar que este senhor Gliagro do Drey é, mas é chefe de gabinete mario lino e não
[30:16:16 - 30:22:32]:  é chefe de gabinete de já Sócrates, então como é que já Sócrates tinha influência, como é
[30:22:32 - 30:29:48]:  que ele mandava a ir a ser estesisões, foram preferidas, com toda a administração, como
[30:29:48 - 30:38:32]:  é que ele tinha poder de repente para empolgar sua opinião e como estas muitas outras
[30:38:32 - 30:40:32]:  exemplos de...
[30:40:32 - 30:50:04]:  Então, mas nunca mais ouvo uma semera entre Lula da Silva e já Sócrates como os
[30:50:04 - 30:50:08]:  negócios só podessem ser te dizer em cima da
[30:50:08 - 31:03:56]:  Margar, a maneira constante como ivorosa, estava devaluizar essa prova, é uma coisa que me preocupa,
[31:03:56 - 31:10:12]:  ou valga, em que eu até pese, que foi que não sei se foi uma não, só acho que deu um exemplo
[31:10:12 - 31:18:48]:  muito esclarecido do que ele quer, a prova indireta ele dizia, "bás, se nós não
[31:18:48 - 31:28:20]:  um dia, quando aculhidamos pela manhã, vamos à rua, e vemos tudo mulhado, então nós se
[31:28:20 - 31:36:40]:  querákon com o ímps, que chuveu nessa noite, a ideia que dá é que ivorosa coloca aquele
[31:36:40 - 31:45:32]:  pote, senão podem ter vinda aqui 10 mil caminhon xisternas dos bombeiros, e andar a as pergir
[31:45:32 - 31:51:28]:  tudo, e quando a gente diz, mas os criatos também tão melhotos, não, mas eles têm umas
[31:51:28 - 31:58:28]:  cadas, e também se querá se tanto adivar com paláas mangueiras, e é verdade se se calhará
[31:58:28 - 32:08:36]:  uma hipótese em um bilhão, de que realmente tenham sido 10 mil caminhon xisternas de bombeiros,
[32:08:36 - 32:13:24]:  mas isso assim é difícil fazer justiça.
[32:13:24 - 32:39:04]:  E a gente não tem mais que ter vindo a ver com a gente, mas a gente não tem mais que ter vindo,
[32:39:04 - 33:18:52]:  e a gente não tem mais que ter vindo a ver com a gente, e a gente não tem mais que ter
[33:18:52 - 33:35:24]:  vindo a ver com a gente, e a gente não tem mais que ter vindo a ver com a gente, e a gente
[33:35:24 - 33:48:48]:  não tem mais que ter vindo a ver com a gente, e a gente não tem mais que ter vindo a ver com a
[33:48:48 - 34:01:00]:  gente, e a gente não tem mais que ter vindo a ver com a gente, e a gente não tem mais que
[34:01:00 - 34:17:32]:  ter vindo a ver com a gente, e a gente não tem mais que ter vindo a ver com a gente, e a gente
[34:17:32 - 34:31:32]:  não tem mais que ter vindo a ver com a gente, e a gente não tem mais que ter vindo a ver com a gente,
[34:31:32 - 34:43:32]:  e a gente não tem mais que ter vindo a ver com a gente, e a gente não tem mais que ter vindo
[34:43:32 - 34:52:18]:  - Eu afraso狼cia Aconso é això a sentir de outgoing, mas não sekanem a paе, Analysis.
[34:52:18 - 34:53:58]:  Não posso explorar agora.
[34:53:58 - 34:55:38]:  Tomato.
