[00:00:00 - 00:30:48]:  [Música]
[11:27:38 - 11:35:58]:  -Já incorporou no seu lexico Pedro Machiava a palavra "stakeflação"?
[11:35:58 - 11:47:38]:  -Nos infinitamente já estamos habituados a estegnação, nos últimos tempos,
[11:47:38 - 11:54:18]:  -comissões a falar de inflação, que era uma palavra que estava errada...
[11:54:18 - 11:57:38]:  -Que idendo Zeus.
[11:57:38 - 11:59:18]:  -Que idendo Zeus.
[11:59:18 - 12:07:38]:  -E agora estakeflação, e eu tenho medo de ligar a televisão e ser apretivo e branco.
[12:07:38 - 12:12:38]:  -Estar radar o senhor feliz e o senhor contento, porque estamos de repente,
[12:12:38 - 12:20:58]:  -Estou a voltar a um tempo, porque não me lembro, porque era muito criança.
[12:20:58 - 12:25:58]:  -A estakeflação é a conjugação de um cenário em que os preços sovem,
[12:25:58 - 12:30:58]:  -E o crescimento económico fica estagnado.
[12:30:58 - 12:40:58]:  -E uma ameaça aliás, que o antigo vice-presidente do Banco Central Europeu,
[12:40:58 - 12:45:58]:  -Vitou a Constância, eu disse que para já é uma possibilidade remota,
[12:45:58 - 12:52:38]:  -Mas há cada vez mais economistas a falar em a estakeflação.
[12:52:38 - 12:57:38]:  -Mas, estando no nosso a falo de consequências do que está a passar
[12:57:38 - 13:04:18]:  -E há consequências inovitáveis e consequências inovitáveis,
[13:04:18 - 13:14:18]:  -Também é bom lembrar duas coisas, já falamos isto, em programas entre hoje.
[13:14:18 - 13:19:18]:  -Pro um lado, embora as pessoas tivessem programadas,
[13:19:18 - 13:25:58]:  -Pro que não mais houver a se guerra, não era provável que não mais houver a se guerra
[13:25:58 - 13:30:58]:  -E quando a guerra as pessoas sofrem todo o lado.
[13:30:58 - 13:37:38]:  -E mais importante que isso, ou tão importante quanto isso, é que tendo Portugal,
[13:37:38 - 13:45:58]:  -Com outros países tomado medidas de resposta à invasão,
[13:45:58 - 13:54:18]:  -E essas medidas não são exatamente tuitos de boas almas,
[13:54:18 - 14:02:38]:  -Tomas que têm consequências e algumas consequências serão gravosas.
[14:02:38 - 14:10:58]:  -Eu acho que quem quer tomar uma posição em política tem que estar preparado
[14:10:58 - 14:19:18]:  -Para se forer as consequências dessas atitudes.
[14:19:18 - 14:29:18]:  -Eu não sei até que pontas opiniões públicas, que enquanto for apenas uma desão verbal
[14:29:18 - 14:40:58]:  -De solidar a Ucrania estão dispostos a apoiar a Ucrania, o porço com a sua opinião
[14:40:58 - 14:45:58]:  -E com a sua vontade, não militarmente, mas a Ucrania por essa rússia,
[14:45:58 - 14:55:58]:  -Tá a tura começa a pensar em veritamente no que é o licito que pensa em que é a surra e coroia doméstica
[14:55:58 - 14:59:18]:  -Potanto, esse será um...
[14:59:18 - 15:07:38]:  -Por isso é que contando boicote, no boicote, algar as russas, nem ao petróleo russas.
[15:07:38 - 15:12:38]:  -Mas aí, porque infelizmente há alguns países europeus,
[15:12:38 - 15:22:38]:  -Posaram numa situação lamentável, as uma temmos falado de muitas vilões
[15:22:38 - 15:29:18]:  -Um dos um dos vilões mais notores desta história toda, o senhor estrada,
[15:29:18 - 15:30:58]:  -De facto fez uma...
[15:30:58 - 15:42:38]:  -Teu um papel absolutamente lamentável na dependência, ou seja, ele tratou disso enquanto se enceler
[15:42:38 - 15:49:18]:  -E depois de ser, se enceler foi trabalhar para os russos, a gente fez...
[15:49:18 - 15:52:38]:  -Né, a porta-giratória, lá, acho que isso é porta-aberta.
[15:52:38 - 15:55:58]:  -Mas também, é uma senhora que não é vilã.
[15:55:58 - 16:00:58]:  -E, tabela uma senhora que tem uma requeta-esticófica, foi em galamação.
[16:00:58 - 16:04:18]:  -Ega, não é a perpestona...
[16:04:18 - 16:07:38]:  -Mas de nuclearização...
[16:07:38 - 16:10:58]:  -E num putina controlável.
[16:10:58 - 16:12:38]:  -Sim, exatamente.
[16:12:38 - 16:15:58]:  -Ega não se retornamento.
[16:15:58 - 16:22:38]:  -Entregamos ao Ricardo da Oro Espereira, a pasta de ministro da economia,
[16:22:38 - 16:30:58]:  -quanto ao João Miguel Taváres, quero ter desta vez ministro das negociações,
[16:30:58 - 16:37:38]:  -Vé algum progresso no horizonte ou os encontros que têm estado a acontecer,
[16:37:38 - 16:44:18]:  -Já Miguel Taváres podem ser encarados com uma mera ensinação.
[16:44:18 - 16:50:58]:  -Mas mesmo como a ensinação, em si, numa edesta de graça,
[16:50:58 - 16:54:18]:  -existe qualquer coisa positivo.
[16:54:18 - 17:04:18]:  -O facto da operância e da rússia continuarem a encontrar-se, não é um mal sinal.
[17:04:18 - 17:07:38]:  -Os progresso têm sido nudos.
[17:07:38 - 17:14:18]:  -Nais corredores humanitários funcionaram.
[17:14:18 - 17:17:38]:  -Nais corredores humanitários funcionaram.
[17:17:38 - 17:22:38]:  -O senhor agora juntaram-se os ministros dos negócios estrangeiros.
[17:22:38 - 17:27:38]:  -Corredores humanitários que vão dar para o invasor, é também um...
[17:27:38 - 17:29:18]:  -Sim, sei, é uma novidora.
[17:29:18 - 17:30:58]:  -Você não vem, mesmo.
[17:30:58 - 17:34:18]:  -É, após o Craniente, fujem em para a rússia.
[17:34:18 - 17:35:58]:  -Exato.
[17:35:58 - 17:45:58]:  -Mas aparentemente agora também exista guia, a disponibilidade de alas que e de putin
[17:45:58 - 17:49:18]:  -se puderem vir a encontrar.
[17:49:18 - 17:59:18]:  -Eu acho que qualquer pessoa no acidente tirando os amigos de putin
[17:59:18 - 18:07:38]:  -e o Partido Comunista Português, hoje em dia tem um ódio-visceral,
[18:07:38 - 18:15:58]:  -a figura de Vladimir putin, mas por mais ou do visual que nós tenhamos,
[18:15:58 - 18:25:58]:  -A verdade é que ninguém encontra uma saída para a esta situação
[18:25:58 - 18:29:18]:  -se não que não seja uma saída mingurciada.
[18:29:18 - 18:37:38]:  -Se as pessoas estão a espera que os russos acordem e te ponham o putin,
[18:37:38 - 18:49:18]:  -bem podemos todos para centatos, e esses para centatos significam uma ucrania totalmente arrasada.
[18:49:18 - 18:57:38]:  -Porque este é o lado para a doqueçal é que esta resistência ucraniana é mais uma vez surpreendente.
[18:57:38 - 19:00:58]:  -Então, seja, mais uma que ninguém se gritou.
[19:00:58 - 19:07:38]:  -Ninguei esperava que, ao fim de três manas de guerra que aquilo que a gente já avai,
[19:07:38 - 19:10:58]:  -os russos ainda nem se cascaram aqui.
[19:10:58 - 19:17:38]:  -E, portanto, isso significa que há um internaisçamento gigantesco,
[19:17:38 - 19:25:58]:  -tevemos notícias que já é o traxais general russo que é morto
[19:25:58 - 19:32:38]:  -nesta guerra e, portanto, é evidente que o que está a ser uma guerra de mobilência
[19:32:38 - 19:40:58]:  -interivel, os russos ocranianos estão resistindo de forma orgóica,
[19:40:58 - 19:45:58]:  -mas a consequência disso é uma ucrania arrasada.
[19:45:58 - 19:57:38]:  -E a única forma de nós não passarmos antes nisso é só que realmente encontrar uma negocição
[19:57:38 - 20:05:58]:  -e uma forma até o senhor, o horrível o senhor Putin, tal uma maneira limpar a face.
[20:05:58 - 20:12:38]:  -O seja, não voltar para casa de Mons Abanára.
[20:12:38 - 20:17:38]:  -Eu tenho problema que a gente não volta para casa, não é?
[20:17:38 - 20:25:58]:  -E se for de Mons Abaná, ele não vai voltar para a tv, algo uma instruição exterciada,
[20:25:58 - 20:27:38]:  -se se cedo.
[20:27:38 - 20:30:58]:  -A lepo grosso.
[20:30:58 - 20:39:18]:  -Zelence, que debaixo de fogo, deu-se sinais esta semana da alguma disponibilidade
[20:39:18 - 20:47:38]:  -para fazer consoções ao Cremlin, João Miguel Tavar, o solento.
[20:47:38 - 20:52:38]:  -O facto de Putin não mostrar nenhuma intenção de ceder um milímetro,
[20:52:38 - 21:00:58]:  -do deve ser visto como um sinal de força, só de fraqueza, que poderia me ceder.
[21:00:58 - 21:09:18]:  -E ele está indo em ventagem, apesar de tudo, apesar da resistência,
[21:09:18 - 21:19:18]:  -as forças armadas russas, sem o acidente intervir com o que acho que não deve intervir.
[21:19:18 - 21:29:18]:  -Ele está em superioridade, eles fazem 5 condições, algumas dos quais me parecem que são
[21:29:18 - 21:39:18]:  -neste momento não dê-ia faças de aceitar, mas aceitáveis e outras inconcebíveis.
[21:39:18 - 21:49:18]:  -Por exemplo, tendo a encontrar que a NATO decidiu que não sendo a Ukraine a membro da NATO.
[21:49:18 - 21:57:38]:  -Não vai entrefilemente a alimentar a Ucrania, é a normal que o projeto da Ucrania diga.
[21:57:38 - 22:05:58]:  -Uma das condições que nós não fazemos parte da NATO, nós aceitamos porque a NATO não nos quer.
[22:05:58 - 22:19:18]:  -Mem que ele diga isso, mas não está a desesperação, não na Europeia acho mais difícil,
[22:19:18 - 22:30:58]:  -que ela se diz, mas, por exemplo, é inconcebível que um estado invasor exige uma mudança constitucional.
[22:30:58 - 22:35:58]:  -E isso é, isso é uma segunda invasão, dizeram o país,
[22:35:58 - 22:50:58]:  -teja de mudar este artigo na Constituição, neste caso é um artigo que seriam artigo que garantia a neutralidade futura da Ucrania.
[22:50:58 - 23:00:58]:  -A relação a a Criman e as República Esparatistas, é uma questão da Ucrania, se aceitar o facto consumada ou não,
[23:00:58 - 23:12:38]:  -o seja, a Criman e já foi, por tanto, pode ser menos difícil de aceitar, não sentirem que está perdida,
[23:12:38 - 23:17:38]:  -E aliás, o ocidente não se importou muito com isso na altura.
[23:17:38 - 23:25:58]:  -A relação a as República Esparatistas, não sei bem, exatamente a situação,
[23:25:58 - 23:35:58]:  -moitar, mas acho que há que uma escavinha de coisas aceitáveis, ou inaceitáveis e outras que seriam inaceitáveis
[23:35:58 - 23:49:18]:  -e que se tornaram negociáveis, mas também têm que haver uma cedência, seja, não pode ser simplesmente isso, não é bem uma negociação,
[23:49:18 - 24:04:18]:  -tão aqui cinquese gênecias, e a gente pode dizer, cremos tudo, cremos quatro da chingo e a qualeia cedência da Cusera,
[24:04:18 - 24:09:18]:  -recar os tanks, enfim, isso não é bem uma cedência, não é?
[24:09:18 - 24:24:18]:  -Faça, é difícil haver cedências no momento em que já está um país praticamente arrasado.
[24:24:18 - 24:32:38]:  -Esta quinta-feira aos ministros dos nossos trajeiros da Russia e da Ucrania estivaram rígnitos na Turquia,
[24:32:38 - 24:42:38]:  -e depois do encontro que não deu em nada, o ministro Russo disse estas duas frases,
[24:42:38 - 24:52:38]:  -não temos planos para atacar outros países, e depois também não atacamos a Ucrania,
[24:52:38 - 24:54:18]:  -Certo.
[24:54:18 - 25:02:38]:  -Que feita aqui esta segunda parte de claração tem sobre a primeira, a Ricardo R. Osperer?
[25:02:38 - 25:10:58]:  -Sus segundo, bastante, é um revela que ele ganhou o primeiro de George Orwell da frase do ano.
[25:10:58 - 25:19:18]:  -No fundo é uma visão magnitiana da política internacional,
[25:19:18 - 25:24:18]:  -Esta ataque não é um ataque, é o que ele está a dizer.
[25:24:18 - 25:32:38]:  -E temos, enfim, são há alguns sinais de esperança, não só esse,
[25:32:38 - 25:40:58]:  -se muito tranquilo e exoimenço, mas também deve destacar já agora,
[25:40:58 - 25:45:58]:  -não sei se viram esta notícia, acho que a notícia dona tem,
[25:45:58 - 25:55:58]:  -Facebook e Instagram permitem, por tempo determinado,
[25:55:58 - 26:04:18]:  -Tem uma temporada, permitem que as pessoas, seus utilizadores,
[26:04:18 - 26:10:58]:  -Façam ameaças de morta, volado de mirpute e nialucaxen.
[26:10:58 - 26:20:58]:  -É a pressáraense porque as ameaças de mortes estão em promoção, vão acabar muito em breve,
[26:20:58 - 26:30:58]:  -Mas eu fico sempre se desfeito quando as Big Tech deciden o que nós podemos dizer e quando,
[26:30:58 - 26:35:58]:  -Apesar de tudo, não sei, os utilizadores portugueses,
[26:35:58 - 26:45:58]:  -não em princípio estão fora desta Black Friday da ameaça de morta,
[26:45:58 - 26:52:38]:  -porque acho que é só para ali países, só os utilizadores.
[26:52:38 - 26:57:38]:  -A unidade da ação, só naqueles países que formam ali em fronteira.
[26:57:38 - 27:05:58]:  -Fazem fronteira, esses podem estar suceendemente irritados com putinico,
[27:05:58 - 27:12:38]:  -Costos da Vía La Rússia, não sei se vão fazer fronteira com a Rússia?
[27:12:38 - 27:15:58]:  -Não, acho que sim, é preciso...
[27:15:58 - 27:27:38]:  -O que é a pressão de carrega, talvez? -O que é o que é o carrega, não sei.
[27:27:38 - 27:32:38]:  -Esse tem direito a fazer ameaças, não é os infelizmente, talvez aqui na televisão,
[27:32:38 - 27:37:38]:  -indá precisamos mandar o putin para...
[27:37:38 - 27:40:58]:  -Pero onde é que está a pressão de vermelhada?
[27:40:58 - 27:49:18]:  -Sim, para renda esses que temos que gosteferíamos, gostem que ele visitasse,
[27:49:18 - 27:57:38]:  -mas no Facebook só a partir de determinadas fronteiras para lá.
[27:57:38 - 28:07:38]:  -Os Amigal Tavares ficam então ministros das negociações, é a vez do Pedro Messias
[28:07:38 - 28:15:58]:  -Tornar ministro multinacional, já se pode dizer que a Mocha Covisão,
[28:15:58 - 28:24:18]:  -Petras de Búrgula estão a deixar de ser cidades com os mapulhitas, Pedro Messias.
[28:24:18 - 28:34:18]:  -Sim, há várias dimensões nessa questão, estamos a falar de ter evidão apenas chancões dos estados,
[28:34:18 - 28:39:18]:  -Mas da desandada de desandas de empresas...
[28:39:18 - 28:45:58]:  -Mas de desandadas em vários... -Em vários graus, onde os supenderam, outros saíram
[28:45:58 - 28:54:18]:  -Portanto, a desandada a Nestlé... -Floro, só que o Swaghan, o Bowingham, o Microsoft, o Sony,
[28:54:18 - 28:59:18]:  -Incredo... -O Inquia, o Metrolococcal, etc.
[28:59:18 - 29:07:38]:  -Portanto, Ab, também é a minha seria, é a seria, porque não me digas que enfiaram a mente deserto.
[29:07:38 - 29:12:38]:  -Por causa, aí eu acho que... -É muito bonitíssimo, é só.
[29:12:38 - 29:17:38]:  -Ai eu acho que eles começavam a passar duas vezes.
[29:17:38 - 29:19:18]:  -Especto só, mas não.
[29:19:18 - 29:34:18]:  -Mas... É questão aqui, há duas questões, uma questão é económica e o impacto que isso tem não apenas
[29:34:18 - 29:44:18]:  -Nesta saída, mas depois as retaliações que a Ruxia... -Ruxia, a Ruxia...
[29:44:18 - 30:02:38]:  -Nas se analisar os bens dessas empresas, isso é quantificável, mas a outra dimensão que não é bem quantificável,
[30:02:38 - 30:22:38]:  -E que me deixe intrigado, que é, por um lado, a questão do ativismo empresarial, porque o ativismo empresarial tem sido muito...
[30:22:38 - 30:35:58]:  -Então, está muito presente no acidente nos últimos anos, ou seja, cada vez mais as empresas tomam posições de relação a causas
[30:35:58 - 30:54:18]:  -E tentam ir da Corte Coop, em um público, para se mostrar solidárias com certas causas ou afastarem-se de outras,
[30:54:18 - 31:04:18]:  -Mas isto nunca tinha acontecido na política internacional com este peso.
[31:04:18 - 31:17:38]:  -E isso no lugar, e eu também não sei nisso, e quer ver, vamos chamar menos, porque cada vez há menos, em preenção dependente e livre na Ruxia,
[31:17:38 - 31:35:58]:  -Eu não sei que grau da população é que leva mal deixar de ser ocidental, porque a população consome a televisão Ruxia,
[31:35:58 - 31:44:18]:  -Nós vimos até militares russos, ou dizerem que não tinham sido informados bem aqui lá na Marguerra,
[31:44:18 - 31:50:58]:  -De facto era uma opração militares especial e que era uma coisa rápida e tudo mais.
[31:50:58 - 32:09:18]:  -Não se pode dizer guerra, mas não tem uma certeza, nem se exatamente se esses produtos não chegam apenas a terminar e essas empresas,
[32:09:18 - 32:25:58]:  -Alguma, não, mas algumas outras não afetam só uma faixa que nós chamaríamos de classe média, que não é gigantesca na Ruxia,
[32:25:58 - 32:39:18]:  -No território todo o que nós estamos a falar, nós precisaremos cobo e nas cidades grandes e ocidentais ou ocidentalizadas,
[32:39:18 - 32:49:18]:  -Ada não sei o que impacto é que isso vai ter, este evidentemente para um país que se quiser ser ocidental,
[32:49:18 - 33:07:38]:  -Tirar-lhe os modos devido ocidental, e um golpe grande para a Ruxia pode ser uma frida económica, não tem a certeza que seja uma frida cultural,
[33:07:38 - 33:17:38]:  -Pobem até reconverter isso, fazer das fracas, as forças e dizer, ainda bem porque o Gáso Médio deve.
[33:17:38 - 33:30:58]:  -O Ovoa é o Ovoa é o nosso amigo, o ex-presidente, o ex-presidente, o ex-presidente, e o...
[33:30:58 - 33:44:18]:  -Não sei se não será, porque não se se reparaste, não sei se vestir isso, mas é por pósito do feixo do McDonald's, boa parte da população russa,
[33:44:18 - 33:57:38]:  -Percebem que o McDonald's vai fechar e vai sair da Ruxia, alguns não sabem por que, por que, por que, por que, pela informação está controlada a este ponto,
[33:57:38 - 34:10:58]:  -Não sabem por que, eu não sabem que se trata de uma sanção por causa da invasão da Ucrania, mas o certo é que há filas dos Ruxia.
[34:10:58 - 34:22:38]:  -Poeira ir ao McDonald's pela última vez, ora, quem faz fila para comer no McDonald's, em princípio, é porque está interessado no modo de vida,
[34:22:38 - 34:30:58]:  -Eu não vejo boas razões para fazer fila para ir ao McDonald's, eu não sei...
[34:30:58 - 34:32:38]:  -Gostar muito do modo de ir ao seu...
[34:32:38 - 34:45:58]:  -Veja só o que sentar uma coisa, que além destas sensões, ouva as sensões palermas das reteldiações palermas culturais, não é que não faz sentido nenhum.
[34:45:58 - 34:49:18]:  -Deur que extra que não quer de carne.
[34:49:18 - 35:10:58]:  -Mas há uma e ouvi várias coisas sobre isso nesse sentido desta semana, que me pareceu palerma a princípio que se quer, não é tanto assim, que é, aparentemente, uma matéria que o putino leva muito a sério, que faz muito parte do organismo nacional,
[35:10:58 - 35:32:38]:  que são as sensões deportivas, aparentemente o poder ruso considera-lo, não é... não é... estranho, se passámos na união seviética, leva a sua agulória deportiva muito a sério,
[35:32:38 - 35:54:18]:  que é a chance, e que é a chance, deportivas, podem ter um efeito psicológico, e, digamos assim, já prohibir o Tchaikovs, que o nosso aralho, que o doze do IAF-SK, é simplesmente uma palhaçada.
[35:54:18 - 36:19:18]:  -O Ocidente está aplicar a sensões pesadas à Rússia, tanto o nível de Estado como o nível das empresas privadas, e putino mandou cortar as exportações de mais de 200 tipos de produtos russos próximos,
[36:19:18 - 36:44:18]:  como forma de retaliação, hoje Biden proíbeu, por exemplo, a importação de caviar marisco e diamantes russos, o FATO...
[36:44:18 - 36:54:18]:  -Tudo o que? -Está deixado em que parte, no caviar, no esquema, tudo o que faz o esquema?
[36:54:18 - 37:04:18]:  -Fala-se muito, é aquela história da esquema da caviar, é somitafórica, não tem a ver com...
[37:04:18 - 37:17:38]:  -Sou não gostas do bom caviar, existe? -Vais dizer isso. -Mas achas que vou ficar a chorar, porque o bloga vai deixar...
[37:17:38 - 37:37:38]:  -O FATO NOSGO DO PRODUÇO INERGETICOS Neste contexto ainda se manter deve ser visto como matidude cautolosa e acertada, ou como algo hipócrita, o cardelo estreira.
[37:37:38 - 37:49:18]:  -Quê dizer, pode ser um bocadinho das duas, é que estão em a seguinte, nós já sabíamos há algum tempo, porque isto não era gente recomendável, não é?
[37:49:18 - 38:05:58]:  -Sim, no entanto, passamos muito tempo a fazer negócios com eles, quer dizer, e continuamos a fazer negócios com eles, com eles, com eles, com eles, com eles, com eles, emvenenou opositores políticos, em capitais estrangeiros...
[38:05:58 - 38:17:38]:  -Se quer, vai continuar a exportar novidso, é possível, que continuamos a exportar, porque, por exemplo, isto é um produto bastante bom, ó, que parece...
