[00:00:00 - 00:05:40]:  Esta semana as homenagalta Vars declara-se acredito.
[08:34:52 - 09:01:32]:  Com a única boa se deflector. Falado há uns anos, como sendo um dos países dos brics, um país de emergência, que poderia ter um acento no concerto das nações, diferente ao nível do Procurso que o Brasil fez.
[09:01:32 - 09:04:52]:  Agora a São Fona.
[09:04:52 - 09:21:32]:  Bom, vamos então a hora de entrebalhos da semana. O João Miguel Tavares quer ser desta vez mistro do ontem. Isso não chega já um bocado de prazo, João Miguel Tavares.
[09:21:32 - 09:24:52]:  Chega, Carlos, mas acompanha minha.
[09:24:52 - 09:34:52]:  Quer falar de uma recomendação da direção geral de saúde recebida no Porto de forma sarcástica?
[09:34:52 - 09:38:12]:  Exato, mano.
[09:38:12 - 09:48:12]:  A DGS publicou no dia de São João um conjunto de recomendações para a noite de São João.
[09:48:12 - 09:49:52]:  Exato, mano.
[09:49:52 - 09:51:32]:  Traço-se de um disparado.
[09:51:32 - 09:53:12]:  O disparado.
[09:53:12 - 10:09:52]:  Foi isso mesmo, cara, é um tipagato ao quadrugado. É difícil olhar para aquilo e ser batimista porque a gente queria ir.
[10:09:52 - 10:11:32]:  Ah, foi uma gafo.
[10:11:32 - 10:14:52]:  Mesmo sendo o João Miguel Tavares?
[10:14:52 - 10:24:52]:  Não, mesmo por conta do meu otimismo, porque a gente olha e diz "tei pacotado, tem ganhado uma espalcha a tisse".
[10:24:52 - 10:31:32]:  Colocar com aquilo, quem que não acontece, tem um enganho.
[10:31:32 - 10:39:52]:  Mas é que não pode ser visto assim, porque é que a noite de São João.
[10:39:52 - 10:46:32]:  É que aconteceu. A noite de São João aconteceu, portanto a sensação que a DGS...
[10:46:32 - 10:54:52]:  Que ela era a gente que como o bacalhado é consuada no dia 25 à noite.
[10:54:52 - 11:06:32]:  É possível, mas um problema não é que a falhamos ou não se o pão dia não, é porque nós supomos que a DGS
[11:06:32 - 11:11:32]:  deve ter que estar da tinta à noite de São João.
[11:11:32 - 11:21:32]:  E quando nós repagamos que os avízes são colocados depois da noite de São João,
[11:21:32 - 11:26:32]:  chegamos à conclusão que se calhar a DGS, esteve esterevido.
[11:26:32 - 11:36:32]:  Ele não é a DGS, calhar é mesmo lá o responsável pelas redes sociais da DGS.
[11:36:32 - 11:39:52]:  Não sei se o que talvez faz alguma diferença.
[11:39:52 - 11:44:52]:  Se você não tem o optimismo, não é? Não, não, não, não.
[11:44:52 - 11:49:52]:  Estás mal ter passado, nem o optimismo pela direita.
[11:49:52 - 11:54:52]:  Mas eu não sei se é isso.
[11:54:52 - 12:01:32]:  É a esposa DGS, ainda sobre tudo, na esta altura de Mego urgência,
[12:01:32 - 12:04:52]:  está devidamente coordenada.
[12:04:52 - 12:11:32]:  E nós olhamos para aquilo e pensamos de que está a coordenação.
[12:11:32 - 12:13:12]:  É que não se vê.
[12:13:12 - 12:18:12]:  O posto tinha três quadras populares.
[12:18:12 - 12:28:12]:  Será que foi a inspiração do poeta da DGS que atrasou a publicação recadrá-los para a DGS?
[12:28:12 - 12:36:12]:  para eles, porque elas estão chocado com o João Miguel, que está realmente atrás para aqui.
[12:36:12 - 12:42:48]:  É, é, é, é, coisa só para ser, só para ser desagradável, quer dizer,
[12:42:48 - 12:52:18]:  ao VODGS, aos João Miguel, desculpa lá. A DGS está a preparar com a máxima
[12:52:18 - 13:00:36]:  acadência o São João de 2021. Não podia ser com mais, mas não podia.
[13:00:36 - 13:09:48]:  É, no dia, a seguir a noite São João. Está a preparar a noite São João de 2021. Quando
[13:09:48 - 13:17:22]:  as coisas são preparadas com em cima do João Miguel critica, quando são preparadas com o
[13:17:22 - 13:24:24]:  tempo, a João Miguel critica. Não se consegue acreditar desta parte. Também pode ter acontecido,
[13:24:24 - 13:39:42]:  alguém na DGS quis seguir o exemplo daquela festa de passagem da ano que há trazado, que foi
[13:39:42 - 13:51:10]:  celebrada num dia sete, quando o fogo de artifício falhou. Não, estes mrs. postamentos estão para o
[13:51:10 - 14:00:22]:  Patro com a Final Etica de Champions, também que só lance as recomendações quando já alguém tiver
[14:00:22 - 14:04:18]:  e eu fanar o canecu. E isso por culpa?
[14:04:18 - 14:11:30]:  Tá uma essia que a menina argentina e a DGS atenção, muito cuidar.
