[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados pelo novo Cooper formentor.
[14:28:20 - 14:31:40]:  - Não é lá pela boca.
[14:31:40 - 14:40:00]:  - Me fica para reflexão das pessoas, mas então vamos falar. E não é o nele.
[14:41:40 - 14:56:40]:  - Isto é caso de moedas atrasforar-se na caricatura dele próprio, porque realmente só faltou mesmo, pode exercer-se de tudo com o helio, a dizer-se de coisas.
[14:56:40 - 15:03:20]:  - É, fica mal, é ridículo. Ai, agafa-me embora, porque ela é a cozona de mentira.
[15:03:20 - 15:26:40]:  - Se viu o abandono da sala de termosia, o abandono por parte de cálitos moedas como uma pirra, ou alguma margem de legitimidade na indignação do presidente da Câmara?
[15:28:20 - 15:51:40]:  - No futebol, às vezes falas dos hábitos que deixam julgar, querendo significar com isso, há hábitos que permitem entrar-as um pouco mais duras, porque acham que mais valorou continuar do que inducar para a cada toxin.
[15:51:40 - 16:08:20]:  - Chamaram políticamente iroso sendo o eventamento ofensivo para a pessoa que recebe esse epíto, não é um epíto terraro na política.
[16:10:00 - 16:33:20]:  - Mas nós todos nos lembramos de quando o episódio na Assembleia da República com a palavra vergonha, utilizada por André Ventura, e que o presente da Assembleia da República que a Inaltura, que acho que ainda era férreo, é ridículo.
[16:33:20 - 16:51:40]:  - Desenheir que não se políeu usar essa palavra no Parlamento, e depois, por hoje, que se terem um trabalho de mostrar vários exemplos, de vários vídeos, de vários partidos, ou dizer a palavra vergonha.
[16:53:20 - 17:10:00]:  - E por tanto, vergonha, mentiroso, etc., pode ser coisas muito desagradáveis, mas a política é um sitio onde acontecem, e onde se houve coisas desagradáveis.
[17:10:00 - 17:20:00]:  - Um árbit, eu quero dizer, a minha exigência para apitar e o estúlgat não seria insultado.
[17:20:00 - 17:30:00]:  - E, de fato, não, não foi um insulto do que a petão avalca, não é?
[17:31:40 - 17:45:00]:  - E, para o Tózoar e o Atento Tózoar, um muito que eu dizia muito, que era antropófago, não precisa dizer antropófago.
[17:45:00 - 18:11:40]:  - E, portanto, acho que, esteve com a postura de caros de moedas, que é uma postura de tendo, acionamento de política positivo, e deduzar os conflitos e controversia.
[18:13:20 - 18:31:40]:  - Não é um corto com o que ambos disseram, mas é particular que o Goguja Miguel disse que neste momento em particular não é boa ideia de não deixar jogar.
[18:31:40 - 19:01:40]:  - Acho que, prefiro que as pessoas tenham que sofrer coisas que prefriam não ler ou não ouvire, do que sair do jogo, neste caso, é o jogar autar, que seja o jogo político, ou seja, a administração da nossa vida comum, porque há alguém disso uma coisa que é desagradável.
[19:03:20 - 19:38:20]:  - Entregamos ao Ricardo Uros Pereira, a Pasta de Ministro dos Paines, o João Milhautavar, depois de uma semana atrás, e que em dia de um dia de luto nacional quer ser, ministro dos incendiários, também quer ir atrás deles e não os vai largar, como prometeu-lhe o esmão de negro, ou o caso talvez seja apesar de todo um pouco mais complexo.
[19:40:00 - 19:58:20]:  - É que a vasta ser nem dinha mais complexa do que isso é. - Primeiro ministro diz que houve coincidências a mais nos fogos dos últimos dias e garante que tudo fará para que os colpados sejam punidos.
[19:58:20 - 20:28:20]:  - Nós não podemos perdoar a quem não tem perdão. Nós não podemos perdoar atitudes criminosas que estão na base de muitas das ignições que ocorreram nos últimos dias.
[20:28:20 - 20:55:00]:  - Mas há coincidências a mais e há portanto uma necessidade das portugueses e dos portugueses saberem que o Estado em seu nome vai atrás dos responsáveis por estas atrocidades.
[20:56:40 - 21:23:20]:  - Nós estamos a dizer que há interesse que sobrevouam estas ocorrencias e que são mesmos não podemos. Nós tudo vamos fazer para identificar e levar as mãos da estissa.
[21:23:20 - 21:45:00]:  - Luz Montenegro, alançar-se suspeitas sobre interesse que sobrevouam, porque aconteceu esta semana já conseguiu identificar a que interesse se refero o primeiro ministro, João Milhautavar.
[21:45:00 - 21:56:40]:  - Eu não sei o que diga, sobre tudo é que me rita em maneira como ele diz aquilo.
[21:56:40 - 22:11:40]:  - É que ela atrasse como quando a gente tem os fizes que sabem que elas palavras nos deixam uma lucro e esta atrasse, a maneira como ele diz aquilo, é atrás.
[22:11:40 - 22:18:20]:  - Ele vai meramente atrás. - Não, ele vai atrasse.
[22:18:20 - 22:23:20]:  - Vamos cavar uma coisa.
[22:25:00 - 22:40:00]:  - Não quer dizer evidentemente os incendios, nomeadamente albergaria, a velha podem e até provar o que tenham sido iniciado com incendiários e fogo posto.
[22:40:00 - 23:13:20]:  - Mas, felizmente, depois desta gg, desde 2017, havia uma espécie de consenso, na sociedade portuguesa, acho eu, que os problemas da floresta e da gestão do território não se resolvem ainda atrás de incendiários, que já se vai, e que se prendem cada vez mais,
[23:13:20 - 23:38:20]:  que já tem uma pena pesadíssima e que isso é, sobretudo, não resolve nada, evidente que tem que ser apanhados, devem ser apanhados, tem que ser presos, tem que ser punidos, indiscutível, mas ainda que não existissem incendiários.
[23:40:00 - 24:03:20]:  - Isso, que esta conversa devia aquilo que é o foco, mesmo que não existissem incendiários, as florestas continuavam a ardeir, porque nada disto é novo, as coisas estão estudadas há muitos anos e porquê, exatamente porque há tantos incendios.
[24:03:20 - 24:18:20]:  - A polícia de diciar é muito boa para saber como é que os incendios começam, também é boa ir atrás de incendiários e há estatísticas, há números que choraram estas coisas.
[24:20:00 - 24:45:00]:  - O caso do fogo são desencadeados por a ação de incendiários. - O que está cerca de 80% dos incendios, descobre essas suas causas e nesses 80% é licor coisa como 20% a 30%.
[24:45:00 - 24:58:20]:  - Vamos para os 30% são incendiários, significa que há 70% desses 80% que não são.
[25:00:00 - 25:30:00]:  - E há como nação. - E há contrair do que ele também surgiu, também já é que, para especializadas que não é atrás disso, mas a questão aqui é existente 70% de focos que não começam na mão de incendiários.
[25:31:40 - 26:13:20]:  - O ponto aqui é que se florestas, como aquelas que erram nos últimos dias, continuarem a existir daqui para a frente, seja pelo amor do incendiário, seja por causa de alguém que se estragiu, seja por causa de uma máquina costadora, seja por que um fio da ADP, seja por causa de um vítulo e faz muito calor e o vítulo encendiu um picado de erva, sei-que.
[26:16:40 - 26:41:40]:  - Os incendios vão continuar em contras lábais, e esse é o ponto, claro que saber como eles começam é muito importante, mas fundamentalmente é, por que quando eles começam nós não nos conseguimos parar.
[26:43:20 - 27:31:40]:  - Mas quando eles continuarem a eternamente que o Converse do incendiário, que é sempre aquela conversa que é muito fácil, ou até mesmo como hoje em dia, se eu vou outra vez, pessoas poder estar em autarques, bombarques, aparentar irá, mas faltaram bombarques, não havia bombarques, a sério, não encendiu onde estão a arder, mais de 100 mil hectares não há bombarques em todo lado, a sério, mas qual é o espanto?
[27:31:40 - 27:51:40]:  - Isso é o óbvio, é o óbvio que não vai ver bombarques para tudo, portanto aqui o grande problema é o que nós podemos fazer para tentar impedir que os fogos ganhem esta dimensão.
[27:51:40 - 27:56:40]:  - É a questão, é a questão, isso não está na nave com a senhora.
[27:58:20 - 28:26:40]:  - É a questão do Monte Negro, pagasse neste tópico e que avalgaça este aspecto da questão dos incendiários, a tal conversa de café, entremento de questões mais estruturais, digamos assim.
[28:28:20 - 28:56:40]:  - Quero que é que é que não vamos sempre ter a nossa amiga da aventura, mas de facto aqui atrás, aquilo é manual político, é intuação, venturista, venturiana, venturosa, o que for a entuação.
[28:58:20 - 29:41:40]:  - Para que um determinado tipo de eleitorado acha que o esmonte negro é um homem duro, e ele tem músculo contra aqueles malvados incendiários, eu acho só que me vê músculo, mas esse não é o problema da floresta, e o problema da gestão do território é demasiado importante, para que um primeiro ministro cida sublinhar aspetos que são para leus.
[29:43:20 - 29:56:40]:  - E não é para o que é que o sublinho, não é para o que é que o sol utilizou atrás, para criticar isto, e é apenas não ter.
[29:56:40 - 30:16:40]:  - Usado a mesma ênfase para falar das falhâncias de Estado, como é que o governo realmente pode atuar, é um problema gravíssimo, muita, muita difícil resolução.
[30:18:20 - 30:43:20]:  - Exatamente pela sua dimensão convém não destriir com questões paralelas, que não resovem a questão dos incendios que estão. - Mas não foi um acesso de motividade do primeiro ministro, mas foi qualquer coisa de racionalmente pensado.
[30:43:20 - 30:51:40]:  - Foi, acho que foi racionalmente pensado, sim, e o que ainda me desagrada mais?
[30:53:20 - 31:11:40]:  - É um arrejamento de conselho de ministros, muito negro. anunciou a criação de uma equipa especializada para a investigação criminal, as causas dos incendios florestais.
[31:11:40 - 31:38:20]:  - Uma vez que já há uma estrutura com as mesmas funções criada em 2021, como no Instituto General Público, estaremos pedra-mexia para um caso de reforço de meios ou de descordendação, ao mais alto nível.
[31:40:00 - 32:16:40]:  - Eu já fui horrível, mas não estava ligado a parede, agora já estava funcionando. Não façam a ideia, o grau de coordenação e de efetividade de funções, lia a sentência como toda a gente, parece bizarro que se crie um organismo que já existe, porque das duas asuma ou esse organismo existe, não faz nada.
[32:18:20 - 32:30:00]:  - Então o primeiro ministro te conhece, o governo te conhece um organismo relevante. - Se não seria bom, te dito.
[32:30:00 - 32:43:20]:  - O que é só dizer muito rapidamente, duas coisas, o que eu já disse, o que eu quero voltar atrás.
[32:43:20 - 32:51:40]:  - Quero voltar atrás, dizendo duas coisas. - Não é assim, não estás a fazer, mas...
[32:51:40 - 32:55:00]:  - Que é a questão de... - Tras!
[32:56:40 - 33:20:00]:  - Primeiro nós já houve algumas coisas que se fizeram e que o pessoal dizia não e volem nada desde 2017 e não é verdade, há várias coisas desde cada estro de terras, até uma série de coisas que aconteceram positivas.
[33:20:00 - 33:33:20]:  - Mas é verdade que há questões que são na verdade não são... E aí, em sendiários?
[33:33:20 - 33:38:20]:  - E aí, em sendiários presos, em sendiários presos? - E muitos?
[33:40:00 - 34:05:00]:  - Não sei o que é mais, mas há uma questão, que é uma questão que continua e devido que vamos dar uma vez que é a desertificação do país, a desertificação do país e a desertificação,
[34:05:00 - 34:15:00]:  se sumar sudesinteresse por localidades, não dá poucos e leitores, etc.
[34:15:00 - 34:23:20]:  - E os preços também falam do mini fúndio, quer dizer, de parcelas, pequenas, terrenos...
[34:25:00 - 34:31:40]:  - E ter se foga-sta-mães, na verdade é essa. - E se foga-sta-mães? - É a larga e não pare de que essa.
[34:31:40 - 34:51:40]:  - Essas questões, mais do que, sem desprezar as questões das autoridades, quer bombairos, que é das autoridades policiais, quer tudo isso,
[34:51:40 - 35:06:40]:  essas questões de ordemmento retaria continuam a ser, e a gente houve as pessoas que sabem sobre isso, que estudam o assunto e o que elas dizem, um leigo minimamente atento,
[35:08:20 - 35:18:20]:  que fazem mais sentido do que tentar acentuar a questão deste discurso.
[35:18:20 - 35:33:20]:  - É, também parece que é mais uma vez do discurso que o PSC já tenta algo, mas, às vezes, não funcionou.
[35:33:20 - 35:51:40]:  Todos nos lembramos quando o PSD, o meu prazer, faro, me poderou algarve, e pra eu ir para o relativo, e pra eu algarve.
[35:53:20 - 36:01:40]:  Mesmo depois, de ter feito um discurso, destinado a não perder o algarve.
[36:01:40 - 36:23:20]:  Importante, não funciona, incentiva essa estratégia, e é uma...
[36:23:20 - 36:40:00]:  É uma coisa performativa no sentido, só que não realiza nada, ou se o poder se difaziu, as pessoas dizem.
[36:41:40 - 36:51:40]:  Mas não se segnada daqui, o que depois de vir a seguir, se se calhar a partir daqui, vamos ter medidas.
[36:51:40 - 36:55:00]:  O que vale, é o nosso rico povo.
[36:55:00 - 36:58:20]:  - O que vale, é o nosso rico povo?
[36:58:20 - 37:01:40]:  - Sitando a municidade de administração interna.
[37:01:40 - 37:05:00]:  - O nosso rico povo tem sido.
[37:05:00 - 37:21:40]:  - É justamente, como é que valia Ricardo Auspera, a reação política geral esta semana atrágica, e o facto de nesta tradução interna só ter aparecido publicamente a esta quinta-feira,
[37:23:20 - 37:41:40]:  a ler um mostenço, uma estensa fita do tempo, que é uma própria, também, referiu, e depois de apresenta a Câmara de Arouca,
[37:41:40 - 37:56:40]:  se ter caixado que a ministra esteve incontactável, aliás, uma aligação que a ministra depois de mentiu, mas pronto, mas que marcou hoje, não sei se está bem.
[37:56:40 - 38:10:00]:  - Eu achei reação política, boa, por exemplo, quando o Mundo Negro propôs a criação de um organismo que já estava criado.
[38:11:40 - 38:28:20]:  - Criação de um organismo muito parecido como que já existe. Eu achei bem, porque faz parte da adequação à rodem que a poder seme.
[38:28:20 - 38:35:00]:  - Para citar aqui ela é uma coisa automática, né?
[38:35:00 - 38:40:00]:  - Tem de um problema, grupo de trabalho.
[38:40:00 - 38:46:40]:  - Então comitem, mas já existe uma subcomissão.
[38:46:40 - 38:51:40]:  - E o livro branco?
[38:53:20 - 39:15:00]:  - E depois, eu costumo acompanhar a plémica com o relógio, que arrega no cronômetro, e vejo quantos minutos depois da plémica começar, que aparece alguém que diz, provavelmente, com toda a razão, que isto precisa de uma verdadeira reforma.
[39:15:00 - 39:21:40]:  - E não de grupos de trabalho, etc., precisa de uma verdadeira reforma e tal.
[39:21:40 - 39:36:40]:  - São pessoas que insistem na verdadeira reforma e bem, tenho de fazer-lo rapidamente, porque em novembro começa a chover, venha e a cheias.
[39:38:20 - 39:46:40]:  - O que vai parecer outra pessoa a dizer que faz falta uma verdadeira reforma, para ver se contemos isto da cheias.
[39:46:40 - 40:00:00]:  - E o problema é que a gente, o governo não pode dizer assim, nós nos faz falta uma verdadeira reforma e nós vamos atrás da verdadeira reforma.
[40:00:00 - 40:03:20]:  - Isso não é rico.
[40:03:20 - 40:08:20]:  - Isso não entusiasmo, não entusiasmo a verdadeira reforma ir atrás de elas.
[40:10:00 - 40:35:00]:  - Outra coisa engraçada tem sido assistida a divertido de batas entre quem já ouviu umas coisas sobre isto da floresta, coisas essas que são na sua grande maioria meio mitológicas, e pessoas que verdadeiramente estudaram o tema.
[40:35:00 - 40:43:20]:  - Muitos tem muito estranho, aqui, mas conhecidas a mais e ignições à noite.
[40:43:20 - 40:51:40]:  - Por causa de uma estranha. - Ah, a razão é perfectamente loos e vazios para ignições à noite.
[40:53:20 - 41:01:40]:  - O que é o Calíptus? - É, para si, para si, para os Calíptus não são o problema decisivo nesta matéria.
[41:01:40 - 41:06:40]:  - Eu não se querem a incêndios para comprar a emadaira mais barata.
[41:06:40 - 41:13:20]:  - É mais barata porque perde o valor, é uma coisa que uma pessoa dizer assim.
[41:13:20 - 41:18:20]:  - E me dera que a casa que eu quero comprar era desse, peu comprar mais barata.
[41:18:20 - 41:26:40]:  - A mais barata, estamos todo ar dido. Estes são os incendiários e o que estão.
[41:26:40 - 41:33:20]:  - Também não é o problema mais significativo.
[41:35:00 - 41:45:00]:  - O conseguir propagar sem ser debido. Ou seja, não haver a tal reforma estrutural que crie um mosaico,
[41:45:00 - 41:50:00]:  - não sei qual é o termo técnico.
[41:50:00 - 41:55:00]:  - Eu já disse ignições, queria dizer definições.
[41:55:00 - 42:03:20]:  - E mas, ou seja, é mais significativo.
[42:03:20 - 42:15:00]:  - O facto de não haver uma gestão do território que permita arranjar mecanismos,
[42:16:40 - 42:26:40]:  - o que eu não parei, do que andar aí, me avotaria algum pensamento sobre o direito penal.
[42:26:40 - 42:33:20]:  - O Pedro poteça uma família de juristas e, por uma razão que eu não compreendo,
[42:33:20 - 42:41:40]:  - da mais atenção ao pensamento da família do Pedro do que a minha.
[42:41:40 - 42:50:00]:  - Mas a minha avota tinha duas grandes ideias sobre o direito penal.
[42:50:00 - 42:56:40]:  - Uma era, ela olhando para a cara dos erguidos conseguia mais a menos perceber.
[42:56:40 - 43:05:00]:  - Não só o verdito como a pena conseguir perceber ser um culpado ou não,
[43:05:00 - 43:08:20]:  - e até que pena deviam levar.
[43:08:20 - 43:16:40]:  - Quanto aos incendiários, ela sugeria polos no meio do foco, não se têm familiares.
[43:16:40 - 43:21:40]:  - Familiar, acho que tem essa mesma problema.
[43:21:40 - 43:25:00]:  - É muito popular.
[43:25:00 - 43:38:20]:  - E o intervenção da Administração Interna depois de ter passado uma semana em que todas a gente perguntava onde está a ministra?
[43:38:20 - 43:41:40]:  - Sim, eu ou...
[43:41:40 - 43:51:40]:  - Eu comecei a ver a intervenção e depois guardei o resto para outro dia.
[43:53:20 - 43:55:00]:  - Porque estava...
[43:55:00 - 43:58:20]:  - Era um pouco festídias.
[43:58:20 - 44:03:20]:  - Ganhasse de ganhasse de ensmanas, não foi?
[44:03:20 - 44:06:40]:  - Eu tenho tempo vou ver isto com...
[44:06:40 - 44:10:00]:  - Vou ver a prestação e o tempo.
[44:10:00 - 44:13:20]:  - Ganhasse, foi o dia.
[44:13:20 - 44:16:40]:  - Não tenho certeza, porque este tema...
[44:16:40 - 44:25:00]:  - É um tema que não tem graça nenhuma, tenho uma bota para descansar que é esta,
[44:25:00 - 44:31:40]:  - não sei se vocês acompanharam a semana, mas a gente põe nos canais de notícias
[44:31:40 - 44:38:20]:  - e é uma tragédia violentíssima 24 horas por mês.
[44:40:00 - 44:48:20]:  - O tema não tem graça, mas responder a perguntas lendo de ter que basadureiras sem graça.
[44:48:20 - 44:53:20]:  - E uma porta a levar com uma chuva da...
[44:53:20 - 44:58:20]:  - É muito difícil a contigo-idade entre...
[44:58:20 - 45:01:40]:  - Não sei se não, enfim...
[45:01:40 - 45:11:40]:  - É uma contigo-idade entre o trágico do tema e o resto.
[45:11:40 - 45:16:40]:  - Acho que a simpulmensão do tema é uma coisa da...
[45:16:40 - 45:21:40]:  - Mas portanto, se está solidário com o nosso rico povo?
[45:21:40 - 45:26:40]:  - Não, com o nosso rico povo, estou sendo solidário, sempre.
[45:28:20 - 45:36:40]:  - O João Miguel Tavaar fica então ministro dos incendiários e é vez do Pedro Messias tornar
[45:36:40 - 45:45:00]:  - ministro das Comissões, ainda por causa da investigação, as situações de abuso
[45:45:00 - 45:53:20]:  - no âmbito da igreja, uma discussão que voltou agora à atona, o que é que está em causa da Pedro Messias?
[45:53:20 - 46:05:00]:  - No desentendimento entrando, tiga a comissão e esta mais recente, nomeado da pela igreja chamada "Grupe Vita".
[46:05:00 - 46:15:00]:  - Eu confesso a minha repetida sessão com a nossa riqueira igreja, porque...
[46:15:00 - 46:40:00]:  - Sabemos como a questão dos abuso sexual na igreja, que para quem tem legionais ou houve televisão,
[46:40:00 - 46:56:40]:  seja o que for, sabe que é um fenômeno que aconteceu em todo lado e que desencadeou processos judiciais e inquéria, etc.
[46:58:20 - 47:06:40]:  - O que foi muito pouco doada sério, até muito tarde, nós temos um chorril de declarações infelizes,
[47:06:40 - 47:21:40]:  tivemos bispos, quando finalmente foram criar a primeira comissão, não responderam, minimizaram,
[47:21:40 - 47:33:20]:  descordaram das opções de tolerância exéduo do Papa Francisco, nessa matéria e foi criada uma comissão.
[47:33:20 - 47:46:40]:  - E a comissão, uma comissão? - Podia uma comissão de várias áreas e a partida, as conhecidas, competentes,
[47:46:40 - 48:03:20]:  etc. Bom, agora essa comissão produziu o seu relatório e, entre dentro, está uma nova comissão, que vem fazer o que?
[48:03:20 - 48:15:00]:  - Creticar os métodos de anterior e ver criticar os métodos de anterior, cozendo...
[48:15:00 - 48:26:40]:  e basta dizer já que o Ricardo falou dos juristas, que na comissão anterior estava laborim ilúcio, por exemplo,
[48:28:20 - 48:45:00]:  acusando a comissão anterior de axismo, portanto, de ter chegado a conclusões sobre vítimas e número de vítimas com base em palpites,
[48:45:00 - 49:01:40]:  acusando de validar indevidamente certas queixas, acusando de...
[49:03:20 - 49:18:20]:  na questão dos inquietos danónimos e da destruição dos dados.
[49:18:20 - 49:28:20]:  A primeira comissão, por seu torno, veio responder a isto, dizendo coisas bastante,
[49:28:20 - 49:38:20]:  obviás que a garantia do inimato era um recasito para ajudar que as pessoas falassem,
[49:40:00 - 49:55:00]:  que eles foi, e dito, que os dados seriam utilizados naquele âmbito, no âmbito daquela comissão.
[49:55:00 - 50:00:00]:  - E, portanto, a destruição estava planeada a partir?
[50:00:00 - 50:16:40]:  - E que todos os protocolos utilizaram pela comissão foi, semelhante, aos protocolos utilizados a nível europeu.
[50:20:00 - 50:36:40]:  E, portanto, num momento em que parecia que tinha habido um enfrentar da questão, e num momento em que estava a voltar,
[50:36:40 - 50:46:40]:  ou a começar, não sei bem, é questão das compensações financeiras.
[50:46:40 - 51:01:40]:  Esta noção do que a comissão atual está de inegrido, não sei, eu podem ter casado em algumas coisas.
