[00:00:00 - 00:07:48]:  Esta semana João Miguel Taváres declara-se de linkwente.
[08:41:28 - 08:51:28]:  Não nos espanta que esteja atrás, adeaste também não nos espanta que fica atrás.
[08:51:28 - 09:03:08]:  A devinha, sentretanto, uma questão sensível e potencialmente polêmica,
[09:03:08 - 09:18:08]:  embora esta semana já tenha começado a ser diluída, que é a questão de como é que vão ser os debates televisivos de pré-campanha,
[09:18:08 - 09:33:08]:  os debates que se vão realizar já um acordo entre as televisões para que as regras seguidas sejam diferentes das anteriores,
[09:33:08 - 09:44:48]:  ou seja, mesmo sem representação no Parlamento Europeu, os partidos que têm representação no Parlamento Nacional poderão participar.
[09:44:48 - 10:01:28]:  Como é que vê esta alteração de regras, pedrem-se-se de nomeadamente com a inclusão do chega da iniciativa liberal e do livro,
[10:01:28 - 10:11:28]:  que não tem representação no Parlamento Europeu, mas que as televisões aceitaram que poderão participar.
[10:11:28 - 10:13:08]:  O que poderão?
[10:13:08 - 10:19:48]:  O que poderão ainda não foi achado o acordo com os partidos?
[10:19:48 - 10:21:28]:  É só o que poderão ter.
[10:21:28 - 10:34:48]:  Querem dizer, a solução de compromisso, na verdade, não parece melhor no sentido que as duas soluções possíveis seriam a solução,
[10:34:48 - 10:46:28]:  como se falou nas lesivis, de que só tinham lugar nos debates, as pessoas que já estavam repartidos,
[10:46:28 - 10:54:48]:  já estavam representados na eleição em causa, para o órgão em causa, no caso, o Parlamento.
[10:54:48 - 10:59:48]:  Essa é uma da República, neste caso seria o Parlamento Europeu.
[10:59:48 - 11:06:28]:  A outra alternativa eram a ver um debate com todo.
[11:06:28 - 11:26:28]:  Este sestelista, esta solução lista para o que eu percebi, deste lado atelântico, estão representados os partidos,
[11:26:28 - 11:39:48]:  estão incluidos os partidos que estão representados na Assembleia da República. Isso é que me parece um compromisso um pouco bizarro.
[11:39:48 - 11:53:08]:  Na verdade, existem duas questões de representatividade aqui em causa, que é representatividade dos partidos que já estão representados,
[11:53:08 - 12:04:48]:  e representação de todos os partidos que colocam o reino para novos excriminações e portandas.
[12:04:48 - 12:13:08]:  Não são todos os partidos que concorrem, são só os partidos que têm representação no Parlamento Nacional,
[12:13:08 - 12:24:48]:  isso pode levantar problemas com os outros que também concorrem, mas que não têm representação na Assembleia da República.
[12:24:48 - 12:36:28]:  Justamente, aqui é um critério estranho, porque são os partidos que estão representados no outro órgão,
[12:36:28 - 12:44:48]:  o lítico não aqui, o peivo, e isso é quando não precisa ser muito bem, enquanto os dois legis elatíveis,
[12:44:48 - 12:58:08]:  embora fosse criticável, era claro, só o veio dos debates que a gente está já na Assembleia da República,
[12:58:08 - 13:09:48]:  agora, só vai a Assembleia do Bates para o Parlamento Europeu, quem está na Assembleia da República, que não parece um pouco...
[13:09:48 - 13:23:08]:  Eu percebo, porque o que quero dizer aqui são esses que se espera que possam também vir a esta representação de representatividade do Parlamento Europeu.
[13:23:08 - 13:33:08]:  Mas isso é uma discussão de sondagens, não é uma discussão de facto, enquanto os factos podem ser discutíveis, mas não factos,
[13:33:08 - 13:54:48]:  isto é uma suposição, é necessitiva liberal e cheia, como se imagina que esteja no acrescentar do Parlamento Europeu, e passem a estar, então entram.
[13:54:48 - 13:59:48]:  Mas não parece um compromisso muito engolhoso, eu acho que for mais.
[13:59:48 - 14:16:28]:  Vai dar a falar, seguramente, e há outros partidos que darão eventualmente legítimas expectativas de vir a ter representação,
[14:16:28 - 14:34:48]:  e que poderão eventualmente vir a protestar. Não, não, não. Todos os outros concorrem, não têm também representação de representação do Parlamento Europeu,
[14:34:48 - 14:46:28]:  e se não consegue colocar um contato para ter representação? Com certeza, mas se tu é um partido que nem se quer que não se consegue colocar,
[14:46:28 - 14:56:28]:  onde o portado não para elamente nacional, muito menos conseguirá acho que colocá-lo no Parlamento Europeu.
[14:56:28 - 15:11:28]:  Mas este é o que é interesse de um ponto de estar a respeito do Parlamento Nacional. Ou seja, em meio de transfusão entre o Parlamento Europeu e o Parlamento Nacional, desaparece.
[15:11:28 - 15:28:08]:  Não é verdade, hein? Que sentido. Não é verdade, não sei se tem que haver alguns países que partidos estão representados do Parlamento Europeu,
[15:28:08 - 15:44:48]:  não estão representados do Parlamento Nacional. Isso é o que acontece. Neste momento acontece, o CDS nem representa só, neste momento acontece não.
[15:44:48 - 15:55:44]:  Quando cia na elegida de Tula anterior, o CDS tinha a representação no Parlamento europeu, mas não tinha representação no Parlamento Nacional.
[15:55:44 - 16:11:04]:  -Certo, mas pocotecas razões não é de risquícios do passado, o que nunca aconteceu até hoje foi um partido de vindo do nada de repente em Portugal.
[16:11:04 - 16:23:46]:  Ele gê o Pope para ela mentir o Péu sem nunca ter ele gê due antes o Pope para ela mentir nacional.
[16:23:46 - 16:34:28]:  Eu acho que a decisão das televisões é boa porque gritar e os editoriais mesmo rompem daquela regla que foi felizmente nós,
[16:34:28 - 16:53:00]:  não é uma regra cega porque as agrenom podíamos ficar agora numa situação em que a iniciativa liberal ou chega não estavam em debatis para o Parlamento europeu.
[16:53:00 - 16:56:40]:  Ou a livre, que é de ser, não fazia sentido nenhum.
[16:56:40 - 16:59:28]:  É um incriteio novo.
[16:59:28 - 17:12:44]:  Entretanto, tivemos esta semana dois momentos de conflito político de alta intensidade, os ministros das finanças,
[17:12:44 - 17:25:48]:  do Andréi, e o atual envolveram-se na troca das causações sobre contabilidade pública e contabilidade nacional, coisas muito técnicas,
[17:25:48 - 17:37:24]:  e o PS conseguiu fazer aprovar uma lei que acaba com as portagens nas antiga secuta, a partir do dia-de-one do ano que vem.
[17:37:24 - 17:49:48]:  Que relações tira destes dois momentos de conflito político entre o governo e a oproção, recardar hoje para a era.
[17:49:48 - 18:01:28]:  O debate entre os dois nesta as finanças, o atual e o sante, apesar de tudo, é relativamente normal.
[18:01:28 - 18:19:48]:  O que é mais de invulgar e eu assistir com o gosto, é este debate sobre o fim das portagens, porque quem era contra o fim das portagens é agora a favor,
[18:19:48 - 18:23:40]:  e quem era a favor é agora a contra.
[18:23:40 - 18:36:00]:  E isso deixa-me na dúvida, é uma dúvida importante, que é se, de facto, somos um país que está assim tão polarizado,
[18:36:00 - 18:47:40]:  uma vez que, pelos vistas, as pessoas que discordam, são capazes de defender a posição contrária com muito garra,
[18:47:40 - 19:05:36]:  assim, não assim tanto tempo depois, ou se somos, de facto, um país de tal modo polarizado que eles concordam, mas não ao mesmo tempo.
[19:05:36 - 19:14:24]:  É uma infelicidade que é os partidos até este tão de acordo, só que não ao mesmo tempo.
[19:14:24 - 19:21:36]:  E, portanto, eles concordam que o que eu atrizia há dois anos, mas não adora.
[19:21:36 - 19:27:12]:  Estaremos em campanhe eleitoral, já me ligue ao tabaco.
[19:27:12 - 19:39:52]:  Não, provavelmente nunca deixaram-me se destaque. Esse é o... já falaram-nos isto aqui tantas vezes, pra mim, esse é o trágico problema deste governo.
[19:39:52 - 19:54:16]:  É que este governo não conseguia governar mesmo que quisesse, portanto, vive num pagamento de estado do campanhe eleitoral, por impossibilidade de governar.
[19:54:16 - 20:11:28]:  Nós vamos falar, ele é capaz de afastar pessoas, nomear outras, ainda com alguma dificuldade que ainda não os nomeou, mas é possível afastar pessoas de carcos, é possível nomear, mas governar.
[20:11:28 - 20:19:04]:  Não, isso não é possível, não é possível governar. E é o que se está a ver.
[20:19:04 - 20:29:20]:  E é evidente que, estovado até a última casa, é um problema.
[20:29:20 - 20:48:32]:  Quer dizer, porque como é que é possível de repente alguém poder estar afrindo um governo com a oposição a fazer a tal coligação negativa?
[20:48:32 - 21:02:28]:  Ou seja, com a oposição por um manentemente, a dizer, olha, agora são mais este milhões de partes escutas, agora são mais aqueles meus partes escutas.
[21:02:28 - 21:08:56]:  E impossível, é impossível, agora. Quer que se culcona esta situação?
[21:08:56 - 21:18:24]:  Foi o ismonte negro, são as famosas opções das linhas vermanas, por isso é que isto é insustentável.
[21:18:24 - 21:25:04]:  É um governo que anda por aí, em campanhe eleitoral, por um manente.
[21:25:04 - 21:52:40]:  Mas deixa-me de já, agora, até vou defender o PS. É evidente o caso de Gimara Espírito fez um ótimo ímita que vem sendo o Parlamento, que foi apenas a ler a quantidade de vezes que o PS chumbou para apostas para acabar com portagens nas esses escutas durante as últimas logíslias luturas.
[21:52:40 - 22:00:48]:  Aqui é um ótimo ótimo, a performance que ele é muito engraçado, mas vai.
[22:00:48 - 22:03:04]:  A verdade é que o...
[22:03:04 - 22:05:20]:  A campanhe eleitoral tem...
[22:05:20 - 22:12:40]:  Exato, eu estou num novo problema em eleitoral e o Pedro Lanzandro tinha defendido isso nisso porque ele é um eleitoral.
[22:12:40 - 22:16:40]:  Portanto, este é o legitimo. E sabe onde também é onde é que isto estava?
[22:16:40 - 22:19:44]:  Também estava no problema eleitoral do chega.
[22:19:44 - 22:33:20]:  Portanto, estando isto num problema eleitoral do PS, estando isto num problema eleitoral do chega, porque razão é que eles não devagariam avançar com isso.
[22:33:20 - 22:39:20]:  Agora, é insustentável, não temos de governação.
[22:39:20 - 22:41:20]:  Sim, é.
[22:41:20 - 22:55:20]:  Que leitura, tempo, assim, pedram-se de facto do chega voltar ao lado da esquerda, deixando a maioria do governo isolada.
[23:00:08 - 23:02:48]:  Tem dois leituras diferentes.
[23:02:48 - 23:16:48]:  Numa é que há matérias em que o chega está mais do lado da esquerda do que do lado da haver substantivamente.
[23:16:48 - 23:26:48]:  E durante a campanha foi esta tape, mas há outras altos e subos.
[23:26:48 - 23:37:52]:  Em segundo lugar, na verdade, toda a gente quer que o governo cair incluir do governo.
[23:37:52 - 23:49:52]:  Não caso muito curioso que a oposição da esquerda ou a oposição direta e o próprio governo querem...
[23:49:52 - 23:58:48]:  Que o governo cair e a provar a que cair e eu não vejo de ele dizer.
[23:58:48 - 24:17:52]:  Aliás, se compararmos com o que está aí acontecido em vários países europeus e não apenas, não vejo pro lameiú que prende um bloqueio no Parlamento.
[24:17:52 - 24:31:12]:  Há já novas eleições, as pessoas falam disso como se fosse uma coisa inaudita, estranhíssima, colapso, democracia.
[24:31:12 - 24:39:28]:  Há tínhamos visto vários países, quando se lhe reela há uns anos.
[24:39:28 - 24:51:52]:  Em que deu três eleições, e o resultado não foi o que o que nós gostavam, mas isso não é o ponto.
[24:51:52 - 24:59:52]:  O ponto é que enquanto haver eleições há soluções.
[24:59:52 - 25:05:36]:  E por tanto, se não haver soluções, não para o lamei.
[25:05:36 - 25:20:56]:  Naturalmente que o governo tem que ser relógido e amado ou um outro, o governo tem que ser formado como a maioria é suficiente.
[25:20:56 - 25:24:16]:  Nasci-se naturalíssimo.
[25:24:16 - 25:49:12]:  Entregamos ao Ricardo Arouss para a parte de ministro da tática, o João Miguel Tavarse quer ser por esta semana ministro da Santa Casa para apoiar o afastamento da Najorja para criticar o governo de platicisão.
[25:49:12 - 26:01:44]:  Eu não estou dentro da Santa Casa, e também não a Najorse esqueceu sem ainda, por exemplo, algo seu plano estratégico para o futuro.
[26:01:44 - 26:13:20]:  E, portanto, pode se dizer que eu não tenho idade para avaliar a qualidade das tantas de Najorja.
[26:13:20 - 26:28:48]:  Mas, como português que lhe vejam notícias, tem uma perceção, tem duas coisas, uma perceção sobre o que tem sido o trabalho da Najorja ao longo do último ano,
[26:28:48 - 26:36:24]:  e, segundo, uma perceção da maneira como o governo afastou.
[26:36:24 - 27:10:32]:  E isso, eu acho que aí é duplamento problemático, em primeiro lugar, porque aos olhos dos portugueses, a Najorja, tomou pós-se como provvedorga da Santa Casa, e começou a revelar uma quantidade de informação altamente desagradável para com...
[27:10:32 - 27:17:12]:  - É um exotritor. - ... um provvedorga, a anterior mesa, como se diz.
[27:17:12 - 27:51:20]:  E, o anterior provvedor já tinha sido nomeado por governos do PS, portanto, quando alguém chega e está a dizer "repar esses senhores", não quer dizer que o seja necessariamente um crime, mas tiveram certamente um majestinho de tão desgregassada daquilo que era a aposta nos jogos de Santa Casa no Brasil, estes senhores fizeram um trabalho miserável ao ponto de...
[27:51:20 - 28:04:40]:  - E as apostas dos cavalos em Portugal? - E as apostas dos cavalos, ou seja, todas as apostas que eles fizeram, de facto, desgregar a Santa Casa...
[28:04:40 - 28:25:04]:  E desgregar a Santa Casa no Gego é uma coisa particularmente obscina. Nós temos habituados a pppésico, mas supostamente aquilo é o dinheiro das pessoas mais pobres, é por isso que aquilo serve.
[28:25:04 - 28:40:00]:  E, portanto, imagine a água, não só a dimensão que a pópia estructura da Santa Casa tem, como que ainda por cima estouram o dinheiro com quem não devem, e a negocios não devem ser uma coisa chocante.
[28:40:00 - 28:54:08]:  Mas ela revelar esses negocios está certa forma, podemos dizer que é imbarça a água o PS, pelas colher do anterior provvedor.
[28:54:08 - 29:26:08]:  Chega o PSD, a AD, e com o novo governo, e diz "Ah, mas esta senhora não apresentou um plano de restructuração aqui com o Digo, nas 15 dias, e portanto, e utilizou expulsões violentíssimas por causa de frustar com uma ideia que estavam a fazer uma estonda nossa da Santa Casa.
[29:26:08 - 29:37:12]:  - Estou em casa, o que está em causa de ser realmente o funcionamento ou uma necessidade de mudança de pessoal político?
[29:37:12 - 29:56:40]:  Até isso foi em bigo, porque as duas explicações surgiram, primeiro, que ela estava a ter uma mastão, segundo foi do Luís Montenegro que eu disse que é preciso uma espécie de alunamento político quanto ao governo.
[29:56:40 - 30:19:16]:  Agora, o problema é que a senhora foi corrida a dois dias, de completar um ano, ou seja, a partir de um ano ela teria que seguir demonizado a passeir, e portanto o governo decidiu,
[30:19:16 - 30:36:44]:  e vai embora imeniatamente, porque assim não temos que demonizar, mas depois disso vem o mantisse que sai esta sexta-feira e que torna este caso ainda mais inacreditável.
[30:36:44 - 30:45:16]:  - Que foi que a própria ministra, que afastou a na Jorge e o resto da mesa?
[30:45:16 - 30:56:04]:  - Porque manifesto em competência diz, mas você agora fica aí no cargo, até nós escolhemos uma nova pessoa.
[30:56:04 - 31:13:32]:  E se não ficar, nós vamos acusá-la de crime da bananofunção pública. Isso já entra no nível da Twilight Zone, que existe uma quinta dimensão.
[31:13:32 - 31:34:28]:  Então o governo manda a senhora embora, porque ela está a ser incompetente, mas ela agora vai continuar incompetentemente no seu cargo, até eles decidiram, a interessa em alguém, posso substituir.
[31:34:28 - 31:52:44]:  Só porque não ele quer empagar uma inização, isto é, ao nível de uma desonestidade pessoal e política, que eu não vejo como é que o governo possa sair bem disto.
[31:52:44 - 32:02:36]:  - Como é que está acompanhar este fulho de tenha ido a distância, e no outro fulsorário, pelo ministro?
[32:02:36 - 32:18:44]:  - Sim, em substância ainda mesmo forma que o João Miguel, no sentido de que, quando a das duas explicações,
[32:18:44 - 32:35:32]:  é sempre de se espetar que a explicação não é boa, e a explicação da incompetência e a explicação da tchintonia,
[32:35:32 - 32:52:00]:  são explicações de diferente natureza, porque se houve uma expansão das atividades das operações, normalmente, internacionais da Santa Casa,
[32:52:00 - 33:08:36]:  se essas operações foram danosas, se a nova, se os novos corpos dirigentes da Santa Casa estavam, supostamente,
[33:08:36 - 33:38:32]:  divulgar, resolver esse assunto, se a na jora estava lá 11 meses, então, das duas uma ou o governo comprova, e houve uma negligência em competência,
[33:38:32 - 33:55:12]:  e a uma que são palavras tão valentil utilizadas, tiradas assim sem mais nem nem, ou então, a questão da tchintonia não parece muito relevante,
[33:55:12 - 34:08:28]:  porque, por exemplo, a questão com a Fernando Arúste, a merda de tchintonia, agora vai ser tão foco hoje.
[34:08:28 - 34:26:28]:  - Fernando Arúste, o que foi, agora, foi lhe pedido pelo ministro da Saúde, que apresento o plano pro Averão, e ela recusa a aparentar,
[34:26:28 - 34:29:20]:  - Pelo menos peda, depois peda em coisas, repas.
[34:29:20 - 34:36:08]:  - No caso do Fernando Arúste, foi o que se despediu, mas o vovô de tchintonia.
[34:36:08 - 34:39:08]:  - Exato, foi o que se despediu.
[34:39:08 - 34:46:16]:  - No caso da na jora, se tivesse temitido.
[34:46:16 - 34:51:36]:  - Sim, o ministro quis que ela se mitisse, mas ela não aceitou.
[34:51:36 - 34:55:00]:  - Pois claro, peda.
[34:55:00 - 35:08:16]:  - É que a tchintonia, a tchintonia, a tchintonia, a nossa mesma coisa, do vídeo que se possa dizer que Fernando Arúgear, em competentes, por exemplo,
[35:08:16 - 35:26:16]:  a tchintonia, a cargos em que uma sintonia, no mesmo, política ideológica, é necessário até uma confiança pessoal, não parece ser um caso nem outro.
[35:26:16 - 35:50:08]:  - Se as pessoas estavam a fazer a sua, estavam a compreir a sua missão, se estavam a resolver problemas, se tinham que dar contas, e estavam a tratar de isso, não parece que acharia as na praça pública, seja melhor caminho.
[35:50:08 - 36:14:36]:  - Entretanto, a revista sábado, nutricio que o lugar da na Jorge vai ser ocupado por Mota Suarge, o dirigente do PS, que já foi do CDS, que já foi ministro do Emprego,
[36:14:36 - 36:28:28]:  há uns anos, será caso para recuperar a velha expressão de óbsefor de boias e regardar hoje para a era?
[36:28:28 - 36:33:28]:  - Neste caso, para o mid-leides de men.
[36:33:28 - 36:50:30]:  - Aqui a questão é, é que é um dos problemas, é que não é surpreendente, não é dado o estado do CDS, a dinâmica da relação que tem com o PSD, não é surpreendente que alguém no governo tenha
[36:50:30 - 37:29:22]:  dito, olha, a este ministro do CDS, mas mandá-lo passando-te a casa, é um destino que parece... previsível, mas esse é um dos aspectos deste caso, o outro aspecto muito engraçado é o tal, é o facto de a Jorge já estar soube, a miása, de ser acusada da bandônio, de função pública, que está a exercer pece-e-mamente.
[37:29:22 - 37:45:54]:  - São duas acusações, a senhora está a exercer pece-e-mamente este cargo, agora a libíver-se dio a bandonar, que a gente pode processar la criminalmente.
[37:45:54 - 38:08:02]:  - O João Miguel Tavar, que é então ministro da Santa Casa, é a vez do Pedro Messias tornar ministro da reparação, em que ponto é que estamos a este respeito de Pedro Messias, neste debate sobre a reparação.
[38:11:22 - 38:47:26]:  Estamos como sempre tivemos com as modas internacionais, que é quando chegam a etrólbão, é tudo ao mesmo tempo, e tudo com uma certa dose de atrasa e uma certa dose de precipitação e uma certa dose de confusão, porque é a questão das preparações, que no fundo é uma expressão que designa várias atitudes,
[38:47:26 - 39:24:22]:  a ter pelos estados colonizadores, e a relação às suas antigos territorios ultramarinos, incluem atitudes completamente diferentes, algumas que são, que não parecem absurdas, outras que não parecem de justiça,
[39:24:22 - 39:58:22]:  outras que não parecem escutíveis, conversáveis, estamos a falar de pagar, de integrar, de reconhecer, de estudar, de desenvolver, de cooperar, todas essas coisas são umes diferentes, algumas alguias não já fazemos, não já temos uma cooperação muito importante com os palops, e não sou...
[39:58:22 - 40:01:42]:  - Devolver objetos robados?
[40:01:42 - 40:37:26]:  - O devolver os objetos é uma discussão que existem todo lado, né, de uma diferença, mas não só com critérios, com a questão dos pedidos, com a questão da segurança dos objetos, a revolvência cultural, em alguns casos até religiosos, identitária, etc., no seu lugar de origem,
[40:37:26 - 41:09:58]:  e porém, alguém escrevia, já não sei porque liberou esse último dia, não alguém escrevia uma artigo sobre isso, como a imagem que eu acho feliz, que falava das homenagens postmas, que as proporções eram as pessoas homenagens postmas, e de facto eu acho mais interessante as homenagens em vida, isto é,
[41:09:58 - 41:51:34]:  as homenagens postmas é uma pessoa, aproveitou a muita gente, mas não há morco, não tem conhecimento, eu sou homenagem, e porém eu sou a favor de formas de derrido para ação, que seja com os vivos, para os vivos, independentemente, atro mais simbólico, os genertes, os tipos, por uma sacra, de coisa de genocidrão que já aconteceu, e eu não vejo problema em unido,
[41:51:34 - 42:31:54]:  mas o que é importante é que a nossa relação, os países africâneos, neste caso, sobretudo, já não seja hoje a economizador, e portanto, a gente haja uma cooperação, a gente hagração, a gente ha apoio, a gente haja uma leitura da história que seja, não dir consensualizada, porque isto não existe por natureza, mas em que,
[42:31:54 - 43:05:14]:  principalmente, não há a nossa leitura da história, não seja sobretudo patriótica, a moda antiga, mas que abrenjam as várias perspectivas sobre momentos difíceis da história, e porém tudo isso me parece mais interessante, mais interessante, certamente, do que, por exemplo, falar em criminalizar,
[43:05:14 - 43:26:54]:  há descontidos pelos nossos passados, alguns séculos, e isto não vai se querer como que se processa, nem grande utilidade, tudo que seja por aí, e sobre os vivos, é o útil.
[43:26:54 - 43:45:14]:  Aonde bate a fazer este respeito, João Miguel Tavárez, ou Alinha, com a Tez, que apareceu, em vários artigos, esta semana, de que que estão estar resolvido a este temporária?
[43:45:14 - 44:01:54]:  A pálvio é um debate preciso, em primeiro lugar, saber o que estáis a falar, o pedaño xia já colocou a questão, e é do modo geral, ninguém precisa saber o que está a falar, porque está a falar de coisas totalmente diferentes.
[44:01:54 - 44:16:54]:  E, portanto, é que, dificilmente, cria-se um conflito, que se os termos do debate fossem bem precisados, que as pessoas estavam da corda.
[44:16:54 - 44:51:54]:  Se perguntar as hospitogueiras, olha, é melhor os artefacts andar ali nas catacumbas, do museu da etnologia, em caixas, que nunca ninguém vai ver, ou é melhor de repente haver um museu que vai agarra-se nesse espolio, ao cedo, ao cedo da durante 50 anos, 80 anos, ou 100 anos.
[44:51:54 - 45:06:54]:  Se calhar as pessoas com qualquer pessoa, digamos, claro, devolve, porque é evidentemente há uma história daqueles países que também está a ser construída.
[45:06:54 - 45:28:34]:  Aqueles países, que não existigiam, é bom que as pessoas percebem, angola, um sambique, são uma criação ocidental, não existem enquanto países, se não enquanto criação ocidental.
[45:28:34 - 46:00:14]:  Portanto, é bastante bizarro, nós estamos a falar de criações, ou se identais que se mantiveram depois da discolonização, até porque ninguém percebia qual seria a outra maneira para não funcionar assim, que é a estribuzião só através de todas as reconfigurar, e uma pedáfrica que mudava toda outra vez,
[46:00:14 - 46:41:54]:  porque antes isso seguiu absolutamente impossível, e portanto, sim, há uma reclice, há uma necessidade de contar as histórias desses países, aliás, a história desses países, a maior parte das vezes foi contada, pugu ou cidadentais, pela simples razão, porque originalmente esses países não tinham indescrita, e portanto, tudo isto está interligado desde tempos infinivindáveis, desde tempos infinivindáveis, mas andamos a fingir que não.
[46:41:54 - 47:10:14]:  Não, mas o que pode contra ponto a isso, fazer sunde o debate, seja com os parâmetros mais pior a melhor definidos, é dizer que está a resolvido e que estão nesse bloco coloca, que é quem diga isso.
[47:10:14 - 47:25:14]:  Sim, porque a palavra é reparações, vamos ver, mais ou menos nós vamos ver o que ela quer dizer, que isto está querendo, o que ela quer dizer, significa dinheiro.
[47:25:14 - 47:55:14]:  É isso, é, sim, que nós usamos, aliás, todos nós apagandemos, a segunda guerra mundial foi uma desgraça que aconteceu porque a Alemanha tivesse que pagar reparações de tal maneja de propositadas, né, a primeira guerra mundial, que acabou por dar a origem à sua guerra mundial, é isso que significa reparações.
