[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oroespreira confessa-se ilegal.
[05:29:52 - 06:04:52]:  O Ministro da Cultura agrandeir que o telefonema do Ministro da Administração Interna para RTP não foi, se tarda estualmente, não foi para manifestar desagrado pelo Cartoon, acincendo, vejamos então nas palavras do próprio José O Escarneiro, o que eu levou a telfonar à Administração da RTP.
[06:04:52 - 06:18:12]:  Para manifestar desagrado, como o facto de um cartão daquela natureza ter sido exibido.
[06:18:12 - 06:29:52]:  Afinal, sempre o desagrado ao contrário da garantia dada por a domensilva no Parlamento.
[06:29:52 - 06:44:52]:  Trá sido isto, Ricardo Arrozpreiro, uma desatenção do Ministro da Cultura ou uma afirmação a contar com a desatenção de quem ou ouvia.
[06:44:52 - 07:23:12]:  Bom, só se foi isso, eu tenho dúvidas que seja a desatenção porque toda gente viu estas declarações de Administração Interna, são declarações bastante graves, o Ministro da Administração Interna, o Ministro do Governo, o Governo ligou para RTP, a manifestar desagrado por causa de um programa e, portanto, eu acho que estas declarações do Pedro da Mensilva sobre o seu colega do Governo da Dzer, não foi para a Administração de Desagrado.
[07:23:12 - 07:26:32]:  Contradiando o que o próprio colega disse.
[07:26:32 - 07:44:52]:  - A distância do Governo da isso? - Eu acho que são um bom sinal, apesar de tudo porque significam que alguém sente que as declarações de Administração Interna são vergonhosas.
[07:44:52 - 08:06:32]:  E isso que está no origem desta tentativa de fingir que não existiram, é o Adão Insilva, sabe que é uma vergonha, um Ministro da Administração Interna ligar para RTP a manifestar desagrado por um programa, então, tenta fingir que isso não existiu.
[08:06:32 - 08:24:52]:  Só que esta justificação é um divertido caso de pior a imenda que o soneto, até porque acaba por confirmar que a definição dominante hoje de liberdade de expressão é esta,
[08:24:52 - 08:39:52]:  é, liberdade de expressão sim, mas sem offender, é uma definição muito ótima porque o André Ventura concorda vários dos adversários do André Ventura também concordam.
[08:39:52 - 08:53:12]:  O Adão Insilva, o que vou dizer, nesta cultura diz que foi o contacto, não foi para a manifestada desagrado, coisa que nós sabemos que é falsa.
[08:53:12 - 09:08:12]:  - E o que foi? - Até foi útil. Foi o para tranquilizar as forças de segurança, admita-o menos o desagrado do Ministro da Administração Interna.
[09:08:12 - 09:26:32]:  - Não tem a tira utilidade? - Não, eu não acho, por até o dia, o contacto foi para ser informado, e o esclarecido foi muito útil para permitir dar conta as forças de segurança que estava em inquietas.
[09:26:32 - 09:38:12]:  Este significado é o seguinte, primeiro, o Ministro da Cultura que tutela RTP, acha bem, acha normal que outro membro do governo,
[09:38:12 - 09:56:32]:  contacto com o seu administração da RTP, para ser esclarecido, estou, eu não percebi este cartão, qual é a piada? Já agora, onde tenho Fernand Menos, não para isso certo, também fiz uma que eu não apanhei.
[09:56:32 - 10:06:32]:  O filme do filme de Dominga A Tarda, achei que o final ficava muito em aberto, gostava de saber também, enfim, ela acha que isto é normal.
[10:06:32 - 10:19:52]:  E acha que não há nem um vestijo de pressão, quando um governante, um membro do governo liga, para que possui administração da RTP.
[10:19:52 - 10:34:52]:  Segundo, eu acho normal que as forças de segurança fiquem inquietas por causa de um desenho, e que, com PET ao Ministro da Administração Interna,
[10:34:52 - 10:44:52]:  se o segalas através de desclarecimentos que intima, o Conselho da Administração da RTP, é para estar.
[10:44:52 - 11:13:12]:  E, sério, ele diz foi muito útil, se que era a foi, porque após os classimentos, as forças de segurança que estavam muito inquietas, o Ministro de Clareceu, dizendo, recorde, não calma não é sobre você, é sobre a França, e que é assim, ainda bem, e ainda bem, se fosse sobre eles eram, era gravíssimo.
[11:13:12 - 11:24:52]:  E então foi muito útil porque as forças que estavam inquietas, as forças de segurança acalmaram e resolveram apresentar só que a xacrim.
[11:24:52 - 11:39:52]:  Imagino que se tivessem mantido inquietas, se que era tenho avançado para a prisão da altura do cartunho, assim, foi assim, é só uma caixa clima, para me resumindo.
[11:39:52 - 11:53:12]:  O Comunista Cultural vai dizer a mentira, o Ministro da Administração Interna ligou mesmo para o Ministro da Grado, o que é grave, se as coisas tivessem passado como o Adão e Silvades.
[11:53:12 - 12:13:12]:  Seria igualmente grave. E, 50 anos depois de 25 de abril, o Ministro de Clareceu a RTP e a protestar, barra dos caras em formações e esclarecimentos, porque causa de um conteúdo não dá admissão.
[12:13:12 - 12:21:32]:  É um extraordinário sinceramente, acho que não. Você só sou eu, que está novo?
[12:21:32 - 12:34:52]:  Antes que montamos isso, cria só fazer o provoder do telas patador, várias pessoas me perguntaram o que é que o Ricardo que moça o maneira passada.
[12:34:52 - 12:43:12]:  É só para fazer chegar a esta pergunta porque várias pessoas te manifestaram o...
[12:43:12 - 12:46:32]:  Eu digo que eu tomei consciência.
[12:46:32 - 13:01:32]:  O convivio de 5 de abril faz 50 anos e é a minha idade. Faz 50 anos e ovo o Ministro, o Ministro ligou para RTP a dizer "eu não gostei desse desanpa".
[13:01:32 - 13:03:12]:  Mas o que é isto?
[13:03:12 - 13:06:32]:  O que é isto, pa?
[13:06:32 - 13:14:52]:  Que balança que faz das explicações e as dos dois membros do governo a respeito deste caso, peda-me-se.
[13:14:52 - 13:33:12]:  Eu acho que as forças de segurança estavam, naturalmente, inquietas, desagraváveis, acho que é da competência do Ministro tranquilizar as forças de segurança.
[13:33:12 - 13:44:52]:  Mas ainda que o Ministro tenha simpatia e tem o que eu tenho dito com a certa candora aquilo.
[13:44:52 - 14:04:52]:  A diferença entre telefonar, para poder explicações de barra condicionar, é muito tendo, é muito interpretativo, é muito porra eigra.
[14:04:52 - 14:08:12]:  O que eu fez é errado.
[14:08:12 - 14:31:32]:  Negar o que eu fez, o que eu fez, o que eu fez, ainda é mais errado. Não adúvido nenhuma que eu eu fez aquilo para tranquilizar, eu estou convencido que eu eu eu fez mais para tranquilizar as forças de segurança do que o Ministro não era RTP.
[14:31:32 - 14:41:32]:  Mas não interessa, porque isto aqui não é o atno ao nosso subjetividade e plenção.
[14:41:32 - 14:51:32]:  Objetivamente, tendo enquanto o estúrial da RTP e a mudança para digna.
[14:51:32 - 14:59:52]:  Que disse, Pedro, não, isso foi para a mãe, está desagrado. Isso não é do Ministro.
[14:59:52 - 15:04:52]:  Isso não é do Ministro. Isso não é do Ministro.
[15:04:52 - 15:18:12]:  Mas o problema é que, em dependimento com a forem de qual forem intenção do Ministro, é objetivamente problemática que ele te levo.
[15:18:12 - 15:54:52]:  Mesmo que eles tenham falado sobre boa, não é normal que o morgan independento, embora do Sector público de informação receba-te o FNM os Ministros, a petit explicações para sucessitar-se daqui a fura.
[15:54:52 - 15:58:12]:  Já não é normal.
[15:58:12 - 16:09:52]:  Já não é normal. Foi durante muito tempo aliás, até ela ainda isso. Não vale a pena fugir.
[16:09:52 - 16:23:12]:  Eu acho que a minha interpretação é que foi engrandedida por ser o Ministro que foi pela maneira como o próprio que falou no assunto, etc.
[16:23:12 - 16:31:32]:  Tem a posição que é o último ministro que não usa a senhora da mesma simpatia.
[16:31:32 - 16:39:52]:  Simpatia, aliás, emversida em relação a este ministro, que é uma pessoa simpática.
[16:39:52 - 16:49:52]:  A reação seria pelear. Agora, a gente não vale para ignorarmos o que aconteceu e o que aconteceu muito claro.
[16:49:52 - 17:13:12]:  Veja como um deslize do Ministro da Administração Interna. João Miguel Taváres, um deslize que pode vir a servir de imenda ao governo, ou até-te neste caso algo mais preocupante.
[17:13:12 - 17:26:32]:  Já é o segundo programa em que o Ricardo e os preços se indignam mais do que eu. Eu estou praticamente indignado com a sua capacidade de indignação.
[17:26:32 - 17:33:12]:  Não é exposto. O programa do governo é um bom funcionamento. É para o Ministro como 30 temas.
[17:33:12 - 17:43:12]:  É para, mas sim, eu sinto que o Ricardo e os pregão a entrar no meu território, de uma maneira, a mesma coisa do Zilov lá.
[17:43:12 - 18:09:52]:  É para o Ministro da Administração Interna. É para o Ministro da Administração Interna. É para o Ministro da Administração Interna.
[18:09:52 - 18:29:52]:  É para o representante português na Turquia. Não fez nada, não há nada, não soube de nada. O homem teve, claro, 19 dias numa prisão turca. Não sei se vocês viram os preços, o que chamavam aqui.
[18:29:52 - 18:36:32]:  Sim, sim, sim. Por parecer gay, enfim. Tá bem.
[18:36:32 - 18:44:52]:  Também tem indignó. Não laxas não. Não laxas quer de foravero. Acho que sim, acho que sim, mas...
[18:44:52 - 18:58:12]:  Gosto de ver que tão o forvelhante. Mas, porque que... Eu acho que o Ricardo e o Rezão em termos de princípios.
[18:58:12 - 19:16:32]:  Porque, de certa maneira, se sentesse que não era, o caso foi devolugizado, de sete pelo Ricardo e os pregues continuam a desjagre intensamente todos os governos somos que eu fosse para a rua.
[19:16:32 - 19:39:52]:  Exatamente nós temos ver, se já tem chica, a desculpa. É isso que faltou, é esto. É porque nós, exatamente porque estamos às vezes há 50, já vimos muito.
[19:39:52 - 19:58:12]:  E eu, ultima vez que eu ouvo um primeiro ministro socialista que não António Costa, havia programas de televisão e privoso de ser encorritos e a ganharem que nas privados.
[19:58:12 - 20:18:12]:  Portanto, ao pedir isto, ter um de sota ali, a dar um telefone, uma ponta com a sede da negociação, aparentemente não aconteceu nada. A parte bom isto é que eu espero que o Spamcarto não aparentemente não acabou.
[20:18:12 - 20:21:32]:  E... E, espere-se...
[20:21:32 - 20:28:12]:  Fos isto, não é verdade, o André Carrilha, Cristina Sampaio, o Teatro...
[20:28:12 - 20:39:52]:  Isso não para fosquear baixinho, é não é? Não, mas espero que depois disto, o André Cristina, o Teatro, conseguimos um contrato longa dougação.
[20:39:52 - 21:01:32]:  Ou seja, enquanto o Lássio de Iverga, António Costa, ou seja, até 2038, o Spamcarto 1 vai poder continuar, porque é invidente que sim que o negócio é desaparecer nos anos mais próximos do radar da RTP.
[21:01:32 - 21:06:32]:  - Estou para o novo rão? - Estou para o novo rão, às vezes.
[21:06:32 - 21:09:52]:  - Estou para o novo rão? - Estou para o novo rão.
[21:09:52 - 21:14:52]:  - Estou para o novo rão? - Estou para o novo rão.
[21:14:52 - 21:16:32]:  Estou para o novo rão. Estou para o novo rão.
[21:16:32 - 21:23:16]:  "E a basta a intenção, basta a intenção, basta outro fenémozinho".
[21:23:16 - 21:31:34]:  Atena é a precisa de intenção, até pedir não ter intenção nenhuma, basta outro fenémo,
[21:31:34 - 21:33:14]:  claro!
[21:33:14 - 21:39:40]:  Eu acordo com o que tem que termos princípios, mas estou indignado que estou indignado nação.
[21:39:40 - 21:48:12]:  Entregamos ao Ricardo Auxípera, a basta de ministro do esclarecimento e ainda antes dos
[21:48:12 - 21:53:28]:  deboessarmos sobre o estado da nação.
[21:53:28 - 22:01:34]:  Deboessámosmos sobre o que as bondagens mais recentes permitem perceber.
[22:01:34 - 22:09:54]:  A respeito da perceção sobre o estado da nação é por isso que o pedramistria quer ser
[22:09:54 - 22:14:54]:  ministro do deixastar.
[22:14:54 - 22:26:34]:  Isso é uma conclusão melancólica ou, digamos, doutista, pedramistria.
[22:26:34 - 22:31:34]:  É uma conclusão melancólica, é sensável, mesmo tempo.
[22:31:34 - 22:36:34]:  Ah, mas há de rotis, mas tu lendo, né?
[22:36:34 - 22:44:54]:  É a conclusão resulta de duas bondagens publicadas esta semana que voltam a demonstrar
[22:44:54 - 22:56:34]:  a manifestação com o governo, mas a juntará a satisfação, a vontade, por parte
[22:56:34 - 23:03:14]:  da maioria dos inquiores, de que a legislatura chega até o fim.
[23:03:14 - 23:09:54]:  O que é que lê nas entrelinhas destes estudos do Opinão?
[23:09:54 - 23:23:14]:  Eu devo dizer que não escolhi este tema, por te acordar, é minha posição, eu concordo,
[23:23:14 - 23:33:14]:  que é minha pessoa que o governo é má e deve ter pior agora do que foi na outras
[23:33:14 - 23:43:14]:  autores, aliás, esta uma das chanagens da católica da 52% da dizer que o governo é
[23:43:14 - 23:53:14]:  mal, há muito mal 32% resolveu, isso ao novo, a dizer, muito bom, são números.
[23:53:14 - 24:01:34]:  Como a particularidade é que António Costa é um dos poucos líderes que tem...
[24:01:34 - 24:08:14]:  Mas isso é a segunda parte, isso é a valiação positiva.
[24:08:14 - 24:09:54]:  E justamente a sede.
[24:09:54 - 24:18:14]:  Estou do governo é mal, mas António Costa continua sempre a ter a valiação positiva.
[24:18:14 - 24:26:34]:  Eu acho que o impedimento das coisas boas, até vamos falar, que é porque tem que ser
[24:26:34 - 24:33:14]:  boas e coisas mais, que o governo tem, acho que este governo, acho que este governo é o
[24:33:14 - 24:41:34]:  pior dos governos de António Costa, por provasões que não valam a ver na voldar,
[24:41:34 - 24:51:34]:  falamos sobre todas elas aqui, mas acho, número 2, que as legislaturas devem ser
[24:51:34 - 24:59:54]:  compridas, tinha que ver uma coisa realmente que apesar de tudo não foi nenhuma desta,
[24:59:54 - 25:11:34]:  eu tenho o maior interesse em que soubesse o que não soubesse saber, que é o que aconteceu com o
[25:11:34 - 25:19:54]:  serviço de segurança, os serviços de informações e outros assuntos, finalmente sérios,
[25:19:54 - 25:29:54]:  mas, de facto, ainda não foi na... deve, como provado, nada que seja passível devar
[25:29:54 - 25:34:54]:  aquela do governo, porque eu acho que a legislatura deve, deve acabar.
[25:34:54 - 25:44:54]:  Mas também há uma... ração adicional e que tem a ver com essa boa polaridade António Costa,
[25:44:54 - 25:53:14]:  a direção ou que líderes políticos, algumas pessoas não querem, porque acham que o...
[25:53:14 - 26:03:14]:  porque por as onjos institucionais, digamos assim, e outras pedizen, porque neste momento,
[26:03:14 - 26:13:14]:  ninguém ganha António Costa, e certamente não há atual liderança do PSD e concordo com isso.
[26:13:14 - 26:23:14]:  E essa é a parte que é o dedir... que é o dedirança do PSD neste momento em que há
[26:23:14 - 26:31:34]:  52% dos portugueses numa determinada ração, dá-se, não é? É palavra revelada, é apenas uma fotografia,
[26:31:34 - 26:43:14]:  mas que diz, 52% dos portugueses em que o governo é mal é muito mal, e o líder da posição
[26:43:14 - 26:51:34]:  está em parte de técnico, o primeiro ministro. Este significa que o líder da posição é mal,
[26:51:34 - 26:58:14]:  é mal é muito mal, não é hipótese, não é hipótese nenhuma, não é nenhuma... as pessoas não são estúpidas,
[26:58:14 - 27:04:54]:  não é hipótese... não é uma ser aquela velha argumenta que o Ricardo Costa,
[27:04:54 - 27:13:14]:  muito da desmontar que é, não é o ótimo, mas as pessoas não percebem, isso não existem política.
[27:13:14 - 27:19:54]:  Se as pessoas não percebem, ele não é o ótimo, não é o que explique melhor.
[27:19:54 - 27:34:54]:  Eu explique melhor, exatamente, e portanto eu concordo com o juízo, concordo com a conclusão e concordo com a preenção.
[27:34:54 - 27:38:14]:  Então, português... um português médio.
[27:38:14 - 27:41:34]:  São português médio neste caso, são português médio.
[27:41:34 - 27:51:34]:  Estes resultados, como feridos já não surpreendem, têm-se repetido em praticamente todos os estudos da opinião,
[27:51:34 - 28:04:54]:  vêm niste dos homenhaltavares um desejo positivo de estabilidade política ou plenegativa,
[28:04:54 - 28:13:14]:  um receio que alternativa ao que temos ainda, por isso, seria pior.
[28:13:14 - 28:18:14]:  Eu vou atendote, eu também sou um português médio.
[28:18:14 - 28:24:54]:  Aliás, eu desconfiço que aqui, neste mês, e tal, possivelmente atrás das câmeras,
[28:24:54 - 28:33:14]:  é tudo português médio, porque... é porque as pessoas têm olhos e veem, e veem.
[28:33:14 - 28:38:14]:  E não é muito difícil de ver.
[28:38:14 - 28:44:54]:  Eu não quero adentrar muito neste tema, porque é, na verdade, encaixa muito no próximo.
[28:44:54 - 28:46:34]:  Não é um próximo.
[28:46:34 - 29:01:34]:  Porque, exatamente, o resultado da sondagem é o resultado do estado da nação, e é purde, mais evidente.
[29:01:34 - 29:13:14]:  E é tão evidente que se torna pinozo, e portanto os português tão pouco satisfeitos com o governo.
[29:13:14 - 29:18:14]:  E ainda estão mais satisfeitos com a imposição.
[29:18:14 - 29:21:34]:  Assictíssimo, tá certo, eu não.
[29:21:34 - 29:29:54]:  E a opressão, por gestos, não acredito, então que a opressão fizesse melhor.
[29:29:54 - 29:33:14]:  É conclução que se tira, né?
[29:33:14 - 29:41:34]:  E é muito difícil, não seja amém do Luís Montenegro.
[29:41:34 - 29:46:34]:  Concordar disto, é muito difícil de se acordar.
[29:46:34 - 29:56:34]:  Como é que, em cara, filsoficamente, é a ideia de deixando a área, recabada hoje para a ele.
[29:56:34 - 30:01:34]:  Ok, a questão é que eu não sei. Eu criei o povo português.
[30:01:34 - 30:04:54]:  Filosoficamente.
[30:04:54 - 30:18:14]:  Filosoficamente está em cruzilhada, em que a estrada do deixandar entre seta, coadou, podia ser pior.
[30:18:14 - 30:24:54]:  Não é por que um, ou seja, um, por isso é que deixaram nada.
[30:24:54 - 30:26:34]:  Pois é isso.
[30:26:34 - 30:28:14]:  É o põe cruzamento.
[30:28:14 - 30:31:34]:  Põe ser, ou as estradas, para galelas.
[30:31:34 - 30:34:54]:  Sim, não se faça o nome mal, tão estagado.
[30:34:54 - 30:36:34]:  Não cruzam.
[30:36:34 - 30:44:54]:  Porque eu não posso pensar no que um governo peste de apoiado ou coligado com o chego.
[30:44:54 - 30:49:54]:  E pode se não taxativamente afastada.
[30:49:54 - 30:58:14]:  E ele acha que o procedente perigoso dos assos, é um procedente de um bocadinho inquietante,
[30:58:14 - 31:09:54]:  as pessoas podem se pensar em principios no respeito a ter a membros do governo ligarem para a RTP, já percebemos que seria igual.
[31:09:54 - 31:16:34]:  Mostrando que temos liberados, por isso seria mais ou menos a mesma coisa.
[31:16:34 - 31:19:54]:  É estrada do deixandar, passa pela travessão da remodulação.
[31:19:54 - 31:21:34]:  Passa.
[31:21:34 - 31:24:54]:  Tem 18 centros.
[31:24:54 - 31:26:34]:  Esmergestação daagem.
[31:26:34 - 31:28:14]:  Querem uma remodulação.
[31:28:14 - 31:34:54]:  Tem 78 centros de voce que ser mais.
[31:34:54 - 31:38:14]:  Tem que ver longe ser um 13, sem mais ainda.
[31:38:14 - 31:44:54]:  Porque estão em essa, provavelmente, a estrada do...
[31:44:54 - 31:48:14]:  Essas espetras daagem.
[31:48:14 - 31:48:14]:  Essas espetras daagem.
[31:48:14 - 31:48:14]:  Essas espetras daagem.
[31:48:14 - 31:49:54]:  Essas espetras daagem.
[31:49:54 - 31:51:34]:  Essas espetras daagem.
[31:51:34 - 31:53:14]:  Essas espetras daagem.
[31:53:14 - 31:54:54]:  Essas espetras daagem.
[31:54:54 - 31:56:34]:  Essas espetras daagem.
[31:56:34 - 31:58:14]:  Essas espetras daagem.
[31:58:14 - 31:59:54]:  Essas espetras daagem.
[31:59:54 - 32:01:34]:  Essas espetras daagem.
[32:01:34 - 32:03:14]:  Essas espetras daagem.
[32:03:14 - 32:04:54]:  Essas espetras daagem.
[32:04:54 - 32:06:34]:  Essas espetras daagem.
[32:06:34 - 32:08:14]:  Essas espetras daagem.
[32:08:14 - 32:09:54]:  Essas espetras daagem.
[32:09:54 - 32:11:34]:  Essas espetras daagem.
[32:11:34 - 32:13:14]:  Essas espetras daagem.
[32:13:14 - 32:14:54]:  Essas espetras daagem.
[32:14:54 - 32:16:34]:  Essas espetras daagem.
[32:16:34 - 32:26:34]:  Essas espetras daagem.
[32:26:34 - 32:28:14]:  Essas espetras daagem.
[32:28:14 - 32:29:54]:  Essas espetras daagem.
[32:29:54 - 32:31:34]:  Essas espetras daagem.
[32:31:34 - 32:33:14]:  Essas espetras daagem.
[32:33:14 - 32:34:54]:  Essas espetras daagem.
[32:34:54 - 32:36:34]:  Essas espetras daagem.
[32:36:34 - 32:38:14]:  Essas espetras daagem.
[32:38:14 - 32:39:54]:  Essas espetras daagem.
[32:39:54 - 32:41:34]:  Essas espetras daagem.
[32:41:34 - 32:43:14]:  Essas espetras daagem.
[32:43:14 - 32:44:54]:  Essas espetras daagem.
[32:44:54 - 32:46:34]:  Essas espetras daagem.
[32:46:34 - 32:48:14]:  Essas espetras daagem.
[32:48:14 - 32:49:54]:  Essas espetras daagem.
[32:49:54 - 32:51:34]:  Essas espetras daagem.
[32:51:34 - 32:53:14]:  Essas espetras daagem.
[32:53:14 - 32:54:54]:  Essas espetras daagem.
[32:54:54 - 32:56:34]:  Essas espetras daagem.
[32:56:34 - 32:58:14]:  Essas espetras daagem.
[32:58:14 - 32:59:54]:  Essas espetras daagem.
[32:59:54 - 33:01:34]:  Essas espetras daagem.
[33:01:34 - 33:04:54]:  Essas espetras daagem.
[33:04:54 - 33:06:34]:  Essas espetras daagem.
[33:06:34 - 33:08:14]:  Essas espetras daagem.
[33:08:14 - 33:09:54]:  Essas espetras daagem.
[33:09:54 - 33:11:34]:  Essas espetras daagem.
[33:11:34 - 33:13:14]:  Essas espetras daagem.
[33:13:14 - 33:14:54]:  Essas espetras daagem.
[33:14:54 - 33:16:34]:  Essas espetras daagem.
[33:16:34 - 33:18:14]:  Essas espetras daagem.
[33:18:14 - 33:19:54]:  Essas espetras daagem.
[33:19:54 - 33:21:34]:  Essas espetras daagem.
[33:21:34 - 33:23:14]:  Essas espetras daagem.
[33:23:14 - 33:24:54]:  Essas espetras daagem.
[33:24:54 - 33:26:34]:  Essas espetras daagem.
[33:26:34 - 33:28:14]:  Essas espetras daagem.
[33:28:14 - 33:29:54]:  Essas espetras daagem.
[33:29:54 - 33:31:34]:  Essas espetras daagem.
[33:31:34 - 33:33:14]:  Essas espetras daagem.
[33:33:14 - 33:34:54]:  Essas espetras daagem.
[33:34:54 - 33:36:34]:  Essas espetras daagem.
[33:36:34 - 33:38:14]:  Essas espetras daagem.
[33:38:14 - 33:39:54]:  Essas espetras daagem.
[33:39:54 - 33:41:34]:  Essas espetras daagem.
[33:41:34 - 33:43:14]:  Essas espetras daagem.
[33:43:14 - 33:44:54]:  Essas espetras daagem.
[33:44:54 - 33:46:34]:  Essas espetras daagem.
[33:46:34 - 33:48:14]:  Essas espetras daagem.
[33:48:14 - 33:49:54]:  Essas espetras daagem.
[33:49:54 - 33:51:34]:  Essas espetras daagem.
[33:51:34 - 33:53:14]:  Essas espetras daagem.
[33:53:14 - 33:54:54]:  Essas espetras daagem.
[33:54:54 - 33:56:34]:  Essas espetras daagem.
[33:56:34 - 33:58:14]:  Essas espetras daagem.
[33:58:14 - 33:59:54]:  Essas espetras daagem.
[33:59:54 - 34:01:34]:  Essas espetras daagem.
[34:01:34 - 34:03:14]:  Essas espetras daagem.
[34:03:14 - 34:04:54]:  Essas espetras daagem.
[34:04:54 - 34:06:34]:  Essas espetras daagem.
[34:06:34 - 34:08:14]:  Essas espetras daagem.
[34:08:14 - 34:09:54]:  Essas espetras daagem.
[34:09:54 - 34:11:34]:  Essas espetras daagem.
[34:11:34 - 34:13:14]:  Essas espetras daagem.
[34:13:14 - 34:14:54]:  Essas espetras daagem.
[34:14:54 - 34:16:34]:  Essas espetras daagem.
[34:16:34 - 34:18:14]:  Essas espetras daagem.
[34:18:14 - 34:19:54]:  Essas espetras daagem.
[34:19:54 - 34:21:34]:  Essas espetras daagem.
[34:21:34 - 34:23:14]:  Essas espetras daagem.
[34:23:14 - 34:24:54]:  Essas espetras daagem.
[34:24:54 - 34:26:34]:  Essas espetras daagem.
[34:26:34 - 34:28:14]:  Essas espetras daagem.
[34:28:14 - 34:29:54]:  Essas espetras daagem.
[34:29:54 - 34:31:34]:  Essas espetras daagem.
[34:31:34 - 34:33:14]:  Essas espetras daagem.
[34:33:14 - 34:34:54]:  Essas espetras daagem.
[34:34:54 - 34:36:34]:  Essas espetras daagem.
[34:36:34 - 34:38:14]:  Essas espetras daagem.
[34:38:14 - 34:39:54]:  Essas espetras daagem.
[34:39:54 - 34:41:34]:  Essas espetras daagem.
[34:41:34 - 34:43:14]:  Essas espetras daagem.
[34:43:14 - 34:44:54]:  Essas espetras daagem.
[34:44:54 - 34:46:34]:  Essas espetras daagem.
[34:46:34 - 34:48:14]:  Essas espetras daagem.
[34:48:14 - 34:49:54]:  Essas espetras daagem.
[34:49:54 - 34:51:34]:  Essas espetras daagem.
[34:51:34 - 34:53:14]:  Essas espetras daagem.
[34:53:14 - 34:54:54]:  Essas espetras daagem.
[34:54:54 - 34:56:34]:  Essas espetras daagem.
[34:56:34 - 34:58:14]:  Essas espetras daagem.
[34:58:14 - 34:59:54]:  Essas espetras daagem.
[34:59:54 - 35:01:34]:  Essas espetras daagem.
[35:01:34 - 35:03:14]:  Essas espetras daagem.
[35:03:14 - 35:04:54]:  Essas espetras daagem.
[35:04:54 - 35:06:34]:  Essas espetras daagem.
[35:06:34 - 35:08:14]:  Essas espetras daagem.
[35:08:14 - 35:09:54]:  Essas espetras daagem.
[35:09:54 - 35:11:34]:  Essas espetras daagem.
[35:11:34 - 35:13:14]:  Essas espetras daagem.
[35:13:14 - 35:14:54]:  Essas espetras daagem.
[35:14:54 - 35:16:34]:  Essas espetras daagem.
[35:16:34 - 35:18:14]:  Essas espetras daagem.
[35:18:14 - 35:19:54]:  Essas espetras daagem.
[35:19:54 - 35:21:34]:  Essas espetras daagem.
[35:21:34 - 35:23:14]:  Essas espetras daagem.
[35:23:14 - 35:24:54]:  Essas espetras daagem.
[35:24:54 - 35:26:34]:  Essas espetras daagem.
[35:26:34 - 35:28:14]:  Essas espetras daagem.
[35:28:14 - 35:29:54]:  Essas espetras daagem.
[35:29:54 - 35:31:34]:  Essas espetras daagem.
